Orthogroup	Praf	Prbk
OG0000000	Praf.g_00813	Prbk.g_00165
OG0000000	Praf.g_00815	Prbk.g_00167
OG0000000	Praf.g_00814	Prbk.g_00166
OG0000001	Praf.g_01895	Prbk.g_01196
OG0000001	Praf.g_00818	Prbk.g_00170
OG0000001	Praf.g_02422	Prbk.g_00561, Prbk.g_02701
OG0000001	Praf.g_01293	Prbk.g_00630
OG0000002	Praf.g_01631	Prbk.g_02574
OG0000002	Praf.g_00948	Prbk.g_01649
OG0000003	Praf.g_02727	Prbk.g_02222
OG0000003	Praf.g_01162	Prbk.g_01375
OG0000003	Praf.g_00199	Prbk.g_00214
OG0000003	Praf.g_01088, Praf.g_01104	Prbk.g_02704, Prbk.g_02705
OG0000003	Praf.g_01995	Prbk.g_00332
OG0000003	Praf.g_00381, Praf.g_00343	Prbk.g_01675
OG0000003	Praf.g_00382	Prbk.g_00349
OG0000003	Praf.g_01103	Prbk.g_02121, Prbk.g_00049
OG0000004	Praf.g_01121	Prbk.g_01760
OG0000004	Praf.g_00743	Prbk.g_01134
OG0000005	Praf.g_00503	Prbk.g_00933
OG0000006	Praf.g_00396, Praf.g_01719	Prbk.g_02695
OG0000007	Praf.g_00480	Prbk.g_00907
OG0000008	Praf.g_01223	Prbk.g_01819
OG0000008	Praf.g_01224	Prbk.g_01820
OG0000009	Praf.g_01768	Prbk.g_01932
OG0000009	Praf.g_00246	Prbk.g_00013
OG0000010	Praf.g_01908	Prbk.g_02112
OG0000011	Praf.g_01188, Praf.g_01190	Prbk.g_01851
OG0000012	Praf.g_01668	Prbk.g_02610
OG0000013	Praf.g_02073	Prbk.g_00853
OG0000014	Praf.g_02319	Prbk.g_00454
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prbk.g_02558
OG0000017	Praf.g_00760	Prbk.g_01150
OG0000017	Praf.g_00752	Prbk.g_01142
OG0000018	Praf.g_01832	Prbk.g_01227
OG0000019	Praf.g_00943	Prbk.g_01644
OG0000019	Praf.g_02214	Prbk.g_01004
OG0000020	Praf.g_01095	Prbk.g_01331, Prbk.g_02697
OG0000021	Praf.g_00946, Praf.g_01089	Prbk.g_01960
OG0000021	Praf.g_00746	Prbk.g_01137
OG0000022	Praf.g_00201	Prbk.g_00212
OG0000022	Praf.g_00965	Prbk.g_01667
OG0000024	Praf.g_01139	Prbk.g_01780
OG0000025	Praf.g_01591	Prbk.g_02531
OG0000026	Praf.g_00037	Prbk.g_01617
OG0000028	Praf.g_02333	Prbk.g_00469
OG0000029	Praf.g_02091	Prbk.g_00833
OG0000030	Praf.g_00160	Prbk.g_01532
OG0000030	Praf.g_00159	Prbk.g_01533
OG0000031	Praf.g_02400	Prbk.g_00539
OG0000032	Praf.g_01851	Prbk.g_01209
OG0000032	Praf.g_02346	Prbk.g_00480
OG0000033	Praf.g_02457	Prbk.g_00776
OG0000034	Praf.g_00783	Prbk.g_01171
OG0000035	Praf.g_01794	Prbk.g_00259
OG0000036	Praf.g_02488	Prbk.g_01040
OG0000036	Praf.g_02527	Prbk.g_00799
OG0000036	Praf.g_02460	Prbk.g_00075
OG0000036	Praf.g_02459	Prbk.g_01949
OG0000036	Praf.g_02116	Prbk.g_01284
OG0000036	Praf.g_02481, Praf.g_02529	Prbk.g_02015
OG0000037	Praf.g_00240	Prbk.g_00007
OG0000038	Praf.g_02660	Prbk.g_02164
OG0000038	Praf.g_02662	Prbk.g_02166
OG0000039	Praf.g_00406	Prbk.g_01385
OG0000039	Praf.g_02541	Prbk.g_00642
OG0000041	Praf.g_00426	Prbk.g_01406
OG0000042	Praf.g_00164	Prbk.g_01495
OG0000042	Praf.g_00920	Prbk.g_00140
OG0000044	Praf.g_00356	Prbk.g_01462
OG0000044	Praf.g_01078	Prbk.g_01732
OG0000045	Praf.g_00322	Prbk.g_01321
OG0000046	Praf.g_02072	Prbk.g_00854
OG0000047	Praf.g_01898	Prbk.g_02565
OG0000047	Praf.g_01864	Prbk.g_01202
OG0000048	Praf.g_02267	Prbk.g_00405
OG0000051	Praf.g_01022	Prbk.g_01709
OG0000051	Praf.g_01479	Prbk.g_02418
OG0000052	Praf.g_02366	Prbk.g_00499
OG0000053	Praf.g_01828	Prbk.g_01230
OG0000054	Praf.g_00763	Prbk.g_01153
OG0000056	Praf.g_01648	Prbk.g_02591
