Orthogroup	Praf	Syab
OG0000000	Praf.g_00813, Praf.g_01039, Praf.g_01042, Praf.g_00815, Praf.g_00814	Syab.g_01226
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896	Syab.g_01549
OG0000001	Praf.g_02422	Syab.g_02553, Syab.g_02555
OG0000001	Praf.g_01293	Syab.g_00673
OG0000002	Praf.g_01631, Praf.g_00948	Syab.g_02285
OG0000003	Praf.g_01103	Syab.g_01580
OG0000004	Praf.g_01121	Syab.g_00549, Syab.g_01193
OG0000004	Praf.g_00743	Syab.g_01911, Syab.g_02377
OG0000005	Praf.g_00503	Syab.g_02806, Syab.g_02232
OG0000006	Praf.g_00396, Praf.g_01719	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Praf.g_00614	Syab.g_02117
OG0000007	Praf.g_00480	Syab.g_02256
OG0000008	Praf.g_01223	Syab.g_01755
OG0000008	Praf.g_01224	Syab.g_01168
OG0000009	Praf.g_01768, Praf.g_00246	Syab.g_02498
OG0000010	Praf.g_01908	Syab.g_00696
OG0000013	Praf.g_02073	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Praf.g_02319	Syab.g_00249
OG0000014	Praf.g_00112	Syab.g_00178
OG0000016	Praf.g_00014	Syab.g_00014
OG0000016	Praf.g_00906	Syab.g_01049
OG0000017	Praf.g_00760	Syab.g_01945
OG0000017	Praf.g_00752	Syab.g_01953
OG0000018	Praf.g_01832	Syab.g_00742
OG0000019	Praf.g_00943	Syab.g_00344
OG0000020	Praf.g_01095	Syab.g_02230
OG0000022	Praf.g_00201, Praf.g_00965	Syab.g_01825
OG0000024	Praf.g_01139	Syab.g_01834
OG0000025	Praf.g_01591	Syab.g_01705
OG0000026	Praf.g_00037	Syab.g_00036
OG0000028	Praf.g_02333	Syab.g_00234
OG0000030	Praf.g_00160	Syab.g_00096
OG0000030	Praf.g_00159	Syab.g_00095
OG0000032	Praf.g_01851	Syab.g_00724
OG0000032	Praf.g_02346	Syab.g_00149
OG0000033	Praf.g_02457	Syab.g_02590
OG0000034	Praf.g_00783	Syab.g_00900, Syab.g_02560
OG0000035	Praf.g_01794	Syab.g_00778, Syab.g_00776
OG0000036	Praf.g_02488, Praf.g_02527, Praf.g_02460, Praf.g_02459, Praf.g_02116, Praf.g_02481, Praf.g_02529	Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247
OG0000037	Praf.g_00240	Syab.g_02504
OG0000038	Praf.g_02660	Syab.g_02759
OG0000038	Praf.g_02662	Syab.g_02761
OG0000039	Praf.g_02541	Syab.g_02791
OG0000041	Praf.g_00426	Syab.g_02333
OG0000042	Praf.g_00164, Praf.g_00920	Syab.g_01019, Syab.g_00099
OG0000045	Praf.g_00322	Syab.g_00871, Syab.g_01787
OG0000046	Praf.g_02072	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Praf.g_01898, Praf.g_01864	Syab.g_00876
OG0000048	Praf.g_02267	Syab.g_00308
OG0000051	Praf.g_01022	Syab.g_01073
OG0000052	Praf.g_02366	Syab.g_00214
OG0000053	Praf.g_01828	Syab.g_00746
OG0000054	Praf.g_00763	Syab.g_01932
OG0000055	Praf.g_01257	Syab.g_01255
OG0000056	Praf.g_01648, Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620, Praf.g_02084, Praf.g_01964, Praf.g_01881	Syab.g_01452
OG0000057	Praf.g_01125	Syab.g_01200
OG0000060	Praf.g_00592	Syab.g_02094
OG0000061	Praf.g_00854, Praf.g_01859	Syab.g_00969
OG0000063	Praf.g_00041	Syab.g_00040
OG0000065	Praf.g_00244	Syab.g_02500, Syab.g_01768
OG0000066	Praf.g_00672	Syab.g_01516, Syab.g_02031
OG0000067	Praf.g_01530	Syab.g_01659
OG0000068	Praf.g_00585, Praf.g_00583	Syab.g_02087
OG0000070	Praf.g_01962	Syab.g_00614
OG0000071	Praf.g_00796	Syab.g_00915
OG0000073	Praf.g_00616	Syab.g_02119
OG0000075	Praf.g_02384	Syab.g_00202
OG0000076	Praf.g_00178	Syab.g_00113
OG0000077	Praf.g_00309	Syab.g_02446
OG0000078	Praf.g_00391	Syab.g_02366
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Syab.g_00340
OG0000081	Praf.g_01131	Syab.g_01793
OG0000082	Praf.g_00731	Syab.g_01971
OG0000084	Praf.g_01790	Syab.g_00781
OG0000085	Praf.g_00491	Syab.g_02243
OG0000086	Praf.g_00297	Syab.g_02468
OG0000087	Praf.g_02420	Syab.g_02551
OG0000088	Praf.g_01239, Praf.g_02454	Syab.g_02586
OG0000089	Praf.g_02015	Syab.g_00551
OG0000090	Praf.g_00660	Syab.g_02041
OG0000091	Praf.g_01700	Syab.g_01866
OG0000093	Praf.g_01503	Syab.g_01582, Syab.g_01090
OG0000095	Praf.g_01274	Syab.g_01210
OG0000097	Praf.g_00905	Syab.g_01051
OG0000098	Praf.g_01886	Syab.g_01553
OG0000099	Praf.g_02342	Syab.g_00230
OG0000100	Praf.g_00370, Praf.g_01561	Syab.g_01694
OG0000101	Praf.g_02119	Syab.g_00446
OG0000102	Praf.g_00173	Syab.g_00104
OG0000103	Praf.g_02765	Syab.g_01296, Syab.g_02895
OG0000104	Praf.g_02779	Syab.g_02910
OG0000105	Praf.g_02271	Syab.g_00303
OG0000106	Praf.g_00496	Syab.g_01817
OG0000107	Praf.g_02201	Syab.g_00367
OG0000108	Praf.g_00595	Syab.g_02096
OG0000109	Praf.g_00611	Syab.g_02112
OG0000110	Praf.g_00718	Syab.g_01984
OG0000111	Praf.g_01126	Syab.g_01201
OG0000112	Praf.g_01400	Syab.g_01392
OG0000113	Praf.g_01556	Syab.g_01689
OG0000114	Praf.g_01461	Syab.g_01633
OG0000115	Praf.g_01825	Syab.g_00748
OG0000116	Praf.g_00825	Syab.g_00945
OG0000117	Praf.g_00919	Syab.g_01018
OG0000118	Praf.g_00779	Syab.g_00897
OG0000120	Praf.g_02343	Syab.g_00229
OG0000121	Praf.g_01796	Syab.g_00772
OG0000122	Praf.g_00976	Syab.g_01839
OG0000123	Praf.g_02108	Syab.g_00454
OG0000124	Praf.g_00153	Syab.g_00088
OG0000125	Praf.g_02664	Syab.g_02763
OG0000126	Praf.g_02777	Syab.g_02908
OG0000128	Praf.g_00012	Syab.g_00012
OG0000129	Praf.g_02652	Syab.g_02749
OG0000130	Praf.g_00321	Syab.g_02434
OG0000131	Praf.g_02432	Syab.g_02564
OG0000132	Praf.g_02452	Syab.g_02584
OG0000133	Praf.g_02336	Syab.g_01387
OG0000134	Praf.g_02012	Syab.g_00554
OG0000135	Praf.g_02705	Syab.g_02815
OG0000136	Praf.g_01984	Syab.g_00588
OG0000137	Praf.g_01907	Syab.g_00697
OG0000138	Praf.g_00612	Syab.g_02113
OG0000139	Praf.g_00666	Syab.g_02035
OG0000140	Praf.g_00670	Syab.g_02033
OG0000141	Praf.g_00764	Syab.g_01931
OG0000142	Praf.g_01692	Syab.g_01873
OG0000143	Praf.g_01696	Syab.g_01870
OG0000144	Praf.g_01721	Syab.g_01757
OG0000145	Praf.g_00617	Syab.g_02120
OG0000146	Praf.g_01401	Syab.g_01393
OG0000147	Praf.g_01402	Syab.g_01394
OG0000148	Praf.g_01548	Syab.g_01682
OG0000149	Praf.g_01604	Syab.g_01720
