Orthogroup	Praf	Syak
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896	Syak.g_00342
OG0000001	Praf.g_01031	Syak.g_02139
OG0000001	Praf.g_02422	Syak.g_02138
OG0000004	Praf.g_01121	Syak.g_01219, Syak.g_00720
OG0000004	Praf.g_00743	Syak.g_00003, Syak.g_02297
OG0000005	Praf.g_00503	Syak.g_00885, Syak.g_02436
OG0000006	Praf.g_00396, Praf.g_01719	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Praf.g_00614	Syak.g_02595
OG0000007	Praf.g_00480	Syak.g_02416
OG0000008	Praf.g_01223	Syak.g_00267
OG0000008	Praf.g_01224	Syak.g_00692
OG0000009	Praf.g_01768, Praf.g_00246	Syak.g_02194
OG0000010	Praf.g_01908	Syak.g_01119
OG0000012	Praf.g_01668	Syak.g_00010
OG0000013	Praf.g_02073	Syak.g_01275, Syak.g_01270
OG0000014	Praf.g_02319	Syak.g_01505
OG0000014	Praf.g_00112	Syak.g_01582
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syak.g_00358
OG0000016	Praf.g_00014	Syak.g_01780
OG0000016	Praf.g_00906	Syak.g_00818
OG0000017	Praf.g_00760	Syak.g_02738
OG0000017	Praf.g_00752	Syak.g_02730
OG0000018	Praf.g_01832	Syak.g_01072
OG0000019	Praf.g_00943	Syak.g_01413
OG0000021	Praf.g_00946, Praf.g_01089	Syak.g_00566
OG0000022	Praf.g_00201, Praf.g_00965	Syak.g_00088
OG0000025	Praf.g_01591	Syak.g_00610
OG0000026	Praf.g_00037	Syak.g_01757
OG0000028	Praf.g_02333	Syak.g_01522
OG0000029	Praf.g_02647, Praf.g_02091	Syak.g_00169, Syak.g_00178
OG0000030	Praf.g_00160	Syak.g_01684
OG0000030	Praf.g_00159	Syak.g_01685
OG0000031	Praf.g_02400, Praf.g_00101, Praf.g_00113	Syak.g_01630
OG0000032	Praf.g_01851	Syak.g_01092
OG0000032	Praf.g_02346	Syak.g_01707
OG0000033	Praf.g_02707, Praf.g_00098, Praf.g_00117, Praf.g_02457	Syak.g_02101
OG0000034	Praf.g_00783	Syak.g_00950, Syak.g_02133
OG0000035	Praf.g_01794	Syak.g_01040, Syak.g_01041
OG0000037	Praf.g_00240	Syak.g_02188
OG0000038	Praf.g_02660	Syak.g_01938
OG0000038	Praf.g_02662	Syak.g_01936
OG0000039	Praf.g_02541	Syak.g_01918
OG0000041	Praf.g_00426	Syak.g_02354
OG0000042	Praf.g_00164, Praf.g_00920	Syak.g_00843, Syak.g_01681
