Orthogroup	Praf	Praq
OG0000000	Praf.g_00813	Praq.g_00026
OG0000000	Praf.g_00815, Praf.g_00814	Praq.g_00115, Praq.g_00028
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000002	Praf.g_01631	Praq.g_00168
OG0000002	Praf.g_00948	Praq.g_00807
OG0000004	Praf.g_01121	Praq.g_00824
OG0000004	Praf.g_00743	Praq.g_01770
OG0000005	Praf.g_00503	Praq.g_00370
OG0000006	Praf.g_00396, Praf.g_01719	Praq.g_01761
OG0000007	Praf.g_00614	Praq.g_01105
OG0000007	Praf.g_00480	Praq.g_00497
OG0000008	Praf.g_01223	Praq.g_00071
OG0000009	Praf.g_01768, Praf.g_00246	Praq.g_01898
OG0000010	Praf.g_01908	Praq.g_00525
OG0000011	Praf.g_01188, Praf.g_01190	Praq.g_00110
OG0000012	Praf.g_01668	Praq.g_00979
OG0000013	Praf.g_02073	Praq.g_01675
OG0000014	Praf.g_02319	Praq.g_01696
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Praq.g_00065
OG0000017	Praf.g_00752	Praq.g_01004
OG0000018	Praf.g_01832	Praq.g_01314, Praq.g_01425
OG0000019	Praf.g_00943	Praq.g_01753, Praq.g_00649
OG0000020	Praf.g_01095	Praq.g_00041, Praq.g_00080, Praq.g_00547
OG0000021	Praf.g_00946, Praf.g_01089	Praq.g_01179
OG0000022	Praf.g_00201	Praq.g_00635
OG0000022	Praf.g_00965	Praq.g_01296
OG0000024	Praf.g_01139	Praq.g_00618, Praq.g_00804
OG0000025	Praf.g_01591	Praq.g_01432, Praq.g_01671
OG0000026	Praf.g_00037	Praq.g_01234, Praq.g_01633
OG0000028	Praf.g_02333	Praq.g_01682
OG0000029	Praf.g_02647	Praq.g_01168
OG0000029	Praf.g_02091	Praq.g_00627
OG0000030	Praf.g_00160, Praf.g_00159	Praq.g_00772
OG0000031	Praf.g_00101, Praf.g_00113	Praq.g_00209
OG0000032	Praf.g_02346	Praq.g_00202
OG0000033	Praf.g_02457	Praq.g_01833
OG0000034	Praf.g_00783	Praq.g_00143
OG0000035	Praf.g_01794	Praq.g_00294
OG0000037	Praf.g_00240	Praq.g_01894
OG0000038	Praf.g_02660, Praf.g_02662	Praq.g_00716
OG0000039	Praf.g_00406, Praf.g_02541	Praq.g_00815
OG0000041	Praf.g_00426	Praq.g_00451
OG0000042	Praf.g_00164, Praf.g_00920	Praq.g_00770
OG0000045	Praf.g_00322	Praq.g_00567, Praq.g_01172
OG0000047	Praf.g_01898	Praq.g_01137
OG0000047	Praf.g_01864	Praq.g_01672
OG0000048	Praf.g_02267	Praq.g_01169
OG0000053	Praf.g_01828	Praq.g_01246, Praq.g_00314
OG0000054	Praf.g_00763	Praq.g_00996
OG0000055	Praf.g_01257	Praq.g_00650
OG0000057	Praf.g_01125	Praq.g_00827
OG0000061	Praf.g_01859	Praq.g_01333
OG0000062	Praf.g_00501	Praq.g_00372
OG0000063	Praf.g_00041	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000065	Praf.g_00244	Praq.g_01896
OG0000066	Praf.g_00672	Praq.g_01063
OG0000067	Praf.g_01530	Praq.g_00670
OG0000068	Praf.g_00585, Praf.g_00583	Praq.g_00175
OG0000070	Praf.g_01962	Praq.g_01107
OG0000071	Praf.g_00796	Praq.g_00133
OG0000072	Praf.g_02469	Praq.g_01831
OG0000073	Praf.g_00616	Praq.g_01103
OG0000075	Praf.g_02384	Praq.g_00739
OG0000076	Praf.g_00178	Praq.g_01243, Praq.g_00763
OG0000077	Praf.g_00309	Praq.g_01925
OG0000078	Praf.g_00391	Praq.g_01763
OG0000081	Praf.g_01131	Praq.g_01071
OG0000082	Praf.g_00731	Praq.g_01018
OG0000084	Praf.g_01790	Praq.g_00290
OG0000086	Praf.g_00297	Praq.g_01915
OG0000087	Praf.g_02420	Praq.g_01864
OG0000088	Praf.g_02454	Praq.g_01836
OG0000089	Praf.g_02015	Praq.g_01188
OG0000090	Praf.g_00660	Praq.g_01069
OG0000091	Praf.g_01700	Praq.g_00960
OG0000093	Praf.g_01503	Praq.g_01516
OG0000094	Praf.g_02685	Praq.g_01600
OG0000097	Praf.g_00905	Praq.g_01374
