Orthogroup	Praf	Prbn
OG0000000	Praf.g_00813	Prbn.g_01662
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896	Prbn.g_01213, Prbn.g_01923
OG0000002	Praf.g_01631	Prbn.g_01483, Prbn.g_01478
OG0000002	Praf.g_00948	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Praf.g_01121	Prbn.g_01565
OG0000004	Praf.g_00743	Prbn.g_00318
OG0000005	Praf.g_00503	Prbn.g_00899
OG0000006	Praf.g_00396, Praf.g_01719	Prbn.g_00308
OG0000007	Praf.g_00614	Prbn.g_00617
OG0000007	Praf.g_00480	Prbn.g_01745
OG0000008	Praf.g_01223	Prbn.g_01645
OG0000008	Praf.g_01224	Prbn.g_01646
OG0000010	Praf.g_01908	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000012	Praf.g_01668	Prbn.g_00492
OG0000013	Praf.g_02073	Prbn.g_00092
OG0000014	Praf.g_02319	Prbn.g_00074
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prbn.g_01684, Prbn.g_01730
OG0000016	Praf.g_00906	Prbn.g_01131
OG0000017	Praf.g_00760	Prbn.g_00510
OG0000017	Praf.g_00752	Prbn.g_00517
OG0000018	Praf.g_01832	Prbn.g_01167, Prbn.g_01518
OG0000019	Praf.g_00943	Prbn.g_00015, Prbn.g_01165
OG0000020	Praf.g_01095	Prbn.g_00133
OG0000021	Praf.g_00946, Praf.g_01089	Prbn.g_00874
OG0000021	Praf.g_00746	Prbn.g_01560
OG0000022	Praf.g_00201	Prbn.g_00891
OG0000024	Praf.g_01139	Prbn.g_01353, Prbn.g_01589
OG0000025	Praf.g_01591	Prbn.g_01510
OG0000026	Praf.g_00037	Prbn.g_00750
OG0000029	Praf.g_02647	Prbn.g_01836
OG0000029	Praf.g_02091	Prbn.g_00126, Prbn.g_01676
OG0000030	Praf.g_00160, Praf.g_00159	Prbn.g_00985
OG0000031	Praf.g_02400, Praf.g_00101, Praf.g_00113	Prbn.g_00171
OG0000032	Praf.g_01851	Prbn.g_00251
OG0000033	Praf.g_02707, Praf.g_00098, Praf.g_00117	Prbn.g_00178
OG0000033	Praf.g_02457	Prbn.g_01244
OG0000034	Praf.g_00783	Prbn.g_01073
