Orthogroup	Praf	Syaj
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896	Syaj.g_02674
OG0000001	Praf.g_01031	Syaj.g_01949, Syaj.g_01952
OG0000001	Praf.g_02422	Syaj.g_01950
OG0000002	Praf.g_01631, Praf.g_00948	Syaj.g_02667
OG0000004	Praf.g_01121	Syaj.g_00441
OG0000004	Praf.g_00743	Syaj.g_01314, Syaj.g_02853
OG0000005	Praf.g_00503	Syaj.g_01698
OG0000006	Praf.g_00396, Praf.g_01719	Syaj.g_02635
OG0000007	Praf.g_00614	Syaj.g_00091
OG0000007	Praf.g_00480	Syaj.g_01721
OG0000008	Praf.g_01223	Syaj.g_00496
OG0000008	Praf.g_01224	Syaj.g_00497
OG0000009	Praf.g_01768, Praf.g_00246	Syaj.g_01885
OG0000010	Praf.g_01908	Syaj.g_01445
OG0000011	Praf.g_01188, Praf.g_01190	Syaj.g_01133
OG0000012	Praf.g_01668	Syaj.g_01306
OG0000013	Praf.g_02073	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Praf.g_02319	Syaj.g_02522
OG0000014	Praf.g_00112	Syaj.g_02344
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syaj.g_00725, Syaj.g_02659
OG0000016	Praf.g_00014	Syaj.g_02276
OG0000016	Praf.g_00906	Syaj.g_00590
OG0000017	Praf.g_00760	Syaj.g_00255
OG0000017	Praf.g_00752	Syaj.g_00248
OG0000018	Praf.g_01832	Syaj.g_01413
OG0000019	Praf.g_00943	Syaj.g_02613
OG0000021	Praf.g_00946, Praf.g_01089	Syaj.g_00982
OG0000021	Praf.g_00746	Syaj.g_00042
OG0000022	Praf.g_00201, Praf.g_00965	Syaj.g_01220
OG0000024	Praf.g_01139	Syaj.g_00500
OG0000025	Praf.g_01591	Syaj.g_00383
OG0000026	Praf.g_00037	Syaj.g_02298
OG0000028	Praf.g_02333	Syaj.g_02506
OG0000029	Praf.g_02647, Praf.g_02091	Syaj.g_01229
OG0000030	Praf.g_00160	Syaj.g_02396
OG0000030	Praf.g_00159	Syaj.g_02395
OG0000032	Praf.g_01851	Syaj.g_01432
OG0000033	Praf.g_02457	Syaj.g_01990
OG0000034	Praf.g_00783	Syaj.g_01959
OG0000035	Praf.g_01794	Syaj.g_01378
OG0000037	Praf.g_00240	Syaj.g_01891, Syaj.g_02902
OG0000038	Praf.g_02660	Syaj.g_02115
OG0000039	Praf.g_02541	Syaj.g_00275
OG0000041	Praf.g_00426	Syaj.g_01602
OG0000042	Praf.g_00164, Praf.g_00920	Syaj.g_02399
OG0000045	Praf.g_00322	Syaj.g_00132
OG0000046	Praf.g_02072	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781
OG0000047	Praf.g_01898, Praf.g_01864	Syaj.g_02799
OG0000048	Praf.g_02267	Syaj.g_02578
OG0000050	Praf.g_01105	Syaj.g_01584
OG0000051	Praf.g_01022	Syaj.g_02898
OG0000052	Praf.g_02366	Syaj.g_02476
OG0000053	Praf.g_01828	Syaj.g_01409
OG0000054	Praf.g_00763	Syaj.g_01341
OG0000055	Praf.g_01257	Syaj.g_00394
OG0000056	Praf.g_01648	Syaj.g_00985, Syaj.g_02864
OG0000056	Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620	Syaj.g_01794
