Orthogroup	Praf	Syal
OG0000000	Praf.g_00813, Praf.g_01039, Praf.g_01042, Praf.g_00815, Praf.g_00814	Syal.g_01111, Syal.g_01832
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896	Syal.g_02193
OG0000001	Praf.g_01031	Syal.g_02215
OG0000001	Praf.g_02422	Syal.g_00874, Syal.g_01184
OG0000003	Praf.g_02463	Syal.g_01214
OG0000003	Praf.g_02523	Syal.g_02153
OG0000004	Praf.g_01121	Syal.g_01809
OG0000004	Praf.g_00743	Syal.g_02718, Syal.g_00691
OG0000005	Praf.g_00503	Syal.g_00565
OG0000006	Praf.g_00396, Praf.g_01719	Syal.g_00674
OG0000007	Praf.g_00614	Syal.g_02918
OG0000007	Praf.g_00480	Syal.g_00587
OG0000008	Praf.g_01223	Syal.g_02512
OG0000008	Praf.g_01224	Syal.g_01783
OG0000009	Praf.g_01768, Praf.g_00246	Syal.g_00818
OG0000010	Praf.g_01908	Syal.g_00464
OG0000013	Praf.g_02073	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Praf.g_02319	Syal.g_01305
OG0000016	Praf.g_00014	Syal.g_00111
OG0000016	Praf.g_00906	Syal.g_01734
OG0000017	Praf.g_00760	Syal.g_02745
OG0000017	Praf.g_00752	Syal.g_02752
OG0000018	Praf.g_01832	Syal.g_00410
OG0000019	Praf.g_00943	Syal.g_01209
OG0000022	Praf.g_00201, Praf.g_00965	Syal.g_02587
OG0000024	Praf.g_01139	Syal.g_02597
OG0000025	Praf.g_01591	Syal.g_02459
OG0000026	Praf.g_00037	Syal.g_00132
OG0000028	Praf.g_02333	Syal.g_01319
OG0000029	Praf.g_02647, Praf.g_02091	Syal.g_03014
OG0000030	Praf.g_00160	Syal.g_01511
OG0000030	Praf.g_00159	Syal.g_01512
OG0000032	Praf.g_01851	Syal.g_00428
OG0000032	Praf.g_02346	Syal.g_00183
OG0000033	Praf.g_02457	Syal.g_00912
OG0000034	Praf.g_00783	Syal.g_00881, Syal.g_01586
OG0000035	Praf.g_01794	Syal.g_00020, Syal.g_00370
OG0000037	Praf.g_00240	Syal.g_00824
OG0000038	Praf.g_02660	Syal.g_01071
OG0000038	Praf.g_02662	Syal.g_01073
OG0000039	Praf.g_02541	Syal.g_01097
OG0000041	Praf.g_00426	Syal.g_00649
OG0000042	Praf.g_00164, Praf.g_00920	Syal.g_01705, Syal.g_01508
