Orthogroup	Praf	Prag
OG0000000	Praf.g_00813	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Praf.g_01039, Praf.g_01042	Prag.g_01626
OG0000000	Praf.g_00815, Praf.g_00814	Prag.g_01333, Prag.g_01649, Prag.g_01610
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000002	Praf.g_01631	Prag.g_01382
OG0000002	Praf.g_00948	Prag.g_00656
OG0000004	Praf.g_01121	Prag.g_00673
OG0000004	Praf.g_00743	Prag.g_00225
OG0000005	Praf.g_00503	Prag.g_01566
OG0000006	Praf.g_00396, Praf.g_01719	Prag.g_00234, Prag.g_01231
OG0000007	Praf.g_00614	Prag.g_00476
OG0000007	Praf.g_00480	Prag.g_01669
OG0000008	Praf.g_01223	Prag.g_01655
OG0000008	Praf.g_01224	Prag.g_01656
OG0000009	Praf.g_01768, Praf.g_00246	Prag.g_00098
OG0000010	Praf.g_01908	Prag.g_00453
OG0000011	Praf.g_01188, Praf.g_01190	Prag.g_01326
OG0000012	Praf.g_01668	Prag.g_00601
OG0000013	Praf.g_02073	Prag.g_00318
OG0000014	Praf.g_02319	Prag.g_00297
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prag.g_00765
OG0000016	Praf.g_00014	Prag.g_00013
OG0000017	Praf.g_00752	Prag.g_00576
OG0000018	Praf.g_01832	Prag.g_01134, Prag.g_00833
OG0000019	Praf.g_00943	Prag.g_00242, Prag.g_00786
OG0000020	Praf.g_01095	Prag.g_01637
OG0000021	Praf.g_00946, Praf.g_01089	Prag.g_01633, Prag.g_00359
OG0000022	Praf.g_00201	Prag.g_00757
OG0000022	Praf.g_00965	Prag.g_01116
OG0000024	Praf.g_01139	Prag.g_00740, Prag.g_00653
OG0000025	Praf.g_01591	Prag.g_00839, Prag.g_00322
OG0000026	Praf.g_00037	Prag.g_00031, Prag.g_01050
OG0000028	Praf.g_02333	Prag.g_00311
OG0000029	Praf.g_02091	Prag.g_00748
OG0000030	Praf.g_00160, Praf.g_00159	Prag.g_01871
OG0000031	Praf.g_00101	Prag.g_01446
OG0000032	Praf.g_02346	Prag.g_01416
OG0000033	Praf.g_02457	Prag.g_00162
OG0000034	Praf.g_00783	Prag.g_01365
OG0000035	Praf.g_01794	Prag.g_01490, Prag.g_01488
OG0000037	Praf.g_00240	Prag.g_00102
OG0000038	Praf.g_02660, Praf.g_02662	Prag.g_01911
OG0000039	Praf.g_00406, Praf.g_02541	Prag.g_00664
OG0000041	Praf.g_00426	Prag.g_01716
OG0000042	Praf.g_00164, Praf.g_00920	Prag.g_01868
OG0000045	Praf.g_00322	Prag.g_00365
OG0000047	Praf.g_01864	Prag.g_00321
OG0000048	Praf.g_02267	Prag.g_01658, Prag.g_00368
OG0000051	Praf.g_01022	Prag.g_01329, Prag.g_01645
OG0000052	Praf.g_02366	Prag.g_01444
OG0000053	Praf.g_01828	Prag.g_01510
OG0000054	Praf.g_00763	Prag.g_00584
OG0000055	Praf.g_01257	Prag.g_00787
OG0000057	Praf.g_01125	Prag.g_00676
OG0000061	Praf.g_01859	Prag.g_01153
OG0000062	Praf.g_00501	Prag.g_01568
OG0000063	Praf.g_00041	Prag.g_00033
OG0000065	Praf.g_00244	Prag.g_00100
OG0000066	Praf.g_00672	Prag.g_00518
OG0000067	Praf.g_01530	Prag.g_00806
OG0000068	Praf.g_00585, Praf.g_00583	Prag.g_01389
OG0000070	Praf.g_01962	Prag.g_00429
OG0000071	Praf.g_00796	Prag.g_01355
OG0000072	Praf.g_02469	Prag.g_00164
OG0000073	Praf.g_00616	Prag.g_00478
OG0000075	Praf.g_02384	Prag.g_01836
OG0000076	Praf.g_00178	Prag.g_01861
OG0000077	Praf.g_00309	Prag.g_00072
OG0000078	Praf.g_00391	Prag.g_00232
OG0000081	Praf.g_01131	Prag.g_00510
OG0000082	Praf.g_00731	Prag.g_00563
OG0000084	Praf.g_01790	Prag.g_01484
OG0000085	Praf.g_00491	Prag.g_01662
OG0000086	Praf.g_00297	Prag.g_00082
OG0000087	Praf.g_02420	Prag.g_00132
OG0000088	Praf.g_02454	Prag.g_00159
OG0000089	Praf.g_02015	Prag.g_00350
OG0000090	Praf.g_00660	Prag.g_00512
OG0000091	Praf.g_01700	Prag.g_00620
OG0000093	Praf.g_01503	Prag.g_00932
OG0000094	Praf.g_02685	Prag.g_01017
OG0000097	Praf.g_00905	Prag.g_01194
OG0000098	Praf.g_01886	Prag.g_01371
OG0000099	Praf.g_02342	Prag.g_01424
OG0000100	Praf.g_00370, Praf.g_01561	Prag.g_01564
OG0000101	Praf.g_02119	Prag.g_01804
OG0000102	Praf.g_00173	Prag.g_01866
OG0000103	Praf.g_02765	Prag.g_01945
OG0000104	Praf.g_02779	Prag.g_01953
OG0000105	Praf.g_02271	Prag.g_00265
OG0000106	Praf.g_00496	Prag.g_00364
OG0000108	Praf.g_00595	Prag.g_00459
OG0000109	Praf.g_00611	Prag.g_00473
OG0000110	Praf.g_00718	Prag.g_00553
OG0000111	Praf.g_01126	Prag.g_00677
OG0000112	Praf.g_01400	Prag.g_00771
OG0000113	Praf.g_01556	Prag.g_00828
OG0000114	Praf.g_01461	Prag.g_00906
OG0000115	Praf.g_01825	Prag.g_01097
OG0000116	Praf.g_00825	Prag.g_01143
OG0000117	Praf.g_00919	Prag.g_01298
OG0000118	Praf.g_00779	Prag.g_01367
OG0000119	Praf.g_01108, Praf.g_01143	Prag.g_01385
OG0000120	Praf.g_02343	Prag.g_01423
OG0000121	Praf.g_01796	Prag.g_01492
OG0000122	Praf.g_00976	Prag.g_01530
OG0000123	Praf.g_02108	Prag.g_01811
OG0000124	Praf.g_00153	Prag.g_01877
OG0000125	Praf.g_02664	Prag.g_01913
OG0000126	Praf.g_02777	Prag.g_01952
OG0000128	Praf.g_00012	Prag.g_00011
OG0000129	Praf.g_02652	Prag.g_00044
OG0000130	Praf.g_00321	Prag.g_00063
OG0000131	Praf.g_02432	Prag.g_00138
OG0000132	Praf.g_02452	Prag.g_00157
OG0000133	Praf.g_02336	Prag.g_00313
OG0000134	Praf.g_02012	Prag.g_00351
OG0000135	Praf.g_02705	Prag.g_00375
OG0000136	Praf.g_01984	Prag.g_00420
OG0000137	Praf.g_01907	Prag.g_00454
OG0000138	Praf.g_00612	Prag.g_00474
OG0000139	Praf.g_00666	Prag.g_00516
OG0000140	Praf.g_00670	Prag.g_00517
OG0000141	Praf.g_00764	Prag.g_00585
OG0000142	Praf.g_01692	Prag.g_00613
OG0000143	Praf.g_01696	Prag.g_00617
OG0000144	Praf.g_01721	Prag.g_00630
OG0000145	Praf.g_00617	Prag.g_00758
OG0000146	Praf.g_01401	Prag.g_00772
OG0000147	Praf.g_01402	Prag.g_00773
OG0000148	Praf.g_01548	Prag.g_00822
OG0000149	Praf.g_01604	Prag.g_00851
OG0000150	Praf.g_01625	Prag.g_00859
OG0000151	Praf.g_01478	Prag.g_00916
OG0000152	Praf.g_01392	Prag.g_00964
OG0000153	Praf.g_01362	Prag.g_00983
OG0000154	Praf.g_01337	Prag.g_01010
OG0000155	Praf.g_00886	Prag.g_01173
OG0000156	Praf.g_00810	Prag.g_01342
OG0000157	Praf.g_00809	Prag.g_01343
OG0000158	Praf.g_02394	Prag.g_01425
OG0000160	Praf.g_01795	Prag.g_01491
OG0000161	Praf.g_01805	Prag.g_01497
OG0000162	Praf.g_01817	Prag.g_01503
OG0000163	Praf.g_00538	Prag.g_01537
OG0000164	Praf.g_00453	Prag.g_01693
OG0000165	Praf.g_00444	Prag.g_01700
OG0000166	Praf.g_02157	Prag.g_01768
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Prag.g_01834
OG0000168	Praf.g_02395	Prag.g_01844
OG0000169	Praf.g_00191	Prag.g_01854
OG0000170	Praf.g_00183	Prag.g_01856
OG0000171	Praf.g_00154	Prag.g_01876
OG0000172	Praf.g_00087	Prag.g_01884
OG0000173	Praf.g_00062	Prag.g_01899
OG0000174	Praf.g_02717	Prag.g_01927
OG0000175	Praf.g_02754	Prag.g_01937
OG0000176	Praf.g_00004	Prag.g_00004
OG0000177	Praf.g_00005	Prag.g_00005
OG0000178	Praf.g_00006	Prag.g_00006
OG0000179	Praf.g_00021	Prag.g_00016
OG0000180	Praf.g_00022	Prag.g_00017
OG0000181	Praf.g_00023	Prag.g_00018
OG0000182	Praf.g_00024	Prag.g_00019
OG0000183	Praf.g_00028	Prag.g_00023
OG0000184	Praf.g_02611	Prag.g_00046
OG0000185	Praf.g_02602	Prag.g_00049
OG0000186	Praf.g_00328	Prag.g_00058
OG0000187	Praf.g_00326	Prag.g_00059
OG0000188	Praf.g_00303	Prag.g_00076
OG0000189	Praf.g_00257	Prag.g_00089
OG0000190	Praf.g_00255	Prag.g_00090
OG0000191	Praf.g_00218	Prag.g_00110
OG0000192	Praf.g_00212	Prag.g_00114
OG0000193	Praf.g_02433	Prag.g_00139
OG0000194	Praf.g_02436	Prag.g_00142
OG0000195	Praf.g_02438	Prag.g_00144
OG0000196	Praf.g_02449	Prag.g_00154
OG0000197	Praf.g_02450	Prag.g_00155
OG0000198	Praf.g_02451	Prag.g_00156
