Orthogroup	Pran	Prak
OG0000000	Pran.g_01500	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494
OG0000002	Pran.g_01395	Prak.g_00755
OG0000003	Pran.g_00894	Prak.g_01210
OG0000004	Pran.g_00576, Pran.g_01436, Pran.g_00895	Prak.g_01251
OG0000005	Pran.g_01423	Prak.g_01562
OG0000006	Pran.g_01681	Prak.g_00458
OG0000006	Pran.g_00970	Prak.g_01645
OG0000009	Pran.g_01363	Prak.g_01196
OG0000009	Pran.g_01943	Prak.g_00266
OG0000010	Pran.g_00603, Pran.g_00114	Prak.g_00702
OG0000012	Pran.g_01580	Prak.g_00566
OG0000013	Pran.g_01394	Prak.g_01584, Prak.g_01630
OG0000014	Pran.g_00583	Prak.g_01521, Prak.g_01564
OG0000015	Pran.g_01813	Prak.g_01573, Prak.g_01606
OG0000016	Pran.g_00845	Prak.g_01226, Prak.g_01488
OG0000017	Pran.g_00713	Prak.g_01412, Prak.g_01590
OG0000018	Pran.g_01951	Prak.g_00258
OG0000019	Pran.g_01829	Prak.g_00831
OG0000020	Pran.g_01772, Pran.g_01820	Prak.g_01264, Prak.g_00289
OG0000021	Pran.g_01361	Prak.g_01627
OG0000023	Pran.g_00615	Prak.g_01486
OG0000024	Pran.g_01888	Prak.g_00325
OG0000025	Pran.g_00936, Pran.g_01789	Prak.g_00741
OG0000028	Pran.g_00733	Prak.g_01391
OG0000029	Pran.g_00614	Prak.g_00416
OG0000032	Pran.g_00753	Prak.g_01350
OG0000033	Pran.g_00620	Prak.g_01230
OG0000034	Pran.g_00777	Prak.g_01369
OG0000035	Pran.g_00415	Prak.g_00709
OG0000036	Pran.g_01593	Prak.g_01634, Prak.g_00546
OG0000037	Pran.g_01555	Prak.g_01506, Prak.g_00584
OG0000038	Pran.g_01401	Prak.g_01482
OG0000039	Pran.g_00266	Prak.g_00178
OG0000040	Pran.g_01834	Prak.g_00721
OG0000041	Pran.g_01778	Prak.g_01609, Prak.g_01603
OG0000042	Pran.g_01460	Prak.g_00837
OG0000043	Pran.g_01358	Prak.g_00937
OG0000044	Pran.g_00060	Prak.g_01172
OG0000045	Pran.g_00807	Prak.g_01351
OG0000046	Pran.g_00963	Prak.g_01637, Prak.g_01516
OG0000047	Pran.g_01160	Prak.g_01842
OG0000048	Pran.g_01167	Prak.g_01850
OG0000050	Pran.g_00930	Prak.g_00032
OG0000051	Pran.g_00275	Prak.g_00169
OG0000052	Pran.g_01824	Prak.g_00687
OG0000053	Pran.g_01639	Prak.g_00498, Prak.g_01557
OG0000054	Pran.g_01408, Pran.g_01379	Prak.g_00601
OG0000055	Pran.g_01321	Prak.g_00868
OG0000056	Pran.g_00935	Prak.g_01228
OG0000057	Pran.g_00195	Prak.g_00253
OG0000058	Pran.g_01703	Prak.g_00436
OG0000059	Pran.g_01480	Prak.g_00829
OG0000062	Pran.g_00093	Prak.g_01550
OG0000063	Pran.g_01466	Prak.g_01145
OG0000065	Pran.g_00938, Pran.g_00876	Prak.g_01277
OG0000066	Pran.g_00752	Prak.g_01349
OG0000068	Pran.g_01105	Prak.g_01780
OG0000071	Pran.g_01268	Prak.g_00011
OG0000072	Pran.g_01872	Prak.g_00339
OG0000073	Pran.g_01509	Prak.g_01072
OG0000074	Pran.g_01487	Prak.g_00819
OG0000075	Pran.g_01336	Prak.g_00852
OG0000076	Pran.g_00568, Pran.g_00903	Prak.g_00920
OG0000078	Pran.g_00806	Prak.g_01352
OG0000079	Pran.g_00655	Prak.g_01476
OG0000080	Pran.g_00575, Pran.g_00912	Prak.g_00661
OG0000081	Pran.g_01135	Prak.g_01814
OG0000083	Pran.g_01260	Prak.g_00003
OG0000084	Pran.g_01263	Prak.g_00006
OG0000085	Pran.g_00401	Prak.g_00023
OG0000087	Pran.g_00376	Prak.g_00052
OG0000088	Pran.g_00320	Prak.g_00121
OG0000089	Pran.g_00312	Prak.g_00130
OG0000090	Pran.g_00295	Prak.g_00147
OG0000091	Pran.g_00263	Prak.g_00181
OG0000092	Pran.g_00262	Prak.g_00182
OG0000093	Pran.g_00248	Prak.g_00196
OG0000094	Pran.g_00230	Prak.g_00215
OG0000095	Pran.g_00225	Prak.g_00220
OG0000096	Pran.g_01941	Prak.g_00268
OG0000097	Pran.g_01920	Prak.g_00292
OG0000099	Pran.g_01900	Prak.g_00313
OG0000100	Pran.g_01897	Prak.g_00316
OG0000101	Pran.g_01838	Prak.g_00381
OG0000102	Pran.g_01812	Prak.g_01259
OG0000103	Pran.g_01702	Prak.g_00437
