Orthogroup	Pran	Pray
OG0000000	Pran.g_01500	Pray.g_01085
OG0000001	Pran.g_00001	Pray.g_00003
OG0000001	Pran.g_00001	Pray.g_01604
OG0000001	Pran.g_00602	Pray.g_00003
OG0000001	Pran.g_00602	Pray.g_01604
OG0000003	Pran.g_00894	Pray.g_01890
OG0000004	Pran.g_00576	Pray.g_00277
OG0000004	Pran.g_01436	Pray.g_00284
OG0000004	Pran.g_00895	Pray.g_01891
OG0000005	Pran.g_01423	Pray.g_01576
OG0000005	Pran.g_00601	Pray.g_01603
OG0000006	Pran.g_01681	Pray.g_00988, Pray.g_00987
OG0000006	Pran.g_00970	Pray.g_01559
OG0000007	Pran.g_01506	Pray.g_01091
OG0000008	Pran.g_01811	Pray.g_00862
OG0000008	Pran.g_00586	Pray.g_00265
OG0000008	Pran.g_00526	Pray.g_00885
OG0000009	Pran.g_01363	Pray.g_00328
OG0000009	Pran.g_01943	Pray.g_00730
OG0000010	Pran.g_00114	Pray.g_00117
OG0000011	Pran.g_01864	Pray.g_00808
OG0000012	Pran.g_01580	Pray.g_01165
OG0000013	Pran.g_01394	Pray.g_00309
OG0000015	Pran.g_01813	Pray.g_00860
OG0000016	Pran.g_00845	Pray.g_01833
OG0000017	Pran.g_00713	Pray.g_01702
OG0000018	Pran.g_01951	Pray.g_00722
OG0000019	Pran.g_01829	Pray.g_00842, Pray.g_01578
OG0000021	Pran.g_01361	Pray.g_00330
OG0000022	Pran.g_00582	Pray.g_01888
OG0000023	Pran.g_00615	Pray.g_01920
OG0000024	Pran.g_01888	Pray.g_00784
OG0000025	Pran.g_00936, Pran.g_01789	Pray.g_00883
OG0000026	Pran.g_00391	Pray.g_01495
OG0000027	Pran.g_01464	Pray.g_00280, Pray.g_01635
OG0000028	Pran.g_00733	Pray.g_01722
OG0000029	Pran.g_00614	Pray.g_01609
OG0000030	Pran.g_01952	Pray.g_00245, Pray.g_01501
OG0000031	Pran.g_00898	Pray.g_01894
OG0000032	Pran.g_00753	Pray.g_01806
OG0000033	Pran.g_00620	Pray.g_01475
OG0000034	Pran.g_00777	Pray.g_01793
OG0000035	Pran.g_00415	Pray.g_00438
OG0000035	Pran.g_00145	Pray.g_00622
OG0000036	Pran.g_01593	Pray.g_01177
OG0000037	Pran.g_01555	Pray.g_01140
OG0000038	Pran.g_01401	Pray.g_00304
OG0000039	Pran.g_00266	Pray.g_00647
OG0000040	Pran.g_01834	Pray.g_00838
OG0000042	Pran.g_01460	Pray.g_01040
OG0000043	Pran.g_01358	Pray.g_00333
OG0000045	Pran.g_00807	Pray.g_01786
OG0000046	Pran.g_00963	Pray.g_01566
OG0000047	Pran.g_01160	Pray.g_01364
OG0000048	Pran.g_01167	Pray.g_01371
