Orthogroup	Pran	Prav
OG0000000	Pran.g_01500	Prav.g_01276
OG0000001	Pran.g_00001	Prav.g_01694
OG0000001	Pran.g_00001	Prav.g_01821
OG0000001	Pran.g_00602	Prav.g_01694
OG0000001	Pran.g_00602	Prav.g_01821
OG0000001	Pran.g_00593	Prav.g_01715, Prav.g_01730
OG0000001	Pran.g_00579	Prav.g_01738
OG0000002	Pran.g_01395	Prav.g_00962
OG0000003	Pran.g_00894	Prav.g_01019, Prav.g_01413
OG0000004	Pran.g_00576	Prav.g_00330
OG0000004	Pran.g_01436	Prav.g_00338
OG0000005	Pran.g_01423	Prav.g_00973
OG0000005	Pran.g_00601	Prav.g_01695
OG0000006	Pran.g_01681	Prav.g_01095
OG0000006	Pran.g_00970	Prav.g_01761
OG0000007	Pran.g_01506	Prav.g_01270
OG0000008	Pran.g_01811	Prav.g_01000
OG0000008	Pran.g_00526	Prav.g_01016
OG0000009	Pran.g_01363	Prav.g_00375
OG0000009	Pran.g_01943	Prav.g_01896
OG0000010	Pran.g_00603	Prav.g_01732
OG0000011	Pran.g_01864	Prav.g_01976
OG0000012	Pran.g_01580	Prav.g_01194
OG0000013	Pran.g_01394	Prav.g_00961
OG0000014	Pran.g_00583	Prav.g_01416
OG0000015	Pran.g_01813	Prav.g_00998
OG0000016	Pran.g_00845	Prav.g_01469
OG0000017	Pran.g_00713	Prav.g_01598
OG0000018	Pran.g_01951	Prav.g_02001
OG0000019	Pran.g_01829	Prav.g_00984
OG0000020	Pran.g_01772, Pran.g_01820	Prav.g_00993
OG0000021	Pran.g_01361	Prav.g_00377
OG0000022	Pran.g_00582	Prav.g_01736
OG0000023	Pran.g_00615	Prav.g_01688
OG0000024	Pran.g_01888	Prav.g_01952
OG0000025	Pran.g_00936, Pran.g_01789	Prav.g_01013
OG0000026	Pran.g_00391	Prav.g_00101
OG0000027	Pran.g_01464	Prav.g_00333, Prav.g_01309
OG0000028	Pran.g_00733	Prav.g_01578
OG0000029	Pran.g_00614	Prav.g_01689, Prav.g_01881
OG0000031	Pran.g_00898	Prav.g_01410
OG0000033	Pran.g_00620	Prav.g_01385
OG0000034	Pran.g_00777	Prav.g_01533
OG0000035	Pran.g_00415	Prav.g_01877
OG0000035	Pran.g_00145	Prav.g_00251
OG0000036	Pran.g_01593	Prav.g_01182
OG0000037	Pran.g_01555	Prav.g_01221
OG0000038	Pran.g_01401	Prav.g_00360
OG0000039	Pran.g_00266	Prav.g_00872
OG0000040	Pran.g_01834	Prav.g_00979
OG0000042	Pran.g_01460	Prav.g_00306
OG0000043	Pran.g_01358	Prav.g_00381
OG0000044	Pran.g_00060	Prav.g_00065
OG0000045	Pran.g_00807	Prav.g_01512
OG0000046	Pran.g_00963	Prav.g_01754
OG0000047	Pran.g_01160	Prav.g_00689
