Orthogroup	Pran	Prab
OG0000000	Pran.g_01500	Prab.g_00683
OG0000001	Pran.g_00001	Prab.g_01278
OG0000001	Pran.g_00602	Prab.g_01278
OG0000001	Pran.g_00001	Prab.g_01597
OG0000001	Pran.g_00602	Prab.g_01597
OG0000001	Pran.g_00593	Prab.g_01606
OG0000001	Pran.g_00579	Prab.g_00918
OG0000001	Pran.g_00579	Prab.g_01620
OG0000002	Pran.g_01395	Prab.g_00788
OG0000003	Pran.g_00580	Prab.g_00917
OG0000003	Pran.g_00580	Prab.g_01619
OG0000003	Pran.g_00894	Prab.g_01308
OG0000004	Pran.g_00576	Prab.g_00921
OG0000004	Pran.g_01436	Prab.g_00747
OG0000004	Pran.g_00895	Prab.g_01307
OG0000005	Pran.g_00931	Prab.g_01630
OG0000005	Pran.g_01423	Prab.g_00760
OG0000005	Pran.g_00601	Prab.g_01598
OG0000006	Pran.g_01681	Prab.g_00501
OG0000006	Pran.g_00970	Prab.g_01669
OG0000007	Pran.g_01506	Prab.g_00677
OG0000008	Pran.g_01811	Prab.g_00372
OG0000008	Pran.g_00586	Prab.g_01613
OG0000008	Pran.g_00526	Prab.g_00971
OG0000009	Pran.g_01363	Prab.g_00820
OG0000009	Pran.g_01943	Prab.g_00239
OG0000010	Pran.g_00603	Prab.g_01596
OG0000010	Pran.g_00114	Prab.g_01165
OG0000011	Pran.g_01864	Prab.g_00318
OG0000012	Pran.g_01580	Prab.g_00602
OG0000013	Pran.g_01394	Prab.g_00789
OG0000014	Pran.g_00583	Prab.g_00914
OG0000014	Pran.g_00583	Prab.g_01616
OG0000015	Pran.g_01813	Prab.g_00370
OG0000016	Pran.g_00845	Prab.g_01356
OG0000017	Pran.g_00713	Prab.g_01486
OG0000018	Pran.g_01951	Prab.g_00231
OG0000019	Pran.g_01829	Prab.g_00354
OG0000020	Pran.g_01772	Prab.g_00411
OG0000020	Pran.g_01820	Prab.g_00363
OG0000021	Pran.g_01361	Prab.g_00822
OG0000022	Pran.g_00582	Prab.g_00915
OG0000022	Pran.g_00582	Prab.g_01617
OG0000023	Pran.g_00615	Prab.g_01584
OG0000024	Pran.g_01888	Prab.g_00294
OG0000025	Pran.g_00149	Prab.g_01130
OG0000025	Pran.g_00936	Prab.g_01635
OG0000025	Pran.g_01789	Prab.g_00394
OG0000026	Pran.g_00391	Prab.g_00033
OG0000027	Pran.g_01464	Prab.g_00719
OG0000028	Pran.g_00733	Prab.g_01466
OG0000029	Pran.g_00614	Prab.g_01585
OG0000030	Pran.g_01952	Prab.g_01280
OG0000031	Pran.g_00898	Prab.g_01304
OG0000031	Pran.g_00944	Prab.g_01643
OG0000032	Pran.g_00753	Prab.g_01446
OG0000033	Pran.g_00620	Prab.g_01579
OG0000034	Pran.g_00777	Prab.g_01423
OG0000035	Pran.g_00415	Prab.g_01082
