Orthogroup	Pran	Prao
OG0000000	Pran.g_01500	Prao.g_00116
OG0000001	Pran.g_00001	Prao.g_01029
OG0000001	Pran.g_00602	Prao.g_01029
OG0000001	Pran.g_00593	Prao.g_01528, Prao.g_01297
OG0000001	Pran.g_00579	Prao.g_01514
OG0000002	Pran.g_01395	Prao.g_01852
OG0000003	Pran.g_00894	Prao.g_01296
OG0000004	Pran.g_00576	Prao.g_00673
OG0000004	Pran.g_01436	Prao.g_00679
OG0000004	Pran.g_00895	Prao.g_01301
OG0000005	Pran.g_00601	Prao.g_01515
OG0000006	Pran.g_01681	Prao.g_00603
OG0000006	Pran.g_00970	Prao.g_01552
OG0000007	Pran.g_01506	Prao.g_00111
OG0000008	Pran.g_01811	Prao.g_00517
OG0000008	Pran.g_00526	Prao.g_01333
OG0000009	Pran.g_01363	Prao.g_00720
OG0000009	Pran.g_01943	Prao.g_00387
OG0000010	Pran.g_00114	Prao.g_01142
OG0000011	Pran.g_01864	Prao.g_00466
OG0000012	Pran.g_01580	Prao.g_00036
OG0000015	Pran.g_01813	Prao.g_00515
OG0000016	Pran.g_00845	Prao.g_01243
OG0000017	Pran.g_00713	Prao.g_01417
OG0000018	Pran.g_01951	Prao.g_00379
OG0000019	Pran.g_01829	Prao.g_00500, Prao.g_01346
OG0000021	Pran.g_01361	Prao.g_00722
OG0000022	Pran.g_00582	Prao.g_01294
OG0000023	Pran.g_00615	Prao.g_01507, Prao.g_01342
OG0000024	Pran.g_01888	Prao.g_01213
OG0000025	Pran.g_00149, Pran.g_00936, Pran.g_01789	Prao.g_01012
OG0000026	Pran.g_00391	Prao.g_00179
OG0000027	Pran.g_01464	Prao.g_00675, Prao.g_01483
OG0000028	Pran.g_00733	Prao.g_01397
OG0000029	Pran.g_00614	Prao.g_01508
OG0000030	Pran.g_01952	Prao.g_00015
OG0000031	Pran.g_00898	Prao.g_01304
OG0000032	Pran.g_00753	Prao.g_01364, Prao.g_01355
OG0000033	Pran.g_00620	Prao.g_00160
OG0000034	Pran.g_00777	Prao.g_01358
OG0000035	Pran.g_00415	Prao.g_00831
