Orthogroup	Pran	Prag
OG0000000	Pran.g_01500	Prag.g_00656
OG0000001	Pran.g_00001	Prag.g_01213
OG0000001	Pran.g_00602	Prag.g_01213
OG0000001	Pran.g_00001	Prag.g_01607
OG0000001	Pran.g_00602	Prag.g_01607
OG0000001	Pran.g_00001	Prag.g_01650
OG0000001	Pran.g_00602	Prag.g_01650
OG0000001	Pran.g_00593	Prag.g_01626
OG0000001	Pran.g_00579	Prag.g_00722
OG0000002	Pran.g_01395	Prag.g_00764
OG0000003	Pran.g_00894	Prag.g_01333
OG0000004	Pran.g_00576	Prag.g_00726
OG0000004	Pran.g_01436	Prag.g_00734
OG0000004	Pran.g_00895	Prag.g_01332
OG0000005	Pran.g_00931	Prag.g_01648
OG0000005	Pran.g_01423	Prag.g_01230, Prag.g_01348, Prag.g_00721
OG0000005	Pran.g_00601	Prag.g_01608
OG0000006	Pran.g_01681	Prag.g_00476
OG0000006	Pran.g_00970	Prag.g_01669
OG0000007	Pran.g_01506	Prag.g_00650
OG0000008	Pran.g_01811	Prag.g_00376
OG0000008	Pran.g_00586	Prag.g_01264
OG0000008	Pran.g_00526	Prag.g_01300
OG0000009	Pran.g_01363	Prag.g_00786
OG0000009	Pran.g_01943	Prag.g_00242
OG0000010	Pran.g_00603	Prag.g_01636
OG0000010	Pran.g_00114	Prag.g_01103
OG0000011	Pran.g_01864	Prag.g_00321
OG0000012	Pran.g_01580	Prag.g_00576
OG0000013	Pran.g_01394	Prag.g_00765
OG0000014	Pran.g_00583	Prag.g_01646
OG0000015	Pran.g_01813	Prag.g_00374
OG0000016	Pran.g_00845	Prag.g_01385
OG0000017	Pran.g_00713	Prag.g_01510
OG0000018	Pran.g_01951	Prag.g_00234, Prag.g_01231
OG0000019	Pran.g_01829	Prag.g_00359, Prag.g_01633
OG0000020	Pran.g_01772	Prag.g_01658
OG0000021	Pran.g_01361	Prag.g_00788
OG0000022	Pran.g_00582	Prag.g_01647
OG0000023	Pran.g_00615	Prag.g_01600
OG0000024	Pran.g_01888	Prag.g_00297
OG0000025	Pran.g_00149, Pran.g_00936, Pran.g_01789	Prag.g_01071
OG0000026	Pran.g_00391	Prag.g_00033
OG0000027	Pran.g_01464	Prag.g_00730
OG0000028	Pran.g_00733	Prag.g_01488
OG0000029	Pran.g_00614	Prag.g_01601
OG0000030	Pran.g_01952	Prag.g_00038
OG0000031	Pran.g_00898	Prag.g_01329
OG0000031	Pran.g_00944	Prag.g_01645
OG0000032	Pran.g_00753	Prag.g_01446
OG0000033	Pran.g_00620	Prag.g_01638
OG0000034	Pran.g_00777	Prag.g_01444
OG0000035	Pran.g_00415	Prag.g_01259
OG0000035	Pran.g_00145	Prag.g_01075
OG0000036	Pran.g_01593	Prag.g_00563
OG0000037	Pran.g_01555	Prag.g_00601
OG0000038	Pran.g_01401	Prag.g_00757
OG0000039	Pran.g_00266	Prag.g_00159
OG0000040	Pran.g_01834	Prag.g_00354
OG0000042	Pran.g_01460	Prag.g_00692
OG0000043	Pran.g_01358	Prag.g_00791
OG0000045	Pran.g_00807	Prag.g_01428
OG0000046	Pran.g_00963	Prag.g_01662
OG0000047	Pran.g_01160	Prag.g_01861
OG0000048	Pran.g_01167	Prag.g_01868
OG0000050	Pran.g_00393, Pran.g_00930	Prag.g_00031
OG0000051	Pran.g_00275	Prag.g_00150
OG0000052	Pran.g_01824	Prag.g_00364
OG0000053	Pran.g_01639	Prag.g_00518
OG0000054	Pran.g_01408, Pran.g_01379	Prag.g_00751
OG0000055	Pran.g_01321	Prag.g_00828
OG0000056	Pran.g_00935	Prag.g_01108
OG0000057	Pran.g_00195	Prag.g_00230
OG0000058	Pran.g_01703	Prag.g_00454
OG0000059	Pran.g_01480	Prag.g_00676
OG0000060	Pran.g_00905	Prag.g_00732
OG0000061	Pran.g_00507	Prag.g_00984
OG0000062	Pran.g_00093	Prag.g_01120
OG0000063	Pran.g_01466	Prag.g_01298
OG0000064	Pran.g_00519, Pran.g_00928, Pran.g_01463, Pran.g_01783	Prag.g_01308
OG0000065	Pran.g_00938, Pran.g_00876	Prag.g_01355
OG0000066	Pran.g_00752	Prag.g_01423
OG0000068	Pran.g_01105	Prag.g_01804
OG0000071	Pran.g_01268	Prag.g_00011
OG0000072	Pran.g_01872	Prag.g_00313
OG0000073	Pran.g_01509	Prag.g_00647
OG0000074	Pran.g_01487	Prag.g_00669
OG0000075	Pran.g_01336	Prag.g_00813
OG0000076	Pran.g_00568, Pran.g_00903	Prag.g_01036
OG0000078	Pran.g_00806	Prag.g_01424
OG0000079	Pran.g_00655	Prag.g_01568
OG0000080	Pran.g_00575, Pran.g_00912	Prag.g_01617
OG0000081	Pran.g_01135	Prag.g_01834
OG0000082	Pran.g_01222	Prag.g_01923
OG0000083	Pran.g_01260	Prag.g_00003
OG0000084	Pran.g_01263	Prag.g_00006
OG0000085	Pran.g_00401	Prag.g_00023
OG0000086	Pran.g_00386	Prag.g_00391
OG0000087	Pran.g_00376	Prag.g_00049
OG0000088	Pran.g_00320	Prag.g_00106
OG0000089	Pran.g_00312	Prag.g_00114
OG0000090	Pran.g_00295	Prag.g_00132
OG0000091	Pran.g_00263	Prag.g_00162
OG0000092	Pran.g_00262	Prag.g_00163
OG0000093	Pran.g_00248	Prag.g_00177
OG0000094	Pran.g_00230	Prag.g_00195
OG0000095	Pran.g_00225	Prag.g_00200
OG0000096	Pran.g_01941	Prag.g_00244
OG0000097	Pran.g_01920	Prag.g_00265
OG0000098	Pran.g_01910	Prag.g_00275
OG0000099	Pran.g_01900	Prag.g_00285
OG0000100	Pran.g_01897	Prag.g_00288
OG0000101	Pran.g_01838	Prag.g_00351
OG0000102	Pran.g_01812	Prag.g_00375
OG0000103	Pran.g_01702	Prag.g_00455
OG0000104	Pran.g_01698	Prag.g_00459
OG0000105	Pran.g_01679	Prag.g_00478
OG0000106	Pran.g_01646	Prag.g_00511
OG0000107	Pran.g_01645	Prag.g_00512
OG0000108	Pran.g_01635	Prag.g_00522
OG0000109	Pran.g_01626	Prag.g_00531
OG0000110	Pran.g_01609	Prag.g_00547
OG0000111	Pran.g_01527	Prag.g_00629
OG0000112	Pran.g_01526	Prag.g_00630
OG0000113	Pran.g_01438	Prag.g_00714
OG0000114	Pran.g_01345	Prag.g_00804
OG0000115	Pran.g_00487	Prag.g_00964
OG0000116	Pran.g_00491	Prag.g_00968
OG0000117	Pran.g_00565	Prag.g_01033
OG0000118	Pran.g_00135	Prag.g_01085
OG0000119	Pran.g_00090	Prag.g_01123
