Orthogroup	Pran	Pras
OG0000000	Pran.g_01500	Pras.g_01554
OG0000001	Pran.g_00001	Pras.g_00117
OG0000001	Pran.g_00001	Pras.g_00469
OG0000001	Pran.g_00602	Pras.g_00117
OG0000001	Pran.g_00602	Pras.g_00469
OG0000003	Pran.g_00894	Pras.g_00136, Pras.g_00182
OG0000004	Pran.g_00576	Pras.g_01631
OG0000004	Pran.g_01436	Pras.g_01638
OG0000005	Pran.g_01423	Pras.g_00493
OG0000005	Pran.g_00601	Pras.g_00470
OG0000006	Pran.g_01681	Pras.g_01375
OG0000006	Pran.g_00970	Pras.g_00550
OG0000007	Pran.g_01506	Pras.g_01548
OG0000008	Pran.g_01811	Pras.g_01237
OG0000008	Pran.g_00526	Pras.g_00151
OG0000009	Pran.g_01363	Pras.g_01681
OG0000009	Pran.g_01943	Pras.g_01101
OG0000010	Pran.g_00114	Pras.g_00004
OG0000011	Pran.g_01864	Pras.g_01182
OG0000012	Pran.g_01580	Pras.g_01474
OG0000013	Pran.g_01394	Pras.g_00127
OG0000015	Pran.g_01813	Pras.g_01235, Pras.g_00539
OG0000016	Pran.g_00845	Pras.g_00246
OG0000017	Pran.g_00713	Pras.g_00370, Pras.g_00886
OG0000018	Pran.g_01951	Pras.g_00148, Pras.g_01093
OG0000019	Pran.g_01829	Pras.g_01218, Pras.g_00507
OG0000021	Pran.g_01361	Pras.g_01683
OG0000022	Pran.g_00582	Pras.g_00184
OG0000023	Pran.g_00615	Pras.g_00157
OG0000024	Pran.g_01888	Pras.g_01158
OG0000026	Pran.g_00391	Pras.g_00875
OG0000027	Pran.g_01464	Pras.g_01634, Pras.g_00440
OG0000028	Pran.g_00733	Pras.g_00350
OG0000029	Pran.g_00614	Pras.g_00464, Pras.g_00538
OG0000030	Pran.g_01952	Pras.g_00119
OG0000031	Pran.g_00898	Pras.g_00179
OG0000031	Pran.g_00944	Pras.g_00508
OG0000033	Pran.g_00620	Pras.g_00855
OG0000034	Pran.g_00777	Pras.g_00285
OG0000036	Pran.g_01593	Pras.g_01462
OG0000037	Pran.g_01555	Pras.g_01499
OG0000038	Pran.g_01401	Pras.g_01662
OG0000039	Pran.g_00266	Pras.g_01017
OG0000040	Pran.g_01834	Pras.g_01213
OG0000041	Pran.g_01778	Pras.g_01285
OG0000042	Pran.g_01460	Pras.g_01606
OG0000043	Pran.g_01358	Pras.g_01686
OG0000045	Pran.g_00807	Pras.g_00291
OG0000046	Pran.g_00963	Pras.g_00543
OG0000047	Pran.g_01160	Pras.g_00743, Pras.g_00883
OG0000048	Pran.g_01167	Pras.g_00750
OG0000050	Pran.g_00393, Pran.g_00930	Pras.g_00873
OG0000051	Pran.g_00275	Pras.g_01008
OG0000052	Pran.g_01824	Pras.g_01223
OG0000053	Pran.g_01639	Pras.g_01416
OG0000054	Pran.g_01408, Pran.g_01379	Pras.g_01656
OG0000055	Pran.g_01321	Pras.g_01723
OG0000056	Pran.g_00935	Pras.g_00011
OG0000057	Pran.g_00195	Pras.g_01089
OG0000058	Pran.g_01703	Pras.g_01353
OG0000059	Pran.g_01480	Pras.g_01574
OG0000060	Pran.g_00905	Pras.g_01636
OG0000061	Pran.g_00507	Pras.g_01880
OG0000062	Pran.g_00093	Pras.g_00023
OG0000063	Pran.g_01466	Pras.g_00150
OG0000064	Pran.g_01463	Pras.g_00504
OG0000065	Pran.g_00938, Pran.g_00876	Pras.g_00209
OG0000066	Pran.g_00752	Pras.g_00273, Pras.g_00271, Pras.g_00272, Pras.g_00330
OG0000067	Pran.g_01384	Pras.g_00142
OG0000068	Pran.g_01105	Pras.g_00687
OG0000071	Pran.g_01268	Pras.g_00853
OG0000073	Pran.g_01509	Pras.g_01545, Pras.g_00327
OG0000074	Pran.g_01487	Pras.g_01567
OG0000075	Pran.g_01336	Pras.g_01708
OG0000076	Pran.g_00568, Pran.g_00903	Pras.g_01934
OG0000078	Pran.g_00806	Pras.g_00294
OG0000079	Pran.g_00655	Pras.g_00431
OG0000080	Pran.g_00575, Pran.g_00912	Pras.g_00477
OG0000081	Pran.g_01135	Pras.g_00717
OG0000082	Pran.g_01222	Pras.g_00806
OG0000083	Pran.g_01260	Pras.g_00845
OG0000084	Pran.g_01263	Pras.g_00848
OG0000085	Pran.g_00401	Pras.g_00865
OG0000086	Pran.g_00386	Pras.g_01273
OG0000087	Pran.g_00376	Pras.g_00902
OG0000088	Pran.g_00320	Pras.g_00964
OG0000089	Pran.g_00312	Pras.g_00972
OG0000090	Pran.g_00295	Pras.g_00990
OG0000091	Pran.g_00263	Pras.g_01020
OG0000092	Pran.g_00262	Pras.g_01021
OG0000093	Pran.g_00248	Pras.g_01035
OG0000094	Pran.g_00230	Pras.g_01053
OG0000095	Pran.g_00225	Pras.g_01058, Pras.g_01059
OG0000096	Pran.g_01941	Pras.g_01103
OG0000097	Pran.g_01920	Pras.g_01126
OG0000098	Pran.g_01910	Pras.g_01136
OG0000099	Pran.g_01900	Pras.g_01145
