Orthogroup	Prak	Prbn
OG0000000	Prak.g_00908	Prbn.g_01483
OG0000000	Prak.g_00913	Prbn.g_01478
OG0000000	Prak.g_00805	Prbn.g_01586
OG0000000	Prak.g_01494	Prbn.g_00879
OG0000000	Prak.g_01202	Prbn.g_01159
OG0000000	Prak.g_01323	Prbn.g_01234
OG0000000	Prak.g_01200	Prbn.g_01161
OG0000000	Prak.g_01207	Prbn.g_01154
OG0000001	Prak.g_01578	Prbn.g_01678
OG0000001	Prak.g_01209	Prbn.g_01663
OG0000002	Prak.g_01302	Prbn.g_01213
OG0000002	Prak.g_00755	Prbn.g_01923
OG0000003	Prak.g_01210	Prbn.g_01151
OG0000004	Prak.g_01251	Prbn.g_01110
OG0000005	Prak.g_01562	Prbn.g_01662
OG0000006	Prak.g_00458	Prbn.g_00617
OG0000006	Prak.g_01645	Prbn.g_01745
OG0000007	Prak.g_01544	Prbn.g_01645
OG0000007	Prak.g_01546	Prbn.g_01646
OG0000009	Prak.g_01196	Prbn.g_01165
OG0000009	Prak.g_00266	Prbn.g_00015
OG0000010	Prak.g_00702	Prbn.g_01049
OG0000011	Prak.g_00385	Prbn.g_00690
OG0000012	Prak.g_00566	Prbn.g_00510
OG0000012	Prak.g_00559	Prbn.g_00517
OG0000013	Prak.g_01584	Prbn.g_01684
OG0000013	Prak.g_01630	Prbn.g_01730
OG0000014	Prak.g_01564	Prbn.g_01664
OG0000014	Prak.g_01521	Prbn.g_00139
OG0000015	Prak.g_01573	Prbn.g_01673
OG0000015	Prak.g_01606	Prbn.g_01706
OG0000016	Prak.g_01226	Prbn.g_01135
OG0000016	Prak.g_01488	Prbn.g_00885
OG0000017	Prak.g_01590	Prbn.g_01690
OG0000017	Prak.g_01412	Prbn.g_00233
OG0000018	Prak.g_00258	Prbn.g_00308
OG0000019	Prak.g_00831	Prbn.g_01560
OG0000020	Prak.g_01264	Prbn.g_01097
OG0000020	Prak.g_00289	Prbn.g_00038
OG0000021	Prak.g_01627	Prbn.g_01727
OG0000023	Prak.g_01486	Prbn.g_00887
OG0000024	Prak.g_00325	Prbn.g_00074
OG0000025	Prak.g_00741	Prbn.g_01937
OG0000026	Prak.g_01530	Prbn.g_00130
OG0000028	Prak.g_01391	Prbn.g_00212
OG0000029	Prak.g_00416	Prbn.g_00659
OG0000031	Prak.g_00667	Prbn.g_00809
OG0000032	Prak.g_01350	Prbn.g_00171
OG0000033	Prak.g_01230	Prbn.g_01131
OG0000034	Prak.g_01369	Prbn.g_00190
OG0000034	Prak.g_00058	Prbn.g_00724
OG0000035	Prak.g_00709	Prbn.g_01042
OG0000036	Prak.g_00546	Prbn.g_00530
OG0000036	Prak.g_01634	Prbn.g_01734
OG0000037	Prak.g_00584	Prbn.g_00492
OG0000037	Prak.g_01506	Prbn.g_00867
OG0000038	Prak.g_01482	Prbn.g_00891
OG0000039	Prak.g_00178	Prbn.g_01247
OG0000040	Prak.g_00721	Prbn.g_01030
OG0000041	Prak.g_01609	Prbn.g_01709
OG0000041	Prak.g_01603	Prbn.g_01703
OG0000042	Prak.g_00837	Prbn.g_01554
OG0000043	Prak.g_00937	Prbn.g_01454
OG0000044	Prak.g_01172	Prbn.g_01189
OG0000045	Prak.g_01351	Prbn.g_00172
OG0000046	Prak.g_01516	Prbn.g_00144
OG0000046	Prak.g_01637	Prbn.g_01737
OG0000047	Prak.g_01842	Prbn.g_00996
OG0000048	Prak.g_01850	Prbn.g_00988
OG0000050	Prak.g_00032	Prbn.g_00750
OG0000051	Prak.g_00169	Prbn.g_01256
OG0000052	Prak.g_00687	Prbn.g_00829
OG0000053	Prak.g_01557	Prbn.g_01657
OG0000053	Prak.g_00498	Prbn.g_00577
OG0000054	Prak.g_00601	Prbn.g_00475
OG0000055	Prak.g_00868	Prbn.g_01523
OG0000056	Prak.g_01228	Prbn.g_01133
OG0000057	Prak.g_00253	Prbn.g_00313
OG0000058	Prak.g_00436	Prbn.g_00639
OG0000059	Prak.g_00829	Prbn.g_01562
OG0000062	Prak.g_01550	Prbn.g_01650
OG0000063	Prak.g_01145	Prbn.g_00389
OG0000065	Prak.g_01277	Prbn.g_01084
OG0000066	Prak.g_01349	Prbn.g_00170
OG0000067	Prak.g_00660	Prbn.g_00802
OG0000068	Prak.g_01780	Prbn.g_01881
OG0000069	Prak.g_01430	Prbn.g_00251
OG0000071	Prak.g_00011	Prbn.g_00002, Prbn.g_00003
OG0000072	Prak.g_00339	Prbn.g_00088
OG0000073	Prak.g_01072	Prbn.g_00845
OG0000074	Prak.g_00819	Prbn.g_01572
OG0000075	Prak.g_00852	Prbn.g_01539
OG0000076	Prak.g_00920	Prbn.g_01471
OG0000077	Prak.g_01561	Prbn.g_01661
OG0000078	Prak.g_01352	Prbn.g_00173
OG0000079	Prak.g_01476	Prbn.g_00897
OG0000080	Prak.g_00661	Prbn.g_00803
OG0000081	Prak.g_01814	Prbn.g_01915
OG0000082	Prak.g_00656	Prbn.g_00798
