Orthogroup	Praq	Prbd
OG0000000	Praq.g_00168	Prbd.g_01771
OG0000000	Praq.g_00807	Prbd.g_00566
OG0000001	Praq.g_00025	Prbd.g_00528
OG0000002	Praq.g_00160	Prbd.g_01779
OG0000002	Praq.g_01394	Prbd.g_01930
OG0000003	Praq.g_00115	Prbd.g_01835
OG0000003	Praq.g_00028	Prbd.g_01567
OG0000004	Praq.g_00607	Prbd.g_00031
OG0000004	Praq.g_00614	Prbd.g_00038
OG0000005	Praq.g_00026	Prbd.g_01568
OG0000005	Praq.g_01956	Prbd.g_01914
OG0000006	Praq.g_01105	Prbd.g_00745
OG0000006	Praq.g_00497	Prbd.g_01525
OG0000007	Praq.g_00801	Prbd.g_00572
OG0000008	Praq.g_01159	Prbd.g_00854
OG0000008	Praq.g_00085	Prbd.g_01894
OG0000009	Praq.g_00649	Prbd.g_00082
OG0000009	Praq.g_01753	Prbd.g_00990
OG0000010	Praq.g_00081	Prbd.g_01840
OG0000010	Praq.g_01283	Prbd.g_00409
OG0000010	Praq.g_00097	Prbd.g_01870
OG0000011	Praq.g_01672	Prbd.g_00909
OG0000012	Praq.g_01004	Prbd.g_00646
OG0000013	Praq.g_00065	Prbd.g_00826
OG0000014	Praq.g_00521	Prbd.g_00772
OG0000015	Praq.g_01161	Prbd.g_00856
OG0000016	Praq.g_00171	Prbd.g_01768
OG0000017	Praq.g_00314	Prbd.g_01669
OG0000018	Praq.g_01761	Prbd.g_00998
OG0000019	Praq.g_01179	Prbd.g_00874
OG0000020	Praq.g_01169	Prbd.g_00864
OG0000021	Praq.g_00651	Prbd.g_00084
OG0000022	Praq.g_00117	Prbd.g_01833
OG0000023	Praq.g_00017	Prbd.g_01576
OG0000024	Praq.g_01696	Prbd.g_00933
OG0000025	Praq.g_01654	Prbd.g_00375
OG0000026	Praq.g_01236, Praq.g_01237	Prbd.g_01204
OG0000027	Praq.g_00381	Prbd.g_01601
OG0000027	Praq.g_00610	Prbd.g_00034
OG0000028	Praq.g_00294	Prbd.g_01689
OG0000029	Praq.g_00018	Prbd.g_01575
OG0000035	Praq.g_01657	Prbd.g_00379
OG0000035	Praq.g_01475	Prbd.g_00192
OG0000036	Praq.g_01018	Prbd.g_00658
OG0000037	Praq.g_00979	Prbd.g_00621
OG0000038	Praq.g_00635	Prbd.g_00061
OG0000039	Praq.g_01836	Prbd.g_01074
OG0000040	Praq.g_01184	Prbd.g_00879
OG0000041	Praq.g_01129	Prbd.g_00833
OG0000042	Praq.g_00583	Prbd.g_00007
OG0000043	Praq.g_00654	Prbd.g_00087
OG0000044	Praq.g_01333	Prbd.g_00468
OG0000045	Praq.g_00218	Prbd.g_01733
OG0000047	Praq.g_00763	Prbd.g_01335
OG0000048	Praq.g_00770	Prbd.g_01328
OG0000050	Praq.g_01234	Prbd.g_01206
OG0000051	Praq.g_00554, Praq.g_01845	Prbd.g_01083
OG0000052	Praq.g_01173	Prbd.g_00868
OG0000053	Praq.g_01063	Prbd.g_00703
