Orthogroup	Praq	Pral
OG0000000	Praq.g_00168	Pral.g_01549, Pral.g_01554
OG0000000	Praq.g_00807	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000002	Praq.g_00160	Pral.g_01236
OG0000002	Praq.g_01393, Praq.g_01394	Pral.g_01296, Pral.g_01671
OG0000003	Praq.g_00115, Praq.g_00028	Pral.g_00040, Pral.g_01332
OG0000004	Praq.g_00614	Pral.g_01898
OG0000005	Praq.g_00026, Praq.g_01956	Pral.g_00037
OG0000006	Praq.g_01105	Pral.g_00593
OG0000006	Praq.g_00497	Pral.g_00107
OG0000007	Praq.g_00071	Pral.g_00020
OG0000009	Praq.g_00649	Pral.g_01344
OG0000009	Praq.g_01753	Pral.g_00790
OG0000010	Praq.g_00081, Praq.g_01283, Praq.g_00097	Pral.g_00444
OG0000011	Praq.g_01137	Pral.g_00672
OG0000012	Praq.g_01004	Pral.g_00484, Pral.g_00491
OG0000013	Praq.g_00065	Pral.g_01813
OG0000014	Praq.g_00521	Pral.g_00039, Pral.g_01036
OG0000015	Praq.g_01161	Pral.g_01887, Pral.g_00062
OG0000016	Praq.g_00171	Pral.g_01861, Pral.g_01063
OG0000017	Praq.g_01246	Pral.g_01139, Pral.g_00066
OG0000018	Praq.g_01761	Pral.g_00797
OG0000019	Praq.g_01179	Pral.g_01738
OG0000021	Praq.g_00651	Pral.g_00090
OG0000022	Praq.g_00117	Pral.g_01331
OG0000024	Praq.g_01696	Pral.g_00732, Pral.g_01261
OG0000026	Praq.g_00075	Pral.g_00435
OG0000028	Praq.g_00294	Pral.g_01165, Pral.g_01161
OG0000029	Praq.g_00018, Praq.g_00056	Pral.g_01164, Pral.g_01114
OG0000030	Praq.g_01242	Pral.g_01006
OG0000035	Praq.g_01657, Praq.g_01475	Pral.g_01853
OG0000036	Praq.g_01018	Pral.g_00057
OG0000037	Praq.g_00979	Pral.g_00015
OG0000038	Praq.g_00635	Pral.g_00044
OG0000039	Praq.g_01836	Pral.g_00878
OG0000040	Praq.g_01184	Pral.g_01687
OG0000042	Praq.g_00583	Pral.g_01729
OG0000043	Praq.g_00654	Pral.g_01665
OG0000044	Praq.g_01333	Pral.g_01367
OG0000045	Praq.g_00271, Praq.g_00218	Pral.g_01202
OG0000047	Praq.g_01243, Praq.g_00763	Pral.g_00305
OG0000048	Praq.g_00770	Pral.g_00313
OG0000050	Praq.g_01234	Pral.g_01012
OG0000051	Praq.g_00554, Praq.g_01845	Pral.g_00887
OG0000052	Praq.g_01173	Pral.g_01859
OG0000053	Praq.g_01063	Pral.g_00551
OG0000055	Praq.g_01420	Pral.g_01511
OG0000056	Praq.g_01289	Pral.g_00019
OG0000057	Praq.g_01765	Pral.g_00803
OG0000058	Praq.g_00526	Pral.g_00617
OG0000059	Praq.g_00827	Pral.g_01740
OG0000060	Praq.g_00612, Praq.g_00857, Praq.g_00548, Praq.g_00083	Pral.g_00445
OG0000062	Praq.g_01300	Pral.g_00056, Pral.g_00078
OG0000063	Praq.g_00084	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000065	Praq.g_00133	Pral.g_01281
OG0000066	Praq.g_00208	Pral.g_00702
OG0000067	Praq.g_00100	Pral.g_00064
OG0000068	Praq.g_00879	Pral.g_00243
OG0000071	Praq.g_00437	Pral.g_00421
OG0000072	Praq.g_01680	Pral.g_00717
OG0000073	Praq.g_00798	Pral.g_01471
OG0000074	Praq.g_00820	Pral.g_01750
OG0000075	Praq.g_00677	Pral.g_01495
OG0000076	Praq.g_01619	Pral.g_01561
OG0000078	Praq.g_00216	Pral.g_01201
OG0000079	Praq.g_00372	Pral.g_01073
OG0000080	Praq.g_00052	Pral.g_00065
OG0000081	Praq.g_00737	Pral.g_00277
OG0000083	Praq.g_00429	Pral.g_00413
OG0000084	Praq.g_00432	Pral.g_00416
OG0000085	Praq.g_01226	Pral.g_01021
OG0000086	Praq.g_01254	Pral.g_01886
OG0000087	Praq.g_01265	Pral.g_00993
OG0000088	Praq.g_01890	Pral.g_00932
OG0000089	Praq.g_01882	Pral.g_00923
OG0000090	Praq.g_01864	Pral.g_00906
OG0000091	Praq.g_01833	Pral.g_00874
OG0000092	Praq.g_01832	Pral.g_00873
OG0000093	Praq.g_01818	Pral.g_00860
OG0000094	Praq.g_01800	Pral.g_00842
OG0000095	Praq.g_01795	Pral.g_00837
OG0000096	Praq.g_01751	Pral.g_00788
OG0000097	Praq.g_01729	Pral.g_00765
OG0000098	Praq.g_01718	Pral.g_00754
OG0000099	Praq.g_01708	Pral.g_00744
OG0000100	Praq.g_01705	Pral.g_00741
OG0000101	Praq.g_01187	Pral.g_00674
OG0000102	Praq.g_01160	Pral.g_01034
OG0000103	Praq.g_00527	Pral.g_00616
OG0000104	Praq.g_00531	Pral.g_00611
OG0000105	Praq.g_01103	Pral.g_00591
OG0000106	Praq.g_01070	Pral.g_00558
OG0000107	Praq.g_01069	Pral.g_00557
OG0000108	Praq.g_01059	Pral.g_00547
OG0000109	Praq.g_01050	Pral.g_00538
OG0000110	Praq.g_01034	Pral.g_00520
OG0000111	Praq.g_00780	Pral.g_01452
OG0000112	Praq.g_00781	Pral.g_01453
OG0000113	Praq.g_00605	Pral.g_01705
OG0000114	Praq.g_00668	Pral.g_01486
OG0000115	Praq.g_01548	Pral.g_01627
OG0000116	Praq.g_01552	Pral.g_01623
OG0000117	Praq.g_01616	Pral.g_01564
OG0000118	Praq.g_01667	Pral.g_01316
OG0000119	Praq.g_01303	Pral.g_00075
OG0000120	Praq.g_01339	Pral.g_01187, Pral.g_01373
OG0000121	Praq.g_01358	Pral.g_01400
OG0000122	Praq.g_01377	Pral.g_01420
OG0000123	Praq.g_01390	Pral.g_00455
OG0000124	Praq.g_00257	Pral.g_01064
OG0000125	Praq.g_00145	Pral.g_01269
OG0000126	Praq.g_00175	Pral.g_01222
OG0000127	Praq.g_00281	Pral.g_01179
OG0000128	Praq.g_00295	Pral.g_01160
OG0000129	Praq.g_00331	Pral.g_01123
OG0000130	Praq.g_01954, Praq.g_00499	Pral.g_00104
OG0000131	Praq.g_00461	Pral.g_00143
OG0000132	Praq.g_00458	Pral.g_00146
