HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N18.HOG0000000	OG0000000	n72						Praf.g_00813		Prah.g_01348																												Prbj.g_00164	Prbk.g_00165	Prbl.g_00116		
N18.HOG0000001	OG0000000	n93						Praf.g_01042, Praf.g_01039, Praf.g_00815		Prah.g_01152, Prah.g_01154, Prah.g_01346																												Prbj.g_00166	Prbk.g_00167	Prbl.g_00118		
N18.HOG0000002	OG0000001	n1						Praf.g_01631		Prah.g_00562																												Prbj.g_02517	Prbk.g_02574	Prbl.g_01582		
N18.HOG0000003	OG0000001	n48						Praf.g_00948		Prah.g_01226																												Prbj.g_00030	Prbk.g_01649	Prbl.g_01092		
N18.HOG0000004	OG0000002	n105																																				Prbj.g_00169	Prbk.g_00170	Prbl.g_00121		
N18.HOG0000005	OG0000002	n108						Praf.g_01896, Praf.g_00818		Prah.g_01343																																
N18.HOG0000006	OG0000002	n111						Praf.g_01895		Prah.g_00324																												Prbj.g_00672	Prbk.g_01196	Prbl.g_00725		
N18.HOG0000007	OG0000002	n116						Praf.g_01031		Prah.g_01159																																
N18.HOG0000008	OG0000002	n118						Praf.g_02422		Prah.g_02270																												Prbj.g_01549, Prbj.g_02662	Prbk.g_00561, Prbk.g_02701	Prbl.g_00808, Prbl.g_02598		
N18.HOG0000009	OG0000002	n125						Praf.g_01293		Prah.g_00896																												Prbj.g_02690	Prbk.g_00630	Prbl.g_02578		
N18.HOG0000010	OG0000003	n14						Praf.g_01900		Prah.g_00319																												Prbj.g_00123	Prbk.g_02118	Prbl.g_01335		
N18.HOG0000011	OG0000003	n22						Praf.g_00278																														Prbj.g_02691	Prbk.g_02671			
N18.HOG0000012	OG0000003	n42						Praf.g_01873																																		
N18.HOG0000013	OG0000003	n87						Praf.g_00285																															Prbk.g_02690			
N18.HOG0000014	OG0000004	n1						Praf.g_00814		Prah.g_01347																												Prbj.g_00165	Prbk.g_00166	Prbl.g_00117		
N18.HOG0000015	OG0000005	n66						Praf.g_01014		Prah.g_01175																												Prbj.g_00697	Prbk.g_01701	Prbl.g_01685		
N18.HOG0000016	OG0000005	n70						Praf.g_02005		Prah.g_00215																												Prbj.g_00073	Prbk.g_00355	Prbl.g_00679		
N18.HOG0000017	OG0000008	n1						Praf.g_00614		Prah.g_01546																												Prbj.g_01610		Prbl.g_00531		
