HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N19.HOG0000000	OG0000000	n11																									Pray.g_01576	Praz.g_00894	Prba.g_00243													
N19.HOG0000001	OG0000000	n40																									Pray.g_01603	Praz.g_00921	Prba.g_00269													
N19.HOG0000002	OG0000001	n1																									Pray.g_01836	Praz.g_01146	Prba.g_00203													
N19.HOG0000003	OG0000001	n47																									Pray.g_01085	Praz.g_01652	Prba.g_01639													
N19.HOG0000004	OG0000002	n33																									Pray.g_00247	Praz.g_01939	Prba.g_01081													
N19.HOG0000005	OG0000002	n35																									Pray.g_00246	Praz.g_01940	Prba.g_01080													
N19.HOG0000006	OG0000002	n68																									Pray.g_01844	Praz.g_01154	Prba.g_00211													
N19.HOG0000007	OG0000003	n61																									Pray.g_00245	Praz.g_00404	Prba.g_01832													
N19.HOG0000008	OG0000003	n87																									Pray.g_01501															
N19.HOG0000009	OG0000004	n40																									Pray.g_01890	Praz.g_01200	Prba.g_01172													
N19.HOG0000010	OG0000004	n61																									Pray.g_01602	Praz.g_00920	Prba.g_00268													
N19.HOG0000011	OG0000005	n1																									Pray.g_00277	Praz.g_01583	Prba.g_01570													
N19.HOG0000012	OG0000005	n23																									Pray.g_00284	Praz.g_01576	Prba.g_01563													
N19.HOG0000013	OG0000005	n74																									Pray.g_01891	Praz.g_01201	Prba.g_01171													
N19.HOG0000014	OG0000006	n3																									Pray.g_01905	Praz.g_01215	Prba.g_01157													
N19.HOG0000015	OG0000006	n34																									Pray.g_00297	Praz.g_01563	Prba.g_01550													
N19.HOG0000016	OG0000006	n51																									Pray.g_00117	Praz.g_00045	Prba.g_00734													
N19.HOG0000017	OG0000007	n15																									Pray.g_00544	Praz.g_01317	Prba.g_01304													
N19.HOG0000018	OG0000007	n27																										Praz.g_01258	Prba.g_01115													
N19.HOG0000019	OG0000007	n32																									Pray.g_00885	Praz.g_00767	Prba.g_00901													
N19.HOG0000020	OG0000007	n50																									Pray.g_00862	Praz.g_00790	Prba.g_00878													
N19.HOG0000021	OG0000007	n70																									Pray.g_00265	Praz.g_01269	Prba.g_01104													
N19.HOG0000022	OG0000008	n1																									Pray.g_00988, Pray.g_00987	Praz.g_01831	Prba.g_00964													
N19.HOG0000023	OG0000008	n40																									Pray.g_01559	Praz.g_00877	Prba.g_00226													
N19.HOG0000024	OG0000009	n5																									Pray.g_01942	Praz.g_01253	Prba.g_01120													
N19.HOG0000025	OG0000010	n6																									Pray.g_00328	Praz.g_01532	Prba.g_01519													
N19.HOG0000026	OG0000010	n44																									Pray.g_00730	Praz.g_00609	Prba.g_00468													
N19.HOG0000027	OG0000011	n5																									Pray.g_00853	Praz.g_00799	Prba.g_00869													
N19.HOG0000028	OG0000011	n28																									Pray.g_00296	Praz.g_01564	Prba.g_01551													
N19.HOG0000029	OG0000012	n2																									Pray.g_00135		Prba.g_01213													
N19.HOG0000030	OG0000012	n45																									Pray.g_00852	Praz.g_00800	Prba.g_00868													
N19.HOG0000031	OG0000013	n12																									Pray.g_01610	Praz.g_00929	Prba.g_00276													
N19.HOG0000032	OG0000013	n32																									Pray.g_00184	Praz.g_00465	Prba.g_01893													
N19.HOG0000033	OG0000014	n5																									Pray.g_01792	Praz.g_01102	Prba.g_00159													
