HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N31.HOG0000000	OG0000000	n72																																				Prbj.g_00164	Prbk.g_00165			
N31.HOG0000001	OG0000000	n93																																				Prbj.g_00166	Prbk.g_00167			
N31.HOG0000002	OG0000001	n1																																				Prbj.g_02517	Prbk.g_02574			
N31.HOG0000003	OG0000001	n48																																				Prbj.g_00030	Prbk.g_01649			
N31.HOG0000004	OG0000002	n105																																				Prbj.g_00169	Prbk.g_00170			
N31.HOG0000005	OG0000002	n111																																				Prbj.g_00672	Prbk.g_01196			
N31.HOG0000006	OG0000002	n121																																				Prbj.g_01549	Prbk.g_00561			
N31.HOG0000007	OG0000002	n123																																				Prbj.g_02662	Prbk.g_02701			
N31.HOG0000008	OG0000002	n125																																				Prbj.g_02690	Prbk.g_00630			
N31.HOG0000009	OG0000003	n14																																				Prbj.g_00123	Prbk.g_02118			
N31.HOG0000010	OG0000003	n22																																				Prbj.g_02691	Prbk.g_02671			
N31.HOG0000011	OG0000003	n87																																					Prbk.g_02690			
N31.HOG0000012	OG0000004	n1																																				Prbj.g_00165	Prbk.g_00166			
N31.HOG0000013	OG0000005	n66																																				Prbj.g_00697	Prbk.g_01701			
N31.HOG0000014	OG0000005	n70																																				Prbj.g_00073	Prbk.g_00355			
N31.HOG0000015	OG0000008	n1																																				Prbj.g_01610				
N31.HOG0000016	OG0000008	n40																																				Prbj.g_00857	Prbk.g_00907			
N31.HOG0000017	OG0000009	n23																																				Prbj.g_00208	Prbk.g_01337			
N31.HOG0000018	OG0000009	n31																																				Prbj.g_02698	Prbk.g_02672			
N31.HOG0000019	OG0000009	n33																																				Prbj.g_00201	Prbk.g_01344			
N31.HOG0000020	OG0000009	n35																																				Prbj.g_00790	Prbk.g_02680			
N31.HOG0000021	OG0000009	n38																																				Prbj.g_02533	Prbk.g_02591			
N31.HOG0000022	OG0000009	n66																																				Prbj.g_00371	Prbk.g_00841			
N31.HOG0000023	OG0000010	n1																																				Prbj.g_01349	Prbk.g_01004			
N31.HOG0000024	OG0000011	n1																																				Prbj.g_00378	Prbk.g_00833			
N31.HOG0000025	OG0000012	n23																																				Prbj.g_01393	Prbk.g_00405			
N31.HOG0000026	OG0000013	n3																																				Prbj.g_01300	Prbk.g_01932			
N31.HOG0000027	OG0000013	n7																																				Prbj.g_00618	Prbk.g_00013			
N31.HOG0000028	OG0000014	n11																																				Prbj.g_01442	Prbk.g_00454			
N31.HOG0000029	OG0000015	n1																																				Prbj.g_02509	Prbk.g_02565			
N31.HOG0000030	OG0000015	n29																																				Prbj.g_00666	Prbk.g_01202			
N31.HOG0000031	OG0000016	n50																																				Prbj.g_02502	Prbk.g_02558			
N31.HOG0000032	OG0000018	n22																																				Prbj.g_01769	Prbk.g_01142			
N31.HOG0000033	OG0000018	n40																																				Prbj.g_01761	Prbk.g_01150			
N31.HOG0000034	OG0000020	n26																																				Prbj.g_00740	Prbk.g_01746			
N31.HOG0000035	OG0000020	n39																																				Prbj.g_00778	Prbk.g_01786			
N31.HOG0000036	OG0000021	n0																																				Prbj.g_00638	Prbk.g_01230			
N31.HOG0000037	OG0000022	n0																																				Prbj.g_02699	Prbk.g_02695			
N31.HOG0000038	OG0000023	n0																																				Prbj.g_01774	Prbk.g_01137			
N31.HOG0000039	OG0000024	n19																																				Prbj.g_00731	Prbk.g_01737			
N31.HOG0000040	OG0000025	n0																																				Prbj.g_00773	Prbk.g_01780			
N31.HOG0000041	OG0000027	n1																																				Prbj.g_00928	Prbk.g_01820			
N31.HOG0000042	OG0000028	n2																																				Prbj.g_00929	Prbk.g_01819			
N31.HOG0000043	OG0000031	n19																																				Prbj.g_01808	Prbk.g_01495			
N31.HOG0000044	OG0000031	n21																																				Prbj.g_00001	Prbk.g_00140			
N31.HOG0000045	OG0000031	n26																																				Prbj.g_02010	Prbk.g_02215			
N31.HOG0000046	OG0000032	n44																																				Prbj.g_01208	Prbk.g_01613			
N31.HOG0000047	OG0000034	n19																																				Prbj.g_01056	Prbk.g_00259			
N31.HOG0000048	OG0000036	n1																																				Prbj.g_00046	Prbk.g_01664			
N31.HOG0000049	OG0000037	n1																																				Prbj.g_00705	Prbk.g_01709			
N31.HOG0000050	OG0000038	n41																																				Prbj.g_01522	Prbk.g_00534			
N31.HOG0000051	OG0000038	n43																																				Prbj.g_01527	Prbk.g_00539			
N31.HOG0000052	OG0000040	n2																																				Prbj.g_00897	Prbk.g_01851			
N31.HOG0000053	OG0000041	n0																																				Prbj.g_02552	Prbk.g_02610			
N31.HOG0000054	OG0000042	n26																																				Prbj.g_01963	Prbk.g_02168			
N31.HOG0000055	OG0000045	n0																																				Prbj.g_01789	Prbk.g_01122			
N31.HOG0000056	OG0000046	n4																																				Prbj.g_00050	Prbk.g_01667			
N31.HOG0000057	OG0000046	n17																																				Prbj.g_01572	Prbk.g_00212			
N31.HOG0000058	OG0000047	n0																																				Prbj.g_00971	Prbk.g_01019			
N31.HOG0000059	OG0000048	n18																																				Prbj.g_01487	Prbk.g_00499			
N31.HOG0000060	OG0000049	n0																																				Prbj.g_01467	Prbk.g_00479			
N31.HOG0000061	OG0000050	n21																																				Prbj.g_00912	Prbk.g_01836			
N31.HOG0000062	OG0000050	n25																																				Prbj.g_00521	Prbk.g_00773			
N31.HOG0000063	OG0000051	n0																																				Prbj.g_02392	Prbk.g_02448			
N31.HOG0000064	OG0000053	n36																																				Prbj.g_00913	Prbk.g_01835			
N31.HOG0000065	OG0000053	n40																																				Prbj.g_02178	Prbk.g_00619			
N31.HOG0000066	OG0000054	n0																																				Prbj.g_00869	Prbk.g_00919			
N31.HOG0000067	OG0000055	n0																																				Prbj.g_01598	Prbk.g_00237			
N31.HOG0000068	OG0000056	n25																																				Prbj.g_01204	Prbk.g_01617			
N31.HOG0000069	OG0000057	n2																																				Prbj.g_00530	Prbk.g_00764			
N31.HOG0000070	OG0000058	n0																																				Prbj.g_00875	Prbk.g_00925			
N31.HOG0000071	OG0000059	n0																																				Prbj.g_02141	Prbk.g_01094			
N31.HOG0000072	OG0000060	n0																																				Prbj.g_02192	Prbk.g_00605			
N31.HOG0000073	OG0000061	n2																																				Prbj.g_01324	Prbk.g_01468			
N31.HOG0000074	OG0000062	n0																																				Prbj.g_02437	Prbk.g_02493			
N31.HOG0000075	OG0000063	n2																																				Prbj.g_00227	Prbk.g_00694			
N31.HOG0000076	OG0000064	n5																																				Prbj.g_01175	Prbk.g_01243			
N31.HOG0000077	OG0000064	n8																																				Prbj.g_00218	Prbk.g_02676			
N31.HOG0000078	OG0000064	n9																																				Prbj.g_01822	Prbk.g_00040			
N31.HOG0000079	OG0000064	n11																																				Prbj.g_02016	Prbk.g_02221			
N31.HOG0000080	OG0000064	n18																																				Prbj.g_00505	Prbk.g_00789			
N31.HOG0000081	OG0000064	n22																																				Prbj.g_01133	Prbk.g_01285			
N31.HOG0000082	OG0000064	n27																																				Prbj.g_02147	Prbk.g_01100			
N31.HOG0000083	OG0000064	n29																																				Prbj.g_00849	Prbk.g_00899			
N31.HOG0000084	OG0000064	n32																																				Prbj.g_01104	Prbk.g_01943			
N31.HOG0000085	OG0000064	n36																																				Prbj.g_01037	Prbk.g_00240			
N31.HOG0000086	OG0000066	n0																																				Prbj.g_00128	Prbk.g_02113			
N31.HOG0000087	OG0000067	n0																																				Prbj.g_00758	Prbk.g_01765			
N31.HOG0000088	OG0000070	n0																																				Prbj.g_01838	Prbk.g_00056			
N31.HOG0000089	OG0000071	n0																																				Prbj.g_01915	Prbk.g_01496			
N31.HOG0000090	OG0000072	n0																																				Prbj.g_01728	Prbk.g_01183			
N31.HOG0000091	OG0000074	n27																																				Prbj.g_01465	Prbk.g_00477			
N31.HOG0000092	OG0000075	n18																																				Prbj.g_00415	Prbk.g_00796			
N31.HOG0000093	OG0000075	n20																																				Prbj.g_00981	Prbk.g_00944			
N31.HOG0000094	OG0000076	n5																																				Prbj.g_00659	Prbk.g_01209			
N31.HOG0000095	OG0000076	n24																																				Prbj.g_01468	Prbk.g_00480			
N31.HOG0000096	OG0000077	n0																																				Prbj.g_02085	Prbk.g_02290			
N31.HOG0000097	OG0000078	n0																																				Prbj.g_01460	Prbk.g_00472			
N31.HOG0000098	OG0000079	n25																																				Prbj.g_02004	Prbk.g_02209			
N31.HOG0000099	OG0000080	n16																																				Prbj.g_00824	Prbk.g_00709			
N31.HOG0000100	OG0000081	n0																																				Prbj.g_00933	Prbk.g_01815			
N31.HOG0000101	OG0000082	n3																																				Prbj.g_02419	Prbk.g_02475			
N31.HOG0000102	OG0000084	n20																																				Prbj.g_02268	Prbk.g_02324			
N31.HOG0000103	OG0000085	n0																																				Prbj.g_02066	Prbk.g_02271			
N31.HOG0000104	OG0000086	n0																																				Prbj.g_01990	Prbk.g_02195			
N31.HOG0000105	OG0000090	n0																																				Prbj.g_01464	Prbk.g_00476			
N31.HOG0000106	OG0000091	n0																																				Prbj.g_01072	Prbk.g_00275			
N31.HOG0000107	OG0000092	n0																																				Prbj.g_01678	Prbk.g_02012			
N31.HOG0000108	OG0000093	n0																																				Prbj.g_01029	Prbk.g_00992			
N31.HOG0000109	OG0000094	n3																																				Prbj.g_00985	Prbk.g_00948			
N31.HOG0000110	OG0000095	n0																																				Prbj.g_01500	Prbk.g_00512			
N31.HOG0000111	OG0000096	n1																																				Prbj.g_01218	Prbk.g_01603			
N31.HOG0000112	OG0000097	n0																																				Prbj.g_01999	Prbk.g_02204			
N31.HOG0000113	OG0000098	n0																																				Prbj.g_02076	Prbk.g_02281			
N31.HOG0000114	OG0000099	n0																																				Prbj.g_01195	Prbk.g_01626			
N31.HOG0000115	OG0000101	n0																																				Prbj.g_01921	Prbk.g_02126			
N31.HOG0000116	OG0000102	n0																																				Prbj.g_01551	Prbk.g_00191			
N31.HOG0000117	OG0000103	n0																																				Prbj.g_01566	Prbk.g_00206			
N31.HOG0000118	OG0000104	n0																																				Prbj.g_01547	Prbk.g_00559			
N31.HOG0000119	OG0000105	n0																																				Prbj.g_00517	Prbk.g_00777			
N31.HOG0000120	OG0000106	n0																																				Prbj.g_01138	Prbk.g_01280			
N31.HOG0000121	OG0000107	n0																																				Prbj.g_01157	Prbk.g_01261			
N31.HOG0000122	OG0000108	n0																																				Prbj.g_01167	Prbk.g_01251			
N31.HOG0000123	OG0000109	n0																																				Prbj.g_02614	Prbk.g_01515			
N31.HOG0000124	OG0000110	n0																																				Prbj.g_01352	Prbk.g_01001			
N31.HOG0000125	OG0000111	n0																																				Prbj.g_01397	Prbk.g_00409			
N31.HOG0000126	OG0000112	n4																																				Prbj.g_01410	Prbk.g_00422			
N31.HOG0000127	OG0000113	n0																																				Prbj.g_01426	Prbk.g_00438			
N31.HOG0000128	OG0000114	n0																																				Prbj.g_01480	Prbk.g_00492			
N31.HOG0000129	OG0000115	n0																																				Prbj.g_00129	Prbk.g_02112			
N31.HOG0000130	OG0000116	n0																																				Prbj.g_00127	Prbk.g_02114			
N31.HOG0000131	OG0000117	n0																																				Prbj.g_01630	Prbk.g_02061			
N31.HOG0000132	OG0000118	n0																																				Prbj.g_01608	Prbk.g_01862			
N31.HOG0000133	OG0000119	n0																																				Prbj.g_02125	Prbk.g_01078			
N31.HOG0000134	OG0000120	n0																																				Prbj.g_02127	Prbk.g_01080			
N31.HOG0000135	OG0000121	n0																																				Prbj.g_02668	Prbk.g_02684			
N31.HOG0000136	OG0000122	n0																																				Prbj.g_01866	Prbk.g_01890			
N31.HOG0000137	OG0000123	n0																																				Prbj.g_01790	Prbk.g_01121			
N31.HOG0000138	OG0000124	n0																																				Prbj.g_00792	Prbk.g_00740			
N31.HOG0000139	OG0000125	n0																																				Prbj.g_00793	Prbk.g_00739			
N31.HOG0000140	OG0000126	n0																																				Prbj.g_00794	Prbk.g_00738			
N31.HOG0000141	OG0000127	n0																																				Prbj.g_00429	Prbk.g_01385			
N31.HOG0000142	OG0000128	n0																																				Prbj.g_02181	Prbk.g_00616			
N31.HOG0000143	OG0000129	n0																																				Prbj.g_02314	Prbk.g_02370			
N31.HOG0000144	OG0000130	n0																																				Prbj.g_00023	Prbk.g_01642			
N31.HOG0000145	OG0000131	n0																																				Prbj.g_02410	Prbk.g_02466			
N31.HOG0000146	OG0000132	n0																																				Prbj.g_02474	Prbk.g_02530			
N31.HOG0000147	OG0000133	n0																																				Prbj.g_02382	Prbk.g_02438			
N31.HOG0000148	OG0000134	n0																																				Prbj.g_02388	Prbk.g_02444			
N31.HOG0000149	OG0000135	n0																																				Prbj.g_02260	Prbk.g_02316			
N31.HOG0000150	OG0000136	n0																																				Prbj.g_01841	Prbk.g_00059			
N31.HOG0000151	OG0000137	n0																																				Prbj.g_01992	Prbk.g_02197			
N31.HOG0000152	OG0000138	n0																																				Prbj.g_00965	Prbk.g_01025			
N31.HOG0000153	OG0000139	n0																																				Prbj.g_00843	Prbk.g_00144			
N31.HOG0000154	OG0000140	n0																																				Prbj.g_00020	Prbk.g_00121			
N31.HOG0000155	OG0000141	n0																																				Prbj.g_01848	Prbk.g_00066			
N31.HOG0000156	OG0000142	n0																																				Prbj.g_01742	Prbk.g_01169			
N31.HOG0000157	OG0000143	n0																																				Prbj.g_01639	Prbk.g_02052			
N31.HOG0000158	OG0000144	n0																																				Prbj.g_01040	Prbk.g_00243			
N31.HOG0000159	OG0000145	n0																																				Prbj.g_01057	Prbk.g_00260			
N31.HOG0000160	OG0000146	n0																																				Prbj.g_00656	Prbk.g_01212			
N31.HOG0000161	OG0000147	n0																																				Prbj.g_00882	Prbk.g_00932			
N31.HOG0000162	OG0000148	n0																																				Prbj.g_00881	Prbk.g_00931			
N31.HOG0000163	OG0000149	n0																																				Prbj.g_00863	Prbk.g_00913			
N31.HOG0000164	OG0000150	n0																																				Prbj.g_00461	Prbk.g_01417			
N31.HOG0000165	OG0000151	n0																																				Prbj.g_00458	Prbk.g_01414			
N31.HOG0000166	OG0000152	n0																																				Prbj.g_00425	Prbk.g_01381			
N31.HOG0000167	OG0000153	n0																																				Prbj.g_01024	Prbk.g_00987			
N31.HOG0000168	OG0000154	n0																																				Prbj.g_00987	Prbk.g_00950			
N31.HOG0000169	OG0000155	n0																																				Prbj.g_00400	Prbk.g_00811			
N31.HOG0000170	OG0000156	n0																																				Prbj.g_01516	Prbk.g_00528			
N31.HOG0000171	OG0000157	n0																																				Prbj.g_01280	Prbk.g_01540			
N31.HOG0000172	OG0000158	n0																																				Prbj.g_02047	Prbk.g_02252			
N31.HOG0000173	OG0000160	n0																																				Prbj.g_02074	Prbk.g_02279			
N31.HOG0000174	OG0000161	n0																																				Prbj.g_02075	Prbk.g_02280			
N31.HOG0000175	OG0000162	n0																																				Prbj.g_02077	Prbk.g_02282			
N31.HOG0000176	OG0000163	n0																																				Prbj.g_02078	Prbk.g_02283			
N31.HOG0000177	OG0000164	n0																																				Prbj.g_02079	Prbk.g_02284			
N31.HOG0000178	OG0000165	n0																																				Prbj.g_02080	Prbk.g_02285			
N31.HOG0000179	OG0000166	n0																																				Prbj.g_02082	Prbk.g_02287			
N31.HOG0000180	OG0000167	n0																																				Prbj.g_02083	Prbk.g_02288			
N31.HOG0000181	OG0000168	n0																																				Prbj.g_02084	Prbk.g_02289			
N31.HOG0000182	OG0000169	n0																																				Prbj.g_02086	Prbk.g_02291			
N31.HOG0000183	OG0000170	n0																																				Prbj.g_01182	Prbk.g_01639			
N31.HOG0000184	OG0000171	n0																																				Prbj.g_01183	Prbk.g_01638			
N31.HOG0000185	OG0000172	n0																																				Prbj.g_01188	Prbk.g_01633			
N31.HOG0000186	OG0000173	n0																																				Prbj.g_01189	Prbk.g_01632			
N31.HOG0000187	OG0000174	n0																																				Prbj.g_01190	Prbk.g_01631			
N31.HOG0000188	OG0000175	n0																																				Prbj.g_01191	Prbk.g_01630			
N31.HOG0000189	OG0000176	n0																																				Prbj.g_01192	Prbk.g_01629			
N31.HOG0000190	OG0000177	n0																																				Prbj.g_01193	Prbk.g_01628			
N31.HOG0000191	OG0000178	n0																																				Prbj.g_01194	Prbk.g_01627			
N31.HOG0000192	OG0000179	n0																																				Prbj.g_01196	Prbk.g_01625			
N31.HOG0000193	OG0000180	n0																																				Prbj.g_01197	Prbk.g_01624			
N31.HOG0000194	OG0000181	n0																																				Prbj.g_01198	Prbk.g_01623			
N31.HOG0000195	OG0000182	n0																																				Prbj.g_01199	Prbk.g_01622			
N31.HOG0000196	OG0000183	n0																																				Prbj.g_01200	Prbk.g_01621			
N31.HOG0000197	OG0000184	n0																																				Prbj.g_01202	Prbk.g_01619			
N31.HOG0000198	OG0000185	n0																																				Prbj.g_01207	Prbk.g_01614			
N31.HOG0000199	OG0000186	n0																																				Prbj.g_01212	Prbk.g_01609			
N31.HOG0000200	OG0000187	n0																																				Prbj.g_01213	Prbk.g_01608			
N31.HOG0000201	OG0000188	n0																																				Prbj.g_01214	Prbk.g_01607			
N31.HOG0000202	OG0000189	n0																																				Prbj.g_01215	Prbk.g_01606			
N31.HOG0000203	OG0000190	n0																																				Prbj.g_01217	Prbk.g_01604			
N31.HOG0000204	OG0000191	n0																																				Prbj.g_01953	Prbk.g_02158			
N31.HOG0000205	OG0000192	n0																																				Prbj.g_01951	Prbk.g_02156			
N31.HOG0000206	OG0000193	n0																																				Prbj.g_01950	Prbk.g_02155			
N31.HOG0000207	OG0000194	n0																																				Prbj.g_01943	Prbk.g_02148			
N31.HOG0000208	OG0000195	n0																																				Prbj.g_01936	Prbk.g_02141			
N31.HOG0000209	OG0000196	n0																																				Prbj.g_01928	Prbk.g_02133			
N31.HOG0000210	OG0000197	n0																																				Prbj.g_01920	Prbk.g_02125			
N31.HOG0000211	OG0000198	n0																																				Prbj.g_01919	Prbk.g_02124			
