HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N28.HOG0000000	OG0000000	n11	Praa.g_01235																													Prbd.g_01914										
N28.HOG0000001	OG0000000	n40	Praa.g_01598				Prae.g_01580																			Prax.g_01608						Prbd.g_01568					Prbi.g_01709					
N28.HOG0000002	OG0000000	n62	Praa.g_01244																							Prax.g_00496																
N28.HOG0000003	OG0000000	n106																														Prbd.g_01569										
N28.HOG0000004	OG0000000	n113					Prae.g_01222																																			
N28.HOG0000005	OG0000000	n128																								Prax.g_00259																
N28.HOG0000006	OG0000000	n204	Praa.g_01297				Prae.g_01300																			Prax.g_01920						Prbd.g_01836					Prbi.g_01370					
N28.HOG0000007	OG0000001	n1	Praa.g_01359				Prae.g_01361																			Prax.g_01870						Prbd.g_01771					Prbi.g_01432					
N28.HOG0000008	OG0000001	n47	Praa.g_00678				Prae.g_00652																			Prax.g_00964						Prbd.g_00566					Prbi.g_00681					
N28.HOG0000009	OG0000002	n18					Prae.g_01236																			Prax.g_00522																
N28.HOG0000010	OG0000002	n24					Prae.g_01224, Prae.g_01223																																			
N28.HOG0000011	OG0000002	n39	Praa.g_01222, Praa.g_01220																																							
N28.HOG0000012	OG0000002	n46																																			Prbi.g_01270					
N28.HOG0000013	OG0000002	n68	Praa.g_01351				Prae.g_01353																			Prax.g_01878						Prbd.g_01779					Prbi.g_01424					
N28.HOG0000014	OG0000003	n1					Prae.g_00039																																			
N28.HOG0000015	OG0000003	n42																								Prax.g_01963																
N28.HOG0000016	OG0000003	n61	Praa.g_00038				Prae.g_00040																			Prax.g_01976											Prbi.g_00047					
N28.HOG0000017	OG0000003	n85																																			Prbi.g_01743					
N28.HOG0000018	OG0000004	n40	Praa.g_01298				Prae.g_01308																			Prax.g_01919						Prbd.g_01835					Prbi.g_01371					
N28.HOG0000019	OG0000004	n61	Praa.g_01599				Prae.g_01581																			Prax.g_01606						Prbd.g_01567					Prbi.g_01710					
N28.HOG0000020	OG0000004	n78	Praa.g_00413																							Prax.g_00494																
N28.HOG0000021	OG0000005	n1	Praa.g_00735				Prae.g_00735																			Prax.g_00444						Prbd.g_00031					Prbi.g_00775					
N28.HOG0000022	OG0000005	n23	Praa.g_00742				Prae.g_00742																			Prax.g_00437						Prbd.g_00038					Prbi.g_00782					
N28.HOG0000023	OG0000005	n74	Praa.g_01294				Prae.g_01297																			Prax.g_01924						Prbd.g_01855										
N28.HOG0000024	OG0000006	n3	Praa.g_01280				Prae.g_01283																			Prax.g_01936						Prbd.g_01870					Prbi.g_01352					
N28.HOG0000025	OG0000006	n20																								Prax.g_00500						Prbd.g_01840										
N28.HOG0000026	OG0000006	n34	Praa.g_00755				Prae.g_00756																			Prax.g_00424						Prbd.g_00053					Prbi.g_00797					
N28.HOG0000027	OG0000006	n51	Praa.g_01110				Prae.g_01110																			Prax.g_00141						Prbd.g_00409					Prbi.g_01156					
N28.HOG0000028	OG0000007	n5					Prae.g_01605																																			
N28.HOG0000029	OG0000007	n7																																			Prbi.g_01329					
N28.HOG0000030	OG0000007	n15	Praa.g_00997				Prae.g_00997																			Prax.g_01162						Prbd.g_00297					Prbi.g_01042					
N28.HOG0000031	OG0000007	n27																								Prax.g_01960																
N28.HOG0000032	OG0000007	n32	Praa.g_01256				Prae.g_01264																			Prax.g_01958						Prbd.g_01894					Prbi.g_01331					
N28.HOG0000033	OG0000007	n50	Praa.g_00382				Prae.g_00383																			Prax.g_00791						Prbd.g_00854					Prbi.g_00408					
N28.HOG0000034	OG0000008	n1	Praa.g_00497				Prae.g_00471																			Prax.g_00704						Prbd.g_00745					Prbi.g_00500					
N28.HOG0000035	OG0000008	n40	Praa.g_01635				Prae.g_01623																			Prax.g_01559						Prbd.g_01525					Prbi.g_01787					
N28.HOG0000036	OG0000009	n5																																			Prbi.g_01745					
N28.HOG0000037	OG0000009	n53	Praa.g_00054				Prae.g_00056																																			
N28.HOG0000038	OG0000009	n54	Praa.g_00056				Prae.g_01612																														Prbi.g_01272, Prbi.g_01771, Prbi.g_01276					
N28.HOG0000039	OG0000010	n6	Praa.g_00782				Prae.g_00786																			Prax.g_00393						Prbd.g_00082					Prbi.g_00827					
N28.HOG0000040	OG0000010	n44	Praa.g_00249				Prae.g_00252																			Prax.g_00926						Prbd.g_00990					Prbi.g_00273					
N28.HOG0000041	OG0000011	n5	Praa.g_00374				Prae.g_00375																			Prax.g_00798						Prbd.g_00863					Prbi.g_00399					
N28.HOG0000042	OG0000011	n28	Praa.g_00754				Prae.g_00755																			Prax.g_00425						Prbd.g_00052					Prbi.g_00796					
N28.HOG0000043	OG0000012	n2	Praa.g_01092				Prae.g_01093																									Prbd.g_00392					Prbi.g_01139					
N28.HOG0000044	OG0000012	n23																								Prax.g_00173						Prbd.g_00439										
N28.HOG0000045	OG0000012	n43																								Prax.g_00512																
N28.HOG0000046	OG0000012	n45	Praa.g_00373				Prae.g_00374																			Prax.g_00799						Prbd.g_00864					Prbi.g_00398					
N28.HOG0000047	OG0000013	n12	Praa.g_01589				Prae.g_01572																			Prax.g_01617						Prbd.g_01576					Prbi.g_01701					
N28.HOG0000048	OG0000013	n32	Praa.g_00105																													Prbd.g_01139					Prbi.g_00112					
N28.HOG0000049	OG0000014	n5	Praa.g_01409				Prae.g_01401																														Prbi.g_01502					
N28.HOG0000050	OG0000014	n43	Praa.g_00306				Prae.g_00307																			Prax.g_00869						Prbd.g_00933					Prbi.g_00330					
N28.HOG0000051	OG0000015	n29	Praa.g_00330				Prae.g_00331																			Prax.g_00843						Prbd.g_00909					Prbi.g_00354					
N28.HOG0000052	OG0000016	n4	Praa.g_00765				Prae.g_00769																									Prbd.g_00065					Prbi.g_00810					
