HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N21.HOG0000000	OG0000000	n25										Praj.g_01077, Praj.g_01357, Praj.g_00418																		Prbb.g_00432, Prbb.g_01401, Prbb.g_01120												
N21.HOG0000001	OG0000000	n34										Praj.g_01730																		Prbb.g_01785												
N21.HOG0000002	OG0000000	n77										Praj.g_01309																		Prbb.g_01121												
N21.HOG0000003	OG0000000	n78										Praj.g_01272																		Prbb.g_01319, Prbb.g_00431												
N21.HOG0000004	OG0000000	n84										Praj.g_01202																		Prbb.g_01244												
N21.HOG0000005	OG0000000	n86										Praj.g_00417																														
N21.HOG0000006	OG0000000	n163										Praj.g_01100																		Prbb.g_01145												
N21.HOG0000007	OG0000000	n177										Praj.g_01307, Praj.g_01732																		Prbb.g_01123												
N21.HOG0000008	OG0000000	n193																												Prbb.g_01787												
N21.HOG0000009	OG0000000	n201										Praj.g_00087																		Prbb.g_00103												
N21.HOG0000010	OG0000000	n203										Praj.g_01267																		Prbb.g_01313												
N21.HOG0000011	OG0000001	n1										Praj.g_00832																		Prbb.g_00844												
N21.HOG0000012	OG0000001	n74										Praj.g_00670																		Prbb.g_00683												
N21.HOG0000013	OG0000001	n88										Praj.g_01492																		Prbb.g_01549												
N21.HOG0000014	OG0000001	n103										Praj.g_01489																		Prbb.g_01546												
N21.HOG0000015	OG0000001	n116										Praj.g_01488																		Prbb.g_01545												
N21.HOG0000016	OG0000001	n150										Praj.g_01493																		Prbb.g_01550												
N21.HOG0000017	OG0000001	n153										Praj.g_01487																		Prbb.g_01544												
N21.HOG0000018	OG0000002	n53										Praj.g_01861																		Prbb.g_01915												
