HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N3.HOG0000000	OG0000000	n11			Prac.g_00277														Praq.g_01956	Prar.g_00713																						
N3.HOG0000001	OG0000000	n40			Prac.g_00292														Praq.g_00026	Prar.g_00729																						
N3.HOG0000002	OG0000000	n121																	Praq.g_00025																							
N3.HOG0000003	OG0000000	n143			Prac.g_00926, Prac.g_00293															Prar.g_00730																						
N3.HOG0000004	OG0000001	n1			Prac.g_00210														Praq.g_00168	Prar.g_00918																						
N3.HOG0000005	OG0000001	n47			Prac.g_00693														Praq.g_00807	Prar.g_01508																						
N3.HOG0000006	OG0000002	n7			Prac.g_00925														Praq.g_01393	Prar.g_01203																						
N3.HOG0000007	OG0000002	n24			Prac.g_00924														Praq.g_01394	Prar.g_01202																						
N3.HOG0000008	OG0000002	n68			Prac.g_00202														Praq.g_00160	Prar.g_00926																						
N3.HOG0000009	OG0000003	n61			Prac.g_01905														Praq.g_01242	Prar.g_00593																						
N3.HOG0000010	OG0000004	n40			Prac.g_00157														Praq.g_00115	Prar.g_00973																						
N3.HOG0000011	OG0000004	n61			Prac.g_00290														Praq.g_00028	Prar.g_00727																						
N3.HOG0000012	OG0000005	n1			Prac.g_01536														Praq.g_00607	Prar.g_01623																						
N3.HOG0000013	OG0000005	n23			Prac.g_01529														Praq.g_00614	Prar.g_01630																						
N3.HOG0000014	OG0000006	n3			Prac.g_00139														Praq.g_00097	Prar.g_00991																						
N3.HOG0000015	OG0000006	n20			Prac.g_01958														Praq.g_00081	Prar.g_01006																						
N3.HOG0000016	OG0000006	n34			Prac.g_01516														Praq.g_00628	Prar.g_01643																						
N3.HOG0000017	OG0000006	n51			Prac.g_01035														Praq.g_01283	Prar.g_01313																						
N3.HOG0000018	OG0000007	n1			Prac.g_00880														Praq.g_00046	Prar.g_01160																						
N3.HOG0000019	OG0000007	n24			Prac.g_01954														Praq.g_00085	Prar.g_01002																						
N3.HOG0000020	OG0000007	n50			Prac.g_01149														Praq.g_01159	Prar.g_00445																						
N3.HOG0000021	OG0000007	n70			Prac.g_00893														Praq.g_00059	Prar.g_01173																						
N3.HOG0000022	OG0000008	n1			Prac.g_00874														Praq.g_01105	Prar.g_01328																						
N3.HOG0000023	OG0000008	n40			Prac.g_00625														Praq.g_00497	Prar.g_01143																						
N3.HOG0000024	OG0000009	n3																		Prar.g_00932																						
N3.HOG0000025	OG0000009	n5																		Prar.g_00931																						
N3.HOG0000026	OG0000009	n51			Prac.g_00566														Praq.g_00861	Prar.g_01009																						
N3.HOG0000027	OG0000010	n6			Prac.g_01496														Praq.g_00649	Prar.g_01663																						
N3.HOG0000028	OG0000010	n44			Prac.g_01681														Praq.g_01753	Prar.g_00078																						
N3.HOG0000029	OG0000011	n5			Prac.g_01158														Praq.g_01168	Prar.g_00436																						
N3.HOG0000030	OG0000011	n28																	Praq.g_00627																							
N3.HOG0000031	OG0000012	n42			Prac.g_01159														Praq.g_01169	Prar.g_00435																						
N3.HOG0000032	OG0000013	n12			Prac.g_00301														Praq.g_00017	Prar.g_00737																						
N3.HOG0000033	OG0000013	n32			Prac.g_01826														Praq.g_01898	Prar.g_00223																						
N3.HOG0000034	OG0000014	n2			Prac.g_01625														Praq.g_01696	Prar.g_00281																						
N3.HOG0000035	OG0000015	n1			Prac.g_01127														Praq.g_01137	Prar.g_00468																						
N3.HOG0000036	OG0000015	n29			Prac.g_01601														Praq.g_01672	Prar.g_00257																						
N3.HOG0000037	OG0000016	n0			Prac.g_00898														Praq.g_00065	Prar.g_01179																						
N3.HOG0000038	OG0000017	n0			Prac.g_01074														Praq.g_00521	Prar.g_00520																						
N3.HOG0000039	OG0000018	n0			Prac.g_00773														Praq.g_01004	Prar.g_01428																						
N3.HOG0000040	OG0000019	n32			Prac.g_01151														Praq.g_01161	Prar.g_00443																						
N3.HOG0000041	OG0000020	n0			Prac.g_00213														Praq.g_00171	Prar.g_00915																						
N3.HOG0000042	OG0000021	n5			Prac.g_01901														Praq.g_01246	Prar.g_00589																						
N3.HOG0000043	OG0000021	n33			Prac.g_00391														Praq.g_00314	Prar.g_00827																						
N3.HOG0000044	OG0000022	n0			Prac.g_01689														Praq.g_01761	Prar.g_00086																						
N3.HOG0000045	OG0000023	n0			Prac.g_01169														Praq.g_01179	Prar.g_00425																						
N3.HOG0000046	OG0000024	n0			Prac.g_00151														Praq.g_00109	Prar.g_00979																						
N3.HOG0000047	OG0000025	n0			Prac.g_01525														Praq.g_00618	Prar.g_01634																						
N3.HOG0000048	OG0000026	n0			Prac.g_00159														Praq.g_00117	Prar.g_00971																						
N3.HOG0000049	OG0000027	n6			Prac.g_00699														Praq.g_00801	Prar.g_01502																						
N3.HOG0000050	OG0000028	n2			Prac.g_00904														Praq.g_00071	Prar.g_01185																						
N3.HOG0000051	OG0000028	n32			Prac.g_00134														Praq.g_00092	Prar.g_00996																						
N3.HOG0000052	OG0000029	n0			Prac.g_01495														Praq.g_00650	Prar.g_01664																						
N3.HOG0000053	OG0000030	n0			Prac.g_01494														Praq.g_00651	Prar.g_01665																						
N3.HOG0000054	OG0000031	n0			Prac.g_00048														Praq.g_00770	Prar.g_00660																						
N3.HOG0000055	OG0000032	n25			Prac.g_01913														Praq.g_01237	Prar.g_00004																						
N3.HOG0000056	OG0000032	n27			Prac.g_01914														Praq.g_01236	Prar.g_00005																						
N3.HOG0000057	OG0000032	n29			Prac.g_00908														Praq.g_00075	Prar.g_01189																						
N3.HOG0000058	OG0000033	n16			Prac.g_00325														Praq.g_00381	Prar.g_00761																						
N3.HOG0000059	OG0000033	n31			Prac.g_01533														Praq.g_00610	Prar.g_01626																						
N3.HOG0000060	OG0000034	n33			Prac.g_00411														Praq.g_00294	Prar.g_00339																						
N3.HOG0000061	OG0000035	n22			Prac.g_00300														Praq.g_00018	Prar.g_00736																						
N3.HOG0000062	OG0000035	n42			Prac.g_00890														Praq.g_00056	Prar.g_01170																						
N3.HOG0000063	OG0000036	n1			Prac.g_00906														Praq.g_00073	Prar.g_01187																						
