Orthogroup	Praq	Praw
OG0000000	Praq.g_00168	Praw.g_01009
OG0000000	Praq.g_00807	Praw.g_01844
OG0000001	Praq.g_00025	Praw.g_00294
OG0000001	Praq.g_00025	Praw.g_00454
OG0000001	Praq.g_00025	Praw.g_00496
OG0000001	Praq.g_01392	Praw.g_00294
OG0000001	Praq.g_01392	Praw.g_00454
OG0000001	Praq.g_01392	Praw.g_00496
OG0000002	Praq.g_00160	Praw.g_01000
OG0000002	Praq.g_01393	Praw.g_00497
OG0000003	Praq.g_00115	Praw.g_00959
OG0000004	Praq.g_00607	Praw.g_01775
OG0000004	Praq.g_00614	Praw.g_01769
OG0000005	Praq.g_01956	Praw.g_01780
OG0000005	Praq.g_00026	Praw.g_00455
OG0000006	Praq.g_01105	Praw.g_00651
OG0000006	Praq.g_00497	Praw.g_00515
OG0000007	Praq.g_00071	Praw.g_00501
OG0000007	Praq.g_00801	Praw.g_01850
OG0000008	Praq.g_01159	Praw.g_00750
OG0000008	Praq.g_00059	Praw.g_00328
OG0000008	Praq.g_00085	Praw.g_00928
OG0000009	Praq.g_00649	Praw.g_01717
OG0000009	Praq.g_01753	Praw.g_00884
OG0000010	Praq.g_00081	Praw.g_00482
OG0000010	Praq.g_01283	Praw.g_00184
OG0000010	Praq.g_00097	Praw.g_00945
OG0000011	Praq.g_01672	Praw.g_00804
OG0000012	Praq.g_01004	Praw.g_01944
OG0000013	Praq.g_00065	Praw.g_01738
OG0000014	Praq.g_00521	Praw.g_00677, Praw.g_00962, Praw.g_00492
OG0000015	Praq.g_01161	Praw.g_00752
OG0000016	Praq.g_00171	Praw.g_01012
OG0000017	Praq.g_00314	Praw.g_00357
OG0000018	Praq.g_01761	Praw.g_01950
OG0000019	Praq.g_01179	Praw.g_00767, Praw.g_00479
OG0000020	Praq.g_01169	Praw.g_00758, Praw.g_00504
OG0000021	Praq.g_00651	Praw.g_01715
OG0000022	Praq.g_00117	Praw.g_00493, Praw.g_00961, Praw.g_01782
OG0000023	Praq.g_00017	Praw.g_00447
OG0000024	Praq.g_01696	Praw.g_00828
OG0000025	Praq.g_01654	Praw.g_01432
OG0000026	Praq.g_01236, Praq.g_01237	Praw.g_01395
OG0000027	Praq.g_00610	Praw.g_01773
OG0000028	Praq.g_00294	Praw.g_01083, Praw.g_01081
OG0000029	Praq.g_00018	Praw.g_00448
OG0000030	Praq.g_01242	Praw.g_01390
OG0000032	Praq.g_00209	Praw.g_01073
OG0000035	Praq.g_01475	Praw.g_00323
OG0000035	Praq.g_01657	Praw.g_01428
OG0000036	Praq.g_01018	Praw.g_01932
OG0000037	Praq.g_00979	Praw.g_00159
OG0000038	Praq.g_00635	Praw.g_01746
OG0000039	Praq.g_01836	Praw.g_01269
OG0000040	Praq.g_01184	Praw.g_00772
OG0000041	Praq.g_01129	Praw.g_00730
OG0000042	Praq.g_00583	Praw.g_01809
OG0000043	Praq.g_00654	Praw.g_01712
OG0000044	Praq.g_01333	Praw.g_00234
OG0000045	Praq.g_00218	Praw.g_01055
OG0000047	Praq.g_00763	Praw.g_00039
OG0000048	Praq.g_00770	Praw.g_00032
OG0000050	Praq.g_01234	Praw.g_01397
OG0000051	Praq.g_01845	Praw.g_01278
OG0000052	Praq.g_01173	Praw.g_00762
OG0000053	Praq.g_01063	Praw.g_00609
OG0000054	Praq.g_00629	Praw.g_01752
OG0000055	Praq.g_01420	Praw.g_01675
OG0000056	Praq.g_01289	Praw.g_00189
OG0000057	Praq.g_01765	Praw.g_01198
OG0000058	Praq.g_00526	Praw.g_00672
OG0000059	Praq.g_00827	Praw.g_01824
OG0000060	Praq.g_00612	Praw.g_01771
OG0000061	Praq.g_01298	Praw.g_00199, Praw.g_01519
OG0000062	Praq.g_01300	Praw.g_00201
OG0000063	Praq.g_00084	Praw.g_00926
OG0000064	Praq.g_00091	Praw.g_00935
OG0000065	Praq.g_00133	Praw.g_00981
OG0000066	Praq.g_00208	Praw.g_01050
OG0000068	Praq.g_00879	Praw.g_00096
OG0000069	Praq.g_00202	Praw.g_01043
OG0000071	Praq.g_00437	Praw.g_01125
OG0000072	Praq.g_01680	Praw.g_00812
OG0000073	Praq.g_00798	Praw.g_01853
OG0000074	Praq.g_00820	Praw.g_01831
OG0000075	Praq.g_00677	Praw.g_01690
OG0000076	Praq.g_01619	Praw.g_01467
OG0000078	Praq.g_00216	Praw.g_01051
OG0000079	Praq.g_00372	Praw.g_00415
OG0000080	Praq.g_00052	Praw.g_00464
OG0000081	Praq.g_00737	Praw.g_00066
OG0000082	Praq.g_00392	Praw.g_01170
OG0000083	Praq.g_00429	Praw.g_01133
OG0000084	Praq.g_00432	Praw.g_01130
OG0000085	Praq.g_01226	Praw.g_01405
OG0000086	Praq.g_01254	Praw.g_01389, Praw.g_00735
OG0000087	Praq.g_01265	Praw.g_01379
OG0000088	Praq.g_01890	Praw.g_01322
OG0000089	Praq.g_01882	Praw.g_01314
OG0000090	Praq.g_01864	Praw.g_01296
OG0000091	Praq.g_01833	Praw.g_01266
OG0000092	Praq.g_01832	Praw.g_01265
OG0000093	Praq.g_01818	Praw.g_01251
OG0000094	Praq.g_01800	Praw.g_01233
OG0000095	Praq.g_01795	Praw.g_01228
OG0000096	Praq.g_01751	Praw.g_00882
OG0000097	Praq.g_01729	Praw.g_00860
OG0000098	Praq.g_01718	Praw.g_00850
OG0000099	Praq.g_01708	Praw.g_00840
OG0000100	Praq.g_01705	Praw.g_00837
OG0000101	Praq.g_01187	Praw.g_00775
OG0000102	Praq.g_01160	Praw.g_00751
OG0000103	Praq.g_00527	Praw.g_00671
OG0000104	Praq.g_00531	Praw.g_00667
OG0000105	Praq.g_01103	Praw.g_00649
OG0000106	Praq.g_01070	Praw.g_00616
