Orthogroup	Praq	Prbm
OG0000000	Praq.g_00168	Prbm.g_00874
OG0000000	Praq.g_00807	Prbm.g_00712, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581
OG0000002	Praq.g_00160	Prbm.g_01633
OG0000002	Praq.g_01394, Praq.g_01393	Prbm.g_00496, Prbm.g_01940
OG0000003	Praq.g_00115	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814
OG0000004	Praq.g_00607, Praq.g_00614	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000005	Praq.g_01956	Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_01808, Prbm.g_01407, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_00436
OG0000006	Praq.g_01105	Prbm.g_00522
OG0000006	Praq.g_00497	Prbm.g_01841
OG0000007	Praq.g_00071	Prbm.g_01907
OG0000008	Praq.g_01159	Prbm.g_00463
OG0000009	Praq.g_00649	Prbm.g_00792
OG0000010	Praq.g_00081, Praq.g_01283, Praq.g_00097	Prbm.g_01359
OG0000011	Praq.g_01137	Prbm.g_00428
OG0000011	Praq.g_01672	Prbm.g_00390
OG0000012	Praq.g_01004	Prbm.g_00628, Prbm.g_00635
OG0000013	Praq.g_00065	Prbm.g_01427, Prbm.g_01149
OG0000015	Praq.g_01161	Prbm.g_01415, Prbm.g_01164
OG0000016	Praq.g_00171	Prbm.g_01653
OG0000017	Praq.g_00314, Praq.g_01246	Prbm.g_01729
OG0000018	Praq.g_01761	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000020	Praq.g_01169	Prbm.g_00329
OG0000021	Praq.g_00651	Prbm.g_01091, Prbm.g_01262, Prbm.g_01017, Prbm.g_01016
OG0000022	Praq.g_00117	Prbm.g_01115, Prbm.g_01408, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000023	Praq.g_00017	Prbm.g_01400, Prbm.g_01235
OG0000024	Praq.g_01696	Prbm.g_00362, Prbm.g_02126
OG0000025	Praq.g_01654	Prbm.g_00118, Prbm.g_01485
OG0000026	Praq.g_01236, Praq.g_01237, Praq.g_00075	Prbm.g_01947
OG0000027	Praq.g_00381	Prbm.g_01124, Prbm.g_01110, Prbm.g_01445, Prbm.g_01461
OG0000028	Praq.g_00294	Prbm.g_01710
OG0000029	Praq.g_00018, Praq.g_00056	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000030	Praq.g_01242	Prbm.g_00528, Prbm.g_00529, Prbm.g_00530, Prbm.g_01595, Prbm.g_01289, Prbm.g_01287, Prbm.g_01985, Prbm.g_00532, Prbm.g_01828, Prbm.g_01982, Prbm.g_00036
OG0000032	Praq.g_00209	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000035	Praq.g_01475	Prbm.g_01482
OG0000036	Praq.g_01018	Prbm.g_01900
OG0000037	Praq.g_00979	Prbm.g_01106
OG0000038	Praq.g_00635	Prbm.g_01204
OG0000039	Praq.g_01836	Prbm.g_00225
OG0000040	Praq.g_01184	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000041	Praq.g_01129	Prbm.g_01351
OG0000042	Praq.g_00583	Prbm.g_00742
OG0000043	Praq.g_00654	Prbm.g_00950
OG0000044	Praq.g_01333	Prbm.g_01549
OG0000045	Praq.g_00271	Prbm.g_00881
OG0000047	Praq.g_00763, Praq.g_01243	Prbm.g_02094
OG0000048	Praq.g_00770	Prbm.g_02102
OG0000050	Praq.g_01234	Prbm.g_00031
OG0000051	Praq.g_01845, Praq.g_00554	Prbm.g_00216
OG0000052	Praq.g_01173	Prbm.g_01172, Prbm.g_01237
OG0000053	Praq.g_01063	Prbm.g_00572
OG0000054	Praq.g_00629	Prbm.g_00047
OG0000055	Praq.g_01420	Prbm.g_00838, Prbm.g_01191
OG0000056	Praq.g_01289	Prbm.g_00048
OG0000057	Praq.g_01765	Prbm.g_00297
OG0000058	Praq.g_00526	Prbm.g_00500
OG0000059	Praq.g_00827	Prbm.g_00735
OG0000060	Praq.g_00612, Praq.g_00083, Praq.g_00548, Praq.g_00857	Prbm.g_01186
OG0000061	Praq.g_01298	Prbm.g_01648
OG0000062	Praq.g_01300	Prbm.g_01910
OG0000063	Praq.g_00084	Prbm.g_01522
OG0000065	Praq.g_00133	Prbm.g_00468, Prbm.g_01611
OG0000066	Praq.g_00208	Prbm.g_00707
OG0000067	Praq.g_00100	Prbm.g_01174
OG0000068	Praq.g_00879	Prbm.g_02033
OG0000069	Praq.g_00202	Prbm.g_01747
OG0000071	Praq.g_00437	Prbm.g_00011
OG0000072	Praq.g_01680	Prbm.g_00377
OG0000073	Praq.g_00798	Prbm.g_00702
OG0000074	Praq.g_00820	Prbm.g_00728
OG0000075	Praq.g_00677	Prbm.g_00821
OG0000076	Praq.g_01619	Prbm.g_01064
OG0000078	Praq.g_00216	Prbm.g_00394
OG0000079	Praq.g_00372	Prbm.g_01792
OG0000080	Praq.g_00052	Prbm.g_01182
OG0000081	Praq.g_00737	Prbm.g_02067
OG0000082	Praq.g_00392	Prbm.g_02188
OG0000083	Praq.g_00429	Prbm.g_00003
OG0000084	Praq.g_00432	Prbm.g_00006
OG0000085	Praq.g_01226	Prbm.g_00023
OG0000086	Praq.g_01254	Prbm.g_00063, Prbm.g_01170
OG0000087	Praq.g_01265	Prbm.g_00058
OG0000088	Praq.g_01890	Prbm.g_00172
OG0000089	Praq.g_01882	Prbm.g_00181
OG0000090	Praq.g_01864	Prbm.g_00198
OG0000091	Praq.g_01833	Prbm.g_00228
OG0000092	Praq.g_01832	Prbm.g_00229
OG0000093	Praq.g_01818	Prbm.g_00243
OG0000094	Praq.g_01800	Prbm.g_00262
OG0000095	Praq.g_01795	Prbm.g_00266
OG0000096	Praq.g_01751	Prbm.g_00310
OG0000097	Praq.g_01729	Prbm.g_00331
OG0000098	Praq.g_01718	Prbm.g_00341
OG0000099	Praq.g_01708	Prbm.g_00350
OG0000100	Praq.g_01705	Prbm.g_00353
OG0000101	Praq.g_01187	Prbm.g_00425
OG0000102	Praq.g_01160	Prbm.g_01389
OG0000103	Praq.g_00527	Prbm.g_00501
OG0000104	Praq.g_00531	Prbm.g_00506
OG0000105	Praq.g_01103	Prbm.g_00533
OG0000106	Praq.g_01070	Prbm.g_00565
OG0000107	Praq.g_01069	Prbm.g_00566
OG0000108	Praq.g_01059	Prbm.g_00576
OG0000109	Praq.g_01050	Prbm.g_00585
OG0000110	Praq.g_01034	Prbm.g_00601
OG0000111	Praq.g_00780	Prbm.g_00682
OG0000112	Praq.g_00781	Prbm.g_00683
OG0000113	Praq.g_00605	Prbm.g_00766
OG0000114	Praq.g_00668	Prbm.g_00812
OG0000115	Praq.g_01548	Prbm.g_00988
OG0000116	Praq.g_01552	Prbm.g_00992
OG0000117	Praq.g_01616	Prbm.g_01061
OG0000118	Praq.g_01667	Prbm.g_01210
OG0000119	Praq.g_01303	Prbm.g_01913
OG0000120	Praq.g_01339	Prbm.g_01542
OG0000121	Praq.g_01358	Prbm.g_01519
OG0000122	Praq.g_01377	Prbm.g_01499
OG0000123	Praq.g_01390	Prbm.g_01489
OG0000124	Praq.g_00257	Prbm.g_01054
OG0000125	Praq.g_00145	Prbm.g_01622
OG0000126	Praq.g_00175	Prbm.g_01660
OG0000127	Praq.g_00281	Prbm.g_01696
OG0000128	Praq.g_00295	Prbm.g_01711
OG0000129	Praq.g_00331	Prbm.g_01745
OG0000130	Praq.g_01954, Praq.g_00499	Prbm.g_01839
OG0000131	Praq.g_00461	Prbm.g_01876
OG0000132	Praq.g_00458	Prbm.g_01878
OG0000133	Praq.g_00920	Prbm.g_01991
OG0000134	Praq.g_00884	Prbm.g_02027
OG0000135	Praq.g_00882	Prbm.g_02029
OG0000136	Praq.g_00748	Prbm.g_02079
OG0000137	Praq.g_00683	Prbm.g_02114
OG0000138	Praq.g_00718	Prbm.g_02176
OG0000139	Praq.g_00409	Prbm.g_02212
OG0000140	Praq.g_00427	Prbm.g_00001
OG0000141	Praq.g_00428	Prbm.g_00002
OG0000142	Praq.g_00430	Prbm.g_00004
OG0000143	Praq.g_00431	Prbm.g_00005
OG0000144	Praq.g_00433	Prbm.g_00007
OG0000145	Praq.g_00434	Prbm.g_00008
OG0000146	Praq.g_00435	Prbm.g_00009
OG0000147	Praq.g_00436	Prbm.g_00010
OG0000148	Praq.g_00438	Prbm.g_00012
OG0000149	Praq.g_01217	Prbm.g_00014
OG0000150	Praq.g_01218	Prbm.g_00015
OG0000151	Praq.g_01219	Prbm.g_00016
OG0000152	Praq.g_01220	Prbm.g_00017
OG0000153	Praq.g_01221	Prbm.g_00018
OG0000154	Praq.g_01222	Prbm.g_00019
OG0000155	Praq.g_01223	Prbm.g_00020
OG0000156	Praq.g_01224	Prbm.g_00021
OG0000157	Praq.g_01225	Prbm.g_00022
OG0000158	Praq.g_01227	Prbm.g_00024
OG0000159	Praq.g_01228	Prbm.g_00025
OG0000160	Praq.g_01229	Prbm.g_00026
OG0000161	Praq.g_01230	Prbm.g_00027
OG0000162	Praq.g_01231	Prbm.g_00028
OG0000163	Praq.g_01232	Prbm.g_00029
OG0000164	Praq.g_01235	Prbm.g_00032
OG0000165	Praq.g_01239	Prbm.g_00033
OG0000166	Praq.g_01240	Prbm.g_00034
OG0000167	Praq.g_01241	Prbm.g_00035
OG0000168	Praq.g_01255	Prbm.g_00049
OG0000169	Praq.g_01257	Prbm.g_00051
OG0000170	Praq.g_01258	Prbm.g_00052
OG0000171	Praq.g_01259	Prbm.g_00053
OG0000172	Praq.g_01261	Prbm.g_00054
OG0000173	Praq.g_01262	Prbm.g_00055
OG0000174	Praq.g_01263	Prbm.g_00056
OG0000175	Praq.g_01264	Prbm.g_00057
OG0000176	Praq.g_01266	Prbm.g_00059
OG0000177	Praq.g_01267	Prbm.g_00060
OG0000178	Praq.g_01268	Prbm.g_00061
OG0000179	Praq.g_01939	Prbm.g_00121
OG0000180	Praq.g_01938	Prbm.g_00122
OG0000181	Praq.g_01937	Prbm.g_00123
OG0000182	Praq.g_01934	Prbm.g_00126
OG0000183	Praq.g_01933	Prbm.g_00127
OG0000184	Praq.g_01930	Prbm.g_00130
OG0000185	Praq.g_01926	Prbm.g_00134
OG0000186	Praq.g_01925	Prbm.g_00135
OG0000187	Praq.g_01924	Prbm.g_00136
OG0000188	Praq.g_01923	Prbm.g_00137
OG0000189	Praq.g_01922	Prbm.g_00138
OG0000190	Praq.g_01921	Prbm.g_00139
OG0000191	Praq.g_01920	Prbm.g_00140
OG0000192	Praq.g_01919	Prbm.g_00141
OG0000193	Praq.g_01918	Prbm.g_00142
OG0000194	Praq.g_01917	Prbm.g_00143
OG0000195	Praq.g_01915	Prbm.g_00145
OG0000196	Praq.g_01914	Prbm.g_00146
OG0000197	Praq.g_01913	Prbm.g_00147
OG0000198	Praq.g_01912	Prbm.g_00148
OG0000199	Praq.g_01909	Prbm.g_00151
OG0000200	Praq.g_01908	Prbm.g_00152
OG0000201	Praq.g_01907	Prbm.g_00153
OG0000202	Praq.g_01906	Prbm.g_00154
OG0000203	Praq.g_01905	Prbm.g_00155
OG0000204	Praq.g_01904	Prbm.g_00156
OG0000205	Praq.g_01903	Prbm.g_00158
OG0000206	Praq.g_01902	Prbm.g_00159
OG0000207	Praq.g_01901	Prbm.g_00160
OG0000208	Praq.g_01900	Prbm.g_00161
OG0000209	Praq.g_01899	Prbm.g_00162
OG0000210	Praq.g_01897	Prbm.g_00163
OG0000211	Praq.g_01896	Prbm.g_00164
OG0000212	Praq.g_01895	Prbm.g_00165
OG0000213	Praq.g_01894	Prbm.g_00166
OG0000214	Praq.g_01892	Prbm.g_00170
OG0000215	Praq.g_01891	Prbm.g_00171
OG0000216	Praq.g_01889	Prbm.g_00173
OG0000217	Praq.g_01888	Prbm.g_00175
OG0000218	Praq.g_01887	Prbm.g_00176
OG0000219	Praq.g_01886	Prbm.g_00177
OG0000220	Praq.g_01883	Prbm.g_00179
OG0000221	Praq.g_01881	Prbm.g_00182
OG0000222	Praq.g_01880	Prbm.g_00183
OG0000223	Praq.g_01879	Prbm.g_00184
OG0000224	Praq.g_01876	Prbm.g_00187
OG0000225	Praq.g_01874	Prbm.g_00189
OG0000226	Praq.g_01873	Prbm.g_00191
OG0000227	Praq.g_01872	Prbm.g_00192
OG0000228	Praq.g_01871	Prbm.g_00193
OG0000229	Praq.g_01870	Prbm.g_00194
OG0000230	Praq.g_01869	Prbm.g_00195
OG0000231	Praq.g_01867	Prbm.g_01096
OG0000232	Praq.g_01866	Prbm.g_00196
OG0000233	Praq.g_01863	Prbm.g_00199
OG0000234	Praq.g_01861	Prbm.g_00202
OG0000235	Praq.g_01857	Prbm.g_00204
OG0000236	Praq.g_01856	Prbm.g_00205
OG0000237	Praq.g_01855	Prbm.g_00206
OG0000238	Praq.g_01854	Prbm.g_00207
OG0000239	Praq.g_01853	Prbm.g_00208
OG0000240	Praq.g_01851	Prbm.g_00210
OG0000241	Praq.g_01850	Prbm.g_00211
OG0000242	Praq.g_01849	Prbm.g_00212
OG0000243	Praq.g_01848	Prbm.g_00213
OG0000244	Praq.g_01847	Prbm.g_00214
OG0000245	Praq.g_01846	Prbm.g_00215
OG0000246	Praq.g_01844	Prbm.g_00217
OG0000247	Praq.g_01843	Prbm.g_00218
OG0000248	Praq.g_01842	Prbm.g_00219
OG0000249	Praq.g_01841	Prbm.g_00220
OG0000250	Praq.g_01840	Prbm.g_00221
OG0000251	Praq.g_01839	Prbm.g_00222
OG0000252	Praq.g_01838	Prbm.g_00223
OG0000253	Praq.g_01837	Prbm.g_00224
OG0000254	Praq.g_01835	Prbm.g_00226
OG0000255	Praq.g_01834	Prbm.g_00227
OG0000256	Praq.g_01831	Prbm.g_00230
OG0000257	Praq.g_01829	Prbm.g_00232
OG0000258	Praq.g_01828	Prbm.g_00233
OG0000259	Praq.g_01827	Prbm.g_00234
OG0000260	Praq.g_01826	Prbm.g_00235
OG0000261	Praq.g_01825	Prbm.g_00236
OG0000262	Praq.g_01824	Prbm.g_00237
OG0000263	Praq.g_01823	Prbm.g_00238
OG0000264	Praq.g_01821	Prbm.g_00240
OG0000265	Praq.g_01820	Prbm.g_00241
OG0000266	Praq.g_01819	Prbm.g_00242
OG0000267	Praq.g_01817	Prbm.g_00244
OG0000268	Praq.g_01816	Prbm.g_00246
OG0000269	Praq.g_01815	Prbm.g_00247
OG0000270	Praq.g_01814	Prbm.g_00248
OG0000271	Praq.g_01813	Prbm.g_00249
OG0000272	Praq.g_01812	Prbm.g_00250
OG0000273	Praq.g_01811	Prbm.g_00251
OG0000274	Praq.g_01810	Prbm.g_00252
OG0000275	Praq.g_01809	Prbm.g_00253
OG0000276	Praq.g_01808	Prbm.g_00254
OG0000277	Praq.g_01807	Prbm.g_00255
OG0000278	Praq.g_01806	Prbm.g_00256
OG0000279	Praq.g_01805	Prbm.g_00257
OG0000280	Praq.g_01804	Prbm.g_00258
OG0000281	Praq.g_01802	Prbm.g_00260
OG0000282	Praq.g_01801	Prbm.g_00261
OG0000283	Praq.g_01798	Prbm.g_00263
OG0000284	Praq.g_01797	Prbm.g_00264
