Orthogroup	Praq	Prah
OG0000000	Praq.g_00168	Prah.g_00562
OG0000000	Praq.g_00807	Prah.g_01226
OG0000002	Praq.g_00160	Prah.g_00324, Prah.g_01159, Prah.g_01343, Prah.g_02270, Prah.g_00896
OG0000003	Praq.g_00115	Prah.g_01347
OG0000004	Praq.g_00607, Praq.g_00614	Prah.g_01175, Prah.g_00215
OG0000006	Praq.g_01105	Prah.g_01546
OG0000006	Praq.g_00497	Prah.g_01676
OG0000007	Praq.g_00071	Prah.g_00970
OG0000007	Praq.g_00801	Prah.g_00969
OG0000009	Praq.g_00649, Praq.g_01753	Prah.g_02086
OG0000011	Praq.g_01137	Prah.g_00321, Prah.g_00322
OG0000011	Praq.g_01672	Prah.g_00353
OG0000012	Praq.g_01004	Prah.g_01405, Prah.g_01397
OG0000013	Praq.g_00065	Prah.g_01155, Prah.g_00576
OG0000016	Praq.g_00171	Prah.g_01007, Prah.g_01048
OG0000017	Praq.g_01246	Prah.g_00381
OG0000018	Praq.g_01761	Prah.g_00475, Prah.g_01767
OG0000019	Praq.g_01179	Prah.g_01410
OG0000020	Praq.g_01169	Prah.g_02122
OG0000024	Praq.g_01696	Prah.g_02171
OG0000025	Praq.g_01654	Prah.g_01120
OG0000026	Praq.g_01236, Praq.g_01237, Praq.g_00075	Prah.g_00042
OG0000028	Praq.g_00294	Prah.g_00408
OG0000032	Praq.g_00209	Prah.g_02248, Prah.g_00091
OG0000036	Praq.g_01018	Prah.g_01427
OG0000037	Praq.g_00979	Prah.g_00524
OG0000038	Praq.g_00635	Prah.g_01209, Prah.g_00170
OG0000039	Praq.g_01836	Prah.g_00957, Prah.g_02304
OG0000040	Praq.g_01184	Prah.g_00688
OG0000042	Praq.g_00583	Prah.g_00958, Prah.g_00887
OG0000043	Praq.g_00654	Prah.g_01231, Prah.g_01233
OG0000044	Praq.g_01333	Prah.g_00104, Prah.g_01322
OG0000045	Praq.g_00218, Praq.g_00271	Prah.g_02195
OG0000047	Praq.g_00763, Praq.g_01243	Prah.g_00150
OG0000048	Praq.g_00770	Prah.g_01256, Prah.g_00135
OG0000050	Praq.g_01234	Prah.g_00038
OG0000051	Praq.g_01845, Praq.g_00554	Prah.g_02295
OG0000052	Praq.g_01173	Prah.g_01660
OG0000053	Praq.g_01063	Prah.g_01485
OG0000054	Praq.g_00629	Prah.g_01812
OG0000055	Praq.g_01420	Prah.g_00641
OG0000056	Praq.g_01289	Prah.g_02425
OG0000057	Praq.g_01765	Prah.g_01778
OG0000058	Praq.g_00526	Prah.g_00105, Prah.g_00312
OG0000059	Praq.g_00827	Prah.g_01027
OG0000062	Praq.g_01300	Prah.g_02524
OG0000063	Praq.g_00084	Prah.g_01257
OG0000065	Praq.g_00133	Prah.g_01364
OG0000066	Praq.g_00208	Prah.g_02192
OG0000068	Praq.g_00879	Prah.g_01995
OG0000069	Praq.g_00202	Prah.g_02196, Prah.g_00358
OG0000071	Praq.g_00437	Prah.g_00013
OG0000072	Praq.g_01680	Prah.g_02187
OG0000073	Praq.g_00798	Prah.g_00445
OG0000074	Praq.g_00820	Prah.g_00974
OG0000075	Praq.g_00677	Prah.g_00660
OG0000076	Praq.g_01619	Prah.g_00915
OG0000078	Praq.g_00216	Prah.g_02191
OG0000079	Praq.g_00372	Prah.g_01654
OG0000080	Praq.g_00052	Prah.g_01609
OG0000081	Praq.g_00737	Prah.g_02230
OG0000082	Praq.g_00392	Prah.g_02533
OG0000083	Praq.g_00429	Prah.g_00004
OG0000084	Praq.g_00432	Prah.g_00007
OG0000085	Praq.g_01226	Prah.g_00029
OG0000087	Praq.g_01265	Prah.g_02458
OG0000088	Praq.g_01890	Prah.g_00194
OG0000089	Praq.g_01882	Prah.g_00176, Prah.g_00180
OG0000090	Praq.g_01864	Prah.g_02268
OG0000091	Praq.g_01833	Prah.g_02307
OG0000092	Praq.g_01832	Prah.g_02308
OG0000093	Praq.g_01818	Prah.g_02324
OG0000094	Praq.g_01800	Prah.g_02362
OG0000095	Praq.g_01795	Prah.g_02371
OG0000096	Praq.g_01751	Prah.g_02089
OG0000097	Praq.g_01729	Prah.g_02126
OG0000098	Praq.g_01718	Prah.g_02139
OG0000099	Praq.g_01708	Prah.g_02151
OG0000100	Praq.g_01705	Prah.g_02155
OG0000101	Praq.g_01187	Prah.g_00208
OG0000102	Praq.g_01160	Prah.g_02538
OG0000103	Praq.g_00527	Prah.g_00313, Prah.g_00314
OG0000104	Praq.g_00531	Prah.g_01566
OG0000105	Praq.g_01103	Prah.g_01544
OG0000106	Praq.g_01070	Prah.g_01503, Prah.g_00108
OG0000107	Praq.g_01069	Prah.g_01501
OG0000108	Praq.g_01059	Prah.g_01476
OG0000109	Praq.g_01050	Prah.g_01465
OG0000110	Praq.g_01034	Prah.g_01446
OG0000111	Praq.g_00780	Prah.g_00474
OG0000112	Praq.g_00781	Prah.g_00473
OG0000113	Praq.g_00605	Prah.g_00752
OG0000114	Praq.g_00668	Prah.g_00669, Prah.g_01823
OG0000115	Praq.g_01548	Prah.g_00796
OG0000116	Praq.g_01552	Prah.g_00805
OG0000117	Praq.g_01616	Prah.g_00912
OG0000118	Praq.g_01667	Prah.g_02597
OG0000119	Praq.g_01303	Prah.g_02526
OG0000120	Praq.g_01339	Prah.g_01315
OG0000121	Praq.g_01358	Prah.g_01254
OG0000122	Praq.g_01377	Prah.g_01276
OG0000123	Praq.g_01390	Prah.g_01237, Prah.g_01238
OG0000124	Praq.g_00257	Prah.g_00905
OG0000125	Praq.g_00145	Prah.g_01378
OG0000126	Praq.g_00175	Prah.g_01576
OG0000127	Praq.g_00281	Prah.g_00424
OG0000128	Praq.g_00295	Prah.g_00407
OG0000129	Praq.g_00331	Prah.g_00361
OG0000130	Praq.g_01954, Praq.g_00499	Prah.g_01672
OG0000131	Praq.g_00461	Prah.g_01725
OG0000132	Praq.g_00458	Prah.g_01728
OG0000133	Praq.g_00920	Prah.g_02038
OG0000134	Praq.g_00884	Prah.g_02001
OG0000135	Praq.g_00882	Prah.g_01999
OG0000136	Praq.g_00748	Prah.g_02244
OG0000137	Praq.g_00683	Prah.g_00116, Prah.g_00089
OG0000138	Praq.g_00718	Prah.g_02498
OG0000139	Praq.g_00409	Prah.g_02578
OG0000140	Praq.g_00427	Prah.g_00002
OG0000141	Praq.g_00428	Prah.g_00003
OG0000142	Praq.g_00430	Prah.g_00005
OG0000143	Praq.g_00431	Prah.g_00006
OG0000144	Praq.g_00433	Prah.g_00008
OG0000145	Praq.g_00434	Prah.g_00010
OG0000146	Praq.g_00435	Prah.g_00011
OG0000147	Praq.g_00436	Prah.g_00012
OG0000148	Praq.g_00438	Prah.g_00014
OG0000149	Praq.g_01217	Prah.g_00016
OG0000150	Praq.g_01218	Prah.g_00017
OG0000151	Praq.g_01219	Prah.g_00022
OG0000152	Praq.g_01220	Prah.g_00023
OG0000153	Praq.g_01221	Prah.g_00024
OG0000154	Praq.g_01222	Prah.g_00025
OG0000155	Praq.g_01223	Prah.g_00026
OG0000156	Praq.g_01224	Prah.g_00027
OG0000157	Praq.g_01225	Prah.g_00028
OG0000158	Praq.g_01227	Prah.g_00030
OG0000159	Praq.g_01228	Prah.g_00031
OG0000160	Praq.g_01229	Prah.g_00032
OG0000161	Praq.g_01230	Prah.g_00033
OG0000162	Praq.g_01231	Prah.g_00034
OG0000163	Praq.g_01232	Prah.g_00036
OG0000164	Praq.g_01235	Prah.g_00041
OG0000165	Praq.g_01239	Prah.g_00046
OG0000166	Praq.g_01240	Prah.g_00047
OG0000167	Praq.g_01241	Prah.g_00048
OG0000168	Praq.g_01255	Prah.g_00049
OG0000169	Praq.g_01257	Prah.g_00051
OG0000170	Praq.g_01258	Prah.g_02488
OG0000171	Praq.g_01259	Prah.g_02486
OG0000172	Praq.g_01261	Prah.g_02485
OG0000173	Praq.g_01262	Prah.g_02478
OG0000174	Praq.g_01263	Prah.g_02471
OG0000175	Praq.g_01264	Prah.g_02466
OG0000176	Praq.g_01266	Prah.g_02457
OG0000177	Praq.g_01267	Prah.g_02454
OG0000178	Praq.g_01268	Prah.g_02453
OG0000179	Praq.g_01939	Prah.g_01830
OG0000180	Praq.g_01938	Prah.g_01833
OG0000181	Praq.g_01937	Prah.g_01834
OG0000182	Praq.g_01934	Prah.g_01838
OG0000183	Praq.g_01933	Prah.g_01839
OG0000184	Praq.g_01930	Prah.g_01843
OG0000185	Praq.g_01926	Prah.g_01849
OG0000186	Praq.g_01925	Prah.g_01850
OG0000187	Praq.g_01924	Prah.g_01211
OG0000188	Praq.g_01923	Prah.g_01851
OG0000189	Praq.g_01922	Prah.g_01859
OG0000190	Praq.g_01921	Prah.g_01860
OG0000191	Praq.g_01920	Prah.g_01861
OG0000192	Praq.g_01919	Prah.g_01862
OG0000193	Praq.g_01918	Prah.g_01863
OG0000194	Praq.g_01917	Prah.g_01864
OG0000195	Praq.g_01915	Prah.g_01866
OG0000196	Praq.g_01914	Prah.g_01867
OG0000197	Praq.g_01913	Prah.g_01873
OG0000198	Praq.g_01912	Prah.g_01877
OG0000199	Praq.g_01909	Prah.g_01882
OG0000200	Praq.g_01908	Prah.g_01883
OG0000201	Praq.g_01907	Prah.g_01884
OG0000202	Praq.g_01906	Prah.g_01886
OG0000203	Praq.g_01905	Prah.g_01887
OG0000204	Praq.g_01904	Prah.g_01888
OG0000205	Praq.g_01903	Prah.g_01890
OG0000206	Praq.g_01902	Prah.g_01891
OG0000207	Praq.g_01901	Prah.g_01892
OG0000208	Praq.g_01900	Prah.g_01893
OG0000209	Praq.g_01899	Prah.g_01894
OG0000210	Praq.g_01897	Prah.g_01896
OG0000211	Praq.g_01896	Prah.g_01897
OG0000212	Praq.g_01895	Prah.g_01898
