Orthogroup	Praq	Prbf
OG0000000	Praq.g_00168	Prbf.g_01182, Prbf.g_01177
OG0000000	Praq.g_00807	Prbf.g_01285, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260
OG0000002	Praq.g_00160	Prbf.g_00068
OG0000002	Praq.g_01394, Praq.g_01393	Prbf.g_00831
OG0000003	Praq.g_00115	Prbf.g_00880
OG0000004	Praq.g_00607, Praq.g_00614	Prbf.g_00052
OG0000005	Praq.g_01956	Prbf.g_00776
OG0000006	Praq.g_01105	Prbf.g_01780
OG0000006	Praq.g_00497	Prbf.g_00693
OG0000007	Praq.g_00071	Prbf.g_00793
OG0000009	Praq.g_00649	Prbf.g_00894
OG0000009	Praq.g_01753	Prbf.g_01588
OG0000010	Praq.g_00081, Praq.g_01283, Praq.g_00097	Prbf.g_00306
OG0000011	Praq.g_01137	Prbf.g_01707
OG0000012	Praq.g_01004	Prbf.g_01880, Prbf.g_01887
OG0000013	Praq.g_00065	Prbf.g_00754, Prbf.g_00708
OG0000014	Praq.g_00521	Prbf.g_00817, Prbf.g_00774
OG0000015	Praq.g_01161	Prbf.g_00765, Prbf.g_00732
OG0000016	Praq.g_00171	Prbf.g_00864, Prbf.g_00254
OG0000017	Praq.g_01246	Prbf.g_00178, Prbf.g_00748
OG0000018	Praq.g_01761	Prbf.g_01580
OG0000019	Praq.g_01179	Prbf.g_01259
OG0000020	Praq.g_01169	Prbf.g_00039, Prbf.g_01611
OG0000021	Praq.g_00651	Prbf.g_00711
OG0000023	Praq.g_00017	Prbf.g_00252
OG0000024	Praq.g_01696	Prbf.g_01647
OG0000025	Praq.g_01654	Prbf.g_00845
OG0000026	Praq.g_00075	Prbf.g_00808
OG0000028	Praq.g_00294	Prbf.g_00157
OG0000029	Praq.g_00018, Praq.g_00056	Prbf.g_01738
OG0000032	Praq.g_00209	Prbf.g_00116
OG0000035	Praq.g_01475	Prbf.g_00299
OG0000036	Praq.g_01018	Prbf.g_00704, Prbf.g_01867
OG0000037	Praq.g_00979	Prbf.g_00272, Prbf.g_01905
OG0000038	Praq.g_00635	Prbf.g_00248
OG0000039	Praq.g_01836	Prbf.g_01500
OG0000040	Praq.g_01184	Prbf.g_00287
OG0000041	Praq.g_01129	Prbf.g_00729, Prbf.g_00735
OG0000042	Praq.g_00583	Prbf.g_01253
OG0000043	Praq.g_00654	Prbf.g_01153
OG0000044	Praq.g_01333	Prbf.g_00918
OG0000045	Praq.g_00218, Praq.g_00271	Prbf.g_00117
OG0000047	Praq.g_00763, Praq.g_01243	Prbf.g_00496
OG0000048	Praq.g_00770	Prbf.g_00487
OG0000050	Praq.g_01234	Prbf.g_01354
OG0000051	Praq.g_01845, Praq.g_00554	Prbf.g_01491
OG0000052	Praq.g_01173	Prbf.g_00320
OG0000053	Praq.g_01063	Prbf.g_01820, Prbf.g_00781
OG0000054	Praq.g_00629	Prbf.g_01922
OG0000055	Praq.g_01420	Prbf.g_01222
OG0000056	Praq.g_01289	Prbf.g_00862
OG0000057	Praq.g_01765	Prbf.g_01575
OG0000058	Praq.g_00526	Prbf.g_01758
OG0000059	Praq.g_00827	Prbf.g_01261
OG0000062	Praq.g_01300	Prbf.g_00788
OG0000063	Praq.g_00084	Prbf.g_00945
OG0000065	Praq.g_00133	Prbf.g_00026
OG0000066	Praq.g_00208	Prbf.g_00115
OG0000067	Praq.g_00100	Prbf.g_00347
OG0000068	Praq.g_00879	Prbf.g_00558
OG0000069	Praq.g_00202	Prbf.g_00196
OG0000071	Praq.g_00437	Prbf.g_00382
OG0000072	Praq.g_01680	Prbf.g_01661
OG0000073	Praq.g_00798	Prbf.g_01018
OG0000074	Praq.g_00820	Prbf.g_01271
OG0000075	Praq.g_00677	Prbf.g_01238
OG0000076	Praq.g_01619	Prbf.g_01170
OG0000078	Praq.g_00216	Prbf.g_00118
OG0000079	Praq.g_00372	Prbf.g_00242
OG0000080	Praq.g_00052	Prbf.g_00346
OG0000081	Praq.g_00737	Prbf.g_00524
OG0000082	Praq.g_00392	Prbf.g_00351
