Orthogroup	Praq	Prbl
OG0000000	Praq.g_00168	Prbl.g_01582
OG0000000	Praq.g_00807	Prbl.g_01092
OG0000002	Praq.g_00160	Prbl.g_00725, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_00121, Prbl.g_02578
OG0000003	Praq.g_00115	Prbl.g_00117
OG0000004	Praq.g_00607, Praq.g_00614	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679
OG0000006	Praq.g_01105	Prbl.g_00531
OG0000006	Praq.g_00497	Prbl.g_00394
OG0000007	Praq.g_00071	Prbl.g_01855
OG0000007	Praq.g_00801	Prbl.g_01854
OG0000009	Praq.g_00649, Praq.g_01753	Prbl.g_01509
OG0000011	Praq.g_01137	Prbl.g_01574
OG0000011	Praq.g_01672	Prbl.g_00719
OG0000012	Praq.g_01004	Prbl.g_01755, Prbl.g_01763
OG0000013	Praq.g_00065	Prbl.g_01566
OG0000016	Praq.g_00171	Prbl.g_00007, Prbl.g_00046
OG0000017	Praq.g_01246	Prbl.g_00691
OG0000018	Praq.g_01761	Prbl.g_02601
OG0000019	Praq.g_01179	Prbl.g_01768
OG0000020	Praq.g_01169	Prbl.g_01465
OG0000024	Praq.g_01696	Prbl.g_01416
OG0000026	Praq.g_01236, Praq.g_01237, Praq.g_00075	Prbl.g_01981
OG0000028	Praq.g_00294	Prbl.g_00242
OG0000032	Praq.g_00209	Prbl.g_00835, Prbl.g_00830
OG0000036	Praq.g_01018	Prbl.g_01783
OG0000037	Praq.g_00979	Prbl.g_01618
OG0000038	Praq.g_00635	Prbl.g_01072, Prbl.g_01310
OG0000039	Praq.g_01836	Prbl.g_01838, Prbl.g_00281
OG0000040	Praq.g_01184	Prbl.g_02355
OG0000042	Praq.g_00583	Prbl.g_01839, Prbl.g_02567
OG0000043	Praq.g_00654	Prbl.g_01097, Prbl.g_01099
OG0000044	Praq.g_01333	Prbl.g_02084
OG0000045	Praq.g_00218, Praq.g_00271	Prbl.g_00890
OG0000047	Praq.g_00763, Praq.g_01243	Prbl.g_01285
OG0000048	Praq.g_00770	Prbl.g_01121, Prbl.g_01236
OG0000050	Praq.g_01234	Prbl.g_01977
OG0000051	Praq.g_01845, Praq.g_00554	Prbl.g_00290
OG0000052	Praq.g_01173	Prbl.g_00411
OG0000053	Praq.g_01063	Prbl.g_00752
OG0000054	Praq.g_00629	Prbl.g_01943
OG0000055	Praq.g_01420	Prbl.g_02310
OG0000056	Praq.g_01289	Prbl.g_00138
OG0000058	Praq.g_00526	Prbl.g_01340
OG0000059	Praq.g_00827	Prbl.g_00025
OG0000062	Praq.g_01300	Prbl.g_02204
OG0000063	Praq.g_00084	Prbl.g_01384
OG0000065	Praq.g_00133	Prbl.g_01722
OG0000066	Praq.g_00208	Prbl.g_00892
OG0000068	Praq.g_00879	Prbl.g_01126, Prbl.g_01000
OG0000069	Praq.g_00202	Prbl.g_00889, Prbl.g_00712
OG0000071	Praq.g_00437	Prbl.g_02109
OG0000072	Praq.g_01680	Prbl.g_00897
OG0000073	Praq.g_00798	Prbl.g_01395
OG0000074	Praq.g_00820	Prbl.g_01859
OG0000075	Praq.g_00677	Prbl.g_02328
OG0000076	Praq.g_01619	Prbl.g_00927
OG0000078	Praq.g_00216	Prbl.g_00893
