Orthogroup	Praq	Prbg
OG0000000	Praq.g_00168	Prbg.g_01222, Prbg.g_01227
OG0000000	Praq.g_00807	Prbg.g_01119, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694
OG0000002	Praq.g_00160	Prbg.g_00502
OG0000002	Praq.g_01394, Praq.g_01393	Prbg.g_01069
OG0000003	Praq.g_00115	Prbg.g_01524
OG0000004	Praq.g_00607, Praq.g_00614	Prbg.g_00451
OG0000005	Praq.g_01956	Prbg.g_01567
OG0000006	Praq.g_01105	Prbg.g_00216
OG0000006	Praq.g_00497	Prbg.g_01650
OG0000007	Praq.g_00071	Prbg.g_00744
OG0000009	Praq.g_00649	Prbg.g_01510
OG0000009	Praq.g_01753	Prbg.g_01032
OG0000010	Praq.g_00081, Praq.g_01283, Praq.g_00097	Prbg.g_00032
OG0000011	Praq.g_01137	Prbg.g_00143
OG0000012	Praq.g_01004	Prbg.g_00317, Prbg.g_00324
OG0000013	Praq.g_00065	Prbg.g_01589, Prbg.g_01635
OG0000014	Praq.g_00521	Prbg.g_00721, Prbg.g_01569
OG0000015	Praq.g_01161	Prbg.g_01578, Prbg.g_01611
OG0000016	Praq.g_00171	Prbg.g_01540, Prbg.g_00688
OG0000017	Praq.g_01246	Prbg.g_00612, Prbg.g_01595
OG0000018	Praq.g_01761	Prbg.g_01024
OG0000019	Praq.g_01179	Prbg.g_01145
OG0000020	Praq.g_01169	Prbg.g_00464, Prbg.g_00050
OG0000021	Praq.g_00651	Prbg.g_01632
OG0000023	Praq.g_00017	Prbg.g_00686
OG0000024	Praq.g_01696	Prbg.g_00086
OG0000025	Praq.g_01654	Prbg.g_01055
OG0000026	Praq.g_00075	Prbg.g_00730
OG0000028	Praq.g_00294	Prbg.g_00591
OG0000029	Praq.g_00018, Praq.g_00056	Prbg.g_00174
OG0000032	Praq.g_00209	Prbg.g_00550
OG0000035	Praq.g_01475	Prbg.g_00025
OG0000036	Praq.g_01018	Prbg.g_01639, Prbg.g_00304
OG0000037	Praq.g_00979	Prbg.g_00706, Prbg.g_00342
OG0000038	Praq.g_00635	Prbg.g_00682
OG0000039	Praq.g_01836	Prbg.g_00944
OG0000040	Praq.g_01184	Prbg.g_00013
OG0000041	Praq.g_01129	Prbg.g_01614, Prbg.g_01608
OG0000042	Praq.g_00583	Prbg.g_01151
OG0000043	Praq.g_00654	Prbg.g_01251
OG0000044	Praq.g_01333	Prbg.g_01486
OG0000045	Praq.g_00218, Praq.g_00271	Prbg.g_00551
OG0000047	Praq.g_00763, Praq.g_01243	Prbg.g_01847
OG0000048	Praq.g_00770	Prbg.g_01855
OG0000050	Praq.g_01234	Prbg.g_00842
OG0000051	Praq.g_01845, Praq.g_00554	Prbg.g_00935
OG0000052	Praq.g_01173	Prbg.g_00388
OG0000053	Praq.g_01063	Prbg.g_00256
OG0000054	Praq.g_00629	Prbg.g_00359
OG0000055	Praq.g_01420	Prbg.g_01182
OG0000056	Praq.g_01289	Prbg.g_01542
OG0000057	Praq.g_01765	Prbg.g_01019
OG0000058	Praq.g_00526	Prbg.g_00194
OG0000059	Praq.g_00827	Prbg.g_01143
OG0000062	Praq.g_01300	Prbg.g_00749
OG0000063	Praq.g_00084	Prbg.g_01459
OG0000065	Praq.g_00133	Prbg.g_00477
OG0000066	Praq.g_00208	Prbg.g_00549
OG0000067	Praq.g_00100	Prbg.g_00415
OG0000068	Praq.g_00879	Prbg.g_01785
OG0000069	Praq.g_00202	Prbg.g_00630
OG0000071	Praq.g_00437	Prbg.g_00778
OG0000072	Praq.g_01680	Prbg.g_00100
OG0000073	Praq.g_00798	Prbg.g_01386
OG0000074	Praq.g_00820	Prbg.g_01133
OG0000075	Praq.g_00677	Prbg.g_01166
OG0000076	Praq.g_01619	Prbg.g_01234
OG0000078	Praq.g_00216	Prbg.g_00552
OG0000079	Praq.g_00372	Prbg.g_00676
OG0000080	Praq.g_00052	Prbg.g_00414
OG0000081	Praq.g_00737	Prbg.g_01819
OG0000082	Praq.g_00392	Prbg.g_00419
OG0000083	Praq.g_00429	Prbg.g_00770
OG0000084	Praq.g_00432	Prbg.g_00773
OG0000085	Praq.g_01226	Prbg.g_00851
OG0000087	Praq.g_01265	Prbg.g_00822
OG0000088	Praq.g_01890	Prbg.g_00887
OG0000089	Praq.g_01882	Prbg.g_00896
OG0000090	Praq.g_01864	Prbg.g_00913
OG0000091	Praq.g_01833	Prbg.g_00947
OG0000092	Praq.g_01832	Prbg.g_00948
OG0000093	Praq.g_01818	Prbg.g_00962
OG0000094	Praq.g_01800	Prbg.g_00981
OG0000095	Praq.g_01795	Prbg.g_00986
OG0000096	Praq.g_01751	Prbg.g_01034
OG0000097	Praq.g_01729	Prbg.g_00053
OG0000098	Praq.g_01718	Prbg.g_00064
OG0000099	Praq.g_01708	Prbg.g_00074
OG0000100	Praq.g_01705	Prbg.g_00077
OG0000101	Praq.g_01187	Prbg.g_00139
OG0000102	Praq.g_01160	Prbg.g_00459
OG0000103	Praq.g_00527	Prbg.g_00195
OG0000104	Praq.g_00531	Prbg.g_00199
OG0000105	Praq.g_01103	Prbg.g_00219
OG0000106	Praq.g_01070	Prbg.g_00249
OG0000107	Praq.g_01069	Prbg.g_00250
OG0000108	Praq.g_01059	Prbg.g_00260
OG0000109	Praq.g_01050	Prbg.g_00270
OG0000110	Praq.g_01034	Prbg.g_00287
OG0000111	Praq.g_00780	Prbg.g_01405
OG0000112	Praq.g_00781	Prbg.g_01404
OG0000113	Praq.g_00605	Prbg.g_01354
OG0000114	Praq.g_00668	Prbg.g_01157
OG0000115	Praq.g_01548	Prbg.g_01287
OG0000116	Praq.g_01552	Prbg.g_01291
OG0000117	Praq.g_01616	Prbg.g_01237
OG0000118	Praq.g_01667	Prbg.g_01531
OG0000119	Praq.g_01303	Prbg.g_00752
OG0000120	Praq.g_01339	Prbg.g_01480
OG0000121	Praq.g_01358	Prbg.g_01457
OG0000122	Praq.g_01377	Prbg.g_01437
OG0000123	Praq.g_01390	Prbg.g_00352
OG0000124	Praq.g_00257	Prbg.g_00687
OG0000125	Praq.g_00145	Prbg.g_00490
OG0000126	Praq.g_00175	Prbg.g_00529
OG0000127	Praq.g_00281	Prbg.g_00579
OG0000128	Praq.g_00295	Prbg.g_00592
OG0000129	Praq.g_00331	Prbg.g_00628
OG0000130	Praq.g_01954, Praq.g_00499	Prbg.g_01647
OG0000131	Praq.g_00461	Prbg.g_01686
OG0000132	Praq.g_00458	Prbg.g_01689
OG0000133	Praq.g_00920	Prbg.g_01743
OG0000134	Praq.g_00884	Prbg.g_01779
OG0000135	Praq.g_00882	Prbg.g_01781
OG0000136	Praq.g_00748	Prbg.g_01831
OG0000137	Praq.g_00683	Prbg.g_01865
OG0000138	Praq.g_00718	Prbg.g_01900
OG0000139	Praq.g_00409	Prbg.g_01931
OG0000140	Praq.g_00427	Prbg.g_00768
OG0000141	Praq.g_00428	Prbg.g_00769
OG0000142	Praq.g_00430	Prbg.g_00771
OG0000143	Praq.g_00431	Prbg.g_00772
OG0000144	Praq.g_00433	Prbg.g_00774
OG0000145	Praq.g_00434	Prbg.g_00775
OG0000146	Praq.g_00435	Prbg.g_00776
OG0000147	Praq.g_00436	Prbg.g_00777
OG0000148	Praq.g_00438	Prbg.g_00779
OG0000149	Praq.g_01217	Prbg.g_00860
OG0000150	Praq.g_01218	Prbg.g_00859
OG0000151	Praq.g_01219	Prbg.g_00858
OG0000152	Praq.g_01220	Prbg.g_00857
OG0000153	Praq.g_01221	Prbg.g_00856
OG0000154	Praq.g_01222	Prbg.g_00855
OG0000155	Praq.g_01223	Prbg.g_00854
OG0000156	Praq.g_01224	Prbg.g_00853
OG0000157	Praq.g_01225	Prbg.g_00852
OG0000158	Praq.g_01227	Prbg.g_00850
OG0000159	Praq.g_01228	Prbg.g_00849
OG0000160	Praq.g_01229	Prbg.g_00848
OG0000161	Praq.g_01230	Prbg.g_00847
OG0000162	Praq.g_01231	Prbg.g_00846
OG0000163	Praq.g_01232	Prbg.g_00844
OG0000164	Praq.g_01235	Prbg.g_00841
OG0000165	Praq.g_01239	Prbg.g_00838
OG0000166	Praq.g_01240	Prbg.g_00837
OG0000167	Praq.g_01241	Prbg.g_00836
OG0000168	Praq.g_01255	Prbg.g_00834
OG0000169	Praq.g_01257	Prbg.g_00832
OG0000170	Praq.g_01258	Prbg.g_00830
OG0000171	Praq.g_01259	Prbg.g_00829
OG0000172	Praq.g_01261	Prbg.g_00828
OG0000173	Praq.g_01262	Prbg.g_00825
OG0000174	Praq.g_01263	Prbg.g_00824
OG0000175	Praq.g_01264	Prbg.g_00823
OG0000176	Praq.g_01266	Prbg.g_00821
OG0000177	Praq.g_01267	Prbg.g_00820
OG0000178	Praq.g_01268	Prbg.g_00818
OG0000179	Praq.g_01939	Prbg.g_00806
OG0000180	Praq.g_01938	Prbg.g_00805
OG0000181	Praq.g_01937	Prbg.g_00804
OG0000182	Praq.g_01934	Prbg.g_00800
OG0000183	Praq.g_01933	Prbg.g_00799
OG0000184	Praq.g_01930	Prbg.g_00796
OG0000185	Praq.g_01926	Prbg.g_00792
OG0000186	Praq.g_01925	Prbg.g_00791
OG0000187	Praq.g_01924	Prbg.g_00017
OG0000188	Praq.g_01923	Prbg.g_00790
OG0000189	Praq.g_01922	Prbg.g_00789
OG0000190	Praq.g_01921	Prbg.g_00788
OG0000191	Praq.g_01920	Prbg.g_00787
OG0000192	Praq.g_01919	Prbg.g_00786
OG0000193	Praq.g_01918	Prbg.g_00785
