Orthogroup	Praq	Prab
OG0000000	Praq.g_00807	Prab.g_00683
OG0000001	Praq.g_00025	Prab.g_01278
OG0000001	Praq.g_01392	Prab.g_01278
OG0000001	Praq.g_00025	Prab.g_01597
OG0000001	Praq.g_01392	Prab.g_01597
OG0000002	Praq.g_01393	Prab.g_01279, Prab.g_01281
OG0000003	Praq.g_00115	Prab.g_01308
OG0000004	Praq.g_00607	Prab.g_00921
OG0000004	Praq.g_00614	Prab.g_00747
OG0000005	Praq.g_01956	Prab.g_00760
OG0000005	Praq.g_00026	Prab.g_01598
OG0000006	Praq.g_01105	Prab.g_00501
OG0000006	Praq.g_00497	Prab.g_01669
OG0000007	Praq.g_00801	Prab.g_00677
OG0000008	Praq.g_01159	Prab.g_00372
OG0000008	Praq.g_00059	Prab.g_01613
OG0000008	Praq.g_00085	Prab.g_00971
OG0000009	Praq.g_00649	Prab.g_00820
OG0000009	Praq.g_01753	Prab.g_00239
OG0000010	Praq.g_00081	Prab.g_01596
OG0000010	Praq.g_01283	Prab.g_01165
OG0000011	Praq.g_01672	Prab.g_00318
OG0000012	Praq.g_01004	Prab.g_00602
OG0000013	Praq.g_00065	Prab.g_00789
OG0000014	Praq.g_00521	Prab.g_00914, Prab.g_01616
OG0000015	Praq.g_01161	Prab.g_00370
OG0000016	Praq.g_00171	Prab.g_01356
OG0000017	Praq.g_00314, Praq.g_01246	Prab.g_01486
OG0000018	Praq.g_01761	Prab.g_00231
OG0000019	Praq.g_01179	Prab.g_00354
OG0000020	Praq.g_01169	Prab.g_00411, Prab.g_00363
OG0000021	Praq.g_00651	Prab.g_00822
OG0000022	Praq.g_00117	Prab.g_00915, Prab.g_01617
OG0000023	Praq.g_00017	Prab.g_01584
OG0000024	Praq.g_01696	Prab.g_00294
OG0000025	Praq.g_01654	Prab.g_01130, Prab.g_01635, Prab.g_00394
OG0000026	Praq.g_01236, Praq.g_01237	Prab.g_00033
OG0000027	Praq.g_00610, Praq.g_00381	Prab.g_00719
OG0000028	Praq.g_00294	Prab.g_01466
OG0000029	Praq.g_00018, Praq.g_00056	Prab.g_01585
OG0000030	Praq.g_01242	Prab.g_01280
OG0000032	Praq.g_00209	Prab.g_01446
OG0000035	Praq.g_01475	Prab.g_01082
OG0000035	Praq.g_01657	Prab.g_01134
OG0000036	Praq.g_01018	Prab.g_00589
OG0000037	Praq.g_00979	Prab.g_00627
OG0000038	Praq.g_00635	Prab.g_00782
OG0000039	Praq.g_01836	Prab.g_00157
OG0000040	Praq.g_01184	Prab.g_00348
OG0000041	Praq.g_01129	Prab.g_00425, Prab.g_00405
OG0000042	Praq.g_00583	Prab.g_00723
OG0000043	Praq.g_00654	Prab.g_00825
OG0000044	Praq.g_01333	Prab.g_01219
OG0000045	Praq.g_00218	Prab.g_01393
OG0000047	Praq.g_00763, Praq.g_01243	Prab.g_01857
OG0000048	Praq.g_00770	Prab.g_01864
OG0000050	Praq.g_01234	Prab.g_00031, Prab.g_01629
OG0000051	Praq.g_01845	Prab.g_00148
OG0000052	Praq.g_01173	Prab.g_00359
OG0000053	Praq.g_01063	Prab.g_00543
OG0000054	Praq.g_00629	Prab.g_00775, Prab.g_00803
OG0000055	Praq.g_01420	Prab.g_00862
OG0000056	Praq.g_01289	Prab.g_01634, Prab.g_01171
OG0000057	Praq.g_01765	Prab.g_00228
OG0000058	Praq.g_00526	Prab.g_00479
OG0000059	Praq.g_00827	Prab.g_00703
OG0000060	Praq.g_00612	Prab.g_01297
OG0000061	Praq.g_01298	Prab.g_01184, Prab.g_00990
OG0000062	Praq.g_01300	Prab.g_01186
OG0000063	Praq.g_00084	Prab.g_00717
OG0000064	Praq.g_00091	Prab.g_00978, Prab.g_01627, Prab.g_00720, Prab.g_00400
OG0000065	Praq.g_00133	Prab.g_01637, Prab.g_01326
OG0000066	Praq.g_00208	Prab.g_01447
OG0000067	Praq.g_00100	Prab.g_00799
OG0000068	Praq.g_00879	Prab.g_01802
OG0000071	Praq.g_00437	Prab.g_00011
OG0000072	Praq.g_01680	Prab.g_00310
OG0000073	Praq.g_00798	Prab.g_00674
OG0000074	Praq.g_00820	Prab.g_00696
OG0000075	Praq.g_00677	Prab.g_00847
OG0000076	Praq.g_01619	Prab.g_00929, Prab.g_01299
OG0000078	Praq.g_00216	Prab.g_01394
OG0000079	Praq.g_00372	Prab.g_01544
OG0000080	Praq.g_00052	Prab.g_00922, Prab.g_01290
OG0000081	Praq.g_00737	Prab.g_01832
OG0000082	Praq.g_00392	Prab.g_01920
OG0000083	Praq.g_00429	Prab.g_00003
OG0000084	Praq.g_00432	Prab.g_00006
OG0000085	Praq.g_01226	Prab.g_00023
OG0000086	Praq.g_01254	Prab.g_00038
OG0000087	Praq.g_01265	Prab.g_00048
OG0000088	Praq.g_01890	Prab.g_00104
OG0000089	Praq.g_01882	Prab.g_00112
OG0000090	Praq.g_01864	Prab.g_00129
OG0000091	Praq.g_01833	Prab.g_00160
OG0000092	Praq.g_01832	Prab.g_00161
OG0000093	Praq.g_01818	Prab.g_00175
OG0000094	Praq.g_01800	Prab.g_00193
OG0000095	Praq.g_01795	Prab.g_00198
OG0000096	Praq.g_01751	Prab.g_00241
OG0000097	Praq.g_01729	Prab.g_00262
OG0000098	Praq.g_01718	Prab.g_00272
OG0000099	Praq.g_01708	Prab.g_00282
OG0000100	Praq.g_01705	Prab.g_00285
OG0000101	Praq.g_01187	Prab.g_00344
OG0000102	Praq.g_01160	Prab.g_00371
OG0000103	Praq.g_00527	Prab.g_00480
OG0000104	Praq.g_00531	Prab.g_00484
OG0000105	Praq.g_01103	Prab.g_00503
OG0000106	Praq.g_01070	Prab.g_00536
OG0000107	Praq.g_01069	Prab.g_00537
OG0000108	Praq.g_01059	Prab.g_00547
OG0000109	Praq.g_01050	Prab.g_00556
OG0000110	Praq.g_01034	Prab.g_00573
OG0000111	Praq.g_00780	Prab.g_00656
OG0000112	Praq.g_00781	Prab.g_00657
OG0000113	Praq.g_00605	Prab.g_00745
OG0000114	Praq.g_00668	Prab.g_00838
OG0000115	Praq.g_01548	Prab.g_01010
OG0000116	Praq.g_01552	Prab.g_01006
OG0000117	Praq.g_01616	Prab.g_00932
OG0000118	Praq.g_01667	Prab.g_01144
OG0000119	Praq.g_01303	Prab.g_01189
OG0000120	Praq.g_01339	Prab.g_01225
OG0000121	Praq.g_01358	Prab.g_01244
OG0000122	Praq.g_01377	Prab.g_01263
OG0000123	Praq.g_01390	Prab.g_01276
OG0000124	Praq.g_00257	Prab.g_01284
OG0000125	Praq.g_00145	Prab.g_01338
OG0000126	Praq.g_00175	Prab.g_01360
OG0000127	Praq.g_00281	Prab.g_01453
OG0000128	Praq.g_00295	Prab.g_01467
OG0000129	Praq.g_00331	Prab.g_01503
OG0000130	Praq.g_01954, Praq.g_00499	Prab.g_01667
OG0000131	Praq.g_00461	Prab.g_01705
OG0000132	Praq.g_00458	Prab.g_01708
OG0000133	Praq.g_00920	Prab.g_01761
OG0000134	Praq.g_00884	Prab.g_01797
OG0000135	Praq.g_00882	Prab.g_01799
OG0000136	Praq.g_00748	Prab.g_01842
OG0000137	Praq.g_00683	Prab.g_01874
OG0000138	Praq.g_00718	Prab.g_01910
OG0000139	Praq.g_00409	Prab.g_01937
OG0000140	Praq.g_00427	Prab.g_00001
OG0000141	Praq.g_00428	Prab.g_00002
OG0000142	Praq.g_00430	Prab.g_00004
OG0000143	Praq.g_00431	Prab.g_00005
OG0000144	Praq.g_00433	Prab.g_00007
OG0000145	Praq.g_00434	Prab.g_00008
OG0000146	Praq.g_00435	Prab.g_00009
OG0000147	Praq.g_00436	Prab.g_00010
OG0000148	Praq.g_00438	Prab.g_00012
OG0000149	Praq.g_01217	Prab.g_00014
OG0000150	Praq.g_01218	Prab.g_00015
OG0000151	Praq.g_01219	Prab.g_00016
OG0000152	Praq.g_01220	Prab.g_00017
OG0000153	Praq.g_01221	Prab.g_00018
OG0000154	Praq.g_01222	Prab.g_00019
OG0000155	Praq.g_01223	Prab.g_00020
OG0000156	Praq.g_01224	Prab.g_00021
OG0000157	Praq.g_01225	Prab.g_00022
OG0000158	Praq.g_01227	Prab.g_00024
OG0000159	Praq.g_01228	Prab.g_00025
OG0000160	Praq.g_01229	Prab.g_00026
OG0000161	Praq.g_01230	Prab.g_00027
OG0000162	Praq.g_01231	Prab.g_00028
OG0000163	Praq.g_01232	Prab.g_00029
OG0000164	Praq.g_01235	Prab.g_00032
OG0000165	Praq.g_01239	Prab.g_00035
OG0000166	Praq.g_01240	Prab.g_00036
OG0000167	Praq.g_01241	Prab.g_00037
OG0000168	Praq.g_01255	Prab.g_00039
OG0000169	Praq.g_01257	Prab.g_00041
OG0000170	Praq.g_01258	Prab.g_00042
OG0000171	Praq.g_01259	Prab.g_00043
OG0000172	Praq.g_01261	Prab.g_00044
OG0000173	Praq.g_01262	Prab.g_00045
OG0000174	Praq.g_01263	Prab.g_00046
OG0000175	Praq.g_01264	Prab.g_00047
OG0000176	Praq.g_01266	Prab.g_00049
OG0000177	Praq.g_01267	Prab.g_00050
OG0000178	Praq.g_01268	Prab.g_00051
OG0000179	Praq.g_01939	Prab.g_00056
OG0000180	Praq.g_01938	Prab.g_00057
OG0000181	Praq.g_01937	Prab.g_00058
OG0000182	Praq.g_01934	Prab.g_00061
OG0000183	Praq.g_01933	Prab.g_00062
OG0000184	Praq.g_01930	Prab.g_00065
OG0000185	Praq.g_01926	Prab.g_00069
OG0000186	Praq.g_01925	Prab.g_00070
OG0000187	Praq.g_01924	Prab.g_00071
OG0000188	Praq.g_01923	Prab.g_00072
OG0000189	Praq.g_01922	Prab.g_00073
OG0000190	Praq.g_01921	Prab.g_00074
OG0000191	Praq.g_01920	Prab.g_00075
OG0000192	Praq.g_01919	Prab.g_00076
OG0000193	Praq.g_01918	Prab.g_00077
OG0000194	Praq.g_01917	Prab.g_00078
OG0000195	Praq.g_01915	Prab.g_00080
OG0000196	Praq.g_01914	Prab.g_00081
OG0000197	Praq.g_01913	Prab.g_00082
OG0000198	Praq.g_01912	Prab.g_00083
OG0000199	Praq.g_01909	Prab.g_00085
OG0000200	Praq.g_01908	Prab.g_00086
OG0000201	Praq.g_01907	Prab.g_00087
OG0000202	Praq.g_01906	Prab.g_00088
OG0000203	Praq.g_01905	Prab.g_00089
OG0000204	Praq.g_01904	Prab.g_00090
OG0000205	Praq.g_01903	Prab.g_00091
OG0000206	Praq.g_01902	Prab.g_00092
OG0000207	Praq.g_01901	Prab.g_00093
OG0000208	Praq.g_01900	Prab.g_00094
OG0000209	Praq.g_01899	Prab.g_00095
OG0000210	Praq.g_01897	Prab.g_00097
OG0000211	Praq.g_01896	Prab.g_00098
OG0000212	Praq.g_01895	Prab.g_00099
OG0000213	Praq.g_01894	Prab.g_00100
OG0000214	Praq.g_01892	Prab.g_00102
OG0000215	Praq.g_01891	Prab.g_00103
OG0000216	Praq.g_01889	Prab.g_00105
OG0000217	Praq.g_01888	Prab.g_00106
OG0000218	Praq.g_01887	Prab.g_00107
OG0000219	Praq.g_01886	Prab.g_00108
OG0000220	Praq.g_01883	Prab.g_00111
