Orthogroup	Syad	Prbb
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prbb.g_01611
OG0000002	Syad.g_00619	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000004	Syad.g_01304	Prbb.g_01450
OG0000004	Syad.g_02184, Syad.g_00810	Prbb.g_00288
OG0000005	Syad.g_02639	Prbb.g_01393
OG0000005	Syad.g_02596	Prbb.g_01766
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syad.g_00923	Prbb.g_00501
OG0000007	Syad.g_02623	Prbb.g_01823
OG0000008	Syad.g_01371	Prbb.g_01885
OG0000010	Syad.g_02354	Prbb.g_01072
OG0000011	Syad.g_02006	Prbb.g_01229
OG0000012	Syad.g_01702	Prbb.g_01111
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prbb.g_00378
OG0000014	Syad.g_00480	Prbb.g_00357
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prbb.g_01158
OG0000016	Syad.g_00176	Prbb.g_00014
OG0000016	Syad.g_01460, Syad.g_02065	Prbb.g_01919
OG0000018	Syad.g_02306	Prbb.g_01539
OG0000019	Syad.g_00569	Prbb.g_00761
OG0000020	Syad.g_00845	Prbb.g_01180
OG0000021	Syad.g_01835, Syad.g_00874	Prbb.g_01914, Prbb.g_00099
OG0000022	Syad.g_02090	Prbb.g_01258
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbb.g_01411, Prbb.g_01373
OG0000024	Syad.g_01374	Prbb.g_01175, Prbb.g_00680
OG0000025	Syad.g_01241	Prbb.g_00052, Prbb.g_00818
OG0000026	Syad.g_00198	Prbb.g_00032
OG0000027	Syad.g_01257	Prbb.g_01375
OG0000028	Syad.g_00463	Prbb.g_01635
OG0000029	Syad.g_02099	Prbb.g_01800
OG0000030	Syad.g_00328, Syad.g_00327	Prbb.g_02073
OG0000031	Syad.g_00458, Syad.g_00294	Prbb.g_00387
OG0000032	Syad.g_02326	Prbb.g_01723
OG0000033	Syad.g_02903, Syad.g_00289	Prbb.g_00226
OG0000034	Syad.g_02420, Syad.g_02872	Prbb.g_01596
OG0000035	Syad.g_02275	Prbb.g_01686
OG0000037	Syad.g_02805	Prbb.g_00164
OG0000038	Syad.g_03038	Prbb.g_02129
OG0000039	Syad.g_01249, Syad.g_01111	Prbb.g_00692
OG0000041	Syad.g_02498, Syad.g_01281	Prbb.g_01868
OG0000042	Syad.g_00333	Prbb.g_02069
OG0000043	Syad.g_02119	Prbb.g_00909
OG0000044	Syad.g_02214	Prbb.g_00079
OG0000045	Syad.g_00964	Prbb.g_01347
OG0000046	Syad.g_00730, Syad.g_00736, Syad.g_00723	Prbb.g_00379
OG0000047	Syad.g_00754	Prbb.g_00386, Prbb.g_00421
OG0000048	Syad.g_00534	Prbb.g_00325
OG0000050	Syad.g_02478	Prbb.g_00116
OG0000052	Syad.g_00434	Prbb.g_00112
OG0000053	Syad.g_02302	Prbb.g_01705
OG0000054	Syad.g_02209	Prbb.g_00607
OG0000057	Syad.g_01301	Prbb.g_01359, Prbb.g_00706
OG0000058	Syad.g_00452	Prbb.g_00851
OG0000059	Syad.g_00642	Prbb.g_01946
OG0000060	Syad.g_02370, Syad.g_00899, Syad.g_01508	Prbb.g_01153
OG0000061	Syad.g_01152	Prbb.g_01517
OG0000062	Syad.g_02598	Prbb.g_01768
OG0000063	Syad.g_00202	Prbb.g_01921
OG0000065	Syad.g_02801, Syad.g_02574	Prbb.g_00162
OG0000066	Syad.g_00992	Prbb.g_00542
OG0000067	Syad.g_01889	Prbb.g_00783
OG0000068	Syad.g_00891	Prbb.g_01639
OG0000070	Syad.g_02424	Prbb.g_00455
OG0000071	Syad.g_02405	Prbb.g_01586
OG0000072	Syad.g_02905	Prbb.g_00228
OG0000073	Syad.g_00926	Prbb.g_00503
OG0000075	Syad.g_00416	Prbb.g_02036
OG0000076	Syad.g_00348	Prbb.g_02061
OG0000077	Syad.g_02741	Prbb.g_00133
OG0000078	Syad.g_00824	Prbb.g_00297
OG0000079	Syad.g_00565	Prbb.g_00308
OG0000081	Syad.g_00833	Prbb.g_00534
OG0000082	Syad.g_01063	Prbb.g_01882
OG0000084	Syad.g_02272	Prbb.g_01683
OG0000085	Syad.g_02612	Prbb.g_01816
OG0000086	Syad.g_02770	Prbb.g_00143
OG0000087	Syad.g_02860	Prbb.g_00196
OG0000088	Syad.g_02899	Prbb.g_00223
OG0000089	Syad.g_00785, Syad.g_02829	Prbb.g_00416
OG0000090	Syad.g_00977	Prbb.g_00536
OG0000091	Syad.g_02144	Prbb.g_00643
OG0000092	Syad.g_01190	Prbb.g_00937
OG0000093	Syad.g_01905	Prbb.g_00768
OG0000094	Syad.g_01676	Prbb.g_00892
OG0000095	Syad.g_01290	Prbb.g_01070
OG0000097	Syad.g_01458	Prbb.g_01470
OG0000098	Syad.g_00625	Prbb.g_01608
OG0000099	Syad.g_00460	Prbb.g_00388
OG0000100	Syad.g_01846	Prbb.g_01763
OG0000101	Syad.g_00694	Prbb.g_02001
OG0000102	Syad.g_00343	Prbb.g_02066
OG0000103	Syad.g_00143	Prbb.g_02174
OG0000104	Syad.g_00158	Prbb.g_02185
OG0000105	Syad.g_00530	Prbb.g_00327
OG0000106	Syad.g_01993	Prbb.g_01197, Prbb.g_01329
OG0000107	Syad.g_00590	Prbb.g_01923
OG0000108	Syad.g_00904	Prbb.g_00484, Prbb.g_00485
OG0000109	Syad.g_00919	Prbb.g_00498
OG0000110	Syad.g_01048	Prbb.g_00578
OG0000111	Syad.g_01300	Prbb.g_00707
OG0000112	Syad.g_01766	Prbb.g_00983
OG0000113	Syad.g_01851	Prbb.g_00807, Prbb.g_01218
OG0000114	Syad.g_01617	Prbb.g_00932
OG0000115	Syad.g_02300	Prbb.g_01780
OG0000116	Syad.g_01123	Prbb.g_01528
OG0000117	Syad.g_01510	Prbb.g_01399
OG0000118	Syad.g_01104	Prbb.g_01598
OG0000119	Syad.g_01168	Prbb.g_01632
OG0000120	Syad.g_00459	Prbb.g_00678
OG0000121	Syad.g_02280	Prbb.g_01688
OG0000122	Syad.g_02122	Prbb.g_01727
OG0000123	Syad.g_00701	Prbb.g_02008
OG0000125	Syad.g_03040	Prbb.g_02131
OG0000126	Syad.g_00156	Prbb.g_02183
OG0000128	Syad.g_00174	Prbb.g_00012
OG0000129	Syad.g_03028	Prbb.g_00059
OG0000130	Syad.g_02728	Prbb.g_00124
OG0000131	Syad.g_02876	Prbb.g_00202
OG0000132	Syad.g_02897	Prbb.g_00221
OG0000133	Syad.g_01761	Prbb.g_00373
OG0000134	Syad.g_00788	Prbb.g_00418
OG0000135	Syad.g_00063	Prbb.g_01326
OG0000136	Syad.g_02445	Prbb.g_00446
OG0000137	Syad.g_02353	Prbb.g_00478
OG0000138	Syad.g_00920	Prbb.g_00499
OG0000139	Syad.g_00983	Prbb.g_00540
OG0000140	Syad.g_00987	Prbb.g_00541
OG0000141	Syad.g_02208	Prbb.g_00608
OG0000142	Syad.g_02152	Prbb.g_00636
OG0000143	Syad.g_02148	Prbb.g_00640
OG0000144	Syad.g_02024	Prbb.g_00653
OG0000145	Syad.g_00927	Prbb.g_01099
OG0000146	Syad.g_01767	Prbb.g_00982
OG0000147	Syad.g_01768	Prbb.g_00981
OG0000148	Syad.g_01861	Prbb.g_00801
OG0000149	Syad.g_01221	Prbb.g_00832
OG0000150	Syad.g_02207, Syad.g_00989	Prbb.g_00840
OG0000151	Syad.g_01956	Prbb.g_00943
OG0000152	Syad.g_01757	Prbb.g_00991
OG0000153	Syad.g_01713	Prbb.g_01009
OG0000154	Syad.g_01686	Prbb.g_01040
OG0000155	Syad.g_01189	Prbb.g_01495
OG0000156	Syad.g_01116	Prbb.g_01575
OG0000157	Syad.g_01115	Prbb.g_01576
OG0000158	Syad.g_00374	Prbb.g_02044
OG0000160	Syad.g_02279	Prbb.g_01687
OG0000161	Syad.g_02287	Prbb.g_01693
OG0000162	Syad.g_02293	Prbb.g_01699
OG0000163	Syad.g_02542	Prbb.g_01735
OG0000164	Syad.g_02659	Prbb.g_01845
OG0000165	Syad.g_02476	Prbb.g_01853
OG0000166	Syad.g_00654	Prbb.g_01964
OG0000167	Syad.g_00419	Prbb.g_02034
OG0000168	Syad.g_00371	Prbb.g_02045
OG0000169	Syad.g_00360	Prbb.g_02055
OG0000170	Syad.g_00353	Prbb.g_02057
OG0000171	Syad.g_00321	Prbb.g_02078
OG0000172	Syad.g_00244	Prbb.g_02101
OG0000173	Syad.g_00220	Prbb.g_02116
OG0000174	Syad.g_00065	Prbb.g_02147
OG0000175	Syad.g_00129	Prbb.g_02165
OG0000176	Syad.g_00166	Prbb.g_00004
OG0000177	Syad.g_00167	Prbb.g_00005
OG0000178	Syad.g_00168	Prbb.g_00007, Prbb.g_00006
OG0000179	Syad.g_00183	Prbb.g_00017
OG0000180	Syad.g_00184	Prbb.g_00018
OG0000181	Syad.g_00185	Prbb.g_00019
OG0000182	Syad.g_00186	Prbb.g_00020
OG0000183	Syad.g_00190	Prbb.g_00024
OG0000184	Syad.g_03018	Prbb.g_00061
OG0000185	Syad.g_03006	Prbb.g_00064
OG0000186	Syad.g_02722	Prbb.g_00119
OG0000187	Syad.g_02724	Prbb.g_00120
OG0000188	Syad.g_02759	Prbb.g_00137
OG0000189	Syad.g_02788	Prbb.g_00151
OG0000190	Syad.g_02790	Prbb.g_00152
OG0000191	Syad.g_02824	Prbb.g_00175
OG0000192	Syad.g_02834	Prbb.g_00179
OG0000193	Syad.g_02877	Prbb.g_00203
OG0000194	Syad.g_02880	Prbb.g_00206
OG0000195	Syad.g_02884	Prbb.g_00208
OG0000196	Syad.g_02894	Prbb.g_00218
OG0000197	Syad.g_02895	Prbb.g_00219
OG0000198	Syad.g_02896	Prbb.g_00220
OG0000199	Syad.g_02904	Prbb.g_00227
OG0000200	Syad.g_02921	Prbb.g_00240
OG0000201	Syad.g_02937	Prbb.g_00249
OG0000202	Syad.g_02938	Prbb.g_00250
OG0000203	Syad.g_02939	Prbb.g_00251
OG0000204	Syad.g_02940	Prbb.g_00252
OG0000205	Syad.g_02948	Prbb.g_00259
OG0000206	Syad.g_02955	Prbb.g_00263
OG0000207	Syad.g_02957	Prbb.g_00265
OG0000208	Syad.g_02958	Prbb.g_00266
OG0000209	Syad.g_02981	Prbb.g_00275
OG0000210	Syad.g_02982	Prbb.g_00276
OG0000211	Syad.g_00813	Prbb.g_00290
