Orthogroup	Syad	Prbc
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prbc.g_00588
OG0000002	Syad.g_00619	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Syad.g_01304	Prbc.g_01381
OG0000004	Syad.g_02184, Syad.g_00810	Prbc.g_00339
OG0000005	Syad.g_02639	Prbc.g_00098
OG0000005	Syad.g_02596	Prbc.g_00788
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prbc.g_02202
OG0000007	Syad.g_00923	Prbc.g_01556
OG0000007	Syad.g_02623	Prbc.g_00832
OG0000008	Syad.g_01371	Prbc.g_00894
OG0000009	Syad.g_01952, Syad.g_00868	Prbc.g_01344
OG0000010	Syad.g_02354	Prbc.g_02115
OG0000011	Syad.g_02006	Prbc.g_00164
OG0000012	Syad.g_01702	Prbc.g_02155
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prbc.g_01219
OG0000014	Syad.g_00480	Prbc.g_01198
OG0000014	Syad.g_00297, Syad.g_00260	Prbc.g_00680
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prbc.g_00599
OG0000016	Syad.g_00176	Prbc.g_01083
OG0000016	Syad.g_01460, Syad.g_02065	Prbc.g_00929
OG0000018	Syad.g_02306	Prbc.g_01468
OG0000019	Syad.g_00569	Prbc.g_01836
OG0000020	Syad.g_00845	Prbc.g_00054, Prbc.g_00116
OG0000021	Syad.g_01835, Syad.g_00874	Prbc.g_00924, Prbc.g_02189
OG0000022	Syad.g_02090	Prbc.g_01288
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syad.g_01374	Prbc.g_00598, Prbc.g_01755
OG0000025	Syad.g_01241	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syad.g_00198	Prbc.g_01101
OG0000027	Syad.g_01257	Prbc.g_00072
OG0000028	Syad.g_00463	Prbc.g_00653
OG0000030	Syad.g_00328, Syad.g_00327	Prbc.g_00199
OG0000031	Syad.g_00458, Syad.g_00294	Prbc.g_01228
OG0000032	Syad.g_02326	Prbc.g_00746
OG0000033	Syad.g_02903, Syad.g_00289	Prbc.g_00402
OG0000034	Syad.g_02420, Syad.g_02872	Prbc.g_00575
OG0000035	Syad.g_02275	Prbc.g_00709
OG0000037	Syad.g_02805	Prbc.g_00464
OG0000038	Syad.g_03038	Prbc.g_00995
OG0000039	Syad.g_01249, Syad.g_01111	Prbc.g_01768
OG0000041	Syad.g_02498, Syad.g_01281	Prbc.g_00877
OG0000042	Syad.g_00333	Prbc.g_00203
OG0000043	Syad.g_02119	Prbc.g_01953
OG0000044	Syad.g_02214	Prbc.g_00533
OG0000046	Syad.g_00730, Syad.g_00736, Syad.g_00723	Prbc.g_01220
OG0000047	Syad.g_00754	Prbc.g_01227, Prbc.g_01273
OG0000048	Syad.g_00534	Prbc.g_01165
OG0000050	Syad.g_02478	Prbc.g_00513
OG0000052	Syad.g_00434	Prbc.g_00518, Prbc.g_00517
OG0000053	Syad.g_02302	Prbc.g_00728
OG0000054	Syad.g_02209	Prbc.g_01683
OG0000056	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691	Prbc.g_00011
OG0000057	Syad.g_01301	Prbc.g_00055, Prbc.g_01780
OG0000058	Syad.g_00452	Prbc.g_01928
