Orthogroup	Syad	Pran
OG0000002	Syad.g_00619	Pran.g_01500
OG0000004	Syad.g_01304	Pran.g_01483
OG0000004	Syad.g_02184, Syad.g_00810	Pran.g_00200
OG0000005	Syad.g_02639	Pran.g_00983
OG0000005	Syad.g_02596	Pran.g_00657
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Pran.g_01951
OG0000007	Syad.g_00923	Pran.g_01681
OG0000007	Syad.g_02623	Pran.g_00970
OG0000009	Syad.g_01952, Syad.g_00868	Pran.g_00615
OG0000009	Syad.g_02799	Pran.g_00328
OG0000010	Syad.g_02354	Pran.g_00175
OG0000011	Syad.g_02006	Pran.g_00925
OG0000012	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Pran.g_01555
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Pran.g_01867
OG0000014	Syad.g_00480	Pran.g_01888
OG0000014	Syad.g_00297, Syad.g_00260	Pran.g_00755, Pran.g_00754
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Pran.g_01394
OG0000016	Syad.g_02065	Pran.g_00620
OG0000017	Syad.g_01084, Syad.g_01091	Pran.g_01580
OG0000018	Syad.g_02306	Pran.g_00078
OG0000019	Syad.g_00569	Pran.g_01943, Pran.g_01363
OG0000020	Syad.g_00845	Pran.g_00117, Pran.g_01804
OG0000021	Syad.g_01835, Syad.g_00874	Pran.g_01829
OG0000022	Syad.g_02090	Pran.g_00097
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Pran.g_01834
OG0000024	Syad.g_01374	Pran.g_01420, Pran.g_01503
OG0000025	Syad.g_01241	Pran.g_01863, Pran.g_01309
OG0000026	Syad.g_00198	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syad.g_01257	Pran.g_00583
OG0000028	Syad.g_00463	Pran.g_01874
OG0000029	Syad.g_02099	Pran.g_01410
OG0000030	Syad.g_00328, Syad.g_00327	Pran.g_01170
OG0000031	Syad.g_00458, Syad.g_00294	Pran.g_00753
OG0000033	Syad.g_02903	Pran.g_00800
OG0000034	Syad.g_02420, Syad.g_02872	Pran.g_00866
OG0000035	Syad.g_02275	Pran.g_00733
OG0000037	Syad.g_02805	Pran.g_00324
OG0000038	Syad.g_03038	Pran.g_01210
OG0000039	Syad.g_01249, Syad.g_01111	Pran.g_01492
OG0000040	Syad.g_00104	Pran.g_00079
OG0000041	Syad.g_02498, Syad.g_01281	Pran.g_01016
OG0000042	Syad.g_00333	Pran.g_01167
OG0000044	Syad.g_02214	Pran.g_00949
OG0000047	Syad.g_00754	Pran.g_01864
OG0000048	Syad.g_00534	Pran.g_01772, Pran.g_01820
OG0000050	Syad.g_02114	Pran.g_01789, Pran.g_00936, Pran.g_00946
OG0000050	Syad.g_02478	Pran.g_00149
OG0000051	Syad.g_00842	Pran.g_00898
OG0000053	Syad.g_02302	Pran.g_00713
OG0000054	Syad.g_02209	Pran.g_01572
OG0000055	Syad.g_01255	Pran.g_01362
OG0000057	Syad.g_01301	Pran.g_01480
OG0000059	Syad.g_00642	Pran.g_01056
OG0000060	Syad.g_02370, Syad.g_00899, Syad.g_01508	Pran.g_01399
OG0000061	Syad.g_01152	Pran.g_00060
OG0000062	Syad.g_02598	Pran.g_00655
OG0000063	Syad.g_00202	Pran.g_00391
OG0000065	Syad.g_02801, Syad.g_02574	Pran.g_00326
OG0000066	Syad.g_00992	Pran.g_01639
OG0000067	Syad.g_01889	Pran.g_01343
OG0000068	Syad.g_00891	Pran.g_00841
OG0000070	Syad.g_02424	Pran.g_01727
OG0000071	Syad.g_02405	Pran.g_00938, Pran.g_00876
OG0000072	Syad.g_02905	Pran.g_00261
OG0000073	Syad.g_00926	Pran.g_01679
OG0000075	Syad.g_00416	Pran.g_01137
OG0000076	Syad.g_00348	Pran.g_01160
OG0000077	Syad.g_02741	Pran.g_00354
OG0000078	Syad.g_00824	Pran.g_00194
OG0000079	Syad.g_00565	Pran.g_01940
OG0000080	Syad.g_02256	Pran.g_00796, Pran.g_00794
OG0000081	Syad.g_00833	Pran.g_01647
OG0000082	Syad.g_01063	Pran.g_01593
OG0000084	Syad.g_02272	Pran.g_00737
OG0000085	Syad.g_02612	Pran.g_00963
OG0000086	Syad.g_02770	Pran.g_00344
OG0000087	Syad.g_02860	Pran.g_00295
OG0000088	Syad.g_02899	Pran.g_00266
OG0000089	Syad.g_00785, Syad.g_02829	Pran.g_01839
OG0000090	Syad.g_00977	Pran.g_01645
OG0000091	Syad.g_02144	Pran.g_01536
OG0000093	Syad.g_01905	Pran.g_00455
OG0000094	Syad.g_01676	Pran.g_00549
OG0000095	Syad.g_01290	Pran.g_00903
OG0000097	Syad.g_01458	Pran.g_00019
OG0000098	Syad.g_00625	Pran.g_00855
OG0000099	Syad.g_00460	Pran.g_00806
OG0000100	Syad.g_01846	Pran.g_00659
OG0000101	Syad.g_00694	Pran.g_01105
OG0000102	Syad.g_00343	Pran.g_01165
OG0000103	Syad.g_00143	Pran.g_01244
OG0000104	Syad.g_00158	Pran.g_01253
OG0000105	Syad.g_00530	Pran.g_01920
OG0000106	Syad.g_01993	Pran.g_01824
OG0000107	Syad.g_00590	Pran.g_01808
OG0000108	Syad.g_00904	Pran.g_01698
OG0000109	Syad.g_00919	Pran.g_01684
OG0000110	Syad.g_01048	Pran.g_01603
OG0000111	Syad.g_01300	Pran.g_01479
OG0000112	Syad.g_01766	Pran.g_01378
OG0000113	Syad.g_01851	Pran.g_01321
OG0000114	Syad.g_01617	Pran.g_00429
OG0000115	Syad.g_02300	Pran.g_00123
OG0000116	Syad.g_01123	Pran.g_00070
OG0000117	Syad.g_01510	Pran.g_01466
OG0000118	Syad.g_01104	Pran.g_00864
OG0000119	Syad.g_01168	Pran.g_00845
OG0000120	Syad.g_00459	Pran.g_00752
OG0000121	Syad.g_02280	Pran.g_00731
OG0000122	Syad.g_02122	Pran.g_00693
OG0000123	Syad.g_00701	Pran.g_01112
OG0000124	Syad.g_00320	Pran.g_01176
OG0000125	Syad.g_03040	Pran.g_01212
OG0000126	Syad.g_00156	Pran.g_01252
OG0000128	Syad.g_00174	Pran.g_01268
OG0000129	Syad.g_03028	Pran.g_00381
OG0000130	Syad.g_02728	Pran.g_00363
OG0000131	Syad.g_02876	Pran.g_00288
OG0000132	Syad.g_02897	Pran.g_00268
OG0000133	Syad.g_01761	Pran.g_01872
OG0000134	Syad.g_00788	Pran.g_01838
OG0000135	Syad.g_00063	Pran.g_01812
OG0000136	Syad.g_02445	Pran.g_01739
OG0000137	Syad.g_02353	Pran.g_01703
OG0000138	Syad.g_00920	Pran.g_01683
OG0000139	Syad.g_00983	Pran.g_01641
OG0000140	Syad.g_00987	Pran.g_01640
OG0000141	Syad.g_02208	Pran.g_01571
OG0000142	Syad.g_02152	Pran.g_01543
OG0000143	Syad.g_02148	Pran.g_01539
OG0000144	Syad.g_02024	Pran.g_01526
OG0000145	Syad.g_00927	Pran.g_01400
OG0000146	Syad.g_01767	Pran.g_01377
OG0000147	Syad.g_01768	Pran.g_01376
OG0000148	Syad.g_01861	Pran.g_01327
OG0000149	Syad.g_01221	Pran.g_01297
OG0000150	Syad.g_02207, Syad.g_00989	Pran.g_01289
OG0000151	Syad.g_01956	Pran.g_00439
OG0000152	Syad.g_01757	Pran.g_00487
OG0000153	Syad.g_01713	Pran.g_00506
OG0000154	Syad.g_01686	Pran.g_00542
OG0000155	Syad.g_01189	Pran.g_00040
OG0000156	Syad.g_01116	Pran.g_00887
OG0000157	Syad.g_01115	Pran.g_00886
OG0000158	Syad.g_00374	Pran.g_00822
OG0000160	Syad.g_02279	Pran.g_00732
OG0000161	Syad.g_02287	Pran.g_00726
OG0000162	Syad.g_02293	Pran.g_00720
OG0000163	Syad.g_02542	Pran.g_00686
OG0000164	Syad.g_02659	Pran.g_00994
OG0000165	Syad.g_02476	Pran.g_01001
OG0000166	Syad.g_00654	Pran.g_01069, Pran.g_01068
OG0000167	Syad.g_00419	Pran.g_01135
OG0000168	Syad.g_00371	Pran.g_01144
OG0000169	Syad.g_00360	Pran.g_01154
OG0000170	Syad.g_00353	Pran.g_01156
OG0000171	Syad.g_00321	Pran.g_01175
OG0000172	Syad.g_00244	Pran.g_01184
OG0000173	Syad.g_00220	Pran.g_01199
OG0000174	Syad.g_00065	Pran.g_01226
OG0000175	Syad.g_00129	Pran.g_01236
OG0000176	Syad.g_00166	Pran.g_01261
OG0000177	Syad.g_00167	Pran.g_01262
OG0000178	Syad.g_00168	Pran.g_01263
OG0000179	Syad.g_00183	Pran.g_00408
OG0000180	Syad.g_00184	Pran.g_00407
OG0000181	Syad.g_00185	Pran.g_00406
OG0000182	Syad.g_00186	Pran.g_00405
OG0000183	Syad.g_00190	Pran.g_00401
OG0000184	Syad.g_03018	Pran.g_00379
OG0000185	Syad.g_03006	Pran.g_00376
OG0000186	Syad.g_02722	Pran.g_00368
OG0000187	Syad.g_02724	Pran.g_00367
OG0000188	Syad.g_02759	Pran.g_00350
OG0000189	Syad.g_02788	Pran.g_00337
OG0000190	Syad.g_02790	Pran.g_00336
OG0000191	Syad.g_02824	Pran.g_00316
OG0000192	Syad.g_02834	Pran.g_00312
OG0000193	Syad.g_02877	Pran.g_00287
OG0000194	Syad.g_02880	Pran.g_00283
OG0000195	Syad.g_02884	Pran.g_00281
OG0000196	Syad.g_02894	Pran.g_00271
OG0000197	Syad.g_02895	Pran.g_00270
OG0000198	Syad.g_02896	Pran.g_00269
OG0000199	Syad.g_02904	Pran.g_00262
OG0000200	Syad.g_02921	Pran.g_00248
OG0000201	Syad.g_02937	Pran.g_00240
OG0000202	Syad.g_02938	Pran.g_00239
OG0000203	Syad.g_02939	Pran.g_00238
OG0000204	Syad.g_02940	Pran.g_00237
OG0000205	Syad.g_02948	Pran.g_00230
OG0000206	Syad.g_02955	Pran.g_00225
OG0000207	Syad.g_02957	Pran.g_00223
OG0000208	Syad.g_02958	Pran.g_00222
OG0000209	Syad.g_02981	Pran.g_00213
OG0000210	Syad.g_02982	Pran.g_00212
OG0000211	Syad.g_00813	Pran.g_00199
OG0000212	Syad.g_00825	Pran.g_00193
OG0000213	Syad.g_00556	Pran.g_01935
OG0000214	Syad.g_00538	Pran.g_01926
OG0000215	Syad.g_00508	Pran.g_01902
OG0000216	Syad.g_00504, Syad.g_00285	Pran.g_01900
OG0000217	Syad.g_00500	Pran.g_01897
OG0000218	Syad.g_00498	Pran.g_01895
OG0000219	Syad.g_00497	Pran.g_01894
OG0000220	Syad.g_00496	Pran.g_01893
OG0000221	Syad.g_00488	Pran.g_01892
OG0000222	Syad.g_00473	Pran.g_01884
OG0000223	Syad.g_00451	Pran.g_01871
OG0000224	Syad.g_00444	Pran.g_01869
OG0000225	Syad.g_00777	Pran.g_01849
OG0000226	Syad.g_00781	Pran.g_01845
OG0000227	Syad.g_00783	Pran.g_01843
OG0000228	Syad.g_00784	Pran.g_01840
OG0000229	Syad.g_02450	Pran.g_01744
OG0000230	Syad.g_02448	Pran.g_01742
OG0000231	Syad.g_02436	Pran.g_01728
OG0000232	Syad.g_02392	Pran.g_01720
OG0000233	Syad.g_02382	Pran.g_01715
OG0000234	Syad.g_02351	Pran.g_01702
OG0000235	Syad.g_00903	Pran.g_01699
OG0000236	Syad.g_00918	Pran.g_01685
OG0000237	Syad.g_00936	Pran.g_01672
OG0000238	Syad.g_00941	Pran.g_01666
OG0000239	Syad.g_00957	Pran.g_01653
OG0000240	Syad.g_00958	Pran.g_01652
OG0000241	Syad.g_02160	Pran.g_01648
OG0000242	Syad.g_00975	Pran.g_01646
OG0000243	Syad.g_01000	Pran.g_01635
OG0000244	Syad.g_01012	Pran.g_01632
OG0000245	Syad.g_01014	Pran.g_01630
OG0000246	Syad.g_01017	Pran.g_01626
OG0000247	Syad.g_01029	Pran.g_01616
OG0000248	Syad.g_01032	Pran.g_01613
OG0000249	Syad.g_01034	Pran.g_01611
OG0000250	Syad.g_01044	Pran.g_01606
OG0000251	Syad.g_01071	Pran.g_01587
OG0000252	Syad.g_01078	Pran.g_01584
OG0000253	Syad.g_01081	Pran.g_01583
OG0000254	Syad.g_02203	Pran.g_01567
OG0000255	Syad.g_02185	Pran.g_01561
OG0000256	Syad.g_02167	Pran.g_01551
OG0000257	Syad.g_02161	Pran.g_01548
OG0000258	Syad.g_02143	Pran.g_01535
OG0000259	Syad.g_01576	Pran.g_01518
OG0000260	Syad.g_01587	Pran.g_01515
OG0000261	Syad.g_01590	Pran.g_01513
OG0000262	Syad.g_01595	Pran.g_01509
OG0000263	Syad.g_01475	Pran.g_01497
OG0000264	Syad.g_01360	Pran.g_01487
OG0000265	Syad.g_01383	Pran.g_01460
OG0000266	Syad.g_01804	Pran.g_01450
OG0000267	Syad.g_01645	Pran.g_01439
OG0000268	Syad.g_01646	Pran.g_01438
OG0000269	Syad.g_01894	Pran.g_01348
OG0000270	Syad.g_01891	Pran.g_01345
OG0000271	Syad.g_01883	Pran.g_01337
OG0000272	Syad.g_01882	Pran.g_01336
OG0000273	Syad.g_01247	Pran.g_01313
OG0000274	Syad.g_01246	Pran.g_01312
OG0000275	Syad.g_01242	Pran.g_01310
OG0000276	Syad.g_01229	Pran.g_01305
OG0000277	Syad.g_01228	Pran.g_01304
OG0000278	Syad.g_01225	Pran.g_01301
OG0000279	Syad.g_01208	Pran.g_01294
OG0000280	Syad.g_01198	Pran.g_01293
OG0000281	Syad.g_00624	Pran.g_01287
OG0000282	Syad.g_01619	Pran.g_00431
OG0000283	Syad.g_01661	Pran.g_00464
OG0000284	Syad.g_01787	Pran.g_00469
OG0000285	Syad.g_01776	Pran.g_00474
OG0000286	Syad.g_01758	Pran.g_00486
OG0000287	Syad.g_01720	Pran.g_00503
OG0000288	Syad.g_01687	Pran.g_00541
OG0000289	Syad.g_01672	Pran.g_00552
OG0000290	Syad.g_01287	Pran.g_00565
OG0000291	Syad.g_01289	Pran.g_00567
OG0000292	Syad.g_00155	Pran.g_00135
OG0000293	Syad.g_01124	Pran.g_00069
OG0000294	Syad.g_01125	Pran.g_00068
OG0000295	Syad.g_01181	Pran.g_00048
OG0000296	Syad.g_01183	Pran.g_00046
OG0000297	Syad.g_01512	Pran.g_00038
OG0000298	Syad.g_01511	Pran.g_00037
OG0000299	Syad.g_01462	Pran.g_00020
