Orthogroup	Syad	Praz
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Praz.g_01154
OG0000002	Syad.g_00619	Praz.g_01146, Praz.g_01652
OG0000004	Syad.g_01304	Praz.g_01635
OG0000004	Syad.g_02184, Syad.g_00810	Praz.g_00592
OG0000005	Syad.g_02639	Praz.g_00864
OG0000005	Syad.g_02596	Praz.g_00965
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Praz.g_00601
OG0000007	Syad.g_00923	Praz.g_01831
OG0000007	Syad.g_02623	Praz.g_00877
OG0000009	Syad.g_01952, Syad.g_00868	Praz.g_01230, Praz.g_00929
OG0000009	Syad.g_02799	Praz.g_00465
OG0000010	Syad.g_02354	Praz.g_00074
OG0000011	Syad.g_02006	Praz.g_00768, Praz.g_01207
OG0000012	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Praz.g_01707
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Praz.g_00684
OG0000014	Syad.g_00480	Praz.g_00663
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Praz.g_01551
OG0000016	Syad.g_00176	Praz.g_00378
OG0000017	Syad.g_01084, Syad.g_01091	Praz.g_01732
OG0000018	Syad.g_02306	Praz.g_00011
OG0000019	Syad.g_00569	Praz.g_00609, Praz.g_01532
OG0000020	Syad.g_00845	Praz.g_00048
OG0000021	Syad.g_01835, Syad.g_00874	Praz.g_00896, Praz.g_00810
OG0000022	Syad.g_02090	Praz.g_00029
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Praz.g_00814
OG0000024	Syad.g_01374	Praz.g_01571, Praz.g_01655
OG0000025	Syad.g_01241	Praz.g_00688, Praz.g_01477
OG0000026	Syad.g_00198	Praz.g_00396, Praz.g_00081
OG0000027	Syad.g_01257	Praz.g_01858, Praz.g_01197
OG0000028	Syad.g_00463	Praz.g_01246, Praz.g_00677
OG0000029	Syad.g_02099	Praz.g_01564, Praz.g_00799
OG0000030	Syad.g_00328, Syad.g_00327	Praz.g_00195
OG0000031	Syad.g_00458, Syad.g_00294	Praz.g_01116
OG0000034	Syad.g_02420, Syad.g_02872	Praz.g_01170
OG0000035	Syad.g_02275	Praz.g_01041
OG0000037	Syad.g_02805	Praz.g_00469
OG0000038	Syad.g_03038	Praz.g_00154
OG0000039	Syad.g_01249, Syad.g_01111	Praz.g_01644
OG0000040	Syad.g_00104	Praz.g_00012
OG0000042	Syad.g_00333	Praz.g_00198
OG0000044	Syad.g_02214	Praz.g_00693
OG0000047	Syad.g_00754	Praz.g_00687, Praz.g_01921
OG0000048	Syad.g_00534	Praz.g_00800
OG0000050	Syad.g_02114	Praz.g_00769
OG0000050	Syad.g_02478	Praz.g_00101
OG0000051	Syad.g_00842	Praz.g_01204
OG0000053	Syad.g_02302	Praz.g_01021
OG0000054	Syad.g_02209	Praz.g_01724
OG0000055	Syad.g_01255	Praz.g_01531
