Orthogroup	Syad	Syat
OG0000001	Syad.g_02863, Syad.g_02862, Syad.g_02864	Syat.g_02910, Syat.g_02911
OG0000001	Syad.g_02865	Syat.g_02908, Syat.g_02909
OG0000001	Syad.g_01238, Syad.g_00611	Syat.g_01540
OG0000005	Syad.g_02639	Syat.g_03065
OG0000005	Syad.g_02596	Syat.g_03105
OG0000005	Syad.g_02028	Syat.g_01038
OG0000006	Syad.g_02130	Syat.g_00371
OG0000006	Syad.g_00588, Syad.g_00829	Syat.g_01439, Syat.g_01865
OG0000007	Syad.g_00923	Syat.g_03191
OG0000007	Syad.g_02623	Syat.g_03124
OG0000008	Syad.g_01371	Syat.g_02627
OG0000009	Syad.g_02799	Syat.g_01567
OG0000010	Syad.g_02354	Syat.g_01372
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syad.g_00724	Syat.g_01027
OG0000014	Syad.g_00480	Syat.g_02104
OG0000014	Syad.g_00297	Syat.g_03196
OG0000016	Syad.g_00176	Syat.g_02329
OG0000016	Syad.g_01460	Syat.g_00909
OG0000018	Syad.g_02306	Syat.g_01334
OG0000019	Syad.g_00569	Syat.g_01876
OG0000021	Syad.g_01835, Syad.g_00874	Syat.g_00964
OG0000022	Syad.g_02090	Syat.g_00210
OG0000024	Syad.g_01374	Syat.g_03394
OG0000025	Syad.g_01241	Syat.g_00719
OG0000026	Syad.g_00198	Syat.g_02306
OG0000027	Syad.g_01257	Syat.g_00850
OG0000028	Syad.g_00463	Syat.g_02126
OG0000030	Syad.g_00328	Syat.g_00307
OG0000030	Syad.g_00327	Syat.g_00308
OG0000031	Syad.g_00458	Syat.g_02131
OG0000031	Syad.g_00294	Syat.g_03199
OG0000032	Syad.g_02326	Syat.g_01354
OG0000033	Syad.g_02903, Syad.g_00289	Syat.g_02858
OG0000034	Syad.g_02420, Syad.g_02872	Syat.g_01165, Syat.g_02902
OG0000035	Syad.g_02275	Syat.g_01227, Syat.g_01226
OG0000038	Syad.g_03038	Syat.g_02688
OG0000039	Syad.g_01249, Syad.g_01111	Syat.g_01278
OG0000040	Syad.g_00104	Syat.g_02551
OG0000042	Syad.g_00333	Syat.g_00223, Syat.g_02222
OG0000044	Syad.g_02214	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Syad.g_00964	Syat.g_00935
OG0000046	Syad.g_00723	Syat.g_01626, Syat.g_01026
OG0000048	Syad.g_00534	Syat.g_02046
OG0000052	Syad.g_00434	Syat.g_02140
OG0000053	Syad.g_02302	Syat.g_01330
OG0000057	Syad.g_01301	Syat.g_00817, Syat.g_02055
OG0000058	Syad.g_00452	Syat.g_02133, Syat.g_02238
OG0000059	Syad.g_00642	Syat.g_01832
OG0000060	Syad.g_00899	Syat.g_01384
OG0000060	Syad.g_01508	Syat.g_01047
OG0000061	Syad.g_01152	Syat.g_03260
OG0000062	Syad.g_02598	Syat.g_03107
OG0000063	Syad.g_00202	Syat.g_02303
OG0000064	Syad.g_00081, Syad.g_02125	Syat.g_01568
OG0000066	Syad.g_00992	Syat.g_03283
OG0000067	Syad.g_01889	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Syad.g_00891	Syat.g_00085, Syat.g_01295
OG0000070	Syad.g_02424	Syat.g_01032, Syat.g_01040
OG0000072	Syad.g_02905	Syat.g_02856
OG0000073	Syad.g_00926	Syat.g_03201
OG0000075	Syad.g_00416	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syad.g_00348	Syat.g_02206
OG0000077	Syad.g_02741	Syat.g_01481
OG0000078	Syad.g_00824	Syat.g_00184
OG0000079	Syad.g_00565	Syat.g_01879
OG0000080	Syad.g_02256	Syat.g_02246
OG0000081	Syad.g_00833	Syat.g_00980
OG0000082	Syad.g_01063	Syat.g_00035
OG0000085	Syad.g_02612	Syat.g_03113
OG0000086	Syad.g_02770	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syad.g_02860	Syat.g_02912
OG0000088	Syad.g_02899	Syat.g_02862
OG0000089	Syad.g_00785, Syad.g_02829	Syat.g_02953
OG0000090	Syad.g_00977	Syat.g_03270
OG0000091	Syad.g_02144	Syat.g_00939, Syat.g_00862
OG0000092	Syad.g_01190	Syat.g_00825
OG0000094	Syad.g_01676	Syat.g_00698
OG0000095	Syad.g_01290	Syat.g_00808
OG0000098	Syad.g_00625	Syat.g_03281
OG0000099	Syad.g_00460	Syat.g_02130
OG0000100	Syad.g_01846	Syat.g_00517
OG0000102	Syad.g_00343	Syat.g_00974
OG0000104	Syad.g_00158	Syat.g_02385
OG0000105	Syad.g_00530	Syat.g_02052
OG0000106	Syad.g_01993	Syat.g_00957
OG0000107	Syad.g_00590	Syat.g_01862
OG0000108	Syad.g_00904	Syat.g_03170
OG0000110	Syad.g_01048	Syat.g_00049
OG0000111	Syad.g_01300	Syat.g_00816
OG0000112	Syad.g_01766	Syat.g_00593
OG0000113	Syad.g_01851	Syat.g_00509
OG0000114	Syad.g_01617	Syat.g_00426
OG0000115	Syad.g_02300	Syat.g_01328
OG0000116	Syad.g_01123	Syat.g_02641
OG0000117	Syad.g_01510	Syat.g_00224
OG0000118	Syad.g_01104	Syat.g_01168
OG0000119	Syad.g_01168	Syat.g_00309
OG0000120	Syad.g_00459	Syat.g_02132
OG0000121	Syad.g_02280	Syat.g_01223
OG0000123	Syad.g_00701	Syat.g_01653
OG0000124	Syad.g_00320	Syat.g_02231
OG0000125	Syad.g_03040	Syat.g_02684
OG0000126	Syad.g_00156	Syat.g_00976
OG0000127	Syad.g_02710, Syad.g_00058, Syad.g_00383	Syat.g_00175
OG0000128	Syad.g_00174	Syat.g_02331
OG0000129	Syad.g_03028	Syat.g_02693, Syat.g_02694
OG0000130	Syad.g_02728	Syat.g_01469
OG0000131	Syad.g_02876	Syat.g_02898
OG0000132	Syad.g_02897	Syat.g_02864
OG0000133	Syad.g_01761	Syat.g_00588
OG0000134	Syad.g_00788	Syat.g_02956
OG0000135	Syad.g_00063	Syat.g_02501
OG0000136	Syad.g_02445	Syat.g_01292
OG0000137	Syad.g_02353	Syat.g_01371
OG0000138	Syad.g_00920	Syat.g_03188
OG0000139	Syad.g_00983	Syat.g_03276
OG0000140	Syad.g_00987	Syat.g_03280
OG0000141	Syad.g_02208	Syat.g_03398
OG0000142	Syad.g_02152	Syat.g_00117
OG0000143	Syad.g_02148	Syat.g_00130
OG0000144	Syad.g_02024	Syat.g_00369
OG0000145	Syad.g_00927	Syat.g_03202
OG0000146	Syad.g_01767	Syat.g_00594
OG0000147	Syad.g_01768	Syat.g_00595
OG0000148	Syad.g_01861	Syat.g_00503
OG0000149	Syad.g_01221	Syat.g_00747
OG0000150	Syad.g_02207, Syad.g_00989	Syat.g_03399
OG0000151	Syad.g_01956	Syat.g_00801, Syat.g_00440
OG0000152	Syad.g_01757	Syat.g_00578
OG0000153	Syad.g_01713	Syat.g_00542
OG0000154	Syad.g_01686	Syat.g_00708
OG0000155	Syad.g_01189	Syat.g_00287
OG0000156	Syad.g_01116	Syat.g_03228
OG0000157	Syad.g_01115	Syat.g_02012, Syat.g_03227
OG0000158	Syad.g_00374	Syat.g_02163
OG0000160	Syad.g_02279	Syat.g_01224
OG0000161	Syad.g_02287	Syat.g_01180
OG0000162	Syad.g_02293	Syat.g_01281
OG0000163	Syad.g_02542	Syat.g_02979
OG0000164	Syad.g_02659	Syat.g_03040
OG0000165	Syad.g_02476	Syat.g_03033
OG0000166	Syad.g_00654	Syat.g_01822
OG0000167	Syad.g_00419	Syat.g_02148
OG0000168	Syad.g_00371	Syat.g_02164
OG0000169	Syad.g_00360	Syat.g_02192
OG0000170	Syad.g_00353	Syat.g_02201
OG0000171	Syad.g_00321	Syat.g_02230
OG0000172	Syad.g_00244	Syat.g_02260
OG0000173	Syad.g_00220	Syat.g_02284
OG0000174	Syad.g_00065	Syat.g_02504
OG0000175	Syad.g_00129	Syat.g_02416
