Orthogroup	Syad	Syaj
OG0000001	Syad.g_00628	Syaj.g_02674
OG0000001	Syad.g_02863	Syaj.g_01948
OG0000001	Syad.g_02862	Syaj.g_01947
OG0000001	Syad.g_02864	Syaj.g_01949, Syaj.g_01952
OG0000001	Syad.g_02865	Syaj.g_01950
OG0000001	Syad.g_01238, Syad.g_00611	Syaj.g_02660
OG0000002	Syad.g_00619	Syaj.g_02667
OG0000004	Syad.g_01304	Syaj.g_00441
OG0000004	Syad.g_02184	Syaj.g_01314
OG0000004	Syad.g_00810	Syaj.g_02853
OG0000005	Syad.g_02639	Syaj.g_01736
OG0000005	Syad.g_01265	Syaj.g_00404
OG0000005	Syad.g_02596	Syaj.g_01698
OG0000005	Syad.g_02028	Syaj.g_01155
OG0000006	Syad.g_00588, Syad.g_00829	Syaj.g_02635
OG0000007	Syad.g_00923	Syaj.g_00091
OG0000007	Syad.g_02623	Syaj.g_01721
OG0000008	Syad.g_01371	Syaj.g_00497
OG0000009	Syad.g_01952	Syaj.g_01069
OG0000009	Syad.g_02799	Syaj.g_01885
OG0000010	Syad.g_02354	Syaj.g_01445
OG0000011	Syad.g_02006	Syaj.g_01133
OG0000011	Syad.g_02680	Syaj.g_01780
OG0000012	Syad.g_02176	Syaj.g_01306
OG0000012	Syad.g_01702	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831
OG0000012	Syad.g_01579, Syad.g_01008	Syaj.g_00172
OG0000013	Syad.g_00729	Syaj.g_02774
OG0000013	Syad.g_00737	Syaj.g_02782
OG0000013	Syad.g_00724	Syaj.g_02769
OG0000014	Syad.g_00480	Syaj.g_02522
OG0000015	Syad.g_00142	Syaj.g_02242
OG0000015	Syad.g_01600, Syad.g_01601	Syaj.g_00725
OG0000016	Syad.g_00176	Syaj.g_02276
OG0000016	Syad.g_01460	Syaj.g_00590
OG0000016	Syad.g_02065	Syaj.g_01191
OG0000017	Syad.g_01084	Syaj.g_00248
OG0000017	Syad.g_01091	Syaj.g_00255
OG0000018	Syad.g_02306	Syaj.g_01413
OG0000019	Syad.g_00569	Syaj.g_02613
OG0000021	Syad.g_00874	Syaj.g_00042
OG0000022	Syad.g_02090	Syaj.g_01220
OG0000023	Syad.g_01701	Syaj.g_00829
OG0000023	Syad.g_01583	Syaj.g_01791
OG0000024	Syad.g_01374	Syaj.g_00500
OG0000025	Syad.g_01241	Syaj.g_00383
OG0000026	Syad.g_00198	Syaj.g_02298
OG0000027	Syad.g_01257	Syaj.g_00396
OG0000028	Syad.g_00463	Syaj.g_02506
OG0000029	Syad.g_02099	Syaj.g_01229
OG0000030	Syad.g_00328	Syaj.g_02396
OG0000030	Syad.g_00327	Syaj.g_02395
OG0000031	Syad.g_00458	Syaj.g_02501
OG0000032	Syad.g_02326	Syaj.g_01432
OG0000033	Syad.g_02903	Syaj.g_01990
OG0000034	Syad.g_02420, Syad.g_02872	Syaj.g_01959
OG0000035	Syad.g_02275	Syaj.g_01378
OG0000037	Syad.g_02805	Syaj.g_01891
OG0000038	Syad.g_03038	Syaj.g_02115
OG0000039	Syad.g_01249	Syaj.g_00392
OG0000039	Syad.g_01111	Syaj.g_00275
OG0000040	Syad.g_00104	Syaj.g_02208
OG0000041	Syad.g_02498	Syaj.g_01602
OG0000041	Syad.g_01281	Syaj.g_00418
OG0000042	Syad.g_00333	Syaj.g_02399
OG0000043	Syad.g_02119	Syaj.g_01247
OG0000044	Syad.g_02214	Syaj.g_01344
OG0000045	Syad.g_00964	Syaj.g_00132
OG0000046	Syad.g_00730	Syaj.g_02775
OG0000046	Syad.g_00736	Syaj.g_02781
OG0000046	Syad.g_00723	Syaj.g_02768
OG0000047	Syad.g_00754	Syaj.g_02799
OG0000048	Syad.g_00534	Syaj.g_02578
OG0000050	Syad.g_02114	Syaj.g_01242
OG0000050	Syad.g_02478	Syaj.g_01584
OG0000051	Syad.g_00842	Syaj.g_02898
OG0000051	Syad.g_01967	Syaj.g_00017
OG0000052	Syad.g_00434	Syaj.g_02476
OG0000053	Syad.g_02302	Syaj.g_01409
OG0000054	Syad.g_02209	Syaj.g_01341
OG0000055	Syad.g_01255	Syaj.g_00394
OG0000056	Syad.g_01997	Syaj.g_01082
OG0000056	Syad.g_01971	Syaj.g_01676
OG0000056	Syad.g_01409	Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088
OG0000056	Syad.g_02690, Syad.g_01425	Syaj.g_00360
OG0000056	Syad.g_02228	Syaj.g_01093
OG0000056	Syad.g_02691	Syaj.g_00962
OG0000057	Syad.g_01301	Syaj.g_00438
OG0000058	Syad.g_00452	Syaj.g_02495
OG0000059	Syad.g_00642	Syaj.g_02686
OG0000060	Syad.g_02370	Syaj.g_01469
OG0000060	Syad.g_00899	Syaj.g_00067
OG0000060	Syad.g_01508	Syaj.g_00635
OG0000061	Syad.g_01152	Syaj.g_00302
OG0000062	Syad.g_02598	Syaj.g_01700
OG0000063	Syad.g_00202	Syaj.g_02302
OG0000064	Syad.g_00873	Syaj.g_00041
OG0000064	Syad.g_00081, Syad.g_02125	Syaj.g_01253
OG0000065	Syad.g_02801	Syaj.g_01887
OG0000065	Syad.g_02574	Syaj.g_00007
OG0000066	Syad.g_00992	Syaj.g_00157
OG0000067	Syad.g_01889	Syaj.g_01023
OG0000068	Syad.g_00891	Syaj.g_00059
OG0000070	Syad.g_02424	Syaj.g_01529
OG0000071	Syad.g_02405	Syaj.g_01511
OG0000072	Syad.g_02905	Syaj.g_01992
OG0000073	Syad.g_00926	Syaj.g_00093
OG0000075	Syad.g_00416	Syaj.g_02457
OG0000076	Syad.g_00348	Syaj.g_02417
OG0000077	Syad.g_02741	Syaj.g_01831
OG0000078	Syad.g_00824	Syaj.g_02880
OG0000079	Syad.g_00565	Syaj.g_02609
OG0000080	Syad.g_02935	Syaj.g_02022
OG0000081	Syad.g_00833	Syaj.g_02888
OG0000082	Syad.g_01063	Syaj.g_00229
OG0000084	Syad.g_02272	Syaj.g_01375
OG0000085	Syad.g_02612	Syaj.g_01707
OG0000086	Syad.g_02770	Syaj.g_01848
OG0000087	Syad.g_02860	Syaj.g_01945
OG0000088	Syad.g_02899	Syaj.g_01986
OG0000089	Syad.g_00785	Syaj.g_02829
OG0000089	Syad.g_02829	Syaj.g_01915
OG0000090	Syad.g_00977	Syaj.g_00144
OG0000091	Syad.g_02144	Syaj.g_01275
OG0000092	Syad.g_01190	Syaj.g_00339
OG0000093	Syad.g_01905	Syaj.g_01042
OG0000094	Syad.g_01676	Syaj.g_00804
OG0000095	Syad.g_01290	Syaj.g_00427
OG0000097	Syad.g_01458	Syaj.g_00589
OG0000098	Syad.g_00625	Syaj.g_02671
OG0000099	Syad.g_00460	Syaj.g_02503
OG0000100	Syad.g_01846	Syaj.g_00987
OG0000101	Syad.g_00694	Syaj.g_02738
OG0000102	Syad.g_00343	Syaj.g_02411
OG0000103	Syad.g_00143	Syaj.g_02243
OG0000104	Syad.g_00158	Syaj.g_02258
OG0000105	Syad.g_00530	Syaj.g_02573
OG0000106	Syad.g_01993	Syaj.g_01130
OG0000107	Syad.g_00590	Syaj.g_02637
OG0000108	Syad.g_00904	Syaj.g_00072
OG0000109	Syad.g_00919	Syaj.g_00087
OG0000110	Syad.g_01048	Syaj.g_00215
OG0000111	Syad.g_01300	Syaj.g_00437
OG0000112	Syad.g_01766	Syaj.g_00907
OG0000113	Syad.g_01851	Syaj.g_00992
OG0000114	Syad.g_01617	Syaj.g_00741
OG0000115	Syad.g_02300	Syaj.g_01402
OG0000116	Syad.g_01123	Syaj.g_00289
OG0000117	Syad.g_01510	Syaj.g_00637
OG0000118	Syad.g_01104	Syaj.g_00267
OG0000119	Syad.g_01168	Syaj.g_00317
OG0000120	Syad.g_00459	Syaj.g_02502
OG0000121	Syad.g_02280	Syaj.g_01383
OG0000122	Syad.g_02122	Syaj.g_01250
OG0000123	Syad.g_00701	Syaj.g_02745
OG0000124	Syad.g_00320	Syaj.g_02388
