Orthogroup	Syad	Syap
OG0000001	Syad.g_02865	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syad.g_00810	Syap.g_01987
OG0000005	Syad.g_02639	Syap.g_01773
OG0000005	Syad.g_02596	Syap.g_01218
OG0000006	Syad.g_02130	Syap.g_02770
OG0000007	Syad.g_00923	Syap.g_00275
OG0000007	Syad.g_02623	Syap.g_00621
OG0000009	Syad.g_02799	Syap.g_02081
OG0000010	Syad.g_02354	Syap.g_02757
OG0000013	Syad.g_00724	Syap.g_00972
OG0000014	Syad.g_00480	Syap.g_01675
OG0000015	Syad.g_00142	Syap.g_02606
OG0000016	Syad.g_00176	Syap.g_00071
OG0000018	Syad.g_02306	Syap.g_02010
OG0000019	Syad.g_00569	Syap.g_01586
OG0000025	Syad.g_01241	Syap.g_01846
OG0000028	Syad.g_00463	Syap.g_01658
OG0000030	Syad.g_00328	Syap.g_00787
OG0000030	Syad.g_00327	Syap.g_00788
OG0000031	Syad.g_00458	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000031	Syad.g_00294	Syap.g_00722
OG0000033	Syad.g_02903, Syad.g_00289	Syap.g_01198
OG0000034	Syad.g_02420, Syad.g_02872	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syad.g_02275	Syap.g_02125, Syap.g_02465
OG0000039	Syad.g_01249, Syad.g_01111	Syap.g_01749, Syap.g_01748
OG0000040	Syad.g_00104	Syap.g_01819
OG0000042	Syad.g_00333	Syap.g_01891, Syap.g_01120
OG0000044	Syad.g_02214	Syap.g_00378
OG0000045	Syad.g_00964	Syap.g_02525
OG0000046	Syad.g_00723	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syad.g_00534	Syap.g_02340
OG0000051	Syad.g_00842, Syad.g_01967	Syap.g_01574
OG0000053	Syad.g_02302	Syap.g_02006
OG0000057	Syad.g_01301	Syap.g_01569
OG0000058	Syad.g_00452	Syap.g_02074
OG0000059	Syad.g_00642	Syap.g_01918
OG0000060	Syad.g_01508	Syap.g_00795
OG0000061	Syad.g_01152	Syap.g_00228
OG0000062	Syad.g_02598	Syap.g_01220
OG0000063	Syad.g_00202	Syap.g_01796
OG0000066	Syad.g_00992	Syap.g_01972
OG0000067	Syad.g_01889	Syap.g_00194
OG0000068	Syad.g_00891	Syap.g_00108, Syap.g_00144
OG0000070	Syad.g_02424	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000073	Syad.g_00926	Syap.g_00273
OG0000075	Syad.g_00416	Syap.g_01064, Syap.g_00664
OG0000076	Syad.g_00348	Syap.g_01111
OG0000077	Syad.g_02741	Syap.g_00416
OG0000078	Syad.g_00824	Syap.g_01149
OG0000079	Syad.g_00565	Syap.g_01589
OG0000080	Syad.g_02256	Syap.g_01707
OG0000085	Syad.g_02612	Syap.g_00611
OG0000087	Syad.g_02860	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syad.g_02899	Syap.g_01202
OG0000089	Syad.g_00785, Syad.g_02829	Syap.g_00115, Syap.g_02042
OG0000090	Syad.g_00977	Syap.g_01451
OG0000091	Syad.g_02144	Syap.g_01861
OG0000094	Syad.g_01676	Syap.g_02781
OG0000095	Syad.g_01290	Syap.g_01556
OG0000099	Syad.g_00460	Syap.g_01385
OG0000102	Syad.g_00343	Syap.g_01116
OG0000104	Syad.g_00158	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syad.g_00530	Syap.g_01369, Syap.g_01368
OG0000107	Syad.g_00590	Syap.g_02496
OG0000108	Syad.g_00904	Syap.g_00733, Syap.g_02255
OG0000110	Syad.g_01048	Syap.g_01313
OG0000111	Syad.g_01300	Syap.g_01566, Syap.g_01568
OG0000112	Syad.g_01766	Syap.g_02023
OG0000113	Syad.g_01851	Syap.g_02714
OG0000114	Syad.g_01617	Syap.g_01255
OG0000115	Syad.g_02300	Syap.g_02004
OG0000116	Syad.g_01123	Syap.g_00241
OG0000117	Syad.g_01510	Syap.g_01889
OG0000118	Syad.g_01104	Syap.g_02286
OG0000120	Syad.g_00459	Syap.g_02075
OG0000121	Syad.g_02280	Syap.g_02471
OG0000123	Syad.g_00701	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syad.g_00320	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syad.g_03040	Syap.g_01046, Syap.g_01047
OG0000126	Syad.g_00156	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Syad.g_02710, Syad.g_00058, Syad.g_00383	Syap.g_00737, Syap.g_00735
OG0000128	Syad.g_00174	Syap.g_00069
OG0000129	Syad.g_03028	Syap.g_00130, Syap.g_00129
OG0000130	Syad.g_02728	Syap.g_01688, Syap.g_01689
OG0000131	Syad.g_02876	Syap.g_02189
OG0000132	Syad.g_02897	Syap.g_01205
OG0000133	Syad.g_01761	Syap.g_02017
OG0000134	Syad.g_00788	Syap.g_02047
OG0000135	Syad.g_00063	Syap.g_02090
OG0000136	Syad.g_02445	Syap.g_00089
OG0000137	Syad.g_02353	Syap.g_02756
OG0000138	Syad.g_00920	Syap.g_00278
OG0000139	Syad.g_00983	Syap.g_00410
OG0000140	Syad.g_00987	Syap.g_01976
OG0000141	Syad.g_02208	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syad.g_02152	Syap.g_00895, Syap.g_00894
OG0000143	Syad.g_02148	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syad.g_02024	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syad.g_00927	Syap.g_01860, Syap.g_01859
OG0000146	Syad.g_01767	Syap.g_02024
OG0000147	Syad.g_01768	Syap.g_02025
OG0000148	Syad.g_01861	Syap.g_02720
OG0000149	Syad.g_01221	Syap.g_00824
OG0000150	Syad.g_02207, Syad.g_00989	Syap.g_01540
OG0000151	Syad.g_01956	Syap.g_00142
OG0000152	Syad.g_01757	Syap.g_02012
OG0000153	Syad.g_01713	Syap.g_02682
OG0000154	Syad.g_01686	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syad.g_01189	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syad.g_01116	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syad.g_01115	Syap.g_00249, Syap.g_00286
OG0000158	Syad.g_00374	Syap.g_01075
OG0000160	Syad.g_02279	Syap.g_02470, Syap.g_02469
OG0000161	Syad.g_02287	Syap.g_02476
OG0000162	Syad.g_02293	Syap.g_02531
OG0000164	Syad.g_02659	Syap.g_01391, Syap.g_01392
OG0000165	Syad.g_02476	Syap.g_01381, Syap.g_01382
OG0000166	Syad.g_00654	Syap.g_00512, Syap.g_01238
OG0000167	Syad.g_00419	Syap.g_02080
OG0000168	Syad.g_00371	Syap.g_01076
OG0000169	Syad.g_00360	Syap.g_01049, Syap.g_01093
OG0000170	Syad.g_00353	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syad.g_00321	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syad.g_00244	Syap.g_01143, Syap.g_00635
OG0000173	Syad.g_00220	Syap.g_00982, Syap.g_00983
OG0000174	Syad.g_00065	Syap.g_02092
OG0000175	Syad.g_00129	Syap.g_02654
OG0000176	Syad.g_00166	Syap.g_00059
OG0000177	Syad.g_00167	Syap.g_00061, Syap.g_00060
OG0000178	Syad.g_00168	Syap.g_00062
OG0000179	Syad.g_00183	Syap.g_00077, Syap.g_02638
OG0000180	Syad.g_00184	Syap.g_00078, Syap.g_02640
OG0000181	Syad.g_00185	Syap.g_00079, Syap.g_02641
OG0000182	Syad.g_00186	Syap.g_00080, Syap.g_02642
OG0000183	Syad.g_00190	Syap.g_00084
