Orthogroup	Syad	Praw
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Praw.g_01000
OG0000002	Syad.g_00619	Praw.g_01009, Praw.g_01844
OG0000004	Syad.g_01304	Praw.g_01827
OG0000004	Syad.g_02184, Syad.g_00810	Praw.g_01203
OG0000005	Syad.g_02639	Praw.g_00528
OG0000005	Syad.g_02596	Praw.g_00413
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Praw.g_01950
OG0000007	Syad.g_00923	Praw.g_00651
OG0000007	Syad.g_02623	Praw.g_00515
OG0000008	Syad.g_01371	Praw.g_00502
OG0000009	Syad.g_01952, Syad.g_00868	Praw.g_00447
OG0000009	Syad.g_02799	Praw.g_01330
OG0000010	Syad.g_02354	Praw.g_01460
OG0000011	Syad.g_02006	Praw.g_00952
OG0000012	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Praw.g_00159
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Praw.g_00807
OG0000014	Syad.g_00480	Praw.g_00828
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Praw.g_01738
OG0000016	Syad.g_01460	Praw.g_01415
OG0000016	Syad.g_02065	Praw.g_00484
OG0000017	Syad.g_01084, Syad.g_01091	Praw.g_01944
OG0000018	Syad.g_02306	Praw.g_00215
OG0000019	Syad.g_00569	Praw.g_00884, Praw.g_01717
OG0000020	Syad.g_00845	Praw.g_00181, Praw.g_00483
OG0000021	Syad.g_01835, Syad.g_00874	Praw.g_00479, Praw.g_00767
OG0000022	Syad.g_02090	Praw.g_00197
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Praw.g_00772
OG0000024	Syad.g_01374	Praw.g_01763, Praw.g_01847
OG0000025	Syad.g_01241	Praw.g_00803, Praw.g_01664
OG0000026	Syad.g_00198	Praw.g_01397, Praw.g_01453
OG0000027	Syad.g_01257	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syad.g_00463	Praw.g_00334, Praw.g_00814
OG0000029	Syad.g_02099	Praw.g_01755
OG0000030	Syad.g_00328, Syad.g_00327	Praw.g_00029
OG0000031	Syad.g_00294	Praw.g_01073
OG0000034	Syad.g_02420, Syad.g_02872	Praw.g_00991
OG0000035	Syad.g_02275	Praw.g_01081, Praw.g_01083
OG0000037	Syad.g_02805	Praw.g_01326
OG0000038	Syad.g_03038	Praw.g_01182
OG0000039	Syad.g_01249, Syad.g_01111	Praw.g_01836
OG0000040	Syad.g_00104	Praw.g_00214
OG0000041	Syad.g_02498, Syad.g_01281	Praw.g_00562
OG0000042	Syad.g_00333	Praw.g_00032
OG0000047	Syad.g_00754	Praw.g_00804
OG0000048	Syad.g_00534	Praw.g_00504, Praw.g_00758
OG0000050	Syad.g_02478	Praw.g_01432
OG0000051	Syad.g_00842	Praw.g_00955
