Orthogroup	Syad	Pray
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Pray.g_01844
OG0000002	Syad.g_00619	Pray.g_01836, Pray.g_01085
OG0000004	Syad.g_01304	Pray.g_01068
OG0000004	Syad.g_02184, Syad.g_00810	Pray.g_00713
OG0000005	Syad.g_02639	Pray.g_01546
OG0000005	Syad.g_02596	Pray.g_01646
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Pray.g_00722
OG0000007	Syad.g_00923	Pray.g_00988, Pray.g_00987
OG0000007	Syad.g_02623	Pray.g_01559
OG0000009	Syad.g_01952, Syad.g_00868	Pray.g_01920, Pray.g_01610
OG0000009	Syad.g_02799	Pray.g_00184
OG0000010	Syad.g_02354	Pray.g_00592
OG0000011	Syad.g_02006	Pray.g_00884, Pray.g_01897
OG0000012	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Pray.g_01140
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Pray.g_00805
OG0000014	Syad.g_00480	Pray.g_00784
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Pray.g_00309
OG0000016	Syad.g_00176	Pray.g_01475
OG0000017	Syad.g_01084, Syad.g_01091	Pray.g_01165
OG0000018	Syad.g_02306	Pray.g_00083
OG0000019	Syad.g_00569	Pray.g_00730, Pray.g_00328
OG0000020	Syad.g_00845	Pray.g_00120
OG0000021	Syad.g_01835, Syad.g_00874	Pray.g_01578, Pray.g_00842
OG0000022	Syad.g_02090	Pray.g_00101
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Pray.g_00838
OG0000024	Syad.g_01374	Pray.g_00289, Pray.g_01088
OG0000025	Syad.g_01241	Pray.g_00809, Pray.g_00383
OG0000026	Syad.g_00198	Pray.g_01493, Pray.g_00599
OG0000027	Syad.g_01257	Pray.g_00960, Pray.g_01887
OG0000028	Syad.g_00463	Pray.g_01935, Pray.g_00798
OG0000029	Syad.g_02099	Pray.g_00296, Pray.g_00853
OG0000030	Syad.g_00328, Syad.g_00327	Pray.g_01374
OG0000031	Syad.g_00458, Syad.g_00294	Pray.g_01806
OG0000034	Syad.g_02420, Syad.g_02872	Pray.g_01860
OG0000035	Syad.g_02275	Pray.g_01722
OG0000037	Syad.g_02805	Pray.g_00180
OG0000038	Syad.g_03038	Pray.g_01415
OG0000039	Syad.g_01249, Syad.g_01111	Pray.g_01077
OG0000040	Syad.g_00104	Pray.g_00084
OG0000042	Syad.g_00333	Pray.g_01371
OG0000044	Syad.g_02214	Pray.g_00002
OG0000047	Syad.g_00754	Pray.g_00808, Pray.g_00897
OG0000048	Syad.g_00534	Pray.g_00852
OG0000050	Syad.g_02114	Pray.g_00883
OG0000050	Syad.g_02478	Pray.g_00619
OG0000051	Syad.g_00842	Pray.g_01894
OG0000053	Syad.g_02302	Pray.g_01702
OG0000054	Syad.g_02209	Pray.g_01157
OG0000055	Syad.g_01255	Pray.g_00329
OG0000056	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691	Pray.g_01942
OG0000057	Syad.g_01301	Pray.g_01065
OG0000058	Syad.g_00452	Pray.g_01786
OG0000059	Syad.g_00642	Pray.g_01258
OG0000061	Syad.g_01152	Pray.g_00064
OG0000062	Syad.g_02598	Pray.g_01644
OG0000063	Syad.g_00202	Pray.g_01495
OG0000065	Syad.g_02801, Syad.g_02574	Pray.g_00182
OG0000066	Syad.g_00992	Pray.g_01222
OG0000067	Syad.g_01889	Pray.g_00348
OG0000068	Syad.g_00891	Pray.g_01829
OG0000070	Syad.g_02424	Pray.g_00940
OG0000071	Syad.g_02405	Pray.g_01870
OG0000072	Syad.g_02905	Pray.g_00652
OG0000073	Syad.g_00926	Pray.g_00990
OG0000075	Syad.g_00416	Pray.g_01339
OG0000076	Syad.g_00348	Pray.g_01364
OG0000077	Syad.g_02741	Pray.g_00211
OG0000078	Syad.g_00824	Pray.g_00720
OG0000079	Syad.g_00565	Pray.g_00733
OG0000081	Syad.g_00833	Pray.g_01022
OG0000082	Syad.g_01063	Pray.g_01177
OG0000084	Syad.g_02272	Pray.g_01726
OG0000085	Syad.g_02612	Pray.g_01566
OG0000086	Syad.g_02770	Pray.g_00201
OG0000087	Syad.g_02860	Pray.g_00150
OG0000088	Syad.g_02899	Pray.g_00647
OG0000089	Syad.g_00785, Syad.g_02829	Pray.g_00834
OG0000090	Syad.g_00977	Pray.g_01024, Pray.g_01228
OG0000091	Syad.g_02144	Pray.g_01121
OG0000092	Syad.g_01190	Pray.g_01325
OG0000093	Syad.g_01905	Pray.g_00479
OG0000094	Syad.g_01676	Pray.g_00565
OG0000095	Syad.g_01290	Pray.g_00584
OG0000097	Syad.g_01458	Pray.g_00022
OG0000098	Syad.g_00625	Pray.g_01847
OG0000099	Syad.g_00460	Pray.g_01788
OG0000100	Syad.g_01846	Pray.g_01648
OG0000101	Syad.g_00694	Pray.g_01306
OG0000102	Syad.g_00343	Pray.g_01369
OG0000103	Syad.g_00143	Pray.g_01449
OG0000104	Syad.g_00158	Pray.g_01457
OG0000105	Syad.g_00530	Pray.g_00753
OG0000106	Syad.g_01993	Pray.g_00848
OG0000107	Syad.g_00590	Pray.g_00864
OG0000108	Syad.g_00904	Pray.g_00970
OG0000109	Syad.g_00919	Pray.g_00984
OG0000110	Syad.g_01048	Pray.g_01187
OG0000111	Syad.g_01300	Pray.g_01064
OG0000112	Syad.g_01766	Pray.g_00313
OG0000113	Syad.g_01851	Pray.g_00370
OG0000114	Syad.g_01617	Pray.g_00452
OG0000115	Syad.g_02300	Pray.g_00126
OG0000116	Syad.g_01123	Pray.g_00074
OG0000117	Syad.g_01510	Pray.g_01927
OG0000118	Syad.g_01104	Pray.g_01858
OG0000119	Syad.g_01168	Pray.g_01833
OG0000120	Syad.g_00459	Pray.g_01808
OG0000121	Syad.g_02280	Pray.g_01720
OG0000122	Syad.g_02122	Pray.g_01682
OG0000123	Syad.g_00701	Pray.g_01313
OG0000124	Syad.g_00320	Pray.g_01380
OG0000125	Syad.g_03040	Pray.g_01417
OG0000126	Syad.g_00156	Pray.g_01456
OG0000128	Syad.g_00174	Pray.g_01473
OG0000129	Syad.g_03028	Pray.g_00239
OG0000130	Syad.g_02728	Pray.g_00220
OG0000131	Syad.g_02876	Pray.g_00144
OG0000132	Syad.g_02897	Pray.g_00645
OG0000133	Syad.g_01761	Pray.g_00800
OG0000134	Syad.g_00788	Pray.g_00835
OG0000135	Syad.g_00063	Pray.g_00861
OG0000136	Syad.g_02445	Pray.g_00931
OG0000137	Syad.g_02353	Pray.g_00965
OG0000138	Syad.g_00920	Pray.g_00985
OG0000139	Syad.g_00983	Pray.g_01224
OG0000140	Syad.g_00987	Pray.g_01223
OG0000141	Syad.g_02208	Pray.g_01156
OG0000142	Syad.g_02152	Pray.g_01128
OG0000143	Syad.g_02148	Pray.g_01124
OG0000144	Syad.g_02024	Pray.g_01111
OG0000145	Syad.g_00927	Pray.g_00306
OG0000146	Syad.g_01767	Pray.g_00314
OG0000147	Syad.g_01768	Pray.g_00315
OG0000148	Syad.g_01861	Pray.g_00364
OG0000149	Syad.g_01221	Pray.g_00395
OG0000150	Syad.g_02207, Syad.g_00989	Pray.g_00403
OG0000151	Syad.g_01956	Pray.g_00462
OG0000152	Syad.g_01757	Pray.g_00511
OG0000153	Syad.g_01713	Pray.g_00530
OG0000154	Syad.g_01686	Pray.g_00558
OG0000155	Syad.g_01189	Pray.g_00043
OG0000156	Syad.g_01116	Pray.g_01881
OG0000157	Syad.g_01115	Pray.g_01880
OG0000158	Syad.g_00374	Pray.g_01787
OG0000160	Syad.g_02279	Pray.g_01721
OG0000161	Syad.g_02287	Pray.g_01715
OG0000162	Syad.g_02293	Pray.g_01709
OG0000163	Syad.g_02542	Pray.g_01675
OG0000164	Syad.g_02659	Pray.g_01535
OG0000165	Syad.g_02476	Pray.g_01528
OG0000166	Syad.g_00654	Pray.g_01270
OG0000167	Syad.g_00419	Pray.g_01337
OG0000168	Syad.g_00371	Pray.g_01347
OG0000169	Syad.g_00360	Pray.g_01357
OG0000170	Syad.g_00353	Pray.g_01359
OG0000171	Syad.g_00321	Pray.g_01379
OG0000172	Syad.g_00244	Pray.g_01388
OG0000173	Syad.g_00220	Pray.g_01403
OG0000174	Syad.g_00065	Pray.g_01431
OG0000175	Syad.g_00129	Pray.g_01441
OG0000176	Syad.g_00166	Pray.g_01465, Pray.g_01466
OG0000177	Syad.g_00167	Pray.g_01467
OG0000178	Syad.g_00168	Pray.g_01468
OG0000179	Syad.g_00183	Pray.g_01478
OG0000180	Syad.g_00184	Pray.g_01479
OG0000181	Syad.g_00185	Pray.g_01480
OG0000182	Syad.g_00186	Pray.g_01481
OG0000183	Syad.g_00190	Pray.g_01485
OG0000184	Syad.g_03018	Pray.g_00237
OG0000185	Syad.g_03006	Pray.g_00234
OG0000186	Syad.g_02722	Pray.g_00225
OG0000187	Syad.g_02724	Pray.g_00224
OG0000188	Syad.g_02759	Pray.g_00207
OG0000189	Syad.g_02788	Pray.g_00193
OG0000190	Syad.g_02790	Pray.g_00192
OG0000191	Syad.g_02824	Pray.g_00172
OG0000192	Syad.g_02834	Pray.g_00168
OG0000193	Syad.g_02877	Pray.g_00143
OG0000194	Syad.g_02880	Pray.g_00140
OG0000195	Syad.g_02884	Pray.g_00138
OG0000196	Syad.g_02894	Pray.g_00642
OG0000197	Syad.g_02895	Pray.g_00643
OG0000198	Syad.g_02896	Pray.g_00644
OG0000199	Syad.g_02904	Pray.g_00651
OG0000200	Syad.g_02921	Pray.g_00665
OG0000201	Syad.g_02937	Pray.g_00673
OG0000202	Syad.g_02938	Pray.g_00674
OG0000203	Syad.g_02939	Pray.g_00675
OG0000204	Syad.g_02940	Pray.g_00676
OG0000205	Syad.g_02948	Pray.g_00683
OG0000206	Syad.g_02955	Pray.g_00688
OG0000207	Syad.g_02957	Pray.g_00690
OG0000208	Syad.g_02958	Pray.g_00691
OG0000209	Syad.g_02981	Pray.g_00700
OG0000210	Syad.g_02982	Pray.g_00701
OG0000211	Syad.g_00813	Pray.g_00714
OG0000212	Syad.g_00825	Pray.g_00721
OG0000213	Syad.g_00556	Pray.g_00738
OG0000214	Syad.g_00538	Pray.g_00747
OG0000215	Syad.g_00508	Pray.g_00771
OG0000216	Syad.g_00504, Syad.g_00285	Pray.g_00772
OG0000217	Syad.g_00500	Pray.g_00775
OG0000218	Syad.g_00498	Pray.g_00777
OG0000219	Syad.g_00497	Pray.g_00778
OG0000220	Syad.g_00496	Pray.g_00779
OG0000221	Syad.g_00488	Pray.g_00780
OG0000222	Syad.g_00473	Pray.g_00788
OG0000223	Syad.g_00451	Pray.g_00801
OG0000224	Syad.g_00444	Pray.g_00803
OG0000225	Syad.g_00777	Pray.g_00824
OG0000226	Syad.g_00781	Pray.g_00828
OG0000227	Syad.g_00783	Pray.g_00830
OG0000228	Syad.g_00784	Pray.g_00833
OG0000229	Syad.g_02450	Pray.g_00926
OG0000230	Syad.g_02448	Pray.g_00928
OG0000231	Syad.g_02436	Pray.g_00939
OG0000232	Syad.g_02392	Pray.g_00948
OG0000233	Syad.g_02382	Pray.g_00953
OG0000234	Syad.g_02351	Pray.g_00966
OG0000235	Syad.g_00903	Pray.g_00969
OG0000236	Syad.g_00918	Pray.g_00983
OG0000237	Syad.g_00936	Pray.g_00997
OG0000238	Syad.g_00941	Pray.g_01003
OG0000239	Syad.g_00957	Pray.g_01016
OG0000240	Syad.g_00958	Pray.g_01017
OG0000241	Syad.g_02160	Pray.g_01021
OG0000242	Syad.g_00975	Pray.g_01023
OG0000243	Syad.g_01000	Pray.g_01218
OG0000244	Syad.g_01012	Pray.g_01215
OG0000245	Syad.g_01014	Pray.g_01213
OG0000246	Syad.g_01017	Pray.g_01209
OG0000247	Syad.g_01029	Pray.g_01199
OG0000248	Syad.g_01032	Pray.g_01197
OG0000249	Syad.g_01034	Pray.g_01195
OG0000250	Syad.g_01044	Pray.g_01190
OG0000251	Syad.g_01071	Pray.g_01172
OG0000252	Syad.g_01078	Pray.g_01169
OG0000253	Syad.g_01081	Pray.g_01168
OG0000254	Syad.g_02203	Pray.g_01152
OG0000255	Syad.g_02185	Pray.g_01146
OG0000256	Syad.g_02167	Pray.g_01136
OG0000257	Syad.g_02161	Pray.g_01133
OG0000258	Syad.g_02143	Pray.g_01120
OG0000259	Syad.g_01576	Pray.g_01103
OG0000260	Syad.g_01587	Pray.g_01100
OG0000261	Syad.g_01590	Pray.g_01098
OG0000262	Syad.g_01595	Pray.g_01094
OG0000263	Syad.g_01475	Pray.g_01082
OG0000264	Syad.g_01360	Pray.g_01072
OG0000265	Syad.g_01383	Pray.g_01040
OG0000266	Syad.g_01804	Pray.g_01030
OG0000267	Syad.g_01645	Pray.g_00274
OG0000268	Syad.g_01646	Pray.g_00275
OG0000269	Syad.g_01894	Pray.g_00343
OG0000270	Syad.g_01891	Pray.g_00346
OG0000271	Syad.g_01883	Pray.g_00354
OG0000272	Syad.g_01882	Pray.g_00355
OG0000273	Syad.g_01247	Pray.g_00378
OG0000274	Syad.g_01246	Pray.g_00379
OG0000275	Syad.g_01242	Pray.g_00382
OG0000276	Syad.g_01229	Pray.g_00387
OG0000277	Syad.g_01228	Pray.g_00388
OG0000278	Syad.g_01225	Pray.g_00391
OG0000279	Syad.g_01208	Pray.g_00398
OG0000280	Syad.g_01198	Pray.g_00399
OG0000281	Syad.g_00624	Pray.g_00404
OG0000282	Syad.g_01619	Pray.g_00454
OG0000283	Syad.g_01661	Pray.g_00488
OG0000284	Syad.g_01787	Pray.g_00493
OG0000285	Syad.g_01776	Pray.g_00498
OG0000286	Syad.g_01758	Pray.g_00510
OG0000287	Syad.g_01720	Pray.g_00527
OG0000288	Syad.g_01687	Pray.g_00557
OG0000289	Syad.g_01672	Pray.g_00568
OG0000290	Syad.g_01287	Pray.g_00581
OG0000291	Syad.g_01289	Pray.g_00583
OG0000292	Syad.g_00155	Pray.g_00632
OG0000293	Syad.g_01124	Pray.g_00073
OG0000294	Syad.g_01125	Pray.g_00072
OG0000295	Syad.g_01181	Pray.g_00051
OG0000296	Syad.g_01183	Pray.g_00049
OG0000297	Syad.g_01512	Pray.g_00041
OG0000298	Syad.g_01511	Pray.g_00040
OG0000299	Syad.g_01462	Pray.g_00023
OG0000300	Syad.g_01455	Pray.g_00020
OG0000301	Syad.g_01454	Pray.g_00019
OG0000302	Syad.g_01453	Pray.g_00017
OG0000303	Syad.g_01442	Pray.g_00010
OG0000304	Syad.g_01436	Pray.g_00006
OG0000305	Syad.g_01292	Pray.g_01837
OG0000306	Syad.g_01989	Pray.g_01834
OG0000307	Syad.g_00883	Pray.g_01820
OG0000308	Syad.g_00881	Pray.g_01819
OG0000309	Syad.g_00876	Pray.g_01815
OG0000310	Syad.g_02250	Pray.g_01737
OG0000311	Syad.g_02254	Pray.g_01735
OG0000312	Syad.g_02265	Pray.g_01732
OG0000313	Syad.g_02284	Pray.g_01718
OG0000314	Syad.g_02313, Syad.g_02231	Pray.g_01695
OG0000315	Syad.g_02323	Pray.g_01685
OG0000316	Syad.g_02564	Pray.g_01665
OG0000317	Syad.g_02620	Pray.g_01561
OG0000318	Syad.g_02624	Pray.g_01558
OG0000319	Syad.g_02642	Pray.g_01545
OG0000320	Syad.g_02644	Pray.g_01543
OG0000321	Syad.g_02645	Pray.g_01542
OG0000322	Syad.g_02646	Pray.g_01541
OG0000323	Syad.g_02661	Pray.g_01532
OG0000324	Syad.g_02505	Pray.g_01506
OG0000325	Syad.g_00591	Pray.g_01235
OG0000326	Syad.g_00598	Pray.g_01241
OG0000327	Syad.g_00649	Pray.g_01265
OG0000328	Syad.g_00650	Pray.g_01266
OG0000329	Syad.g_00668	Pray.g_01283
OG0000330	Syad.g_00669	Pray.g_01284
OG0000331	Syad.g_00670	Pray.g_01285
OG0000332	Syad.g_00685	Pray.g_01299
OG0000333	Syad.g_00688	Pray.g_01301
