Orthogroup	Syad	Prar
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prar.g_00926
OG0000002	Syad.g_00619	Prar.g_00918, Prar.g_01508
OG0000004	Syad.g_01304	Prar.g_01525
OG0000004	Syad.g_02184, Syad.g_00810	Prar.g_00095
OG0000005	Syad.g_02639	Prar.g_01130
OG0000005	Syad.g_02596	Prar.g_00771
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prar.g_00086
OG0000007	Syad.g_00923	Prar.g_01328
OG0000007	Syad.g_02623	Prar.g_01143
OG0000009	Syad.g_01952, Syad.g_00868	Prar.g_00737
OG0000009	Syad.g_02799	Prar.g_00223
OG0000010	Syad.g_02354	Prar.g_01567, Prar.g_01912
OG0000011	Syad.g_02006	Prar.g_00978
OG0000012	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Prar.g_01453
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prar.g_00260
OG0000014	Syad.g_00480	Prar.g_00281
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prar.g_01179
OG0000016	Syad.g_00176	Prar.g_00025
OG0000017	Syad.g_01084, Syad.g_01091	Prar.g_01428
OG0000018	Syad.g_02306	Prar.g_01282
OG0000019	Syad.g_00569	Prar.g_00078, Prar.g_01663
OG0000020	Syad.g_00845	Prar.g_01315, Prar.g_01187, Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Syad.g_01835, Syad.g_00874	Prar.g_00425
OG0000022	Syad.g_02090	Prar.g_01300
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prar.g_00420
OG0000024	Syad.g_01374	Prar.g_01634, Prar.g_01505
OG0000025	Syad.g_01241	Prar.g_00256, Prar.g_01718
OG0000026	Syad.g_00198	Prar.g_00007, Prar.g_01919
OG0000027	Syad.g_01257	Prar.g_00520
OG0000028	Syad.g_00463	Prar.g_00985, Prar.g_00267
OG0000029	Syad.g_02099	Prar.g_00436
OG0000030	Syad.g_00328, Syad.g_00327	Prar.g_00662
OG0000031	Syad.g_00458, Syad.g_00294	Prar.g_00879
OG0000034	Syad.g_02420, Syad.g_02872	Prar.g_00945
OG0000035	Syad.g_02275	Prar.g_00339
OG0000037	Syad.g_02805	Prar.g_00219
OG0000038	Syad.g_03038	Prar.g_00702
OG0000039	Syad.g_01249, Syad.g_01111	Prar.g_01516
OG0000040	Syad.g_00104	Prar.g_01283
OG0000041	Syad.g_02498, Syad.g_01281	Prar.g_00602
OG0000042	Syad.g_00333	Prar.g_00660
OG0000044	Syad.g_02214	Prar.g_01172
OG0000045	Syad.g_00964	Prar.g_01583
OG0000047	Syad.g_00754	Prar.g_00257, Prar.g_00468
OG0000048	Syad.g_00534	Prar.g_00435
OG0000050	Syad.g_02478	Prar.g_01940
OG0000053	Syad.g_02302	Prar.g_00589, Prar.g_00827
OG0000054	Syad.g_02209	Prar.g_01436
OG0000055	Syad.g_01255	Prar.g_01664
OG0000056	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691	Prar.g_00932
OG0000057	Syad.g_01301	Prar.g_01528
OG0000059	Syad.g_00642	Prar.g_01090
OG0000061	Syad.g_01152	Prar.g_01263
OG0000062	Syad.g_02598	Prar.g_00769
OG0000063	Syad.g_00202	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Syad.g_02801, Syad.g_02574	Prar.g_00221
OG0000066	Syad.g_00992	Prar.g_01369
OG0000067	Syad.g_01889	Prar.g_01684
OG0000068	Syad.g_00891	Prar.g_00911
OG0000070	Syad.g_02424	Prar.g_00498
OG0000071	Syad.g_02405	Prar.g_00955
OG0000072	Syad.g_02905	Prar.g_00156
OG0000073	Syad.g_00926	Prar.g_01330
OG0000075	Syad.g_00416	Prar.g_00629
OG0000076	Syad.g_00348	Prar.g_00592, Prar.g_00653
OG0000077	Syad.g_02741	Prar.g_00250
OG0000078	Syad.g_00824	Prar.g_00088
OG0000081	Syad.g_00833	Prar.g_01361
OG0000082	Syad.g_01063	Prar.g_01414
OG0000084	Syad.g_02272	Prar.g_00343
OG0000085	Syad.g_02612	Prar.g_01150
OG0000086	Syad.g_02770	Prar.g_00240
OG0000087	Syad.g_02860	Prar.g_00189
OG0000088	Syad.g_02899	Prar.g_00161
OG0000089	Syad.g_00785, Syad.g_02829	Prar.g_00416
OG0000090	Syad.g_00977	Prar.g_01363
OG0000091	Syad.g_02144	Prar.g_01472
OG0000092	Syad.g_01190	Prar.g_00615
OG0000093	Syad.g_01905	Prar.g_01801
OG0000094	Syad.g_01676	Prar.g_01885
OG0000095	Syad.g_01290	Prar.g_01904
OG0000097	Syad.g_01458	Prar.g_01222
OG0000098	Syad.g_00625	Prar.g_00929
OG0000099	Syad.g_00460	Prar.g_00872
OG0000100	Syad.g_01846	Prar.g_00773
OG0000101	Syad.g_00694	Prar.g_01027
OG0000102	Syad.g_00343	Prar.g_00658
OG0000103	Syad.g_00143	Prar.g_00050
OG0000104	Syad.g_00158	Prar.g_00042
