Orthogroup	Syad	Prad
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prad.g_00609
OG0000002	Syad.g_00619	Prad.g_00601, Prad.g_01252
OG0000004	Syad.g_01304	Prad.g_01269
OG0000004	Syad.g_02184, Syad.g_00810	Prad.g_01759
OG0000005	Syad.g_02639	Prad.g_00928
OG0000005	Syad.g_02596	Prad.g_00438
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prad.g_01750
OG0000007	Syad.g_00923	Prad.g_00132
OG0000007	Syad.g_02623	Prad.g_00941
OG0000009	Syad.g_01952, Syad.g_00868	Prad.g_00317, Prad.g_00401
OG0000009	Syad.g_02799	Prad.g_01888
OG0000010	Syad.g_02354	Prad.g_01304, Prad.g_01011
OG0000011	Syad.g_02006	Prad.g_01218, Prad.g_00339
OG0000012	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Prad.g_01412
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prad.g_01664
OG0000014	Syad.g_00480	Prad.g_01685
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prad.g_01108
OG0000016	Syad.g_00176	Prad.g_01973
OG0000017	Syad.g_01084, Syad.g_01091	Prad.g_01387
OG0000018	Syad.g_02306	Prad.g_01515
OG0000019	Syad.g_00569	Prad.g_01742, Prad.g_01125
OG0000020	Syad.g_00845	Prad.g_00647, Prad.g_01299
OG0000021	Syad.g_01835, Syad.g_00874	Prad.g_01981, Prad.g_00745
OG0000022	Syad.g_02090	Prad.g_01993
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prad.g_00751
OG0000024	Syad.g_01374	Prad.g_01088, Prad.g_01249
OG0000025	Syad.g_01241	Prad.g_01660, Prad.g_01181
OG0000026	Syad.g_00198	Prad.g_01955, Prad.g_01004
OG0000027	Syad.g_01257	Prad.g_01298, Prad.g_00353
OG0000028	Syad.g_00463	Prad.g_01204, Prad.g_01671
OG0000029	Syad.g_02099	Prad.g_01096, Prad.g_00734
OG0000032	Syad.g_02326	Prad.g_00572
OG0000034	Syad.g_02420, Syad.g_02872	Prad.g_00618
OG0000035	Syad.g_02275	Prad.g_00515
OG0000037	Syad.g_02805	Prad.g_01884
OG0000038	Syad.g_03038	Prad.g_01582
OG0000039	Syad.g_01249, Syad.g_01111	Prad.g_01260
OG0000040	Syad.g_00104	Prad.g_01516
OG0000041	Syad.g_02498, Syad.g_01281	Prad.g_00894
OG0000042	Syad.g_00333	Prad.g_01624
OG0000044	Syad.g_02214	Prad.g_01213
OG0000047	Syad.g_00754	Prad.g_01661, Prad.g_00683
OG0000048	Syad.g_00534	Prad.g_00735
OG0000050	Syad.g_02114	Prad.g_01291
OG0000050	Syad.g_02478	Prad.g_00985
OG0000051	Syad.g_00842	Prad.g_00342
OG0000052	Syad.g_00434	Prad.g_00571
OG0000053	Syad.g_02302	Prad.g_00494
OG0000054	Syad.g_02209	Prad.g_01395
OG0000055	Syad.g_01255	Prad.g_01126
OG0000057	Syad.g_01301	Prad.g_01272
OG0000058	Syad.g_00452	Prad.g_00565
OG0000059	Syad.g_00642	Prad.g_00855
OG0000061	Syad.g_01152	Prad.g_01496
OG0000062	Syad.g_02598	Prad.g_00436
OG0000063	Syad.g_00202	Prad.g_01953, Prad.g_00081
OG0000065	Syad.g_02801, Syad.g_02574	Prad.g_01886
OG0000066	Syad.g_00992	Prad.g_00090
OG0000067	Syad.g_01889	Prad.g_01146
OG0000068	Syad.g_00891	Prad.g_00594
OG0000070	Syad.g_02424	Prad.g_00057
OG0000071	Syad.g_02405	Prad.g_00628
OG0000072	Syad.g_02905	Prad.g_01820
OG0000073	Syad.g_00926	Prad.g_00130
OG0000075	Syad.g_00416	Prad.g_00775
OG0000076	Syad.g_00348	Prad.g_01631
OG0000077	Syad.g_02741	Prad.g_01915
OG0000078	Syad.g_00824	Prad.g_01752
OG0000079	Syad.g_00565	Prad.g_01739
OG0000081	Syad.g_00833	Prad.g_00098
