Orthogroup	Prbj	Prba
OG0000000	Prbj.g_02517	Prba.g_00203
OG0000000	Prbj.g_00030	Prba.g_01639
OG0000002	Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_00169, Prbj.g_02690	Prba.g_00211
OG0000003	Prbj.g_00165	Prba.g_01172
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Prba.g_01570, Prba.g_01563, Prba.g_01171
OG0000006	Prbj.g_01610	Prba.g_00964
OG0000006	Prbj.g_00857	Prba.g_00226
OG0000007	Prbj.g_00929	Prba.g_01131
OG0000007	Prbj.g_00928	Prba.g_01645
OG0000009	Prbj.g_01349	Prba.g_01519, Prba.g_00468
OG0000011	Prbj.g_02509	Prba.g_00913
OG0000011	Prbj.g_00666	Prba.g_00546
OG0000012	Prbj.g_01761, Prbj.g_01769	Prba.g_01719
OG0000013	Prbj.g_02502	Prba.g_01538
OG0000016	Prbj.g_00740, Prbj.g_00778	Prba.g_00200
OG0000018	Prbj.g_02699	Prba.g_00460
OG0000019	Prbj.g_01774	Prba.g_00245
OG0000020	Prbj.g_01393	Prba.g_00868
OG0000024	Prbj.g_01442	Prba.g_00522
OG0000026	Prbj.g_01208	Prba.g_01826
OG0000028	Prbj.g_01056	Prba.g_00713
OG0000031	Prbj.g_00705	Prba.g_01168
OG0000032	Prbj.g_01522, Prbj.g_01527	Prba.g_00173
OG0000036	Prbj.g_01789	Prba.g_01731
OG0000037	Prbj.g_02552	Prba.g_01694
OG0000038	Prbj.g_00050, Prbj.g_01572	Prba.g_01543
OG0000039	Prbj.g_00912, Prbj.g_00521	Prba.g_00622
OG0000040	Prbj.g_02392	Prba.g_00854
OG0000042	Prbj.g_00913, Prbj.g_02178	Prba.g_01594
OG0000043	Prbj.g_00025, Prbj.g_00023	Prba.g_01514
OG0000045	Prbj.g_01467	Prba.g_00153
OG0000046	Prbj.g_00869	Prba.g_00233
OG0000047	Prbj.g_01598	Prba.g_00768
OG0000048	Prbj.g_00001, Prbj.g_01808	Prba.g_00775
