Orthogroup	Prbj	Prbn
OG0000000	Prbj.g_02517	Prbn.g_01483, Prbn.g_01478
OG0000000	Prbj.g_00030	Prbn.g_01586, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879
OG0000002	Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_00169, Prbj.g_02690	Prbn.g_01213
OG0000003	Prbj.g_00165	Prbn.g_01151
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Prbn.g_01110
OG0000006	Prbj.g_01610	Prbn.g_00617
OG0000006	Prbj.g_00857	Prbn.g_01745
OG0000007	Prbj.g_00929	Prbn.g_01645
OG0000007	Prbj.g_00928	Prbn.g_01646
OG0000009	Prbj.g_01349	Prbn.g_01165, Prbn.g_00015
OG0000011	Prbj.g_02509	Prbn.g_00690
OG0000012	Prbj.g_01769	Prbn.g_00510
OG0000013	Prbj.g_02502	Prbn.g_01684, Prbn.g_01730
OG0000016	Prbj.g_00740	Prbn.g_01135
OG0000016	Prbj.g_00778	Prbn.g_00885
OG0000017	Prbj.g_00638	Prbn.g_00233, Prbn.g_01690
OG0000018	Prbj.g_02699	Prbn.g_00308
OG0000019	Prbj.g_01774	Prbn.g_01560
OG0000020	Prbj.g_01393	Prbn.g_01097, Prbn.g_00038
OG0000024	Prbj.g_01442	Prbn.g_00074
OG0000026	Prbj.g_01208	Prbn.g_00130
OG0000028	Prbj.g_01056	Prbn.g_00212
OG0000031	Prbj.g_00705	Prbn.g_00809
OG0000034	Prbj.g_01487	Prbn.g_00724
OG0000036	Prbj.g_01789	Prbn.g_00530
OG0000037	Prbj.g_02552	Prbn.g_00867, Prbn.g_00492
OG0000038	Prbj.g_00050, Prbj.g_01572	Prbn.g_00891
OG0000039	Prbj.g_00912, Prbj.g_00521	Prbn.g_01247
OG0000040	Prbj.g_02392	Prbn.g_01030
OG0000042	Prbj.g_00913, Prbj.g_02178	Prbn.g_01554
OG0000043	Prbj.g_00025, Prbj.g_00023	Prbn.g_01454
OG0000044	Prbj.g_00971	Prbn.g_01189
OG0000045	Prbj.g_01467	Prbn.g_00172
OG0000046	Prbj.g_00869	Prbn.g_01737, Prbn.g_00144
OG0000047	Prbj.g_01598	Prbn.g_00996
OG0000048	Prbj.g_00001, Prbj.g_01808	Prbn.g_00988
OG0000050	Prbj.g_01204	Prbn.g_00750
OG0000051	Prbj.g_00530	Prbn.g_01256
OG0000052	Prbj.g_00875	Prbn.g_00829
OG0000053	Prbj.g_02141	Prbn.g_00577, Prbn.g_01657
OG0000054	Prbj.g_01324	Prbn.g_00475
OG0000055	Prbj.g_02437	Prbn.g_01523
OG0000056	Prbj.g_00227	Prbn.g_01133
OG0000058	Prbj.g_00128	Prbn.g_00639
OG0000059	Prbj.g_00758	Prbn.g_01562
OG0000062	Prbj.g_01990	Prbn.g_01650
OG0000063	Prbj.g_01915	Prbn.g_00389
OG0000065	Prbj.g_01728	Prbn.g_01084
OG0000066	Prbj.g_01465	Prbn.g_00170
OG0000068	Prbj.g_00415, Prbj.g_00981	Prbn.g_01881
OG0000069	Prbj.g_00659	Prbn.g_00251
OG0000071	Prbj.g_02085	Prbn.g_00002, Prbn.g_00003
OG0000072	Prbj.g_01460	Prbn.g_00088
OG0000073	Prbj.g_00824	Prbn.g_00845
OG0000074	Prbj.g_00933	Prbn.g_01572
OG0000075	Prbj.g_02419	Prbn.g_01539
