Orthogroup	Prbj	Praz
OG0000000	Prbj.g_02517	Praz.g_01146
OG0000000	Prbj.g_00030	Praz.g_01652
OG0000002	Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_00169, Prbj.g_02690	Praz.g_01154
OG0000003	Prbj.g_00165	Praz.g_01200
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Praz.g_01583, Praz.g_01576, Praz.g_01201
OG0000006	Prbj.g_01610	Praz.g_01831
OG0000006	Prbj.g_00857	Praz.g_00877
OG0000007	Prbj.g_00929	Praz.g_01241
OG0000007	Prbj.g_00928	Praz.g_01658
OG0000009	Prbj.g_01349	Praz.g_01532, Praz.g_00609
OG0000011	Prbj.g_02509	Praz.g_01921
OG0000011	Prbj.g_00666	Praz.g_00687
OG0000012	Prbj.g_01761, Prbj.g_01769	Praz.g_01732
OG0000013	Prbj.g_02502	Praz.g_01551
OG0000016	Prbj.g_00740, Prbj.g_00778	Praz.g_01143
OG0000018	Prbj.g_02699	Praz.g_00601
OG0000019	Prbj.g_01774	Praz.g_00896
OG0000020	Prbj.g_01393	Praz.g_00800
OG0000024	Prbj.g_01442	Praz.g_00663
OG0000026	Prbj.g_01208	Praz.g_00398
OG0000028	Prbj.g_01056	Praz.g_01041
OG0000031	Prbj.g_00705	Praz.g_01204
OG0000032	Prbj.g_01522, Prbj.g_01527	Praz.g_01116
OG0000036	Prbj.g_01789	Praz.g_01744
OG0000037	Prbj.g_02552	Praz.g_01707
OG0000038	Prbj.g_00050, Prbj.g_01572	Praz.g_01556
OG0000039	Prbj.g_00912, Prbj.g_00521	Praz.g_00526
OG0000040	Prbj.g_02392	Praz.g_00814
OG0000042	Prbj.g_00913, Prbj.g_02178	Praz.g_01607
OG0000043	Prbj.g_00025, Prbj.g_00023	Praz.g_01527
OG0000045	Prbj.g_01467	Praz.g_01096
OG0000046	Prbj.g_00869	Praz.g_00884
OG0000047	Prbj.g_01598	Praz.g_00205
OG0000048	Prbj.g_00001, Prbj.g_01808	Praz.g_00198
OG0000050	Prbj.g_01204	Praz.g_00396
OG0000051	Prbj.g_00530	Praz.g_00517
OG0000052	Prbj.g_00875	Praz.g_00804
OG0000053	Prbj.g_02141	Praz.g_01789
OG0000054	Prbj.g_01324	Praz.g_01561
OG0000055	Prbj.g_02437	Praz.g_01490
OG0000056	Prbj.g_00227	Praz.g_00038
OG0000058	Prbj.g_00128	Praz.g_01853
OG0000059	Prbj.g_00758	Praz.g_01632
OG0000062	Prbj.g_01990	Praz.g_00025
OG0000063	Prbj.g_01915	Praz.g_01237
OG0000065	Prbj.g_01728	Praz.g_01180
OG0000066	Prbj.g_01465	Praz.g_01118
OG0000068	Prbj.g_00415, Prbj.g_00981	Praz.g_00263
