Orthogroup	Prbj	Prae
OG0000000	Prbj.g_02517	Prae.g_01361
OG0000000	Prbj.g_00030	Prae.g_00652
OG0000001	Prbj.g_00166	Prae.g_01300
OG0000002	Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_00169, Prbj.g_02690	Prae.g_01353
OG0000003	Prbj.g_00165	Prae.g_01308
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Prae.g_00735, Prae.g_00742, Prae.g_01297
OG0000006	Prbj.g_01610	Prae.g_00471
OG0000006	Prbj.g_00857	Prae.g_01623
OG0000007	Prbj.g_00928	Prae.g_00646
OG0000009	Prbj.g_01349	Prae.g_00786, Prae.g_00252
OG0000011	Prbj.g_00666	Prae.g_00331
OG0000012	Prbj.g_01761, Prbj.g_01769	Prae.g_00572
OG0000013	Prbj.g_02502	Prae.g_01235
OG0000016	Prbj.g_00740, Prbj.g_00778	Prae.g_01364
OG0000018	Prbj.g_02699	Prae.g_00244
OG0000019	Prbj.g_01774	Prae.g_01600
OG0000020	Prbj.g_01393	Prae.g_00374
OG0000024	Prbj.g_01442	Prae.g_00307
OG0000026	Prbj.g_01208	Prae.g_00033
OG0000028	Prbj.g_01056	Prae.g_01459
OG0000031	Prbj.g_00705	Prae.g_01294, Prae.g_01602
OG0000032	Prbj.g_01522, Prbj.g_01527	Prae.g_01391
OG0000036	Prbj.g_01789	Prae.g_00559
OG0000037	Prbj.g_02552	Prae.g_00597
OG0000038	Prbj.g_00050, Prbj.g_01572	Prae.g_00764
OG0000039	Prbj.g_00912, Prbj.g_00521	Prae.g_00169
OG0000040	Prbj.g_02392	Prae.g_00359
OG0000042	Prbj.g_00913, Prbj.g_02178	Prae.g_00711
OG0000043	Prbj.g_00025, Prbj.g_00023	Prae.g_00791
OG0000045	Prbj.g_01467	Prae.g_01417, Prae.g_01406
OG0000046	Prbj.g_00869	Prae.g_01616
OG0000047	Prbj.g_01598	Prae.g_01815
OG0000048	Prbj.g_00001, Prbj.g_01808	Prae.g_01822
OG0000050	Prbj.g_01204	Prae.g_00031
OG0000051	Prbj.g_00530	Prae.g_00160
OG0000052	Prbj.g_00875	Prae.g_00370
OG0000053	Prbj.g_02141	Prae.g_00514
OG0000054	Prbj.g_01324	Prae.g_00758
OG0000055	Prbj.g_02437	Prae.g_00828
OG0000056	Prbj.g_00227	Prae.g_01322
OG0000058	Prbj.g_00128	Prae.g_00449
OG0000059	Prbj.g_00758	Prae.g_00672
OG0000062	Prbj.g_01990	Prae.g_01130
OG0000063	Prbj.g_01915	Prae.g_01263
OG0000065	Prbj.g_01728	Prae.g_01329
OG0000066	Prbj.g_01465	Prae.g_01389
OG0000068	Prbj.g_00415, Prbj.g_00981	Prae.g_01758
OG0000071	Prbj.g_02085	Prae.g_00011
OG0000072	Prbj.g_01460	Prae.g_00323
OG0000073	Prbj.g_00824	Prae.g_00643
OG0000074	Prbj.g_00933	Prae.g_00665
OG0000075	Prbj.g_02419	Prae.g_00813
OG0000076	Prbj.g_01838	Prae.g_01040
OG0000078	Prbj.g_01464	Prae.g_01390
OG0000079	Prbj.g_00881	Prae.g_01537
OG0000080	Prbj.g_01678	Prae.g_01588
OG0000081	Prbj.g_01500	Prae.g_01789
OG0000082	Prbj.g_01999	Prae.g_01877
OG0000083	Prbj.g_02076	Prae.g_00003
OG0000084	Prbj.g_02079	Prae.g_00006
OG0000085	Prbj.g_01195	Prae.g_00023
OG0000087	Prbj.g_01921	Prae.g_00051
OG0000088	Prbj.g_01551	Prae.g_00112
OG0000089	Prbj.g_01566	Prae.g_00121
OG0000090	Prbj.g_01547	Prae.g_00139
OG0000091	Prbj.g_00518	Prae.g_00172
OG0000092	Prbj.g_00517	Prae.g_00173
OG0000093	Prbj.g_01138	Prae.g_00187
OG0000094	Prbj.g_01167	Prae.g_00205
OG0000095	Prbj.g_00288	Prae.g_00210
OG0000096	Prbj.g_01352	Prae.g_00254
OG0000097	Prbj.g_01397	Prae.g_01440
OG0000098	Prbj.g_01410	Prae.g_00285
OG0000099	Prbj.g_01422	Prae.g_00295
OG0000100	Prbj.g_01426	Prae.g_00298
OG0000101	Prbj.g_00067	Prae.g_00356
OG0000102	Prbj.g_02004	Prae.g_00382
OG0000103	Prbj.g_00127	Prae.g_00450
OG0000104	Prbj.g_01630	Prae.g_00454
OG0000105	Prbj.g_01608	Prae.g_00473
OG0000106	Prbj.g_02125	Prae.g_00506
OG0000107	Prbj.g_02127	Prae.g_00508
OG0000108	Prbj.g_02668	Prae.g_00518
OG0000109	Prbj.g_01866	Prae.g_00527
OG0000110	Prbj.g_01885	Prae.g_01301
OG0000111	Prbj.g_00792	Prae.g_00625
OG0000112	Prbj.g_00793	Prae.g_00626
OG0000113	Prbj.g_02314	Prae.g_00733
OG0000114	Prbj.g_02410	Prae.g_00804
OG0000115	Prbj.g_02268	Prae.g_00964
OG0000116	Prbj.g_02260	Prae.g_00968
OG0000117	Prbj.g_01841	Prae.g_01037
OG0000118	Prbj.g_02066	Prae.g_01090
OG0000119	Prbj.g_01992	Prae.g_01133
OG0000120	Prbj.g_00843	Prae.g_01169
OG0000121	Prbj.g_00003	Prae.g_01188
OG0000122	Prbj.g_02156	Prae.g_01207
OG0000123	Prbj.g_00020	Prae.g_01220
OG0000124	Prbj.g_01848	Prae.g_01434
OG0000125	Prbj.g_01742	Prae.g_01341
OG0000126	Prbj.g_01639	Prae.g_01368
OG0000127	Prbj.g_01040	Prae.g_01446
OG0000128	Prbj.g_01057	Prae.g_01460
OG0000129	Prbj.g_00656	Prae.g_01496
OG0000130	Prbj.g_00863	Prae.g_01621
OG0000131	Prbj.g_00461	Prae.g_01659
OG0000132	Prbj.g_00458	Prae.g_01662
OG0000133	Prbj.g_01024	Prae.g_01717
OG0000134	Prbj.g_00987	Prae.g_01753
OG0000135	Prbj.g_00985	Prae.g_01755
OG0000136	Prbj.g_01516	Prae.g_01800
OG0000137	Prbj.g_01280	Prae.g_01832
OG0000138	Prbj.g_01963	Prae.g_01867
OG0000139	Prbj.g_02047	Prae.g_01894
OG0000140	Prbj.g_02074	Prae.g_00001
OG0000141	Prbj.g_02075	Prae.g_00002
OG0000142	Prbj.g_02077	Prae.g_00004
OG0000143	Prbj.g_02078	Prae.g_00005
OG0000144	Prbj.g_02080	Prae.g_00007
OG0000145	Prbj.g_02082	Prae.g_00008
OG0000146	Prbj.g_02083	Prae.g_00009
OG0000147	Prbj.g_02084	Prae.g_00010
OG0000148	Prbj.g_02086	Prae.g_00012
OG0000149	Prbj.g_01182	Prae.g_00014
OG0000150	Prbj.g_01183	Prae.g_00015
OG0000151	Prbj.g_01188	Prae.g_00016
OG0000152	Prbj.g_01189	Prae.g_00017
OG0000153	Prbj.g_01190	Prae.g_00018
OG0000154	Prbj.g_01191	Prae.g_00019
OG0000155	Prbj.g_01192	Prae.g_00020
OG0000156	Prbj.g_01193	Prae.g_00021
OG0000157	Prbj.g_01194	Prae.g_00022
OG0000158	Prbj.g_01196	Prae.g_00024
OG0000159	Prbj.g_01197	Prae.g_00025
OG0000160	Prbj.g_01198	Prae.g_00026
OG0000161	Prbj.g_01199	Prae.g_00027
OG0000162	Prbj.g_01200	Prae.g_00028
OG0000163	Prbj.g_01202	Prae.g_00029
OG0000164	Prbj.g_01207	Prae.g_00032
OG0000165	Prbj.g_01212	Prae.g_00035
OG0000166	Prbj.g_01213	Prae.g_00036
OG0000167	Prbj.g_01214	Prae.g_00037
OG0000168	Prbj.g_01215	Prae.g_00042
OG0000169	Prbj.g_01217	Prae.g_00044
OG0000170	Prbj.g_01953	Prae.g_00045
OG0000171	Prbj.g_01951	Prae.g_00046
OG0000172	Prbj.g_01950	Prae.g_00047
OG0000173	Prbj.g_01943	Prae.g_00048
OG0000174	Prbj.g_01936	Prae.g_00049
OG0000175	Prbj.g_01928	Prae.g_00050
OG0000176	Prbj.g_01920	Prae.g_00052
OG0000177	Prbj.g_01919	Prae.g_00053
OG0000178	Prbj.g_01918	Prae.g_00054
OG0000179	Prbj.g_00558	Prae.g_00064
OG0000180	Prbj.g_00560	Prae.g_00065
OG0000181	Prbj.g_00561	Prae.g_00066
OG0000182	Prbj.g_00564	Prae.g_00069
OG0000183	Prbj.g_00565	Prae.g_00070
OG0000184	Prbj.g_00569	Prae.g_00073
OG0000185	Prbj.g_00575	Prae.g_00077
OG0000186	Prbj.g_00576	Prae.g_00078
OG0000187	Prbj.g_00047	Prae.g_00079
OG0000188	Prbj.g_00577	Prae.g_00080
OG0000189	Prbj.g_00580	Prae.g_00081
OG0000190	Prbj.g_00581	Prae.g_00082
OG0000191	Prbj.g_00582	Prae.g_00083
OG0000192	Prbj.g_00583	Prae.g_00084
OG0000193	Prbj.g_00584	Prae.g_00085
OG0000194	Prbj.g_00585	Prae.g_00086
OG0000195	Prbj.g_00589	Prae.g_00088
OG0000196	Prbj.g_00590	Prae.g_00089
OG0000197	Prbj.g_00596	Prae.g_00090
OG0000198	Prbj.g_00600	Prae.g_00091
OG0000199	Prbj.g_00605	Prae.g_00094
OG0000200	Prbj.g_00606	Prae.g_00095
OG0000201	Prbj.g_00607	Prae.g_00096
OG0000202	Prbj.g_00609	Prae.g_00097
OG0000203	Prbj.g_00610	Prae.g_00098
OG0000204	Prbj.g_00611	Prae.g_00099
OG0000205	Prbj.g_00613	Prae.g_00100
OG0000206	Prbj.g_00614	Prae.g_00101
OG0000207	Prbj.g_00615	Prae.g_00102
OG0000208	Prbj.g_00616	Prae.g_00103
OG0000209	Prbj.g_00617	Prae.g_00104
OG0000210	Prbj.g_00619	Prae.g_00105
OG0000211	Prbj.g_00620	Prae.g_00106
OG0000212	Prbj.g_00621	Prae.g_00107
OG0000213	Prbj.g_00624	Prae.g_00108
OG0000214	Prbj.g_00630	Prae.g_00110
OG0000215	Prbj.g_01550	Prae.g_00111
OG0000216	Prbj.g_01552	Prae.g_00113
OG0000217	Prbj.g_01554	Prae.g_00115
OG0000218	Prbj.g_01556	Prae.g_00116
OG0000219	Prbj.g_01557	Prae.g_00117
OG0000220	Prbj.g_01562	Prae.g_00120
OG0000221	Prbj.g_01567	Prae.g_00122
OG0000222	Prbj.g_01568	Prae.g_00123
OG0000223	Prbj.g_01569	Prae.g_00124
OG0000224	Prbj.g_01530	Prae.g_00127
OG0000225	Prbj.g_01532	Prae.g_00129
OG0000226	Prbj.g_01535	Prae.g_00130
OG0000227	Prbj.g_01537	Prae.g_00131
OG0000228	Prbj.g_01538	Prae.g_00132
OG0000229	Prbj.g_01539	Prae.g_00133
OG0000230	Prbj.g_01540	Prae.g_00134
OG0000231	Prbj.g_01542	Prae.g_00136
OG0000232	Prbj.g_01543	Prae.g_00137
OG0000233	Prbj.g_01548	Prae.g_00140
OG0000234	Prbj.g_00545	Prae.g_00142
OG0000235	Prbj.g_00543	Prae.g_00148
OG0000236	Prbj.g_00542	Prae.g_00149
OG0000237	Prbj.g_00541	Prae.g_00150
OG0000238	Prbj.g_00540	Prae.g_00151
OG0000239	Prbj.g_00539	Prae.g_00152
OG0000240	Prbj.g_00537	Prae.g_00154
OG0000241	Prbj.g_00536	Prae.g_00155
OG0000242	Prbj.g_00535	Prae.g_00156
OG0000243	Prbj.g_00534	Prae.g_00157
OG0000244	Prbj.g_00533	Prae.g_00158
OG0000245	Prbj.g_00531	Prae.g_00159
OG0000246	Prbj.g_00529	Prae.g_00161
