Orthogroup	Praz	Pral
OG0000000	Praz.g_01146	Pral.g_01549, Pral.g_01554
OG0000000	Praz.g_01652	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000002	Praz.g_01154	Pral.g_01236
OG0000002	Praz.g_01939, Praz.g_01940	Pral.g_01296, Pral.g_01671
OG0000003	Praz.g_01200, Praz.g_00920	Pral.g_00040, Pral.g_01332
OG0000004	Praz.g_01576	Pral.g_01898
OG0000005	Praz.g_00921, Praz.g_00894	Pral.g_00037
OG0000006	Praz.g_01831	Pral.g_00593
OG0000006	Praz.g_00877	Pral.g_00107
OG0000007	Praz.g_01241	Pral.g_00020
OG0000009	Praz.g_01532	Pral.g_01344
OG0000009	Praz.g_00609	Pral.g_00790
OG0000010	Praz.g_00045, Praz.g_01215	Pral.g_00444
OG0000011	Praz.g_01921	Pral.g_00672
OG0000012	Praz.g_01732	Pral.g_00484, Pral.g_00491
OG0000013	Praz.g_01551	Pral.g_01813
OG0000014	Praz.g_01197, Praz.g_01858	Pral.g_00039, Pral.g_01036
OG0000015	Praz.g_00792	Pral.g_01887, Pral.g_00062
OG0000016	Praz.g_01143	Pral.g_01861, Pral.g_01063
OG0000018	Praz.g_00601	Pral.g_00797
OG0000019	Praz.g_00896, Praz.g_00810	Pral.g_01738
OG0000021	Praz.g_01530	Pral.g_00090
OG0000022	Praz.g_01198	Pral.g_01331
OG0000023	Praz.g_01230	Pral.g_01065, Pral.g_01163
OG0000024	Praz.g_00663	Pral.g_00732, Pral.g_01261
OG0000025	Praz.g_00769	Pral.g_01829
OG0000028	Praz.g_01041	Pral.g_01165, Pral.g_01161
OG0000029	Praz.g_00928	Pral.g_01164, Pral.g_01114
OG0000030	Praz.g_00404	Pral.g_01006
OG0000032	Praz.g_01116	Pral.g_01193
OG0000034	Praz.g_01103	Pral.g_00987
OG0000035	Praz.g_00104, Praz.g_01422	Pral.g_01853
OG0000036	Praz.g_01744	Pral.g_00057
OG0000037	Praz.g_01707	Pral.g_00015
OG0000038	Praz.g_01556	Pral.g_00044
OG0000040	Praz.g_00814	Pral.g_01687
OG0000042	Praz.g_01607	Pral.g_01729
OG0000043	Praz.g_01527	Pral.g_01665
OG0000044	Praz.g_00755	Pral.g_01367
OG0000045	Praz.g_01096	Pral.g_01202
OG0000046	Praz.g_00884	Pral.g_00099
OG0000047	Praz.g_00205	Pral.g_00305
OG0000048	Praz.g_00198	Pral.g_00313
OG0000050	Praz.g_00396	Pral.g_01012
OG0000051	Praz.g_00517	Pral.g_00887
OG0000052	Praz.g_00804	Pral.g_01859
OG0000053	Praz.g_01789	Pral.g_00551
OG0000055	Praz.g_01490	Pral.g_01511
OG0000056	Praz.g_00038	Pral.g_00019
OG0000057	Praz.g_00597	Pral.g_00803
OG0000058	Praz.g_01853	Pral.g_00617
OG0000059	Praz.g_01632	Pral.g_01740
OG0000060	Praz.g_01578	Pral.g_00445
OG0000062	Praz.g_00025	Pral.g_00056, Pral.g_00078
OG0000063	Praz.g_01237	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000065	Praz.g_01180	Pral.g_01281
OG0000066	Praz.g_01118	Pral.g_00702
OG0000067	Praz.g_00768, Praz.g_01240	Pral.g_00064
OG0000068	Praz.g_00263	Pral.g_00243
OG0000071	Praz.g_00376	Pral.g_00421
OG0000072	Praz.g_00679	Pral.g_00717
OG0000073	Praz.g_01661	Pral.g_01471
OG0000074	Praz.g_01639	Pral.g_01750
OG0000075	Praz.g_01505	Pral.g_01495
OG0000076	Praz.g_00066	Pral.g_01561
OG0000078	Praz.g_01098	Pral.g_01201
OG0000079	Praz.g_00963	Pral.g_01073
OG0000080	Praz.g_00913	Pral.g_00065
OG0000081	Praz.g_00232	Pral.g_00277
OG0000083	Praz.g_00368	Pral.g_00413
OG0000084	Praz.g_00371	Pral.g_00416
OG0000085	Praz.g_00388	Pral.g_01021
OG0000086	Praz.g_00405, Praz.g_01911	Pral.g_01886
OG0000087	Praz.g_00415	Pral.g_00993
OG0000088	Praz.g_00473	Pral.g_00932
OG0000089	Praz.g_00481	Pral.g_00923
OG0000090	Praz.g_00499	Pral.g_00906
OG0000091	Praz.g_00529	Pral.g_00874
OG0000092	Praz.g_00530	Pral.g_00873
OG0000093	Praz.g_00544	Pral.g_00860
OG0000094	Praz.g_00562	Pral.g_00842
OG0000095	Praz.g_00567	Pral.g_00837
OG0000096	Praz.g_00611	Pral.g_00788
OG0000097	Praz.g_00632	Pral.g_00765
OG0000099	Praz.g_00651	Pral.g_00744
OG0000100	Praz.g_00654	Pral.g_00741
OG0000101	Praz.g_00817	Pral.g_00674
OG0000102	Praz.g_00791	Pral.g_01034
OG0000103	Praz.g_01852	Pral.g_00616
OG0000104	Praz.g_01848	Pral.g_00611
OG0000105	Praz.g_01829	Pral.g_00591
OG0000106	Praz.g_01796	Pral.g_00558
OG0000107	Praz.g_01795	Pral.g_00557
OG0000108	Praz.g_01785	Pral.g_00547
OG0000109	Praz.g_01776	Pral.g_00538
OG0000110	Praz.g_01760	Pral.g_00520
OG0000111	Praz.g_01679	Pral.g_01452
OG0000112	Praz.g_01678	Pral.g_01453
OG0000113	Praz.g_01585	Pral.g_01705
OG0000114	Praz.g_01514	Pral.g_01486
OG0000115	Praz.g_01350	Pral.g_01627
OG0000116	Praz.g_01346	Pral.g_01623
OG0000117	Praz.g_01279, Praz.g_00063	Pral.g_01564
OG0000118	Praz.g_00114	Pral.g_01316
OG0000119	Praz.g_00022	Pral.g_00075
OG0000120	Praz.g_00748	Pral.g_01187, Pral.g_01373
OG0000121	Praz.g_00729	Pral.g_01400
OG0000122	Praz.g_00710	Pral.g_01420
OG0000123	Praz.g_00697	Pral.g_00455
OG0000124	Praz.g_01936	Pral.g_01064
OG0000125	Praz.g_01168	Pral.g_01269
OG0000126	Praz.g_01139	Pral.g_01222
OG0000127	Praz.g_01054	Pral.g_01179
OG0000128	Praz.g_01040	Pral.g_01160
OG0000129	Praz.g_01004	Pral.g_01123
OG0000130	Praz.g_00879	Pral.g_00104
OG0000131	Praz.g_00841	Pral.g_00143
OG0000132	Praz.g_00838	Pral.g_00146
OG0000133	Praz.g_00304	Pral.g_00201
OG0000134	Praz.g_00268	Pral.g_00237
OG0000135	Praz.g_00266	Pral.g_00239
OG0000136	Praz.g_00221	Pral.g_00289
