Orthogroup	Praz	Praf
OG0000000	Praz.g_01146	Praf.g_01631
OG0000000	Praz.g_01652	Praf.g_00948
OG0000002	Praz.g_01154	Praf.g_02422, Praf.g_01293, Praf.g_01031, Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000003	Praz.g_01200, Praz.g_00920	Praf.g_00814
OG0000004	Praz.g_01576	Praf.g_01014, Praf.g_02005
OG0000006	Praz.g_01831	Praf.g_00614
OG0000006	Praz.g_00877	Praf.g_00480
OG0000007	Praz.g_01241, Praz.g_01658	Praf.g_01224, Praf.g_01223
OG0000009	Praz.g_01532, Praz.g_00609	Praf.g_02214
OG0000011	Praz.g_01921	Praf.g_01898
OG0000011	Praz.g_00687	Praf.g_01864
OG0000012	Praz.g_01732	Praf.g_00760, Praf.g_00752
OG0000013	Praz.g_01551	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Praz.g_01143	Praf.g_01108, Praf.g_01143
OG0000018	Praz.g_00601	Praf.g_00396, Praf.g_01719
OG0000019	Praz.g_00896, Praz.g_00810	Praf.g_00746
OG0000024	Praz.g_00663	Praf.g_02319, Praf.g_00112
OG0000025	Praz.g_00101, Praz.g_00769	Praf.g_01105
OG0000026	Praz.g_00398	Praf.g_00041
OG0000028	Praz.g_01041	Praf.g_01794
OG0000032	Praz.g_01116	Praf.g_02400, Praf.g_00101, Praf.g_00113
OG0000033	Praz.g_00378	Praf.g_00014
OG0000034	Praz.g_01103	Praf.g_02366
OG0000036	Praz.g_01744	Praf.g_00731
OG0000037	Praz.g_01707	Praf.g_01668
OG0000038	Praz.g_01556	Praf.g_00965, Praf.g_00201
OG0000039	Praz.g_00526	Praf.g_01239
OG0000042	Praz.g_01607	Praf.g_01302, Praf.g_01238
OG0000043	Praz.g_01527	Praf.g_00941, Praf.g_00943
OG0000044	Praz.g_00755	Praf.g_00854
OG0000045	Praz.g_01096	Praf.g_02345
OG0000046	Praz.g_00884	Praf.g_00491
OG0000047	Praz.g_00205	Praf.g_00178
OG0000048	Praz.g_00198	Praf.g_00920, Praf.g_00164
OG0000050	Praz.g_00396	Praf.g_00037
OG0000051	Praz.g_00517	Praf.g_02445
OG0000052	Praz.g_00804	Praf.g_00496
OG0000053	Praz.g_01789	Praf.g_00672
OG0000054	Praz.g_01561	Praf.g_00348
OG0000055	Praz.g_01490	Praf.g_01556
OG0000056	Praz.g_00038	Praf.g_02587
OG0000057	Praz.g_00597	Praf.g_00386
OG0000058	Praz.g_01853	Praf.g_01907
OG0000059	Praz.g_01632	Praf.g_01125
OG0000062	Praz.g_00025	Praf.g_01034, Praf.g_02690
OG0000063	Praz.g_01237	Praf.g_00919
OG0000065	Praz.g_01180	Praf.g_00796
OG0000066	Praz.g_01118	Praf.g_02343
OG0000068	Praz.g_00263	Praf.g_02119
OG0000069	Praz.g_01092	Praf.g_02346
OG0000070	Praz.g_01253	Praf.g_02084, Praf.g_01191, Praf.g_01964, Praf.g_01880, Praf.g_02641, Praf.g_02639, Praf.g_01879, Praf.g_01648
OG0000071	Praz.g_00376	Praf.g_00012
OG0000072	Praz.g_00679	Praf.g_02336
OG0000073	Praz.g_01661	Praf.g_01748
OG0000074	Praz.g_01639	Praf.g_01219, Praf.g_01218
OG0000075	Praz.g_01505	Praf.g_01537
OG0000076	Praz.g_00066	Praf.g_01274
OG0000078	Praz.g_01098	Praf.g_02342
OG0000079	Praz.g_00963	Praf.g_00501
OG0000080	Praz.g_00913	Praf.g_00549
OG0000081	Praz.g_00232	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000083	Praz.g_00368	Praf.g_00003
OG0000084	Praz.g_00371	Praf.g_00006
OG0000085	Praz.g_00388	Praf.g_00028
OG0000087	Praz.g_00415	Praf.g_00333, Praf.g_02602
OG0000088	Praz.g_00473	Praf.g_00224
OG0000089	Praz.g_00481	Praf.g_00212
OG0000090	Praz.g_00499	Praf.g_02420
OG0000091	Praz.g_00529	Praf.g_02457
OG0000092	Praz.g_00530	Praf.g_02468
OG0000093	Praz.g_00544	Praf.g_02711, Praf.g_02492
OG0000094	Praz.g_00562	Praf.g_02521, Praf.g_02708
OG0000095	Praz.g_00567	Praf.g_02532
OG0000096	Praz.g_00611	Praf.g_02217
OG0000097	Praz.g_00632	Praf.g_02271
OG0000099	Praz.g_00651	Praf.g_02296
OG0000100	Praz.g_00654	Praf.g_02300
OG0000101	Praz.g_00817	Praf.g_02012
OG0000102	Praz.g_00791	Praf.g_02715, Praf.g_02705
OG0000103	Praz.g_01852	Praf.g_01905
OG0000104	Praz.g_01848	Praf.g_00595
OG0000105	Praz.g_01829	Praf.g_00143, Praf.g_00616
OG0000106	Praz.g_01796	Praf.g_00658
OG0000107	Praz.g_01795	Praf.g_00660
OG0000108	Praz.g_01785	Praf.g_00681
OG0000109	Praz.g_01776	Praf.g_00692
OG0000110	Praz.g_01760	Praf.g_00711
OG0000111	Praz.g_01679	Praf.g_01036, Praf.g_01720
OG0000112	Praz.g_01678	Praf.g_01035, Praf.g_01721
OG0000113	Praz.g_01585	Praf.g_00144, Praf.g_01435
OG0000114	Praz.g_01514	Praf.g_01528
OG0000115	Praz.g_01350	Praf.g_01392
OG0000116	Praz.g_01346	Praf.g_01384, Praf.g_01383
OG0000117	Praz.g_01279, Praz.g_00063	Praf.g_01277
OG0000118	Praz.g_00114	Praf.g_02776
OG0000119	Praz.g_00022	Praf.g_02692
OG0000120	Praz.g_00748	Praf.g_00861
OG0000121	Praz.g_00729	Praf.g_00922
OG0000122	Praz.g_00710	Praf.g_00901
OG0000123	Praz.g_00697	Praf.g_00938
OG0000124	Praz.g_01936	Praf.g_01285
OG0000125	Praz.g_01168	Praf.g_00779
OG0000126	Praz.g_01139	Praf.g_00585, Praf.g_00583
OG0000127	Praz.g_01054	Praf.g_01778, Praf.g_01776
OG0000128	Praz.g_01040	Praf.g_01795
OG0000129	Praz.g_01004	Praf.g_01848
OG0000130	Praz.g_00879	Praf.g_00485
