Orthogroup	Praz	Prbh
OG0000000	Praz.g_01146	Prbh.g_01016, Prbh.g_01022
OG0000000	Praz.g_01652	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317
OG0000002	Praz.g_01939, Praz.g_01940	Prbh.g_00001, Prbh.g_00863
OG0000003	Praz.g_01200, Praz.g_00920	Prbh.g_01901, Prbh.g_01319
OG0000004	Praz.g_01576	Prbh.g_01350
OG0000005	Praz.g_00921, Praz.g_00894	Prbh.g_01903
OG0000006	Praz.g_01831	Prbh.g_00334
OG0000006	Praz.g_00877	Prbh.g_01782
OG0000007	Praz.g_01241	Prbh.g_01406
OG0000009	Praz.g_01532	Prbh.g_01307
OG0000009	Praz.g_00609	Prbh.g_00530
OG0000010	Praz.g_00045, Praz.g_01215	Prbh.g_01909, Prbh.g_01948
OG0000011	Praz.g_01921	Prbh.g_00408
OG0000012	Praz.g_01732	Prbh.g_00225, Prbh.g_00232
OG0000013	Praz.g_01551	Prbh.g_01869, Prbh.g_00840
OG0000015	Praz.g_00792	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806
OG0000016	Praz.g_01143	Prbh.g_01333, Prbh.g_00194
OG0000018	Praz.g_00601	Prbh.g_00538
OG0000019	Praz.g_00896, Praz.g_00810	Prbh.g_00938
OG0000020	Praz.g_00800	Prbh.g_00508
OG0000021	Praz.g_01530	Prbh.g_01870, Prbh.g_00788
OG0000022	Praz.g_01198	Prbh.g_01853
OG0000023	Praz.g_01230	Prbh.g_00377, Prbh.g_01841
OG0000023	Praz.g_00929	Prbh.g_00193
OG0000024	Praz.g_00663	Prbh.g_00472
OG0000025	Praz.g_00769	Prbh.g_00850
OG0000028	Praz.g_01041	Prbh.g_00096, Prbh.g_00099
OG0000029	Praz.g_00928	Prbh.g_00376
OG0000032	Praz.g_01116	Prbh.g_00064
OG0000034	Praz.g_01103	Prbh.g_00041, Prbh.g_00727
OG0000035	Praz.g_01422	Prbh.g_00825
OG0000036	Praz.g_01744	Prbh.g_01855
OG0000037	Praz.g_01707	Prbh.g_01460
OG0000038	Praz.g_01556	Prbh.g_00190
OG0000040	Praz.g_00814	Prbh.g_00833
OG0000041	Praz.g_01908	Prbh.g_01827
OG0000042	Praz.g_01607	Prbh.g_00945
OG0000043	Praz.g_01527	Prbh.g_01048
OG0000044	Praz.g_00755	Prbh.g_01283
OG0000045	Praz.g_01096	Prbh.g_00030
OG0000046	Praz.g_00884	Prbh.g_01408
OG0000047	Praz.g_00205	Prbh.g_01581
OG0000048	Praz.g_00198	Prbh.g_01573
OG0000050	Praz.g_00396	Prbh.g_00749
OG0000051	Praz.g_00517	Prbh.g_00625
OG0000052	Praz.g_00804	Prbh.g_00821
OG0000053	Praz.g_01789	Prbh.g_01856
OG0000055	Praz.g_01490	Prbh.g_00976
OG0000057	Praz.g_00597	Prbh.g_00543
OG0000058	Praz.g_01853	Prbh.g_00356
OG0000059	Praz.g_01632	Prbh.g_00936
OG0000060	Praz.g_01578	Prbh.g_00775
OG0000062	Praz.g_00025	Prbh.g_01868
OG0000063	Praz.g_01237	Prbh.g_01255
OG0000065	Praz.g_01180	Prbh.g_01373
OG0000066	Praz.g_01118	Prbh.g_00031
OG0000067	Praz.g_00768, Praz.g_01240	Prbh.g_01835
OG0000068	Praz.g_00263	Prbh.g_01644
OG0000070	Praz.g_01253	Prbh.g_01803
OG0000071	Praz.g_00376	Prbh.g_01953
OG0000072	Praz.g_00679	Prbh.g_00457
OG0000073	Praz.g_01661	Prbh.g_01182
OG0000074	Praz.g_01639	Prbh.g_00926
OG0000075	Praz.g_01505	Prbh.g_00960
OG0000076	Praz.g_00066	Prbh.g_01031
OG0000077	Praz.g_00893	Prbh.g_01904
OG0000078	Praz.g_01098	Prbh.g_00032
OG0000079	Praz.g_00963	Prbh.g_00184
OG0000080	Praz.g_00913	Prbh.g_01860
OG0000081	Praz.g_00232	Prbh.g_01609
OG0000083	Praz.g_00368	Prbh.g_01473
OG0000084	Praz.g_00371	Prbh.g_01470
OG0000085	Praz.g_00388	Prbh.g_00757
OG0000086	Praz.g_00405, Praz.g_01911	Prbh.g_01826
OG0000087	Praz.g_00415	Prbh.g_00731
OG0000088	Praz.g_00473	Prbh.g_00668
OG0000089	Praz.g_00481	Prbh.g_00659
OG0000090	Praz.g_00499	Prbh.g_00642
OG0000091	Praz.g_00529	Prbh.g_00613
OG0000092	Praz.g_00530	Prbh.g_00612
OG0000093	Praz.g_00544	Prbh.g_00599
OG0000094	Praz.g_00562	Prbh.g_00580
OG0000095	Praz.g_00567	Prbh.g_00575
OG0000096	Praz.g_00611	Prbh.g_00528
OG0000097	Praz.g_00632	Prbh.g_00505
OG0000099	Praz.g_00651	Prbh.g_00484
OG0000100	Praz.g_00654	Prbh.g_00481
OG0000101	Praz.g_00817	Prbh.g_00413
OG0000102	Praz.g_00791	Prbh.g_01825
OG0000103	Praz.g_01852	Prbh.g_00355
OG0000104	Praz.g_01848	Prbh.g_00351
OG0000105	Praz.g_01829	Prbh.g_00330
OG0000106	Praz.g_01796	Prbh.g_00297
OG0000107	Praz.g_01795	Prbh.g_00296
OG0000108	Praz.g_01785	Prbh.g_00287
OG0000109	Praz.g_01776	Prbh.g_00278
OG0000110	Praz.g_01760	Prbh.g_00260
OG0000111	Praz.g_01679	Prbh.g_01202
OG0000112	Praz.g_01678	Prbh.g_01201
OG0000113	Praz.g_01585	Prbh.g_01149
OG0000114	Praz.g_01514	Prbh.g_00951
OG0000115	Praz.g_01350	Prbh.g_01086
OG0000116	Praz.g_01346	Prbh.g_01090
OG0000117	Praz.g_01279, Praz.g_00063	Prbh.g_01034
OG0000118	Praz.g_00114	Prbh.g_01328
OG0000119	Praz.g_00022	Prbh.g_01865
OG0000120	Praz.g_00748	Prbh.g_01276
OG0000121	Praz.g_00729	Prbh.g_01253
OG0000122	Praz.g_00710	Prbh.g_01233
OG0000123	Praz.g_00697	Prbh.g_01450
OG0000124	Praz.g_01936	Prbh.g_01397
OG0000125	Praz.g_01168	Prbh.g_01385
OG0000126	Praz.g_01139	Prbh.g_00009
OG0000127	Praz.g_01054	Prbh.g_00084
OG0000128	Praz.g_01040	Prbh.g_00100
OG0000129	Praz.g_01004	Prbh.g_00136
OG0000130	Praz.g_00879	Prbh.g_01785
OG0000131	Praz.g_00841	Prbh.g_01745
OG0000132	Praz.g_00838	Prbh.g_01742
OG0000133	Praz.g_00304	Prbh.g_01686
OG0000134	Praz.g_00268	Prbh.g_01650
OG0000135	Praz.g_00266	Prbh.g_01648
OG0000136	Praz.g_00221	Prbh.g_01597
OG0000137	Praz.g_00188	Prbh.g_01563
OG0000138	Praz.g_00152	Prbh.g_01528
OG0000139	Praz.g_00125	Prbh.g_01497
OG0000140	Praz.g_00366	Prbh.g_01475
OG0000141	Praz.g_00367	Prbh.g_01474
OG0000142	Praz.g_00369	Prbh.g_01472
OG0000143	Praz.g_00370	Prbh.g_01471
OG0000144	Praz.g_00372	Prbh.g_01469
OG0000145	Praz.g_00373	Prbh.g_01468
OG0000146	Praz.g_00374	Prbh.g_01467
OG0000147	Praz.g_00375	Prbh.g_01466
OG0000148	Praz.g_00377	Prbh.g_01952
OG0000149	Praz.g_00379	Prbh.g_00766
OG0000150	Praz.g_00380	Prbh.g_00765
OG0000151	Praz.g_00381	Prbh.g_00764
OG0000152	Praz.g_00382	Prbh.g_00763
OG0000153	Praz.g_00383	Prbh.g_00762
OG0000154	Praz.g_00384	Prbh.g_00761
OG0000155	Praz.g_00385	Prbh.g_00760
OG0000156	Praz.g_00386	Prbh.g_00759
OG0000157	Praz.g_00387	Prbh.g_00758
OG0000158	Praz.g_00389	Prbh.g_00756
OG0000159	Praz.g_00390	Prbh.g_00755
OG0000160	Praz.g_00391	Prbh.g_00754
