Orthogroup	Syao	Syaf
OG0000001	Syao.g_00314	Syaf.g_00846
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syaf.g_00845
OG0000004	Syao.g_02374	Syaf.g_01455
OG0000004	Syao.g_01007	Syaf.g_02351
OG0000005	Syao.g_01680	Syaf.g_01017
OG0000005	Syao.g_01578	Syaf.g_01057
OG0000005	Syao.g_01210	Syaf.g_01352, Syaf.g_01732
OG0000006	Syao.g_00919	Syaf.g_02288
OG0000007	Syao.g_00105	Syaf.g_02702
OG0000007	Syao.g_01554	Syaf.g_01033
OG0000008	Syao.g_01321	Syaf.g_01480
OG0000009	Syao.g_02598	Syaf.g_00905
OG0000010	Syao.g_02683	Syaf.g_02499
OG0000011	Syao.g_01282	Syaf.g_01483
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Syao.g_01910	Syaf.g_00056
OG0000013	Syao.g_01844	Syaf.g_00061
OG0000014	Syao.g_02027	Syaf.g_00280
OG0000015	Syao.g_00302	Syaf.g_02120, Syaf.g_02121
OG0000016	Syao.g_01955	Syaf.g_00484
OG0000017	Syao.g_01064	Syaf.g_02554
OG0000018	Syao.g_00071	Syaf.g_02451
OG0000019	Syao.g_02108	Syaf.g_00193
OG0000021	Syao.g_01002	Syaf.g_02773
OG0000022	Syao.g_01218	Syaf.g_02256
OG0000023	Syao.g_01266	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000025	Syao.g_00436, Syao.g_00437	Syaf.g_01385
OG0000026	Syao.g_02234	Syaf.g_00461
OG0000027	Syao.g_01286	Syaf.g_01688
OG0000028	Syao.g_02012	Syaf.g_00297
OG0000030	Syao.g_02189	Syaf.g_00406
OG0000030	Syao.g_02188	Syaf.g_00407
OG0000031	Syao.g_02008	Syaf.g_00314
OG0000031	Syao.g_01083	Syaf.g_01143
OG0000032	Syao.g_00090	Syaf.g_02471
OG0000033	Syao.g_02507	Syaf.g_00807
OG0000035	Syao.g_01483, Syao.g_01486	Syaf.g_02412
OG0000036	Syao.g_00572	Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828, Syaf.g_01127
OG0000037	Syao.g_00374	Syaf.g_00899
OG0000038	Syao.g_02440	Syaf.g_00642
OG0000039	Syao.g_00704	Syaf.g_01395
OG0000040	Syao.g_00711	Syaf.g_00558
OG0000041	Syao.g_01637	Syaf.g_01414
OG0000042	Syao.g_00019, Syao.g_01941	Syaf.g_00403
OG0000045	Syao.g_00148	Syaf.g_00979
OG0000046	Syao.g_01909	Syaf.g_00055
OG0000046	Syao.g_01845	Syaf.g_00062
OG0000047	Syao.g_01899	Syaf.g_00030
OG0000048	Syao.g_02077	Syaf.g_00230
OG0000052	Syao.g_02520, Syao.g_01972	Syaf.g_00335
OG0000053	Syao.g_00067	Syaf.g_02447
OG0000058	Syao.g_01978	Syaf.g_00316
OG0000059	Syao.g_01801	Syaf.g_00143
OG0000060	Syao.g_00312	Syaf.g_01603
OG0000061	Syao.g_00123	Syaf.g_01288
OG0000062	Syao.g_01576	Syaf.g_01055
OG0000063	Syao.g_02230	Syaf.g_00457
OG0000064	Syao.g_01898	Syaf.g_01063
OG0000066	Syao.g_01422	Syaf.g_02643
OG0000067	Syao.g_00756	Syaf.g_02049
OG0000068	Syao.g_00868, Syao.g_00036	Syaf.g_02733
OG0000070	Syao.g_00330	Syaf.g_01237
OG0000071	Syao.g_01433	Syaf.g_01254
OG0000072	Syao.g_02509	Syaf.g_00805
OG0000073	Syao.g_00103	Syaf.g_02700
OG0000075	Syao.g_02257	Syaf.g_00353
OG0000076	Syao.g_01949	Syaf.g_00388
OG0000078	Syao.g_01709	Syaf.g_02782
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Syaf.g_00197
OG0000082	Syao.g_01035	Syaf.g_02576
OG0000084	Syao.g_01509	Syaf.g_02409
OG0000085	Syao.g_01569	Syaf.g_01048
OG0000086	Syao.g_02653, Syao.g_01240	Syaf.g_00932
OG0000087	Syao.g_02555	Syaf.g_00848
OG0000088	Syao.g_02503	Syaf.g_00811
OG0000089	Syao.g_01716	Syaf.g_02807
OG0000090	Syao.g_01412	Syaf.g_02654
OG0000091	Syao.g_00902	Syaf.g_02302
OG0000093	Syao.g_00739	Syaf.g_02065
OG0000094	Syao.g_00458	Syaf.g_01940
OG0000095	Syao.g_00331	Syaf.g_01442
OG0000097	Syao.g_00973	Syaf.g_01574
OG0000098	Syao.g_01374	Syaf.g_01637
OG0000099	Syao.g_02019	Syaf.g_00312
OG0000100	Syao.g_00787	Syaf.g_02017
OG0000102	Syao.g_01945	Syaf.g_00393
OG0000104	Syao.g_02157	Syaf.g_00502
OG0000105	Syao.g_02071, Syao.g_02072	Syaf.g_00235
OG0000106	Syao.g_01385	Syaf.g_01745
OG0000107	Syao.g_01935	Syaf.g_00758
OG0000108	Syao.g_00028	Syaf.g_02721
OG0000110	Syao.g_01051	Syaf.g_02589
OG0000112	Syao.g_00683, Syao.g_00303	Syaf.g_01852
OG0000113	Syao.g_00782	Syaf.g_02022
OG0000114	Syao.g_00965	Syaf.g_02103
OG0000115	Syao.g_01464, Syao.g_00065	Syaf.g_02445
OG0000116	Syao.g_00137	Syaf.g_01276
OG0000117	Syao.g_00169	Syaf.g_01605
OG0000118	Syao.g_01475	Syaf.g_02544
OG0000120	Syao.g_02009	Syaf.g_00313
OG0000121	Syao.g_01489	Syaf.g_02419
OG0000123	Syao.g_01832	Syaf.g_00086
OG0000124	Syao.g_02179	Syaf.g_00414
OG0000125	Syao.g_02444	Syaf.g_00640
OG0000126	Syao.g_02198	Syaf.g_00504
OG0000127	Syao.g_02375	Syaf.g_01151
OG0000128	Syao.g_02149	Syaf.g_00486
OG0000129	Syao.g_02434	Syaf.g_00651
OG0000130	Syao.g_02617	Syaf.g_00963
OG0000131	Syao.g_02480	Syaf.g_00833
OG0000132	Syao.g_02501	Syaf.g_00813
OG0000133	Syao.g_00678	Syaf.g_01857
OG0000134	Syao.g_01719	Syaf.g_02804
OG0000135	Syao.g_00147	Syaf.g_00605
OG0000136	Syao.g_01614, Syao.g_01613	Syaf.g_01224
OG0000137	Syao.g_02682	Syaf.g_02498
OG0000138	Syao.g_00108	Syaf.g_02705
OG0000139	Syao.g_01418	Syaf.g_02648
OG0000140	Syao.g_01373, Syao.g_01372	Syaf.g_02646
OG0000141	Syao.g_01202	Syaf.g_02375
OG0000142	Syao.g_00894	Syaf.g_02310
OG0000143	Syao.g_00898	Syaf.g_02306
OG0000145	Syao.g_00102	Syaf.g_02699
OG0000146	Syao.g_00684, Syao.g_00304	Syaf.g_01851
OG0000147	Syao.g_00305, Syao.g_00685	Syaf.g_01850
OG0000148	Syao.g_00776	Syaf.g_02028
OG0000149	Syao.g_00534	Syaf.g_01371
OG0000150	Syao.g_01203	Syaf.g_02645
OG0000151	Syao.g_00975	Syaf.g_02091
OG0000152	Syao.g_00674	Syaf.g_01861
OG0000153	Syao.g_00818, Syao.g_01176	Syaf.g_01904
OG0000154	Syao.g_00447	Syaf.g_01930
OG0000155	Syao.g_00178	Syaf.g_01324
OG0000156	Syao.g_00151	Syaf.g_01270
OG0000157	Syao.g_00152	Syaf.g_01269
OG0000158	Syao.g_01141, Syao.g_02267	Syaf.g_00364
OG0000159	Syao.g_02006	Syaf.g_00311
OG0000160	Syao.g_01488	Syaf.g_02418
OG0000161	Syao.g_01494	Syaf.g_02424
OG0000162	Syao.g_01515	Syaf.g_02431
OG0000163	Syao.g_01745	Syaf.g_01105
OG0000165	Syao.g_01655	Syaf.g_01197
OG0000166	Syao.g_01790	Syaf.g_00133
OG0000167	Syao.g_01960	Syaf.g_00350
OG0000168	Syao.g_02128	Syaf.g_00365
OG0000169	Syao.g_02139	Syaf.g_00376
OG0000170	Syao.g_02148	Syaf.g_00383
OG0000171	Syao.g_02181	Syaf.g_00413
OG0000172	Syao.g_02170	Syaf.g_00419
OG0000173	Syao.g_02212	Syaf.g_00438
