Orthogroup	Syao	Syam
OG0000001	Syao.g_00314	Syam.g_02177
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syam.g_02178
OG0000004	Syao.g_02374	Syam.g_00787
OG0000004	Syao.g_01007	Syam.g_01499
OG0000005	Syao.g_01680	Syam.g_02004
OG0000005	Syao.g_01578	Syam.g_01970
OG0000005	Syao.g_01210	Syam.g_00715, Syam.g_01029
OG0000006	Syao.g_00919	Syam.g_01446
OG0000007	Syao.g_00105	Syam.g_00602
OG0000007	Syao.g_01554	Syam.g_01990
OG0000008	Syao.g_01321	Syam.g_00811
OG0000009	Syao.g_02598	Syam.g_02119
OG0000010	Syao.g_02683	Syam.g_01669
OG0000011	Syao.g_01282	Syam.g_00814
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Syam.g_00794, Syam.g_00994
OG0000013	Syao.g_01910	Syam.g_00409
OG0000013	Syao.g_01844	Syam.g_00404
OG0000014	Syao.g_02027	Syam.g_00191
OG0000015	Syao.g_00302	Syam.g_01218, Syam.g_01362
OG0000016	Syao.g_01955	Syam.g_00014
OG0000017	Syao.g_01064	Syam.g_01708
OG0000018	Syao.g_00071	Syam.g_01640
OG0000019	Syao.g_02108	Syam.g_00274
OG0000021	Syao.g_01002	Syam.g_00523
OG0000022	Syao.g_01218	Syam.g_01418
OG0000023	Syao.g_01266	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000025	Syao.g_00436, Syao.g_00437	Syam.g_00740
OG0000026	Syao.g_02234	Syam.g_00035
OG0000027	Syao.g_01286	Syam.g_00989
OG0000028	Syao.g_02012	Syam.g_00176
OG0000030	Syao.g_02189	Syam.g_00104
OG0000030	Syao.g_02188	Syam.g_00103
OG0000031	Syao.g_02008	Syam.g_00171
OG0000031	Syao.g_01083	Syam.g_00086
OG0000032	Syao.g_00090	Syam.g_01660
OG0000032	Syao.g_01984, Syao.g_01983	Syam.g_00079
OG0000033	Syao.g_02507	Syam.g_02217
OG0000035	Syao.g_01483, Syao.g_01486	Syam.g_01612
OG0000037	Syao.g_00374	Syam.g_02125
OG0000038	Syao.g_02440	Syam.g_02317
OG0000039	Syao.g_00704	Syam.g_00749
OG0000040	Syao.g_00711	Syam.g_02390
OG0000041	Syao.g_01637	Syam.g_00765
OG0000042	Syao.g_00019, Syao.g_01941	Syam.g_00107
OG0000045	Syao.g_00148	Syam.g_02028
OG0000046	Syao.g_01909	Syam.g_00410
