Orthogroup	Syao	Syak
OG0000001	Syao.g_00314	Syak.g_02139
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syak.g_02138
OG0000004	Syao.g_02374	Syak.g_01219, Syak.g_00720
OG0000004	Syao.g_01007	Syak.g_00003
OG0000005	Syao.g_01680	Syak.g_02401
OG0000005	Syao.g_01578	Syak.g_02436
OG0000006	Syao.g_00919	Syak.g_00057
OG0000007	Syao.g_00105	Syak.g_02595
OG0000007	Syao.g_01554	Syak.g_02416
OG0000008	Syao.g_01321	Syak.g_00692
OG0000009	Syao.g_02598	Syak.g_02194
OG0000010	Syao.g_02683	Syak.g_01119
OG0000011	Syao.g_01282	Syak.g_00960
OG0000013	Syao.g_01910	Syak.g_01270
OG0000013	Syao.g_01844	Syak.g_01275
OG0000014	Syao.g_02027	Syak.g_01505
OG0000015	Syao.g_02339	Syak.g_01813, Syak.g_00107
OG0000015	Syao.g_00302	Syak.g_00358
OG0000016	Syao.g_01955	Syak.g_01780
OG0000017	Syao.g_01064	Syak.g_02738
OG0000018	Syao.g_00071	Syak.g_01072
OG0000019	Syao.g_02108	Syak.g_01413
OG0000021	Syao.g_01002	Syak.g_00566
OG0000022	Syao.g_01218	Syak.g_00088
OG0000023	Syao.g_01266	Syak.g_00316, Syak.g_00223
OG0000025	Syao.g_00436, Syao.g_00437	Syak.g_00610
OG0000026	Syao.g_02234	Syak.g_01757
OG0000027	Syao.g_01286	Syak.g_00127
OG0000028	Syao.g_02012	Syak.g_01522
OG0000030	Syao.g_02189	Syak.g_01684
OG0000030	Syao.g_02188	Syak.g_01685
OG0000031	Syao.g_02008	Syak.g_01630
OG0000032	Syao.g_00090	Syak.g_01092
OG0000032	Syao.g_01984, Syao.g_01983	Syak.g_01707
OG0000033	Syao.g_02507	Syak.g_02101
OG0000035	Syao.g_01483, Syao.g_01486	Syak.g_01040
OG0000037	Syao.g_00374	Syak.g_02188
OG0000038	Syao.g_02440	Syak.g_01938
OG0000038	Syao.g_02442	Syak.g_01936
OG0000039	Syao.g_00704	Syak.g_00772, Syak.g_01918
OG0000040	Syao.g_00711	Syak.g_01852
OG0000041	Syao.g_00509	Syak.g_00752
OG0000042	Syao.g_00019, Syao.g_01941	Syak.g_00843, Syak.g_01681
OG0000045	Syao.g_00148	Syak.g_00228
OG0000045	Syao.g_01214	Syak.g_00317
OG0000046	Syao.g_01909	Syak.g_01269
OG0000046	Syao.g_01845	Syak.g_01276
OG0000047	Syao.g_01899	Syak.g_01147
OG0000048	Syao.g_02077	Syak.g_01446
OG0000052	Syao.g_02520, Syao.g_01972	Syak.g_01549
OG0000053	Syao.g_00067	Syak.g_01068
OG0000054	Syao.g_00295, Syao.g_00625	Syak.g_02744, Syak.g_02321
OG0000055	Syao.g_00498	Syak.g_00766
OG0000058	Syao.g_01978	Syak.g_01530
OG0000059	Syao.g_01801	Syak.g_01355
OG0000060	Syao.g_00312	Syak.g_00844
OG0000061	Syao.g_00123	Syak.g_00898
OG0000062	Syao.g_01576	Syak.g_02434
OG0000063	Syao.g_02230	Syak.g_01752
OG0000064	Syao.g_01898	Syak.g_00983
OG0000064	Syao.g_01462, Syao.g_02605	Syak.g_00254
OG0000065	Syao.g_02600	Syak.g_02192
OG0000066	Syao.g_01422	Syak.g_02653
OG0000068	Syao.g_00868, Syao.g_00036	Syak.g_02565
OG0000070	Syao.g_00330	Syak.g_01174
OG0000071	Syao.g_01433	Syak.g_02322, Syak.g_00936
OG0000072	Syao.g_02509	Syak.g_02099
OG0000073	Syao.g_00103	Syak.g_02597
OG0000075	Syao.g_02257	Syak.g_01564
OG0000076	Syao.g_01949	Syak.g_01650
OG0000077	Syao.g_02629	Syak.g_02243
OG0000078	Syao.g_01709	Syak.g_02310
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Syak.g_01417
OG0000080	Syao.g_02269	Syak.g_01612
OG0000082	Syao.g_01035	Syak.g_02711
OG0000084	Syao.g_01509, Syao.g_02606	Syak.g_01036
OG0000085	Syao.g_01569	Syak.g_02427
OG0000086	Syao.g_02653, Syao.g_01240	Syak.g_02219
OG0000087	Syao.g_02555	Syak.g_02141
OG0000088	Syao.g_02503	Syak.g_02106
OG0000089	Syao.g_01716	Syak.g_01215
OG0000090	Syao.g_01412	Syak.g_02640
OG0000091	Syao.g_00902	Syak.g_00043
OG0000092	Syao.g_00656	Syak.g_01126
OG0000093	Syao.g_00739	Syak.g_00416
OG0000094	Syao.g_00458	Syak.g_00656
OG0000095	Syao.g_00331	Syak.g_00736
OG0000098	Syao.g_01374	Syak.g_00345, Syak.g_02651
OG0000099	Syao.g_02019	Syak.g_01527
OG0000100	Syao.g_00787	Syak.g_00622
OG0000102	Syao.g_01945	Syak.g_01661
OG0000104	Syao.g_02157	Syak.g_01799
OG0000105	Syao.g_02071, Syao.g_02072	Syak.g_01451
OG0000106	Syao.g_01385	Syak.g_00096
OG0000107	Syao.g_01935	Syak.g_01392
OG0000108	Syao.g_00028	Syak.g_02574
OG0000109	Syao.g_00110	Syak.g_02590
