Orthogroup	Syao	Pras
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Pras.g_00235
OG0000004	Syao.g_02374	Pras.g_01571
OG0000004	Syao.g_01271, Syao.g_01007	Pras.g_01084
OG0000005	Syao.g_01680	Pras.g_00563
OG0000005	Syao.g_01578	Pras.g_00429
OG0000006	Syao.g_00919, Syao.g_01518	Pras.g_00148, Pras.g_01093
OG0000007	Syao.g_00105	Pras.g_01375
OG0000007	Syao.g_01554	Pras.g_00550
OG0000009	Syao.g_02598	Pras.g_00956
OG0000010	Syao.g_02683	Pras.g_00523, Pras.g_01942
OG0000011	Syao.g_01282	Pras.g_00142, Pras.g_00166
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Pras.g_01499
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Pras.g_01179
OG0000014	Syao.g_02027	Pras.g_01158
OG0000014	Syao.g_01136	Pras.g_00304
OG0000015	Syao.g_02339, Syao.g_00302	Pras.g_00127
OG0000016	Syao.g_01955	Pras.g_00855
OG0000017	Syao.g_00997, Syao.g_01064	Pras.g_01474
OG0000018	Syao.g_00071	Pras.g_00037
OG0000019	Syao.g_02108	Pras.g_01101, Pras.g_01681
OG0000021	Syao.g_01002	Pras.g_00507, Pras.g_01218
OG0000022	Syao.g_01218	Pras.g_00019
OG0000023	Syao.g_01266	Pras.g_01213
OG0000025	Syao.g_00436, Syao.g_00437	Pras.g_01183, Pras.g_01735
OG0000026	Syao.g_02234	Pras.g_00873, Pras.g_01949
OG0000027	Syao.g_01286, Syao.g_00202	Pras.g_01348, Pras.g_00185
OG0000028	Syao.g_02012	Pras.g_00169, Pras.g_01172
OG0000030	Syao.g_02189, Syao.g_02188	Pras.g_00753
OG0000031	Syao.g_01083	Pras.g_00331
OG0000032	Syao.g_01984, Syao.g_01983, Syao.g_01135	Pras.g_00326
OG0000035	Syao.g_01483, Syao.g_01486	Pras.g_00350
OG0000037	Syao.g_00374	Pras.g_00960
OG0000038	Syao.g_02440, Syao.g_02442	Pras.g_00795
OG0000039	Syao.g_00704	Pras.g_01562
OG0000040	Syao.g_00711	Pras.g_00036
OG0000041	Syao.g_00509, Syao.g_01637	Pras.g_00597
OG0000042	Syao.g_00019, Syao.g_01941	Pras.g_00750
OG0000045	Syao.g_00148	Pras.g_01224
OG0000045	Syao.g_01214	Pras.g_00509
OG0000047	Syao.g_01899	Pras.g_01263
OG0000048	Syao.g_02077	Pras.g_01227
OG0000053	Syao.g_00067	Pras.g_00886, Pras.g_00370
OG0000054	Syao.g_00295, Syao.g_00625	Pras.g_01482
OG0000055	Syao.g_00498	Pras.g_01682
OG0000057	Syao.g_00377	Pras.g_01574
OG0000059	Syao.g_01801	Pras.g_00637
OG0000061	Syao.g_00123	Pras.g_00056
OG0000062	Syao.g_01576	Pras.g_00431
OG0000063	Syao.g_02230	Pras.g_00875
OG0000065	Syao.g_02600	Pras.g_00958
OG0000066	Syao.g_01422	Pras.g_01416
OG0000067	Syao.g_00756	Pras.g_01701, Pras.g_00311
OG0000068	Syao.g_00868, Syao.g_00036	Pras.g_00250
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Pras.g_00538, Pras.g_00464
OG0000070	Syao.g_00330	Pras.g_01328
OG0000071	Syao.g_01433	Pras.g_00209
OG0000072	Syao.g_02509, Syao.g_01749	Pras.g_01022
OG0000073	Syao.g_00103	Pras.g_01377
OG0000075	Syao.g_02257	Pras.g_00719
OG0000076	Syao.g_01949	Pras.g_00883, Pras.g_00743
OG0000077	Syao.g_02629	Pras.g_00929
OG0000078	Syao.g_01709	Pras.g_01091
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Pras.g_01104
OG0000080	Syao.g_02269	Pras.g_00279, Pras.g_00277
OG0000082	Syao.g_01035	Pras.g_01462
OG0000084	Syao.g_01509, Syao.g_02606	Pras.g_00346
OG0000085	Syao.g_01569	Pras.g_00543
OG0000086	Syao.g_02653, Syao.g_01240	Pras.g_00939
OG0000087	Syao.g_02555	Pras.g_00990
OG0000088	Syao.g_02503	Pras.g_01017
OG0000089	Syao.g_01716	Pras.g_01209
OG0000090	Syao.g_01412	Pras.g_01410
OG0000091	Syao.g_00902	Pras.g_01518
OG0000093	Syao.g_00739	Pras.g_01827
OG0000094	Syao.g_00458	Pras.g_01915
OG0000095	Syao.g_00331	Pras.g_01934
OG0000097	Syao.g_00973	Pras.g_00098
OG0000098	Syao.g_01374	Pras.g_00232
OG0000099	Syao.g_02019	Pras.g_00294
OG0000100	Syao.g_00787	Pras.g_00427
OG0000101	Syao.g_01840	Pras.g_00687
OG0000102	Syao.g_01945	Pras.g_00748
OG0000103	Syao.g_02340	Pras.g_00829
OG0000104	Syao.g_02157	Pras.g_00838
OG0000105	Syao.g_02071, Syao.g_02072	Pras.g_01126
OG0000106	Syao.g_01385	Pras.g_01223
OG0000107	Syao.g_01935	Pras.g_01239
OG0000108	Syao.g_00028	Pras.g_01358
OG0000109	Syao.g_00110	Pras.g_01372
OG0000110	Syao.g_01051	Pras.g_01451
OG0000111	Syao.g_00378	Pras.g_01575
OG0000112	Syao.g_00683, Syao.g_00303	Pras.g_01665
OG0000113	Syao.g_00782	Pras.g_01723
OG0000114	Syao.g_00965	Pras.g_01801
OG0000115	Syao.g_01464, Syao.g_00065	Pras.g_01994
OG0000116	Syao.g_00137	Pras.g_00046
OG0000117	Syao.g_00169	Pras.g_00150
OG0000118	Syao.g_01475	Pras.g_00221, Pras.g_00222
OG0000120	Syao.g_02009	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syao.g_01489	Pras.g_00352
OG0000122	Syao.g_01247	Pras.g_00391
OG0000123	Syao.g_01832	Pras.g_00694
OG0000124	Syao.g_02179	Pras.g_00759
OG0000125	Syao.g_02444	Pras.g_00797
OG0000126	Syao.g_02198	Pras.g_00837
OG0000128	Syao.g_02149	Pras.g_00853
