Orthogroup	Syao	Prat
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prat.g_01285, Prat.g_01286
OG0000004	Syao.g_02374	Prat.g_00772
OG0000004	Syao.g_01271, Syao.g_01007	Prat.g_00236
OG0000005	Syao.g_01578	Prat.g_01440
OG0000006	Syao.g_00919, Syao.g_01518	Prat.g_00248
OG0000007	Syao.g_00105	Prat.g_00458
OG0000007	Syao.g_01554	Prat.g_01592
OG0000008	Syao.g_01321	Prat.g_00377
OG0000010	Syao.g_02683	Prat.g_00682, Prat.g_00662
OG0000011	Syao.g_01282	Prat.g_01532
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prat.g_00334
OG0000014	Syao.g_02027	Prat.g_00314
OG0000015	Syao.g_02339, Syao.g_00302	Prat.g_00701
OG0000016	Syao.g_01955	Prat.g_00014
OG0000017	Syao.g_01064	Prat.g_00567
OG0000018	Syao.g_00071	Prat.g_01177
OG0000019	Syao.g_02108	Prat.g_00255, Prat.g_01180
OG0000021	Syao.g_01002	Prat.g_00854, Prat.g_00461
OG0000022	Syao.g_01218	Prat.g_01448
OG0000023	Syao.g_01266	Prat.g_00834
OG0000025	Syao.g_00436, Syao.g_00437	Prat.g_01003
OG0000026	Syao.g_02234	Prat.g_00033
OG0000027	Syao.g_01286, Syao.g_00202	Prat.g_01474, Prat.g_01548
OG0000028	Syao.g_02012	Prat.g_00380, Prat.g_00327
OG0000030	Syao.g_02189, Syao.g_02188	Prat.g_01799
OG0000031	Syao.g_01083	Prat.g_01266
OG0000032	Syao.g_00090	Prat.g_01394
OG0000033	Syao.g_02507	Prat.g_01265
OG0000035	Syao.g_01483, Syao.g_01486	Prat.g_01353, Prat.g_01352
OG0000037	Syao.g_00374	Prat.g_00106
OG0000038	Syao.g_02440, Syao.g_02442	Prat.g_01839
OG0000039	Syao.g_00704	Prat.g_00760
OG0000041	Syao.g_00509, Syao.g_01637	Prat.g_01640
OG0000042	Syao.g_00019, Syao.g_01941	Prat.g_01796
OG0000045	Syao.g_01214	Prat.g_01203
OG0000046	Syao.g_01909, Syao.g_01845	Prat.g_00335
OG0000047	Syao.g_01899	Prat.g_00374
OG0000048	Syao.g_02077	Prat.g_00278
OG0000052	Syao.g_01972	Prat.g_00058
OG0000053	Syao.g_00067	Prat.g_01375
OG0000054	Syao.g_00295, Syao.g_00625	Prat.g_00569
OG0000057	Syao.g_00377	Prat.g_00775
OG0000058	Syao.g_01978	Prat.g_01311
OG0000059	Syao.g_01801	Prat.g_01679
OG0000061	Syao.g_00123	Prat.g_01156
OG0000062	Syao.g_01576	Prat.g_01442
OG0000063	Syao.g_02230	Prat.g_01516
OG0000064	Syao.g_01898, Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605	Prat.g_00064
OG0000065	Syao.g_02600	Prat.g_00104
OG0000066	Syao.g_01422	Prat.g_01499
OG0000067	Syao.g_00756	Prat.g_01037
OG0000068	Syao.g_00868, Syao.g_00036	Prat.g_01291
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prat.g_01400
OG0000070	Syao.g_00330	Prat.g_00412
OG0000071	Syao.g_01433	Prat.g_01249
OG0000072	Syao.g_02509, Syao.g_01749	Prat.g_00172
OG0000073	Syao.g_00103	Prat.g_00462
OG0000075	Syao.g_02257	Prat.g_01761
OG0000076	Syao.g_01949	Prat.g_01788
OG0000077	Syao.g_02629	Prat.g_00075
OG0000078	Syao.g_01709	Prat.g_00245
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prat.g_00258
OG0000080	Syao.g_02269	Prat.g_01323
OG0000082	Syao.g_01035	Prat.g_01507
OG0000084	Syao.g_01509, Syao.g_02606	Prat.g_01348
OG0000085	Syao.g_01569	Prat.g_01584
OG0000086	Syao.g_02653, Syao.g_01240	Prat.g_00086
OG0000087	Syao.g_02555	Prat.g_00138
OG0000088	Syao.g_02503	Prat.g_00166
OG0000089	Syao.g_01716	Prat.g_00370
OG0000090	Syao.g_01412	Prat.g_00495
OG0000091	Syao.g_00902	Prat.g_01082
OG0000092	Syao.g_00656	Prat.g_01275
OG0000093	Syao.g_00739	Prat.g_01053
OG0000094	Syao.g_00458	Prat.g_00943
OG0000095	Syao.g_00331	Prat.g_00965
