Orthogroup	Syao	Prav
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prav.g_01458
OG0000004	Syao.g_02374	Prav.g_01293
OG0000004	Syao.g_01271, Syao.g_01007	Prav.g_00806
OG0000005	Syao.g_01680	Prav.g_01774
OG0000005	Syao.g_01578	Prav.g_01654
OG0000006	Syao.g_00919, Syao.g_01518	Prav.g_02001
OG0000007	Syao.g_00105	Prav.g_01095
OG0000007	Syao.g_01554	Prav.g_01761
OG0000008	Syao.g_01321	Prav.g_01750
OG0000009	Syao.g_02598	Prav.g_00170
OG0000010	Syao.g_02683	Prav.g_00218
OG0000011	Syao.g_01282	Prav.g_01334
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Prav.g_01221
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prav.g_01973
OG0000014	Syao.g_02027	Prav.g_01952
OG0000015	Syao.g_02339, Syao.g_00302	Prav.g_00363, Prav.g_00961
OG0000016	Syao.g_01955	Prav.g_00081
OG0000017	Syao.g_00997, Syao.g_01064	Prav.g_01194
OG0000018	Syao.g_00071	Prav.g_00046
OG0000019	Syao.g_02108	Prav.g_01896, Prav.g_00375
OG0000021	Syao.g_01002	Prav.g_00984
OG0000022	Syao.g_01218	Prav.g_00029
OG0000023	Syao.g_01266	Prav.g_00979
OG0000025	Syao.g_00436, Syao.g_00437	Prav.g_01977, Prav.g_00431
OG0000026	Syao.g_02234	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syao.g_01286, Syao.g_00202	Prav.g_01068, Prav.g_01416
OG0000028	Syao.g_02012	Prav.g_01885, Prav.g_01966
OG0000030	Syao.g_02189, Syao.g_02188	Prav.g_00699
OG0000032	Syao.g_01984, Syao.g_01983, Syao.g_01135	Prav.g_01499
OG0000035	Syao.g_01483, Syao.g_01486	Prav.g_01578
OG0000037	Syao.g_00374	Prav.g_00174
OG0000038	Syao.g_02440, Syao.g_02442	Prav.g_00739
OG0000039	Syao.g_00704	Prav.g_01284
OG0000040	Syao.g_00711	Prav.g_00045
OG0000041	Syao.g_00509, Syao.g_01637	Prav.g_01808
OG0000042	Syao.g_00019, Syao.g_01941	Prav.g_00696
OG0000045	Syao.g_00148	Prav.g_00990
OG0000048	Syao.g_02077	Prav.g_00993
OG0000052	Syao.g_01085	Prav.g_01533
OG0000053	Syao.g_00067	Prav.g_01598
OG0000054	Syao.g_00295, Syao.g_00625	Prav.g_01202
OG0000055	Syao.g_00498	Prav.g_00376
OG0000057	Syao.g_00377	Prav.g_01296
OG0000059	Syao.g_01801	Prav.g_00292
OG0000060	Syao.g_00312	Prav.g_00964
OG0000061	Syao.g_00123	Prav.g_00065
OG0000062	Syao.g_01576	Prav.g_01656
OG0000063	Syao.g_02230	Prav.g_00101
OG0000065	Syao.g_02600	Prav.g_00172
OG0000066	Syao.g_01422	Prav.g_01137
OG0000067	Syao.g_00756	Prav.g_00397
OG0000068	Syao.g_00868, Syao.g_00036	Prav.g_01473
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prav.g_01881, Prav.g_01689
OG0000070	Syao.g_00330	Prav.g_01049
OG0000071	Syao.g_01433	Prav.g_01438
OG0000072	Syao.g_02509, Syao.g_01749	Prav.g_00867
OG0000073	Syao.g_00103	Prav.g_01097
OG0000075	Syao.g_02257	Prav.g_00665
OG0000076	Syao.g_01949	Prav.g_00689
OG0000077	Syao.g_02629	Prav.g_00143
OG0000078	Syao.g_01709	Prav.g_00799
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prav.g_01899
OG0000082	Syao.g_01035	Prav.g_01182
OG0000084	Syao.g_01509, Syao.g_02606	Prav.g_01574
OG0000085	Syao.g_01569	Prav.g_01754
OG0000086	Syao.g_02653, Syao.g_01240	Prav.g_00153
OG0000087	Syao.g_02555	Prav.g_00204
OG0000088	Syao.g_02503	Prav.g_00872
OG0000089	Syao.g_01716	Prav.g_00975
OG0000090	Syao.g_01412	Prav.g_01131
OG0000091	Syao.g_00902	Prav.g_01240
OG0000092	Syao.g_00656	Prav.g_01735
OG0000093	Syao.g_00739	Prav.g_00525
OG0000094	Syao.g_00458	Prav.g_00914
OG0000095	Syao.g_00331	Prav.g_00933
OG0000097	Syao.g_00973	Prav.g_01840
OG0000098	Syao.g_01374	Prav.g_01455
OG0000099	Syao.g_02019	Prav.g_01514
OG0000100	Syao.g_00787	Prav.g_01652
OG0000101	Syao.g_01840	Prav.g_00632
OG0000102	Syao.g_01945	Prav.g_00694
OG0000103	Syao.g_02340	Prav.g_00773
OG0000104	Syao.g_02157	Prav.g_00782
OG0000105	Syao.g_02071, Syao.g_02072	Prav.g_01920
OG0000106	Syao.g_01385	Prav.g_00989
OG0000107	Syao.g_01935	Prav.g_01001
OG0000108	Syao.g_00028	Prav.g_01078
OG0000109	Syao.g_00110	Prav.g_01092
OG0000110	Syao.g_01051	Prav.g_01172
OG0000111	Syao.g_00378	Prav.g_01297
OG0000112	Syao.g_00683, Syao.g_00303	Prav.g_00364
OG0000113	Syao.g_00782	Prav.g_00419
OG0000114	Syao.g_00965	Prav.g_00499
OG0000115	Syao.g_01464, Syao.g_00065	Prav.g_00010
OG0000116	Syao.g_00137	Prav.g_00055
OG0000117	Syao.g_00169	Prav.g_01390
OG0000118	Syao.g_01475	Prav.g_01450
OG0000120	Syao.g_02009	Prav.g_01513
OG0000121	Syao.g_01489	Prav.g_01580
OG0000122	Syao.g_01247	Prav.g_01618
OG0000123	Syao.g_01832	Prav.g_00639
OG0000124	Syao.g_02179	Prav.g_00705
OG0000125	Syao.g_02444	Prav.g_00741
OG0000126	Syao.g_02198	Prav.g_00781
OG0000127	Syao.g_01312	Prav.g_00965
OG0000128	Syao.g_02149	Prav.g_00079
OG0000129	Syao.g_02434	Prav.g_00115
OG0000130	Syao.g_02617	Prav.g_00134
OG0000131	Syao.g_02480	Prav.g_00212
