Orthogroup	Syao	Praa
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Praa.g_01351
OG0000004	Syao.g_02374	Praa.g_00695
OG0000004	Syao.g_01271, Syao.g_01007	Praa.g_00232
OG0000005	Syao.g_01680	Praa.g_01648
OG0000005	Syao.g_01578	Praa.g_01553
OG0000006	Syao.g_00919, Syao.g_01518	Praa.g_00241, Praa.g_01245
OG0000007	Syao.g_00105	Praa.g_00497
OG0000007	Syao.g_01554	Praa.g_01635
OG0000009	Syao.g_02598	Praa.g_00105
OG0000010	Syao.g_02683	Praa.g_01047
OG0000011	Syao.g_01282	Praa.g_01626
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Praa.g_00623
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Praa.g_00327
OG0000014	Syao.g_02027	Praa.g_00306
OG0000014	Syao.g_01136	Praa.g_01409
OG0000015	Syao.g_02339, Syao.g_00302	Praa.g_00765
OG0000016	Syao.g_01955	Praa.g_00013
OG0000017	Syao.g_00997, Syao.g_01064	Praa.g_00598
OG0000018	Syao.g_00071	Praa.g_01141
OG0000019	Syao.g_02108	Praa.g_00249, Praa.g_00782
OG0000021	Syao.g_01002	Praa.g_01623, Praa.g_00364
OG0000022	Syao.g_01218	Praa.g_01124
OG0000023	Syao.g_01266	Praa.g_00359
OG0000025	Syao.g_00436, Syao.g_00437	Praa.g_00331, Praa.g_00839
OG0000026	Syao.g_02234	Praa.g_00031, Praa.g_01054
OG0000027	Syao.g_01286, Syao.g_00202	Praa.g_00470, Praa.g_01301
OG0000028	Syao.g_02012	Praa.g_01248, Praa.g_00320
OG0000030	Syao.g_02189, Syao.g_02188	Praa.g_01842
OG0000033	Syao.g_02507	Praa.g_01437
OG0000035	Syao.g_01483, Syao.g_01486	Praa.g_01476
OG0000037	Syao.g_00374	Praa.g_00109
OG0000038	Syao.g_02440, Syao.g_02442	Praa.g_01883
