Orthogroup	Syao	Prbe
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prbe.g_00400
OG0000004	Syao.g_02374	Prbe.g_01203
OG0000004	Syao.g_01271, Syao.g_01007	Prbe.g_01784
OG0000005	Syao.g_01578	Prbe.g_00228
OG0000006	Syao.g_00919, Syao.g_01518	Prbe.g_01794
OG0000007	Syao.g_00105	Prbe.g_00636
OG0000007	Syao.g_01554	Prbe.g_00985
OG0000008	Syao.g_01321	Prbe.g_00037
OG0000010	Syao.g_02683	Prbe.g_00096, Prbe.g_01411
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Prbe.g_00196
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prbe.g_01879
OG0000014	Syao.g_02027	Prbe.g_01861
OG0000015	Syao.g_02339, Syao.g_00302	Prbe.g_01046, Prbe.g_01000
OG0000017	Syao.g_01064	Prbe.g_00529
OG0000018	Syao.g_00071	Prbe.g_01571
OG0000019	Syao.g_02108	Prbe.g_01802, Prbe.g_01573
OG0000021	Syao.g_01002	Prbe.g_00203, Prbe.g_01208
OG0000023	Syao.g_01266	Prbe.g_00062
OG0000025	Syao.g_00436, Syao.g_00437	Prbe.g_01258
OG0000026	Syao.g_02234	Prbe.g_00132
OG0000027	Syao.g_01286, Syao.g_00202	Prbe.g_00012, Prbe.g_01121
OG0000028	Syao.g_02012	Prbe.g_00034
OG0000030	Syao.g_02189, Syao.g_02188	Prbe.g_00763
OG0000031	Syao.g_02008, Syao.g_01083	Prbe.g_00352
OG0000032	Syao.g_00090	Prbe.g_00272
OG0000033	Syao.g_02507	Prbe.g_00345
OG0000035	Syao.g_01483, Syao.g_01486	Prbe.g_00311
OG0000037	Syao.g_00374	Prbe.g_01651
OG0000038	Syao.g_02440, Syao.g_02442	Prbe.g_01156
OG0000039	Syao.g_00704	Prbe.g_00461
OG0000041	Syao.g_00509, Syao.g_01637	Prbe.g_00938
OG0000042	Syao.g_00019, Syao.g_01941	Prbe.g_00766
OG0000045	Syao.g_01214	Prbe.g_01593
OG0000046	Syao.g_01909, Syao.g_01845	Prbe.g_01880
OG0000047	Syao.g_01899	Prbe.g_01921
OG0000048	Syao.g_02077	Prbe.g_00906
OG0000052	Syao.g_01972	Prbe.g_00158
OG0000053	Syao.g_00067	Prbe.g_00290, Prbe.g_01040
OG0000054	Syao.g_00295, Syao.g_00625	Prbe.g_00527
OG0000055	Syao.g_00498	Prbe.g_01011
OG0000057	Syao.g_00377	Prbe.g_01206
OG0000058	Syao.g_01978, Syao.g_01080	Prbe.g_00351
OG0000059	Syao.g_01801	Prbe.g_01094
OG0000061	Syao.g_00123	Prbe.g_01549
OG0000062	Syao.g_01576	Prbe.g_00226
OG0000063	Syao.g_02230	Prbe.g_00021
OG0000064	Syao.g_01898, Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605	Prbe.g_00172
OG0000065	Syao.g_02600	Prbe.g_01649
OG0000066	Syao.g_01422	Prbe.g_00596, Prbe.g_01114
OG0000067	Syao.g_00756	Prbe.g_01222
OG0000068	Syao.g_00868, Syao.g_00036	Prbe.g_00373
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prbe.g_00678
OG0000070	Syao.g_00330	Prbe.g_01948
OG0000071	Syao.g_01433	Prbe.g_00893
OG0000072	Syao.g_02509, Syao.g_01749	Prbe.g_01719
OG0000073	Syao.g_00103	Prbe.g_00633
OG0000075	Syao.g_02257	Prbe.g_00800
OG0000076	Syao.g_01949	Prbe.g_00774
OG0000077	Syao.g_02629	Prbe.g_00183
OG0000078	Syao.g_01709	Prbe.g_01792
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prbe.g_01805
OG0000080	Syao.g_02269	Prbe.g_00339, Prbe.g_00337
OG0000082	Syao.g_01035	Prbe.g_00549, Prbe.g_00996
OG0000084	Syao.g_01509, Syao.g_02606	Prbe.g_00314
OG0000085	Syao.g_01569	Prbe.g_00007, Prbe.g_00993
OG0000086	Syao.g_02653, Syao.g_01240	Prbe.g_00192
OG0000087	Syao.g_02555	Prbe.g_01683
OG0000088	Syao.g_02503	Prbe.g_01714
OG0000089	Syao.g_01716	Prbe.g_01915
OG0000090	Syao.g_01412	Prbe.g_00602
OG0000091	Syao.g_00902	Prbe.g_01477
OG0000093	Syao.g_00739	Prbe.g_01448
OG0000094	Syao.g_00458	Prbe.g_01399
OG0000095	Syao.g_00331	Prbe.g_01297
OG0000097	Syao.g_00973	Prbe.g_01503
OG0000098	Syao.g_01374	Prbe.g_00397
OG0000099	Syao.g_02019	Prbe.g_00350
OG0000100	Syao.g_00787	Prbe.g_00232
OG0000101	Syao.g_01840	Prbe.g_00836
OG0000102	Syao.g_01945	Prbe.g_00769
OG0000103	Syao.g_02340	Prbe.g_01195
OG0000104	Syao.g_02157	Prbe.g_01061
OG0000105	Syao.g_02071, Syao.g_02072	Prbe.g_01828
OG0000106	Syao.g_01385	Prbe.g_00740
OG0000107	Syao.g_01935	Prbe.g_00921
OG0000108	Syao.g_00028	Prbe.g_00653
OG0000109	Syao.g_00110	Prbe.g_00639
OG0000110	Syao.g_01051	Prbe.g_00560
OG0000111	Syao.g_00378	Prbe.g_01207
OG0000112	Syao.g_00683, Syao.g_00303	Prbe.g_00487
OG0000113	Syao.g_00782	Prbe.g_01245
