Orthogroup	Syao	Syae
OG0000001	Syao.g_00314	Syae.g_01416
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syae.g_01417
OG0000004	Syao.g_02374	Syae.g_00779
OG0000004	Syao.g_01007	Syae.g_00042
OG0000005	Syao.g_01680	Syae.g_01179
OG0000005	Syao.g_01578	Syae.g_01143
OG0000005	Syao.g_01210	Syae.g_00257
OG0000006	Syao.g_00919	Syae.g_00096
OG0000007	Syao.g_00105	Syae.g_02328
OG0000007	Syao.g_01554	Syae.g_01163
OG0000008	Syao.g_01321	Syae.g_00752
OG0000009	Syao.g_02598	Syae.g_00100, Syae.g_01361
OG0000010	Syao.g_02683	Syae.g_02529
OG0000011	Syao.g_01282	Syae.g_00871, Syae.g_00750
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Syae.g_02397, Syae.g_02562
OG0000013	Syao.g_01910	Syae.g_02160
OG0000013	Syao.g_01844	Syae.g_02155
OG0000014	Syao.g_02027	Syae.g_01930
OG0000015	Syao.g_02339	Syae.g_01693
OG0000015	Syao.g_00302	Syae.g_00590
OG0000016	Syao.g_01955	Syae.g_01726
OG0000017	Syao.g_01064	Syae.g_02469
OG0000018	Syao.g_00071	Syae.g_02625
OG0000019	Syao.g_02108	Syae.g_02015
OG0000021	Syao.g_01002	Syae.g_00481
OG0000022	Syao.g_01218	Syae.g_00144
OG0000023	Syao.g_01266	Syae.g_00439, Syae.g_00930
OG0000025	Syao.g_00436, Syao.g_00437	Syae.g_00833
OG0000026	Syao.g_02234	Syae.g_01748
OG0000027	Syao.g_01286	Syae.g_00814
OG0000028	Syao.g_02012	Syae.g_01916
OG0000030	Syao.g_02189	Syae.g_01817
OG0000030	Syao.g_02188	Syae.g_01816
OG0000031	Syao.g_02008	Syae.g_01911
OG0000032	Syao.g_00090	Syae.g_02607
OG0000033	Syao.g_02507	Syae.g_01453
OG0000035	Syao.g_01483, Syao.g_01486	Syae.g_02653
OG0000037	Syao.g_00374	Syae.g_01367
OG0000038	Syao.g_02440	Syae.g_01571
OG0000039	Syao.g_00704	Syae.g_00822, Syae.g_02495
OG0000040	Syao.g_00711	Syae.g_01653
OG0000041	Syao.g_01637	Syae.g_00802
OG0000042	Syao.g_00019, Syao.g_01941	Syae.g_01821
OG0000045	Syao.g_01214	Syae.g_00732
OG0000046	Syao.g_01909	Syae.g_02161
OG0000046	Syao.g_01845	Syae.g_02154
OG0000047	Syao.g_01899	Syae.g_02184
OG0000048	Syao.g_02077	Syae.g_01982
OG0000052	Syao.g_01085	Syae.g_01224
OG0000052	Syao.g_02520, Syao.g_01972	Syae.g_01886
OG0000053	Syao.g_00067	Syae.g_02629
OG0000054	Syao.g_00295, Syao.g_00625	Syae.g_00221
OG0000057	Syao.g_00377	Syae.g_00782
OG0000058	Syao.g_01978	Syae.g_01905, Syae.g_01227
OG0000059	Syao.g_01801	Syae.g_02074
OG0000060	Syao.g_00312	Syae.g_00649
OG0000061	Syao.g_00123	Syae.g_00921
OG0000062	Syao.g_01576	Syae.g_01145
OG0000063	Syao.g_02230	Syae.g_01752
OG0000064	Syao.g_01898	Syae.g_01137
OG0000064	Syao.g_01462, Syao.g_02605	Syae.g_01631
OG0000066	Syao.g_01422	Syae.g_02386
