Orthogroup	Syao	Prad
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prad.g_00609
OG0000004	Syao.g_02374	Prad.g_01269
OG0000004	Syao.g_01271, Syao.g_01007	Prad.g_01759
OG0000005	Syao.g_01680	Prad.g_00928
OG0000005	Syao.g_01578	Prad.g_00438
OG0000006	Syao.g_00919, Syao.g_01518	Prad.g_01750
OG0000007	Syao.g_00105	Prad.g_00132
OG0000007	Syao.g_01554	Prad.g_00941
OG0000009	Syao.g_02598	Prad.g_01888
OG0000010	Syao.g_02683	Prad.g_01304, Prad.g_01011
OG0000011	Syao.g_01282	Prad.g_01212
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Prad.g_01412
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prad.g_01664
OG0000014	Syao.g_02027	Prad.g_01685
OG0000015	Syao.g_02339, Syao.g_00302	Prad.g_01108
OG0000016	Syao.g_01955	Prad.g_01973
OG0000017	Syao.g_00997, Syao.g_01064	Prad.g_01387
OG0000018	Syao.g_00071	Prad.g_01515
OG0000019	Syao.g_02108	Prad.g_01742, Prad.g_01125
OG0000021	Syao.g_01002	Prad.g_01981, Prad.g_00745
OG0000022	Syao.g_01218	Prad.g_01993
OG0000023	Syao.g_01266	Prad.g_00751
OG0000025	Syao.g_00436, Syao.g_00437	Prad.g_01660, Prad.g_01181
OG0000026	Syao.g_02234	Prad.g_01955, Prad.g_01004
OG0000027	Syao.g_01286, Syao.g_00202	Prad.g_01298, Prad.g_00353
OG0000028	Syao.g_02012	Prad.g_01204, Prad.g_01671
OG0000032	Syao.g_00090	Prad.g_00572
OG0000032	Syao.g_01984, Syao.g_01983	Prad.g_00561
OG0000035	Syao.g_01483, Syao.g_01486	Prad.g_00515
OG0000037	Syao.g_00374	Prad.g_01884
OG0000038	Syao.g_02440, Syao.g_02442	Prad.g_01582
OG0000039	Syao.g_00704	Prad.g_01260
OG0000040	Syao.g_00711	Prad.g_01516
OG0000041	Syao.g_00509, Syao.g_01637	Prad.g_00894
OG0000042	Syao.g_00019, Syao.g_01941	Prad.g_01624
OG0000045	Syao.g_00148	Prad.g_00738
OG0000047	Syao.g_01899	Prad.g_00683
OG0000048	Syao.g_02077	Prad.g_00735
OG0000052	Syao.g_01972	Prad.g_00571
OG0000053	Syao.g_00067	Prad.g_00494
OG0000054	Syao.g_00295, Syao.g_00625	Prad.g_01395
OG0000055	Syao.g_00498	Prad.g_01126
OG0000057	Syao.g_00377	Prad.g_01272
OG0000058	Syao.g_01978, Syao.g_01080	Prad.g_00565
OG0000059	Syao.g_01801	Prad.g_00855
OG0000061	Syao.g_00123	Prad.g_01496
OG0000062	Syao.g_01576	Prad.g_00436
OG0000063	Syao.g_02230	Prad.g_01953, Prad.g_00081
OG0000065	Syao.g_02600	Prad.g_01886
OG0000066	Syao.g_01422	Prad.g_00090
OG0000067	Syao.g_00756	Prad.g_01146
OG0000068	Syao.g_00868, Syao.g_00036	Prad.g_00594
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prad.g_00952, Prad.g_00400
OG0000070	Syao.g_00330	Prad.g_00057
OG0000071	Syao.g_01433	Prad.g_00628
OG0000072	Syao.g_02509, Syao.g_01749	Prad.g_01820
OG0000073	Syao.g_00103	Prad.g_00130
OG0000075	Syao.g_02257	Prad.g_00775
OG0000076	Syao.g_01949	Prad.g_01631
OG0000077	Syao.g_02629	Prad.g_01915
OG0000078	Syao.g_01709	Prad.g_01752
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prad.g_01739
OG0000082	Syao.g_01035	Prad.g_01374
OG0000084	Syao.g_01509, Syao.g_02606	Prad.g_00519
OG0000085	Syao.g_01569	Prad.g_00948
OG0000086	Syao.g_02653, Syao.g_01240	Prad.g_01905
OG0000087	Syao.g_02555	Prad.g_01854
OG0000088	Syao.g_02503	Prad.g_01825
OG0000089	Syao.g_01716	Prad.g_00755
OG0000090	Syao.g_01412	Prad.g_00096
OG0000091	Syao.g_00902	Prad.g_01431
OG0000093	Syao.g_00739	Prad.g_00218
OG0000094	Syao.g_00458	Prad.g_01038
OG0000095	Syao.g_00331	Prad.g_01018
OG0000097	Syao.g_00973	Prad.g_01454
OG0000098	Syao.g_01374	Prad.g_00612
OG0000099	Syao.g_02019	Prad.g_00566
OG0000100	Syao.g_00787	Prad.g_00440
OG0000101	Syao.g_01840	Prad.g_00807
OG0000102	Syao.g_01945	Prad.g_01626
OG0000103	Syao.g_02340	Prad.g_01548
OG0000104	Syao.g_02157	Prad.g_01540
OG0000105	Syao.g_02071, Syao.g_02072	Prad.g_01717
OG0000106	Syao.g_01385	Prad.g_00739
OG0000107	Syao.g_01935	Prad.g_00724
OG0000108	Syao.g_00028	Prad.g_00027
OG0000109	Syao.g_00110	Prad.g_00013
OG0000110	Syao.g_01051	Prad.g_01364
OG0000111	Syao.g_00378	Prad.g_01273
OG0000112	Syao.g_00683, Syao.g_00303	Prad.g_01109
OG0000113	Syao.g_00782	Prad.g_01168
OG0000114	Syao.g_00965	Prad.g_00245
OG0000115	Syao.g_01464, Syao.g_00065	Prad.g_00641
OG0000116	Syao.g_00137	Prad.g_01506
OG0000117	Syao.g_00169	Prad.g_01214
OG0000118	Syao.g_01475	Prad.g_00616
OG0000120	Syao.g_02009	Prad.g_00564
OG0000121	Syao.g_01489	Prad.g_00513
OG0000122	Syao.g_01247	Prad.g_00474
OG0000123	Syao.g_01832	Prad.g_00800
OG0000124	Syao.g_02179	Prad.g_01616
OG0000125	Syao.g_02444	Prad.g_01580
OG0000126	Syao.g_02198	Prad.g_01541
OG0000128	Syao.g_02149	Prad.g_01975
OG0000129	Syao.g_02434	Prad.g_01943
OG0000130	Syao.g_02617	Prad.g_01924
OG0000131	Syao.g_02480	Prad.g_01846
OG0000132	Syao.g_02501	Prad.g_01827
OG0000133	Syao.g_00678	Prad.g_01669
OG0000134	Syao.g_01719	Prad.g_00754
OG0000135	Syao.g_00147	Prad.g_00727
OG0000136	Syao.g_01614, Syao.g_01613	Prad.g_00066
OG0000137	Syao.g_02682	Prad.g_00032
OG0000138	Syao.g_00108	Prad.g_00012
OG0000139	Syao.g_01418, Syao.g_02005	Prad.g_00092
OG0000140	Syao.g_01373, Syao.g_01372	Prad.g_00091
OG0000141	Syao.g_01202	Prad.g_01396
OG0000142	Syao.g_00894	Prad.g_01424
OG0000143	Syao.g_00898	Prad.g_01428
OG0000145	Syao.g_00102	Prad.g_01107
OG0000146	Syao.g_00684, Syao.g_00304	Prad.g_01110
OG0000147	Syao.g_00305, Syao.g_00685	Prad.g_01111
OG0000148	Syao.g_00776	Prad.g_01162
OG0000149	Syao.g_00534	Prad.g_00301
OG0000150	Syao.g_01203	Prad.g_00293
OG0000151	Syao.g_00975	Prad.g_00235
OG0000152	Syao.g_00674	Prad.g_00186
OG0000153	Syao.g_00818, Syao.g_01176	Prad.g_00167
OG0000154	Syao.g_00447	Prad.g_00139
OG0000155	Syao.g_00178	Prad.g_01476
OG0000156	Syao.g_00151	Prad.g_00359
OG0000157	Syao.g_00152	Prad.g_00360
OG0000158	Syao.g_01141, Syao.g_02267	Prad.g_00567
OG0000159	Syao.g_02276	Prad.g_00563
OG0000160	Syao.g_01488	Prad.g_00514
OG0000161	Syao.g_01494	Prad.g_00508
OG0000162	Syao.g_01515	Prad.g_00502
OG0000163	Syao.g_01745	Prad.g_00467
OG0000164	Syao.g_01663	Prad.g_00917
OG0000165	Syao.g_01655	Prad.g_00910
OG0000166	Syao.g_01790	Prad.g_00843
OG0000167	Syao.g_01960	Prad.g_00777
OG0000168	Syao.g_02128	Prad.g_00767
OG0000169	Syao.g_02139	Prad.g_01637
OG0000170	Syao.g_02148	Prad.g_01635
OG0000171	Syao.g_02181	Prad.g_01617
OG0000172	Syao.g_02170	Prad.g_01609
OG0000173	Syao.g_02212	Prad.g_01594
OG0000174	Syao.g_02364, Syao.g_02355	Prad.g_01566
OG0000175	Syao.g_02327, Syao.g_00308	Prad.g_01556
OG0000176	Syao.g_02165	Prad.g_01532
OG0000177	Syao.g_02156	Prad.g_01531
OG0000178	Syao.g_02155	Prad.g_01530
OG0000179	Syao.g_02250	Prad.g_01970
OG0000180	Syao.g_02249	Prad.g_01969
OG0000181	Syao.g_02248	Prad.g_01968
OG0000182	Syao.g_02247	Prad.g_01967
OG0000183	Syao.g_02243	Prad.g_01963
OG0000184	Syao.g_02423	Prad.g_01940
OG0000185	Syao.g_02410	Prad.g_01937
OG0000186	Syao.g_02613	Prad.g_01929
OG0000187	Syao.g_02615	Prad.g_01928
OG0000188	Syao.g_02637	Prad.g_01911
OG0000189	Syao.g_02672	Prad.g_01897
OG0000190	Syao.g_01015	Prad.g_01896
OG0000191	Syao.g_02573	Prad.g_01876
OG0000192	Syao.g_02579	Prad.g_01872
OG0000193	Syao.g_02481	Prad.g_01845
OG0000194	Syao.g_02484	Prad.g_01842
OG0000195	Syao.g_02486	Prad.g_01840
OG0000196	Syao.g_02498	Prad.g_01830
OG0000197	Syao.g_02499	Prad.g_01829
OG0000198	Syao.g_02500	Prad.g_01828
OG0000199	Syao.g_02508	Prad.g_01821
OG0000200	Syao.g_02524	Prad.g_01807
OG0000201	Syao.g_02540	Prad.g_01799
OG0000202	Syao.g_02454	Prad.g_01798
OG0000203	Syao.g_02455	Prad.g_01797
OG0000204	Syao.g_02456	Prad.g_01796
OG0000205	Syao.g_02464	Prad.g_01789
OG0000206	Syao.g_02469	Prad.g_01784
OG0000207	Syao.g_02471	Prad.g_01782
OG0000208	Syao.g_02472	Prad.g_01781
OG0000209	Syao.g_02394	Prad.g_01772
OG0000210	Syao.g_02395	Prad.g_01771
OG0000211	Syao.g_01700	Prad.g_01758
OG0000212	Syao.g_01710	Prad.g_01751
OG0000213	Syao.g_02098	Prad.g_01734
OG0000214	Syao.g_02081	Prad.g_01724
OG0000215	Syao.g_02050	Prad.g_01699
OG0000216	Syao.g_02045	Prad.g_01697
OG0000217	Syao.g_02041	Prad.g_01694
OG0000218	Syao.g_02039	Prad.g_01692
OG0000219	Syao.g_02038	Prad.g_01691
OG0000220	Syao.g_02037	Prad.g_01690
OG0000221	Syao.g_02034	Prad.g_01689
OG0000222	Syao.g_02023	Prad.g_01681
OG0000223	Syao.g_00291	Prad.g_01668
OG0000224	Syao.g_01973	Prad.g_01666
OG0000225	Syao.g_01751	Prad.g_01645
OG0000226	Syao.g_01758	Prad.g_00761
OG0000227	Syao.g_01760	Prad.g_00759
OG0000228	Syao.g_01715	Prad.g_00756
OG0000229	Syao.g_01736	Prad.g_00666
OG0000230	Syao.g_01738	Prad.g_00069
OG0000231	Syao.g_01513	Prad.g_00058
OG0000232	Syao.g_00057	Prad.g_00049
OG0000233	Syao.g_02698	Prad.g_00043
OG0000234	Syao.g_02680	Prad.g_00031
OG0000235	Syao.g_00029	Prad.g_00028
OG0000236	Syao.g_00111	Prad.g_00014
OG0000237	Syao.g_00166	Prad.g_00123
OG0000238	Syao.g_00161	Prad.g_00117
OG0000239	Syao.g_01398	Prad.g_00104
OG0000240	Syao.g_01399	Prad.g_00103
OG0000241	Syao.g_00887	Prad.g_00099
OG0000242	Syao.g_01410	Prad.g_00097
OG0000243	Syao.g_00873	Prad.g_01333
OG0000244	Syao.g_00865	Prad.g_01336
OG0000245	Syao.g_00863	Prad.g_01338
OG0000246	Syao.g_00859	Prad.g_01342
OG0000247	Syao.g_00847	Prad.g_01352
OG0000248	Syao.g_00844	Prad.g_01354
OG0000249	Syao.g_00842	Prad.g_01356
OG0000250	Syao.g_00835	Prad.g_01361
OG0000251	Syao.g_01026	Prad.g_01380
OG0000252	Syao.g_01020	Prad.g_01383
OG0000253	Syao.g_01003	Prad.g_01384
OG0000254	Syao.g_01053	Prad.g_01400
OG0000255	Syao.g_01009	Prad.g_01406
OG0000256	Syao.g_01328	Prad.g_01416
OG0000257	Syao.g_00884	Prad.g_01419
OG0000258	Syao.g_00907	Prad.g_01432
OG0000259	Syao.g_00933, Syao.g_00932	Prad.g_01234
OG0000260	Syao.g_00936	Prad.g_01237
OG0000261	Syao.g_00941	Prad.g_01239
OG0000262	Syao.g_00946	Prad.g_01243
OG0000263	Syao.g_00247	Prad.g_01255
OG0000264	Syao.g_00699	Prad.g_01265
OG0000265	Syao.g_00049	Prad.g_01049
OG0000266	Syao.g_00480	Prad.g_01059
OG0000267	Syao.g_00589	Prad.g_01070
OG0000268	Syao.g_00588	Prad.g_01071
OG0000269	Syao.g_00751	Prad.g_01141
OG0000270	Syao.g_00754	Prad.g_01144
OG0000271	Syao.g_00762	Prad.g_01152
OG0000272	Syao.g_00763	Prad.g_01153
OG0000273	Syao.g_00791	Prad.g_01176
OG0000274	Syao.g_00792	Prad.g_01177
OG0000275	Syao.g_00438	Prad.g_01180
OG0000276	Syao.g_00558	Prad.g_01185
OG0000277	Syao.g_00557	Prad.g_00308
OG0000278	Syao.g_00554	Prad.g_00305
OG0000279	Syao.g_00529	Prad.g_00298
OG0000280	Syao.g_00608	Prad.g_00297
OG0000281	Syao.g_01377	Prad.g_00292
OG0000282	Syao.g_00967	Prad.g_00243
OG0000283	Syao.g_00640	Prad.g_00209
OG0000284	Syao.g_00634	Prad.g_00204
OG0000285	Syao.g_00706	Prad.g_00199
OG0000286	Syao.g_00675	Prad.g_00187
OG0000287	Syao.g_00825	Prad.g_00170
OG0000288	Syao.g_00446	Prad.g_00140
OG0000289	Syao.g_00461	Prad.g_01035
OG0000290	Syao.g_00428	Prad.g_01021
OG0000291	Syao.g_00333	Prad.g_01019
OG0000292	Syao.g_02196	Prad.g_00972
OG0000293	Syao.g_00136	Prad.g_01505
OG0000294	Syao.g_00135	Prad.g_01504
OG0000295	Syao.g_00186	Prad.g_01484
OG0000296	Syao.g_00184	Prad.g_01482
OG0000297	Syao.g_00171	Prad.g_01474
OG0000298	Syao.g_00170	Prad.g_01473
OG0000299	Syao.g_00231	Prad.g_01455
OG0000300	Syao.g_00274	Prad.g_01452
OG0000301	Syao.g_00272, Syao.g_00273	Prad.g_01451
OG0000302	Syao.g_00271	Prad.g_01449
OG0000303	Syao.g_00262	Prad.g_01442
OG0000304	Syao.g_00256	Prad.g_01438
OG0000305	Syao.g_00388	Prad.g_00602
OG0000306	Syao.g_01216	Prad.g_00599
OG0000307	Syao.g_00045	Prad.g_00585
OG0000308	Syao.g_00047	Prad.g_00584
OG0000309	Syao.g_02705	Prad.g_00580
OG0000310	Syao.g_01530	Prad.g_00530
