Orthogroup	Syao	Prbh
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prbh.g_00001
OG0000004	Syao.g_02374	Prbh.g_00933
OG0000004	Syao.g_01271, Syao.g_01007	Prbh.g_00548
OG0000005	Syao.g_01578	Prbh.g_00182
OG0000006	Syao.g_00919, Syao.g_01518	Prbh.g_00538
OG0000007	Syao.g_00105	Prbh.g_00334
OG0000007	Syao.g_01554	Prbh.g_01782
OG0000008	Syao.g_01321	Prbh.g_01405
OG0000010	Syao.g_02683	Prbh.g_00848, Prbh.g_01143
OG0000011	Syao.g_01282	Prbh.g_01835
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prbh.g_00452
OG0000014	Syao.g_02027	Prbh.g_00472
OG0000015	Syao.g_02339, Syao.g_00302	Prbh.g_00840, Prbh.g_01869
OG0000017	Syao.g_01064	Prbh.g_00225
OG0000018	Syao.g_00071	Prbh.g_01305
OG0000019	Syao.g_02108	Prbh.g_00530, Prbh.g_01307
OG0000021	Syao.g_01002	Prbh.g_00203, Prbh.g_00938
OG0000023	Syao.g_01266	Prbh.g_00833
OG0000025	Syao.g_00436, Syao.g_00437	Prbh.g_00988
OG0000026	Syao.g_02234	Prbh.g_00749
OG0000028	Syao.g_02012	Prbh.g_00404, Prbh.g_00459
OG0000030	Syao.g_02189, Syao.g_02188	Prbh.g_01570
OG0000031	Syao.g_02008	Prbh.g_00064
OG0000032	Syao.g_00090	Prbh.g_00138
OG0000035	Syao.g_01483, Syao.g_01486	Prbh.g_00096, Prbh.g_00099
OG0000037	Syao.g_00374	Prbh.g_00674
OG0000038	Syao.g_02440, Syao.g_02442	Prbh.g_01530
OG0000039	Syao.g_00704	Prbh.g_00921
OG0000041	Syao.g_00509, Syao.g_01637	Prbh.g_01734
OG0000042	Syao.g_00019, Syao.g_01941	Prbh.g_01573
OG0000045	Syao.g_01214	Prbh.g_01327
OG0000046	Syao.g_01909, Syao.g_01845	Prbh.g_00451
OG0000047	Syao.g_01899	Prbh.g_00408
OG0000048	Syao.g_02077	Prbh.g_00508
OG0000052	Syao.g_01972	Prbh.g_00727
OG0000053	Syao.g_00067	Prbh.g_00120, Prbh.g_01834
OG0000054	Syao.g_00295, Syao.g_00625	Prbh.g_00223
OG0000055	Syao.g_00498	Prbh.g_01797
OG0000057	Syao.g_00377	Prbh.g_00936
OG0000059	Syao.g_01801	Prbh.g_01695
OG0000061	Syao.g_00123	Prbh.g_01283
OG0000062	Syao.g_01576	Prbh.g_00184
OG0000063	Syao.g_02230	Prbh.g_01401
OG0000064	Syao.g_01898, Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605	Prbh.g_00715
OG0000065	Syao.g_02600	Prbh.g_00676
OG0000066	Syao.g_01422	Prbh.g_01856
OG0000067	Syao.g_00756	Prbh.g_00953
OG0000068	Syao.g_00868, Syao.g_00036	Prbh.g_00009
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prbh.g_00376
OG0000070	Syao.g_00330	Prbh.g_00382
OG0000071	Syao.g_01433	Prbh.g_01373
OG0000072	Syao.g_02509, Syao.g_01749	Prbh.g_00611
OG0000073	Syao.g_00103	Prbh.g_00330
OG0000075	Syao.g_02257	Prbh.g_01607
OG0000076	Syao.g_01949	Prbh.g_01581
OG0000077	Syao.g_02629	Prbh.g_00704
OG0000078	Syao.g_01709	Prbh.g_00540
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prbh.g_00527
OG0000080	Syao.g_02269	Prbh.g_00069
OG0000082	Syao.g_01035	Prbh.g_01855
OG0000084	Syao.g_01509, Syao.g_02606	Prbh.g_00093
OG0000085	Syao.g_01569	Prbh.g_01408
OG0000086	Syao.g_02653, Syao.g_01240	Prbh.g_00695
OG0000087	Syao.g_02555	Prbh.g_00642
OG0000088	Syao.g_02503	Prbh.g_00616
OG0000089	Syao.g_01716	Prbh.g_00415
OG0000090	Syao.g_01412	Prbh.g_00296
OG0000091	Syao.g_00902	Prbh.g_01211
OG0000093	Syao.g_00739	Prbh.g_01181
OG0000094	Syao.g_00458	Prbh.g_01130
OG0000095	Syao.g_00331	Prbh.g_01031
OG0000097	Syao.g_00973	Prbh.g_01236
OG0000098	Syao.g_01374	Prbh.g_01935
OG0000099	Syao.g_02019	Prbh.g_00032
OG0000100	Syao.g_00787	Prbh.g_00179
OG0000101	Syao.g_01840	Prbh.g_01644
OG0000102	Syao.g_01945	Prbh.g_01576
OG0000103	Syao.g_02340	Prbh.g_01489
OG0000104	Syao.g_02157	Prbh.g_01480
OG0000105	Syao.g_02071, Syao.g_02072	Prbh.g_00505
OG0000106	Syao.g_01385	Prbh.g_00821
OG0000107	Syao.g_01935	Prbh.g_01718
OG0000108	Syao.g_00028	Prbh.g_00351
OG0000109	Syao.g_00110	Prbh.g_00337
OG0000110	Syao.g_01051	Prbh.g_00254
OG0000111	Syao.g_00378	Prbh.g_00937
OG0000112	Syao.g_00683, Syao.g_00303	Prbh.g_01078
OG0000113	Syao.g_00782	Prbh.g_00976
OG0000114	Syao.g_00965	Prbh.g_00878
OG0000115	Syao.g_01464, Syao.g_00065	Prbh.g_01344
OG0000116	Syao.g_00137	Prbh.g_01294
OG0000117	Syao.g_00169	Prbh.g_01255
OG0000118	Syao.g_01475	Prbh.g_01385
OG0000120	Syao.g_02009	Prbh.g_00031
OG0000121	Syao.g_01489	Prbh.g_00101
OG0000122	Syao.g_01247	Prbh.g_01347, Prbh.g_00143
OG0000123	Syao.g_01832	Prbh.g_01637
OG0000124	Syao.g_02179	Prbh.g_01564
OG0000125	Syao.g_02444	Prbh.g_01528
OG0000126	Syao.g_02198	Prbh.g_01481
OG0000127	Syao.g_01312, Syao.g_02375, Syao.g_01143	Prbh.g_01938
OG0000128	Syao.g_02149	Prbh.g_01953
OG0000129	Syao.g_02434	Prbh.g_00738
OG0000130	Syao.g_02617	Prbh.g_00713
OG0000131	Syao.g_02480	Prbh.g_00637
OG0000132	Syao.g_02501	Prbh.g_00618
OG0000133	Syao.g_00678	Prbh.g_00457
OG0000134	Syao.g_01719	Prbh.g_00413
OG0000135	Syao.g_00147	Prbh.g_01825
OG0000136	Syao.g_01614, Syao.g_01613	Prbh.g_00391
OG0000137	Syao.g_02682	Prbh.g_00356
OG0000138	Syao.g_00108	Prbh.g_00336
OG0000139	Syao.g_01418, Syao.g_02005	Prbh.g_00292
OG0000140	Syao.g_01373, Syao.g_01372	Prbh.g_00291
OG0000141	Syao.g_01202	Prbh.g_00222
OG0000142	Syao.g_00894	Prbh.g_01218
OG0000143	Syao.g_00898	Prbh.g_01215
OG0000145	Syao.g_00102	Prbh.g_01880
OG0000146	Syao.g_00684, Syao.g_00304	Prbh.g_01077
OG0000147	Syao.g_00305, Syao.g_00685	Prbh.g_01076
OG0000148	Syao.g_00776	Prbh.g_00970
OG0000149	Syao.g_00534	Prbh.g_01002
OG0000150	Syao.g_01203	Prbh.g_01012
OG0000151	Syao.g_00975	Prbh.g_00888
OG0000152	Syao.g_00674	Prbh.g_01086
OG0000153	Syao.g_00818, Syao.g_01176	Prbh.g_01104
OG0000154	Syao.g_00447	Prbh.g_01121
OG0000155	Syao.g_00178	Prbh.g_01261
OG0000156	Syao.g_00151	Prbh.g_01362
OG0000157	Syao.g_00152	Prbh.g_01363
OG0000158	Syao.g_01141, Syao.g_02267	Prbh.g_01599
OG0000159	Syao.g_02276	Prbh.g_00039
OG0000159	Syao.g_02006	Prbh.g_00722
OG0000160	Syao.g_01488	Prbh.g_00100
OG0000161	Syao.g_01494	Prbh.g_01288, Prbh.g_00106
OG0000162	Syao.g_01515	Prbh.g_00112
OG0000163	Syao.g_01745	Prbh.g_00151
OG0000164	Syao.g_01663	Prbh.g_01758
OG0000165	Syao.g_01655	Prbh.g_01750
OG0000166	Syao.g_01790	Prbh.g_01681
OG0000167	Syao.g_01960	Prbh.g_01609
OG0000168	Syao.g_02128	Prbh.g_01598
OG0000169	Syao.g_02139	Prbh.g_01588
OG0000170	Syao.g_02148	Prbh.g_01585
OG0000171	Syao.g_02181	Prbh.g_01565
OG0000172	Syao.g_02170	Prbh.g_01558
OG0000173	Syao.g_02212	Prbh.g_01543
OG0000174	Syao.g_02364, Syao.g_02355	Prbh.g_01512
OG0000175	Syao.g_02327, Syao.g_00308	Prbh.g_01500
OG0000176	Syao.g_02165	Prbh.g_01472
OG0000177	Syao.g_02156	Prbh.g_01471
OG0000178	Syao.g_02155	Prbh.g_01470
OG0000179	Syao.g_02250	Prbh.g_00764
OG0000180	Syao.g_02249	Prbh.g_00763
OG0000181	Syao.g_02248	Prbh.g_00762
OG0000182	Syao.g_02247	Prbh.g_00761
OG0000183	Syao.g_02243	Prbh.g_00757
OG0000184	Syao.g_02423	Prbh.g_00734
OG0000185	Syao.g_02410	Prbh.g_00731
OG0000186	Syao.g_02613	Prbh.g_00719
OG0000187	Syao.g_02615	Prbh.g_00718
OG0000188	Syao.g_02637	Prbh.g_00701
OG0000189	Syao.g_02672	Prbh.g_00687
OG0000190	Syao.g_01015	Prbh.g_00686
OG0000191	Syao.g_02573	Prbh.g_00664
OG0000192	Syao.g_02579	Prbh.g_00659
OG0000193	Syao.g_02481	Prbh.g_00636
OG0000194	Syao.g_02484	Prbh.g_00633
OG0000195	Syao.g_02486	Prbh.g_00631
OG0000196	Syao.g_02498	Prbh.g_00621
OG0000197	Syao.g_02499	Prbh.g_00620
OG0000198	Syao.g_02500	Prbh.g_00619
OG0000199	Syao.g_02508	Prbh.g_00612
OG0000200	Syao.g_02524	Prbh.g_00599
OG0000201	Syao.g_02540	Prbh.g_00590
OG0000202	Syao.g_02454	Prbh.g_00589
OG0000203	Syao.g_02455	Prbh.g_00588
OG0000204	Syao.g_02456	Prbh.g_00587
OG0000205	Syao.g_02464	Prbh.g_00580
OG0000206	Syao.g_02469	Prbh.g_00575
OG0000207	Syao.g_02471	Prbh.g_00573
OG0000208	Syao.g_02472	Prbh.g_00572
OG0000209	Syao.g_02394	Prbh.g_00563
OG0000210	Syao.g_02395	Prbh.g_00562
OG0000211	Syao.g_01700	Prbh.g_00547
OG0000212	Syao.g_01710	Prbh.g_00539
OG0000213	Syao.g_02098	Prbh.g_00521
OG0000214	Syao.g_02081	Prbh.g_00512
OG0000215	Syao.g_02050	Prbh.g_00485
OG0000216	Syao.g_02045	Prbh.g_00484
OG0000217	Syao.g_02041	Prbh.g_00481
OG0000218	Syao.g_02039	Prbh.g_00479
