Orthogroup	Syao	Pram
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Pram.g_01954, Pram.g_01953
OG0000004	Syao.g_02374	Pram.g_00789
OG0000004	Syao.g_01271, Syao.g_01007	Pram.g_00219
OG0000005	Syao.g_01578	Pram.g_01295
OG0000006	Syao.g_00919, Syao.g_01518	Pram.g_00229
OG0000007	Syao.g_00105	Pram.g_00433
OG0000007	Syao.g_01554	Pram.g_01632
OG0000008	Syao.g_01321	Pram.g_01262
OG0000010	Syao.g_02683	Pram.g_00704, Pram.g_01000
OG0000011	Syao.g_01282	Pram.g_01579
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Pram.g_00315
OG0000014	Syao.g_02027	Pram.g_00295
OG0000015	Syao.g_02339, Syao.g_00302	Pram.g_00696, Pram.g_01545
OG0000017	Syao.g_01064	Pram.g_00542
OG0000018	Syao.g_00071	Pram.g_01162
OG0000019	Syao.g_02108	Pram.g_00237, Pram.g_01164
OG0000021	Syao.g_01002	Pram.g_01274, Pram.g_00794
OG0000023	Syao.g_01266	Pram.g_00689
OG0000025	Syao.g_00436, Syao.g_00437	Pram.g_00844
OG0000026	Syao.g_02234	Pram.g_00018
OG0000028	Syao.g_02012	Pram.g_00363, Pram.g_00308
OG0000030	Syao.g_02189, Syao.g_02188	Pram.g_01844
OG0000031	Syao.g_02008	Pram.g_01413
OG0000032	Syao.g_00090	Pram.g_01339
OG0000035	Syao.g_01483, Syao.g_01486	Pram.g_01381, Pram.g_01378
OG0000037	Syao.g_00374	Pram.g_00093
OG0000038	Syao.g_02440, Syao.g_02442	Pram.g_01884
OG0000039	Syao.g_00704	Pram.g_00777
OG0000041	Syao.g_00509, Syao.g_01637	Pram.g_01680
OG0000042	Syao.g_00019, Syao.g_01941	Pram.g_01841
OG0000045	Syao.g_01214	Pram.g_01184
OG0000046	Syao.g_01909, Syao.g_01845	Pram.g_00316
OG0000047	Syao.g_01899	Pram.g_00359
OG0000048	Syao.g_02077	Pram.g_00259
OG0000052	Syao.g_01972	Pram.g_00040
OG0000053	Syao.g_00067	Pram.g_01357, Pram.g_01580
OG0000054	Syao.g_00295, Syao.g_00625	Pram.g_00544
OG0000055	Syao.g_00498	Pram.g_01617
OG0000057	Syao.g_00377	Pram.g_00792
OG0000059	Syao.g_01801	Pram.g_01719
OG0000061	Syao.g_00123	Pram.g_01140
OG0000062	Syao.g_01576	Pram.g_01293
OG0000063	Syao.g_02230	Pram.g_01258
OG0000064	Syao.g_01898, Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605	Pram.g_00052
OG0000065	Syao.g_02600	Pram.g_00091
OG0000066	Syao.g_01422	Pram.g_01558
OG0000067	Syao.g_00756	Pram.g_00809
OG0000068	Syao.g_00868, Syao.g_00036	Pram.g_01468
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Pram.g_00391
OG0000070	Syao.g_00330	Pram.g_00385
OG0000071	Syao.g_01433	Pram.g_01230
OG0000072	Syao.g_02509, Syao.g_01749	Pram.g_00156
OG0000073	Syao.g_00103	Pram.g_00437
OG0000075	Syao.g_02257	Pram.g_01807
OG0000076	Syao.g_01949	Pram.g_01833
OG0000077	Syao.g_02629	Pram.g_00063
OG0000078	Syao.g_01709	Pram.g_00227
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Pram.g_00240
OG0000080	Syao.g_02269	Pram.g_01408
OG0000082	Syao.g_01035	Pram.g_01559
OG0000084	Syao.g_01509, Syao.g_02606	Pram.g_01384
OG0000085	Syao.g_01569	Pram.g_01265
OG0000086	Syao.g_02653, Syao.g_01240	Pram.g_00072
OG0000087	Syao.g_02555	Pram.g_00125
OG0000088	Syao.g_02503	Pram.g_00151
OG0000089	Syao.g_01716	Pram.g_00352
OG0000090	Syao.g_01412	Pram.g_00471
OG0000091	Syao.g_00902	Pram.g_01068
OG0000093	Syao.g_00739	Pram.g_01038
OG0000094	Syao.g_00458	Pram.g_00987
OG0000095	Syao.g_00331	Pram.g_00888
OG0000097	Syao.g_00973	Pram.g_01093
OG0000098	Syao.g_01374	Pram.g_01478
OG0000099	Syao.g_02019	Pram.g_01445
OG0000100	Syao.g_00787	Pram.g_01298
OG0000101	Syao.g_01840	Pram.g_01770
OG0000102	Syao.g_01945	Pram.g_01838
OG0000103	Syao.g_02340	Pram.g_01925
OG0000104	Syao.g_02157	Pram.g_01934
OG0000105	Syao.g_02071, Syao.g_02072	Pram.g_00262
OG0000106	Syao.g_01385	Pram.g_00677
OG0000107	Syao.g_01935	Pram.g_01696
OG0000108	Syao.g_00028	Pram.g_00416
OG0000109	Syao.g_00110	Pram.g_00430
OG0000110	Syao.g_01051	Pram.g_00513
OG0000111	Syao.g_00378	Pram.g_00793
OG0000112	Syao.g_00683, Syao.g_00303	Pram.g_00935
OG0000113	Syao.g_00782	Pram.g_00832
OG0000114	Syao.g_00965	Pram.g_00734
OG0000115	Syao.g_01464, Syao.g_00065	Pram.g_01201
OG0000116	Syao.g_00137	Pram.g_01151
OG0000117	Syao.g_00169	Pram.g_01112
OG0000118	Syao.g_01475	Pram.g_01242
OG0000120	Syao.g_02009	Pram.g_01446
OG0000121	Syao.g_01489	Pram.g_01376
OG0000122	Syao.g_01247	Pram.g_01204, Pram.g_01334
OG0000123	Syao.g_01832	Pram.g_01777
OG0000124	Syao.g_02179	Pram.g_01850
OG0000125	Syao.g_02444	Pram.g_01886
OG0000126	Syao.g_02198	Pram.g_01933
