Orthogroup	Syao	Syad
OG0000001	Syao.g_00314	Syad.g_02863, Syad.g_02862, Syad.g_02864
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syad.g_02865
OG0000004	Syao.g_02374	Syad.g_01304
OG0000004	Syao.g_01007	Syad.g_02184
OG0000005	Syao.g_01680	Syad.g_02639
OG0000005	Syao.g_01578	Syad.g_02596
OG0000005	Syao.g_01210	Syad.g_02028
OG0000006	Syao.g_00919	Syad.g_02130
OG0000007	Syao.g_00105	Syad.g_00923
OG0000007	Syao.g_01554	Syad.g_02623
OG0000008	Syao.g_01321	Syad.g_01371
OG0000009	Syao.g_02598	Syad.g_02799
OG0000010	Syao.g_02683	Syad.g_02354
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Syao.g_01910	Syad.g_00729
OG0000013	Syao.g_01844	Syad.g_00724
OG0000014	Syao.g_02027	Syad.g_00480
OG0000015	Syao.g_02339	Syad.g_00142
OG0000015	Syao.g_00302	Syad.g_01600, Syad.g_01601
OG0000016	Syao.g_01955	Syad.g_00176
OG0000017	Syao.g_01064	Syad.g_01091
OG0000018	Syao.g_00071	Syad.g_02306
OG0000019	Syao.g_02108	Syad.g_00569
OG0000021	Syao.g_01002	Syad.g_01835, Syad.g_00874
OG0000022	Syao.g_01218	Syad.g_02090
OG0000023	Syao.g_01266	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000025	Syao.g_00436, Syao.g_00437	Syad.g_01241
OG0000026	Syao.g_02234	Syad.g_00198
OG0000027	Syao.g_01286	Syad.g_01257
OG0000028	Syao.g_02012	Syad.g_00463
OG0000030	Syao.g_02189	Syad.g_00328
OG0000030	Syao.g_02188	Syad.g_00327
OG0000031	Syao.g_02008	Syad.g_00458
OG0000031	Syao.g_01083	Syad.g_00294
OG0000032	Syao.g_00090	Syad.g_02326
OG0000033	Syao.g_02507	Syad.g_02903, Syad.g_00289
OG0000035	Syao.g_01483, Syao.g_01486	Syad.g_02275
OG0000037	Syao.g_00374	Syad.g_02805
OG0000038	Syao.g_02440	Syad.g_03038
OG0000039	Syao.g_00704	Syad.g_01249, Syad.g_01111
OG0000040	Syao.g_00711	Syad.g_00104
OG0000041	Syao.g_01637	Syad.g_01281
OG0000042	Syao.g_00019, Syao.g_01941	Syad.g_00333
OG0000045	Syao.g_01214	Syad.g_00964
OG0000046	Syao.g_01909	Syad.g_00730
OG0000046	Syao.g_01845	Syad.g_00723
OG0000047	Syao.g_01899	Syad.g_00754
OG0000048	Syao.g_02077	Syad.g_00534
OG0000051	Syao.g_01261	Syad.g_01967
OG0000052	Syao.g_02520, Syao.g_01972	Syad.g_00434
OG0000053	Syao.g_00067	Syad.g_02302
OG0000057	Syao.g_00377	Syad.g_01301
OG0000058	Syao.g_01978	Syad.g_00452
OG0000059	Syao.g_01801	Syad.g_00642
OG0000060	Syao.g_00312	Syad.g_01508
OG0000061	Syao.g_00123	Syad.g_01152
OG0000062	Syao.g_01576	Syad.g_02598
OG0000063	Syao.g_02230	Syad.g_00202
OG0000064	Syao.g_01462, Syao.g_02605	Syad.g_00081, Syad.g_02125
OG0000066	Syao.g_01422	Syad.g_00992
OG0000067	Syao.g_00756	Syad.g_01889
OG0000068	Syao.g_00868, Syao.g_00036	Syad.g_00891
OG0000070	Syao.g_00330	Syad.g_02424
OG0000071	Syao.g_01433	Syad.g_02405
OG0000072	Syao.g_02509	Syad.g_02905
OG0000073	Syao.g_00103	Syad.g_00926
OG0000075	Syao.g_02257	Syad.g_00416
OG0000076	Syao.g_01949	Syad.g_00348
OG0000077	Syao.g_02629	Syad.g_02741
OG0000078	Syao.g_01709	Syad.g_00824
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Syad.g_00565
OG0000082	Syao.g_01035	Syad.g_01063
OG0000084	Syao.g_01509	Syad.g_02272
OG0000085	Syao.g_01569	Syad.g_02612
OG0000086	Syao.g_02653, Syao.g_01240	Syad.g_02770
OG0000087	Syao.g_02555	Syad.g_02860
OG0000088	Syao.g_02503	Syad.g_02899
OG0000089	Syao.g_01716	Syad.g_00785, Syad.g_02829
OG0000090	Syao.g_01412	Syad.g_00977
OG0000091	Syao.g_00902	Syad.g_02144
OG0000092	Syao.g_00656	Syad.g_01190
OG0000093	Syao.g_00739	Syad.g_01905
OG0000094	Syao.g_00458	Syad.g_01676
OG0000095	Syao.g_00331	Syad.g_01290
OG0000098	Syao.g_01374	Syad.g_00625
OG0000099	Syao.g_02019	Syad.g_00460
OG0000100	Syao.g_00787	Syad.g_01846
OG0000102	Syao.g_01945	Syad.g_00343
OG0000104	Syao.g_02157	Syad.g_00158
OG0000105	Syao.g_02071, Syao.g_02072	Syad.g_00530
OG0000106	Syao.g_01385	Syad.g_01993
OG0000107	Syao.g_01935	Syad.g_00590
OG0000108	Syao.g_00028	Syad.g_00904
OG0000110	Syao.g_01051	Syad.g_01048
