Orthogroup	Syao	Prbg
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prbg.g_00502
OG0000004	Syao.g_02374	Prbg.g_01140
OG0000004	Syao.g_01271, Syao.g_01007	Prbg.g_01014
OG0000005	Syao.g_01578	Prbg.g_00674
OG0000006	Syao.g_00919, Syao.g_01518	Prbg.g_01024
OG0000007	Syao.g_00105	Prbg.g_00216
OG0000007	Syao.g_01554	Prbg.g_01650
OG0000008	Syao.g_01321	Prbg.g_00745
OG0000010	Syao.g_02683	Prbg.g_01053, Prbg.g_01348
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Prbg.g_00706
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prbg.g_00104
OG0000014	Syao.g_02027	Prbg.g_00086
OG0000015	Syao.g_02339, Syao.g_00302	Prbg.g_01589, Prbg.g_01635
OG0000017	Syao.g_01064	Prbg.g_00324
OG0000018	Syao.g_00071	Prbg.g_01508
OG0000019	Syao.g_02108	Prbg.g_01032, Prbg.g_01510
OG0000021	Syao.g_01002	Prbg.g_00699, Prbg.g_01145
OG0000023	Syao.g_01266	Prbg.g_00013
OG0000025	Syao.g_00436, Syao.g_00437	Prbg.g_01195
OG0000026	Syao.g_02234	Prbg.g_00842
OG0000027	Syao.g_01286, Syao.g_00202	Prbg.g_00721, Prbg.g_01569
OG0000028	Syao.g_02012	Prbg.g_00743
OG0000030	Syao.g_02189, Syao.g_02188	Prbg.g_01858
OG0000031	Syao.g_02008, Syao.g_01083	Prbg.g_00550
OG0000032	Syao.g_00090	Prbg.g_00630
OG0000033	Syao.g_02507	Prbg.g_00557
OG0000035	Syao.g_01483, Syao.g_01486	Prbg.g_00591
OG0000037	Syao.g_00374	Prbg.g_00881
OG0000038	Syao.g_02440, Syao.g_02442	Prbg.g_01898
OG0000039	Syao.g_00704	Prbg.g_01128
OG0000041	Syao.g_00509, Syao.g_01637	Prbg.g_01697
OG0000042	Syao.g_00019, Syao.g_01941	Prbg.g_01855
OG0000045	Syao.g_01214	Prbg.g_01530
OG0000046	Syao.g_01909, Syao.g_01845	Prbg.g_00105
OG0000047	Syao.g_01899	Prbg.g_00143
OG0000048	Syao.g_02077	Prbg.g_00464
OG0000052	Syao.g_01972	Prbg.g_00816
OG0000053	Syao.g_00067	Prbg.g_00612, Prbg.g_01595
OG0000054	Syao.g_00295, Syao.g_00625	Prbg.g_00326
OG0000055	Syao.g_00498	Prbg.g_01624
OG0000057	Syao.g_00377	Prbg.g_01143
OG0000058	Syao.g_01978, Syao.g_01080	Prbg.g_00551
OG0000059	Syao.g_01801	Prbg.g_01737
OG0000061	Syao.g_00123	Prbg.g_01486
OG0000062	Syao.g_01576	Prbg.g_00676
OG0000063	Syao.g_02230	Prbg.g_00730
OG0000064	Syao.g_01898, Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605	Prbg.g_00802
OG0000065	Syao.g_02600	Prbg.g_00879
OG0000066	Syao.g_01422	Prbg.g_00256
OG0000067	Syao.g_00756	Prbg.g_01159
OG0000068	Syao.g_00868, Syao.g_00036	Prbg.g_00529
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prbg.g_00174
OG0000070	Syao.g_00330	Prbg.g_00170
OG0000071	Syao.g_01433	Prbg.g_00477
OG0000072	Syao.g_02509, Syao.g_01749	Prbg.g_00949
OG0000073	Syao.g_00103	Prbg.g_00219
OG0000075	Syao.g_02257	Prbg.g_01821
OG0000076	Syao.g_01949	Prbg.g_01847
OG0000077	Syao.g_02629	Prbg.g_00791
OG0000078	Syao.g_01709	Prbg.g_01022
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prbg.g_01035
OG0000080	Syao.g_02269	Prbg.g_00563, Prbg.g_00565
OG0000082	Syao.g_01035	Prbg.g_00304, Prbg.g_01639
OG0000084	Syao.g_01509, Syao.g_02606	Prbg.g_00588
OG0000085	Syao.g_01569	Prbg.g_00716, Prbg.g_01642
OG0000086	Syao.g_02653, Syao.g_01240	Prbg.g_00782
OG0000087	Syao.g_02555	Prbg.g_00913
OG0000088	Syao.g_02503	Prbg.g_00944
OG0000089	Syao.g_01716	Prbg.g_00137
OG0000090	Syao.g_01412	Prbg.g_00250
OG0000091	Syao.g_00902	Prbg.g_01414
OG0000093	Syao.g_00739	Prbg.g_01385
OG0000094	Syao.g_00458	Prbg.g_01336
OG0000095	Syao.g_00331	Prbg.g_01234
OG0000097	Syao.g_00973	Prbg.g_01440
OG0000098	Syao.g_01374	Prbg.g_00505
OG0000099	Syao.g_02019	Prbg.g_00552
OG0000100	Syao.g_00787	Prbg.g_00670
OG0000101	Syao.g_01840	Prbg.g_01785
OG0000102	Syao.g_01945	Prbg.g_01852
OG0000103	Syao.g_02340	Prbg.g_01937
OG0000104	Syao.g_02157	Prbg.g_00763
OG0000105	Syao.g_02071, Syao.g_02072	Prbg.g_00053
OG0000106	Syao.g_01385	Prbg.g_00388
OG0000107	Syao.g_01935	Prbg.g_01714
OG0000108	Syao.g_00028	Prbg.g_00199
OG0000109	Syao.g_00110	Prbg.g_00213
OG0000110	Syao.g_01051	Prbg.g_00293
OG0000111	Syao.g_00378	Prbg.g_01144
OG0000112	Syao.g_00683, Syao.g_00303	Prbg.g_00366
OG0000113	Syao.g_00782	Prbg.g_01182
OG0000114	Syao.g_00965	Prbg.g_01084
OG0000115	Syao.g_01464, Syao.g_00065	Prbg.g_01555
OG0000116	Syao.g_00137	Prbg.g_01497
OG0000117	Syao.g_00169	Prbg.g_01459
OG0000118	Syao.g_01475	Prbg.g_00490
OG0000120	Syao.g_02009	Prbg.g_00549
OG0000121	Syao.g_01489	Prbg.g_00593
OG0000122	Syao.g_01247	Prbg.g_00448, Prbg.g_00634
OG0000123	Syao.g_01832	Prbg.g_01792
OG0000124	Syao.g_02179	Prbg.g_01864
OG0000125	Syao.g_02444	Prbg.g_01900
OG0000126	Syao.g_02198	Prbg.g_00762
OG0000128	Syao.g_02149	Prbg.g_00778
OG0000129	Syao.g_02434	Prbg.g_00829
OG0000130	Syao.g_02617	Prbg.g_00800
OG0000131	Syao.g_02480	Prbg.g_00922
OG0000132	Syao.g_02501	Prbg.g_00942
OG0000133	Syao.g_00678	Prbg.g_00100
OG0000134	Syao.g_01719	Prbg.g_00139
OG0000135	Syao.g_00147	Prbg.g_00459
OG0000136	Syao.g_01614, Syao.g_01613	Prbg.g_00161
OG0000137	Syao.g_02682	Prbg.g_00194
OG0000138	Syao.g_00108	Prbg.g_00214
OG0000139	Syao.g_01418, Syao.g_02005	Prbg.g_00254
OG0000140	Syao.g_01373, Syao.g_01372	Prbg.g_00255
OG0000141	Syao.g_01202	Prbg.g_00327
OG0000142	Syao.g_00894	Prbg.g_01422
OG0000143	Syao.g_00898	Prbg.g_01418
OG0000145	Syao.g_00102	Prbg.g_00461
OG0000146	Syao.g_00684, Syao.g_00304	Prbg.g_00365
OG0000147	Syao.g_00305, Syao.g_00685	Prbg.g_00364
OG0000148	Syao.g_00776	Prbg.g_01176
OG0000149	Syao.g_00534	Prbg.g_01208
OG0000150	Syao.g_01203	Prbg.g_01218
OG0000151	Syao.g_00975	Prbg.g_01094
OG0000152	Syao.g_00674	Prbg.g_01287
