Orthogroup	Pran	Prbd
OG0000000	Pran.g_00582	Prbd.g_01833
OG0000000	Pran.g_00601	Prbd.g_01568
OG0000000	Pran.g_00579	Prbd.g_01569
OG0000000	Pran.g_00001	Prbd.g_00528
OG0000000	Pran.g_00602	Prbd.g_00528
OG0000000	Pran.g_00593	Prbd.g_01836
OG0000000	Pran.g_00894	Prbd.g_01835
OG0000001	Pran.g_01395	Prbd.g_01930
OG0000002	Pran.g_01500	Prbd.g_00566
OG0000004	Pran.g_01483	Prbd.g_00549
OG0000004	Pran.g_00200	Prbd.g_01007
OG0000005	Pran.g_00983	Prbd.g_01512
OG0000005	Pran.g_00657	Prbd.g_01612
OG0000006	Pran.g_01951	Prbd.g_00998
OG0000007	Pran.g_01681	Prbd.g_00745
OG0000007	Pran.g_00970	Prbd.g_01525
OG0000008	Pran.g_01506	Prbd.g_00572
OG0000009	Pran.g_00615	Prbd.g_01887, Prbd.g_01576
OG0000009	Pran.g_00328	Prbd.g_01139
OG0000010	Pran.g_00175	Prbd.g_00348
OG0000010	Pran.g_01704	Prbd.g_00768
OG0000011	Pran.g_01384	Prbd.g_00534
OG0000012	Pran.g_01555	Prbd.g_00621
OG0000013	Pran.g_01867	Prbd.g_00912
OG0000014	Pran.g_01888	Prbd.g_00933
OG0000015	Pran.g_01394	Prbd.g_00065, Prbd.g_00826
OG0000017	Pran.g_01580	Prbd.g_00646
OG0000018	Pran.g_00078	Prbd.g_00449
OG0000018	Pran.g_01316	Prbd.g_00129
OG0000019	Pran.g_01943	Prbd.g_00990
OG0000019	Pran.g_01363	Prbd.g_00082
OG0000020	Pran.g_00117	Prbd.g_00406
OG0000021	Pran.g_01829	Prbd.g_01546, Prbd.g_00874
OG0000022	Pran.g_01401	Prbd.g_00061
OG0000022	Pran.g_00097	Prbd.g_00423
OG0000023	Pran.g_01834	Prbd.g_00879
OG0000024	Pran.g_01420	Prbd.g_00045
OG0000024	Pran.g_01503	Prbd.g_00569
OG0000025	Pran.g_01309	Prbd.g_00137
OG0000025	Pran.g_01863	Prbd.g_00908
OG0000026	Pran.g_00393	Prbd.g_01206
OG0000026	Pran.g_00168	Prbd.g_00355
OG0000027	Pran.g_00583	Prbd.g_00772, Prbd.g_01832
OG0000028	Pran.g_01874	Prbd.g_00919
OG0000029	Pran.g_01410	Prbd.g_00052
OG0000030	Pran.g_01170	Prbd.g_01325
OG0000033	Pran.g_00263	Prbd.g_01071
OG0000034	Pran.g_00866	Prbd.g_01791
